   Runnr	Alpha-pr	Cd-press	Cl-press	Cm-press	Cn-press	Ct-press	Re-press	 M-press	 Q-press	 V-press	    Flap	 Cpu_001	 Cpu_002	 Cpu_003	 Cpu_004	 Cpu_005	 Cpu_006	 Cpu_007	 Cpu_008	 Cpu_009	 Cpu_010	 Cpu_011	 Cpu_012	 Cpu_013	 Cpu_014	 Cpu_015	 Cpu_016	 Cpu_017	 Cpu_018	 Cpu_019	 Cpu_020	 Cpu_021	 Cpu_022	 Cpu_023	 Cpu_024	 Cpu_025	 Cpu_026	 Cpu_027	 Cpu_028	 Cpu_029	 Cpu_030	 Cpu_031	 Cpu_032	 Cpu_033	 Cpu_034	 Cpu_035	 Cpu_036	 Cpu_037	 Cpu_038	 Cpu_039	 Cpu_040	 Cpl_001	 Cpl_002	 Cpl_003	 Cpl_004	 Cpl_005	 Cpl_006	 Cpl_007	 Cpl_008	 Cpl_009	 Cpl_010	 Cpl_011	 Cpl_012	 Cpl_013	 Cpl_014	 Cpl_015	 Cpl_016	 Cpl_017	 Cpl_018	 Cpl_019	 Cpl_020	 Cpl_021	 Cpl_022	 Cpl_023	Cn-p-cor	Ct-p-cor	Cm-p-cor
      10	   6.172	0.011016	  0.9760	 -0.0784	  0.9715	-0.093977	1.008E+6	   0.075	  396.41	   25.81	   0.000	 0.17240	 0.09264	 0.01907	-0.06222	-0.14717	-0.24074	-0.33848	-0.44005	-0.53449	-0.63494	-0.73312	-0.83289	-0.91405	-1.09584	-1.17309	-1.20819	-1.26354	-1.30387	-1.33591	-1.35668	-1.37734	-1.38514	-1.41471	-1.43934	-1.44052	-1.42271	-1.44986	-1.50332	-1.58036	-1.56934	-1.55137	-1.55516	-1.58116	-1.60722	-1.64830	-1.57642	-1.44482	-1.16684	-0.63331	-0.32412	-0.31285	 0.92446	 0.99091	 0.88832	 0.72909	 0.58808	 0.45977	 0.34435	 0.26322	 0.18824	 0.10927	 0.04994	-0.00431	-0.04271	-0.06489	-0.05153	-0.01945	 0.01957	 0.06076	 0.13531	 0.22246	 0.31708	 0.17562	  0.9723	-0.093352	 -0.0788	
      11	   7.195	0.012160	  1.0752	 -0.0771	  1.0683	-0.122605	1.007E+6	   0.075	  396.09	   25.80	   0.000	 0.15475	 0.09014	 0.02016	-0.06005	-0.14623	-0.24289	-0.34413	-0.44943	-0.54864	-0.65521	-0.76129	-0.87373	-0.96635	-1.04721	-1.19431	-1.27891	-1.33809	-1.38228	-1.41879	-1.44429	-1.47185	-1.48970	-1.52712	-1.56129	-1.57135	-1.56580	-1.60707	-1.67562	-1.76858	-1.77832	-1.77977	-1.81000	-1.86452	-1.93048	-2.01827	-1.99272	-1.90659	-1.65937	-1.09356	-0.77122	-0.76444	 0.82315	 0.99480	 0.94852	 0.81095	 0.67700	 0.54868	 0.43020	 0.34333	 0.26349	 0.17952	 0.11492	 0.05536	 0.01174	-0.01685	-0.01081	 0.01596	 0.04958	 0.09130	 0.13452	 0.24026	 0.32036	 0.16155	  1.0692	-0.121858	 -0.0776	
      12	   8.208	0.013897	  1.1434	 -0.0715	  1.1336	-0.149486	1.007E+6	   0.075	  395.84	   25.79	   0.000	 0.10980	 0.07165	 0.01829	-0.05120	-0.13195	-0.22750	-0.33089	-0.43880	-0.54324	-0.65489	-0.76908	-0.88861	-0.99511	-1.09465	-1.18165	-1.25423	-1.32711	-1.41643	-1.47997	-1.51276	-1.54749	-1.57486	-1.61971	-1.66122	-1.67945	-1.68627	-1.74280	-1.82302	-1.92967	-1.95704	-1.97912	-2.03161	-2.11676	-2.21955	-2.35031	-2.36618	-2.33312	-2.11930	-1.53270	-1.20622	-1.20530	 0.70082	 0.97424	 0.98196	 0.86905	 0.74085	 0.61772	 0.49800	 0.40697	 0.32073	 0.23580	 0.16631	 0.10207	 0.05339	 0.01916	 0.01922	 0.04086	 0.06826	 0.10942	 0.14755	 0.23545	 0.31273	 0.11499	  1.1347	-0.148687	 -0.0720	
      13	   9.237	0.017447	  1.1650	 -0.0601	  1.1526	-0.169779	1.006E+6	   0.075	  394.92	   25.76	   0.000	 0.02393	 0.00460	-0.01786	-0.05278	-0.10413	-0.18086	-0.27756	-0.38483	-0.49508	-0.61253	-0.73288	-0.85953	-0.97393	-1.08336	-1.18159	-1.26685	-1.35277	-1.41606	-1.45791	-1.50379	-1.53272	-1.56702	-1.65010	-1.72023	-1.74375	-1.77548	-1.84255	-1.92839	-2.04265	-2.08539	-2.12370	-2.19392	-2.30082	-2.44059	-2.60726	-2.66312	-2.67107	-2.49105	-1.89436	-1.56785	-1.57157	 0.58576	 0.94230	 0.99682	 0.90651	 0.78660	 0.66642	 0.54656	 0.45272	 0.36319	 0.27498	 0.20152	 0.13273	 0.07927	 0.04060	 0.03499	 0.05150	 0.07411	 0.11248	 0.15216	 0.19547	 0.28906	 0.01684	  1.1539	-0.169056	 -0.0606	
      14	  10.257	0.023235	  1.1839	 -0.0533	  1.1691	-0.187954	1.005E+6	   0.075	  394.54	   25.75	   0.000	-0.05315	-0.07845	-0.08501	-0.09712	-0.11639	-0.15490	-0.22237	-0.31639	-0.42619	-0.55042	-0.67893	-0.81278	-0.93460	-1.05303	-1.15940	-1.25141	-1.34608	-1.41787	-1.47025	-1.52503	-1.57003	-1.60962	-1.65337	-1.69996	-1.74065	-1.79883	-1.94083	-2.02802	-2.14322	-2.19953	-2.25421	-2.34428	-2.47436	-2.63920	-2.84115	-2.93573	-2.98463	-2.83912	-2.23789	-1.91566	-1.91974	 0.46525	 0.90132	 0.99999	 0.93384	 0.82429	 0.70693	 0.58797	 0.49200	 0.40038	 0.30891	 0.23195	 0.15963	 0.10226	 0.05870	 0.04801	 0.05958	 0.07707	 0.11151	 0.15167	 0.17821	 0.26710	-0.06912	  1.1705	-0.187408	 -0.0539	
      15	  11.256	0.029948	  1.2078	 -0.0508	  1.1904	-0.206381	1.005E+6	   0.075	  393.75	   25.72	   0.000	-0.13306	-0.17187	-0.16858	-0.17110	-0.17547	-0.18415	-0.20501	-0.25014	-0.33876	-0.45362	-0.59063	-0.73782	-0.87255	-1.00422	-1.12176	-1.22308	-1.32698	-1.40773	-1.47068	-1.53437	-1.58928	-1.63877	-1.69548	-1.76030	-1.79265	-1.79600	-1.92421	-2.12697	-2.25924	-2.32118	-2.39183	-2.50396	-2.65510	-2.84637	-3.08220	-3.21943	-3.31437	-3.20710	-2.60490	-2.29094	-2.29059	 0.33013	 0.84731	 0.99999	 0.95712	 0.85964	 0.74730	 0.62868	 0.53104	 0.43767	 0.34359	 0.26357	 0.18834	 0.12667	 0.07881	 0.06228	 0.06935	 0.08144	 0.11172	 0.14917	 0.17918	 0.24604	-0.15333	  1.1920	-0.206076	 -0.0514	
      16	  12.253	0.042442	  1.2156	 -0.0541	  1.1969	-0.216513	1.003E+6	   0.074	  392.82	   25.69	   0.000	-0.22075	-0.28933	-0.28938	-0.28994	-0.29155	-0.29354	-0.29583	-0.29996	-0.31320	-0.34538	-0.42817	-0.56166	-0.71480	-0.87409	-1.01407	-1.14015	-1.25561	-1.35110	-1.42862	-1.50335	-1.56764	-1.63024	-1.69991	-1.77986	-1.83042	-1.86336	-1.93283	-2.06021	-2.28770	-2.41101	-2.51523	-2.64469	-2.80672	-3.01101	-3.27542	-3.45300	-3.59112	-3.52275	-2.92643	-2.62285	-2.61097	 0.19869	 0.79118	 0.99414	 0.97261	 0.88604	 0.77526	 0.66187	 0.56414	 0.46929	 0.37307	 0.28979	 0.21044	 0.14572	 0.09362	 0.07233	 0.07478	 0.08186	 0.10756	 0.14186	 0.17152	 0.20898	-0.25648	  1.1987	-0.216624	 -0.0547	
      17	  13.261	0.046370	  1.1720	 -0.0470	  1.1514	-0.223712	9.999E+5	   0.074	  390.01	   25.60	   0.000	-0.30756	-0.36255	-0.35666	-0.34805	-0.33962	-0.33235	-0.32593	-0.32055	-0.31555	-0.30773	-0.31575	-0.35231	-0.44496	-0.61301	-0.79280	-0.95558	-1.10446	-1.22620	-1.32609	-1.41960	-1.50011	-1.57707	-1.65871	-1.75142	-1.81518	-1.86171	-1.95145	-2.09267	-2.27599	-2.33233	-2.54393	-2.77290	-2.92221	-3.11800	-3.40036	-3.61289	-3.78926	-3.75443	-3.16724	-2.87566	-2.88055	 0.09273	 0.74320	 0.98487	 0.98144	 0.90472	 0.79825	 0.68675	 0.58750	 0.49168	 0.39265	 0.30727	 0.22523	 0.15640	 0.09957	 0.07428	 0.07215	 0.07503	 0.09629	 0.12628	 0.15265	 0.16537	-0.30022	  1.1532	-0.224327	 -0.0476	
      18	  14.246	0.057981	  1.1654	 -0.0482	  1.1438	-0.230581	9.981E+5	   0.074	  388.58	   25.55	   0.000	-0.35029	-0.40688	-0.40334	-0.39378	-0.38352	-0.37427	-0.36536	-0.35725	-0.34996	-0.33910	-0.33788	-0.34787	-0.37236	-0.46099	-0.61860	-0.79727	-0.97243	-1.11592	-1.23715	-1.34639	-1.44101	-1.53055	-1.62305	-1.72735	-1.80132	-1.85897	-1.96113	-2.11462	-2.31965	-2.38562	-2.39642	-2.94745	-3.08459	-3.24841	-3.53405	-3.78657	-4.00513	-4.01056	-3.43579	-3.15928	-3.16122	-0.02988	 0.68463	 0.97093	 0.98885	 0.92299	 0.82246	 0.71330	 0.61378	 0.51738	 0.41676	 0.32891	 0.24411	 0.17215	 0.11147	 0.08182	 0.07671	 0.07525	 0.09293	 0.11903	 0.14326	 0.14546	-0.33451	  1.1459	-0.231619	 -0.0487	
      19	  15.250	0.071703	  1.1705	 -0.0503	  1.1482	-0.238706	9.962E+5	   0.074	  387.10	   25.50	   0.000	-0.39008	-0.44061	-0.43683	-0.42630	-0.41486	-0.40510	-0.39583	-0.38803	-0.38055	-0.36974	-0.36681	-0.37237	-0.37852	-0.41539	-0.51195	-0.67037	-0.85731	-1.01865	-1.15820	-1.28090	-1.38890	-1.49011	-1.59299	-1.70845	-1.79218	-1.86027	-1.97363	-2.13822	-2.35832	-2.45148	-2.48622	-2.76319	-3.28757	-3.41583	-3.68437	-3.97483	-4.24143	-4.28977	-3.73024	-3.47023	-3.46280	-0.16861	 0.61707	 0.95234	 0.99457	 0.94123	 0.84727	 0.74076	 0.64245	 0.54554	 0.44362	 0.35320	 0.26603	 0.19108	 0.12653	 0.09308	 0.08436	 0.07838	 0.09241	 0.11483	 0.13686	 0.12959	-0.36578	  1.1505	-0.240129	 -0.0508	
