   Runnr	Alpha-pr	Cd-press	Cl-press	Cm-press	Cn-press	Ct-press	Re-press	 M-press	 Q-press	 V-press	    Flap	 Cpu_001	 Cpu_002	 Cpu_003	 Cpu_004	 Cpu_005	 Cpu_006	 Cpu_007	 Cpu_008	 Cpu_009	 Cpu_010	 Cpu_011	 Cpu_012	 Cpu_013	 Cpu_014	 Cpu_015	 Cpu_016	 Cpu_017	 Cpu_018	 Cpu_019	 Cpu_020	 Cpu_021	 Cpu_022	 Cpu_023	 Cpu_024	 Cpu_025	 Cpu_026	 Cpu_027	 Cpu_028	 Cpu_029	 Cpu_030	 Cpu_031	 Cpu_032	 Cpu_033	 Cpu_034	 Cpu_035	 Cpu_036	 Cpu_037	 Cpu_038	 Cpu_039	 Cpu_040	 Cpl_001	 Cpl_002	 Cpl_003	 Cpl_004	 Cpl_005	 Cpl_006	 Cpl_007	 Cpl_008	 Cpl_009	 Cpl_010	 Cpl_011	 Cpl_012	 Cpl_013	 Cpl_014	 Cpl_015	 Cpl_016	 Cpl_017	 Cpl_018	 Cpl_019	 Cpl_020	 Cpl_021	 Cpl_022	 Cpl_023	Cn-p-cor	Ct-p-cor	Cm-p-cor
       /	 degrees	       /	       /	       /	       /	       /	       /	       /	      Pa	     m/s	 degrees	  100.00	   94.76	   89.84	   84.97	   80.44	   75.81	   71.34	   67.21	   63.02	   59.06	   55.22	   51.47	   47.87	   44.31	   40.97	   37.84	   34.73	   31.83	   28.95	   26.24	   23.77	   21.21	   19.02	   16.69	   14.78	   12.88	   11.12	    9.52	    7.96	    6.55	    5.35	    4.20	    3.24	    2.37	    1.63	    1.03	    0.58	    0.26	    0.02	    0.00	    0.00	    0.51	    1.21	    2.24	    3.62	    5.34	    7.43	    9.84	   12.66	   15.80	   19.37	   23.34	   27.72	   32.33	   37.52	   42.99	   48.39	   54.79	   61.58	   68.55	   75.87	   92.00	  100.00	       /	       /	       /
       1	   0.005	0.007598	  0.2580	 -0.0669	  0.2580	0.007577	3.000E+6	   0.232	 3781.84	   81.01	   0.000	 0.16966	 0.10059	 0.04196	-0.02165	-0.08916	-0.16156	-0.23906	-0.31463	-0.39079	-0.46395	-0.53440	-0.60865	-0.66782	-0.71368	-0.75525	-0.79427	-0.80895	-0.80926	-0.79097	-0.78305	-0.75689	-0.73065	-0.69435	-0.65932	-0.60973	-0.55560	-0.49860	-0.47965	-0.45286	-0.36614	-0.25904	-0.17747	-0.08552	 0.03874	 0.18615	 0.38018	 0.59715	 0.81170	 0.96900	 0.99923	 1.00000	 0.47728	 0.13306	-0.10305	-0.20020	-0.24799	-0.29801	-0.35325	-0.35675	-0.39015	-0.41253	-0.42267	-0.44551	-0.43455	-0.40890	-0.34784	-0.27502	-0.17280	-0.08410	 0.00723	 0.10458	 0.23907	 0.16905	  0.2578	0.007627	 -0.0669	
       2	   2.056	0.008753	  0.4825	 -0.0677	  0.4825	-0.008565	2.994E+6	   0.231	 3772.88	   80.94	   0.000	 0.14941	 0.09091	 0.03226	-0.03334	-0.10428	-0.18268	-0.26711	-0.35071	-0.43646	-0.51952	-0.60097	-0.68669	-0.75852	-0.81753	-0.87258	-0.92481	-0.95267	-0.96538	-0.96005	-0.96517	-0.95074	-0.93905	-0.91514	-0.89648	-0.85869	-0.81884	-0.77654	-0.78155	-0.78249	-0.70958	-0.62185	-0.57788	-0.51142	-0.41461	-0.29729	-0.11280	 0.12407	 0.40642	 0.72431	 0.88291	 0.88373	 0.84905	 0.56784	 0.31862	 0.16511	 0.06900	-0.02609	-0.10348	-0.13903	-0.19334	-0.23507	-0.26442	-0.30327	-0.30927	-0.30068	-0.25701	-0.19966	-0.11378	-0.03823	 0.04097	 0.13005	 0.25055	 0.14821	  0.4822	-0.008424	 -0.0678	
       3	   4.110	0.009913	  0.6949	 -0.0664	  0.6938	-0.039920	3.004E+6	   0.233	 3812.73	   81.43	   0.000	 0.11432	 0.07195	 0.02086	-0.04043	-0.11018	-0.19163	-0.28174	-0.37304	-0.46851	-0.56213	-0.65503	-0.75251	-0.83770	-0.91087	-0.97991	-1.04608	-1.08844	-1.11471	-1.12358	-1.14330	-1.14205	-1.14671	-1.13712	-1.13660	-1.11332	-1.09050	-1.06713	-1.09842	-1.13189	-1.08415	-1.01152	-1.02254	-0.99789	-0.94929	-0.88271	-0.73381	-0.51422	-0.21062	 0.24239	 0.48795	 0.48864	 0.99623	 0.84624	 0.63297	 0.45859	 0.33275	 0.21501	 0.11400	 0.05689	-0.01489	-0.07209	-0.11752	-0.16999	-0.19100	-0.19769	-0.17011	-0.12705	-0.05703	 0.00598	 0.07350	 0.15316	 0.25601	 0.11179	  0.6934	-0.039609	 -0.0666	
       4	   6.163	0.012698	  0.8727	 -0.0618	  0.8690	-0.081065	2.998E+6	   0.232	 3801.24	   81.33	   0.000	 0.05181	 0.02470	-0.00796	-0.05011	-0.10425	-0.17750	-0.26716	-0.36412	-0.46928	-0.57407	-0.67898	-0.78894	-0.88786	-0.97573	-1.05903	-1.13943	-1.19654	-1.23708	-1.26098	-1.29575	-1.30855	-1.33061	-1.33630	-1.35520	-1.34803	-1.34321	-1.34093	-1.40039	-1.46711	-1.44796	-1.40475	-1.44513	-1.49072	-1.50581	-1.51036	-1.42253	-1.25135	-0.96422	-0.40831	-0.11319	-0.11318	 0.96758	 0.97650	 0.83398	 0.66978	 0.53441	 0.40666	 0.29374	 0.21652	 0.13483	 0.06595	 0.00804	-0.05529	-0.08906	-0.10888	-0.09539	-0.06517	-0.00955	 0.04160	 0.09833	 0.16845	 0.25090	 0.04874	  0.8687	-0.080610	 -0.0620	
       5	   8.212	0.017923	  0.9930	 -0.0528	  0.9854	-0.124101	2.990E+6	   0.232	 3785.06	   81.17	   0.000	-0.06041	-0.08962	-0.10081	-0.11467	-0.13209	-0.16119	-0.20915	-0.28380	-0.38724	-0.50353	-0.62435	-0.75058	-0.86781	-0.97448	-1.07519	-1.17169	-1.24610	-1.30285	-1.34415	-1.39521	-1.42381	-1.46407	-1.48641	-1.52556	-1.53588	-1.55050	-1.57057	-1.65740	-1.75825	-1.76949	-1.75709	-1.84798	-1.92986	-2.03176	-2.11923	-2.10614	-2.00688	-1.76454	-1.13535	-0.82129	-0.82168	 0.83134	 0.99855	 0.94404	 0.81037	 0.67979	 0.55057	 0.43215	 0.34137	 0.25355	 0.17524	 0.10703	 0.03428	-0.01030	-0.04221	-0.04139	-0.02300	 0.01983	 0.05965	 0.10537	 0.16646	 0.22380	-0.07865	  0.9851	-0.123668	 -0.0530	
       6	  10.228	0.033572	  1.0889	 -0.0539	  1.0775	-0.160306	2.979E+6	   0.231	 3760.68	   80.93	   0.000	-0.16332	-0.22178	-0.22785	-0.23496	-0.24376	-0.25213	-0.26301	-0.28491	-0.32803	-0.40429	-0.51337	-0.64592	-0.78281	-0.91270	-1.03460	-1.14918	-1.24259	-1.31666	-1.37641	-1.44407	-1.48847	-1.54664	-1.58536	-1.64373	-1.67171	-1.70504	-1.74728	-1.85855	-1.99059	-2.03270	-2.05204	-2.18244	-2.32159	-2.47416	-2.66334	-2.72909	-2.71113	-2.53095	-1.85795	-1.54349	-1.54425	 0.63338	 0.95705	 0.99085	 0.89797	 0.78061	 0.65581	 0.53661	 0.43951	 0.34348	 0.25564	 0.18149	 0.10521	 0.05192	 0.01060	 0.00087	 0.00911	 0.04169	 0.07163	 0.10854	 0.16231	 0.19950	-0.20343	  1.0776	-0.160165	 -0.0542	
       7	  12.226	0.049297	  1.0821	 -0.0532	  1.0680	-0.180981	2.958E+6	   0.230	 3714.03	   80.47	   0.000	-0.28370	-0.36986	-0.38690	-0.38917	-0.38672	-0.38480	-0.37949	-0.37302	-0.36604	-0.36445	-0.36980	-0.38691	-0.42920	-0.51861	-0.66400	-0.83392	-0.99247	-1.12015	-1.22758	-1.33122	-1.40675	-1.49405	-1.55805	-1.64199	-1.69258	-1.74888	-1.81558	-1.95005	-2.11026	-2.18352	-2.23710	-2.40743	-2.58221	-2.78046	-3.06960	-3.21034	-3.27254	-3.16038	-2.47314	-2.17174	-2.17278	 0.42555	 0.88439	 0.99994	 0.94812	 0.84725	 0.72971	 0.61228	 0.51209	 0.41202	 0.31846	 0.23594	 0.15453	 0.08909	 0.03811	 0.01789	 0.01771	 0.04007	 0.06734	 0.09620	 0.14310	 0.15357	-0.33143	  1.0684	-0.181613	 -0.0534	
       8	  15.247	0.091643	  1.1533	 -0.0625	  1.1368	-0.214892	2.935E+6	   0.228	 3661.68	   79.94	   0.000	-0.39523	-0.48057	-0.50010	-0.50329	-0.49928	-0.49516	-0.48777	-0.47762	-0.46525	-0.45622	-0.44961	-0.44699	-0.45291	-0.47543	-0.52736	-0.61997	-0.75569	-0.90306	-1.05158	-1.19409	-1.30612	-1.42924	-1.52480	-1.64132	-1.72298	-1.81073	-1.91255	-2.07852	-2.27878	-2.39866	-2.50491	-2.73788	-2.98093	-3.25463	-3.62876	-3.94741	-4.14062	-4.15510	-3.46484	-3.20860	-3.20986	 0.03207	 0.71339	 0.97399	 0.99124	 0.92423	 0.82373	 0.71388	 0.61299	 0.51057	 0.41212	 0.32193	 0.23256	 0.15720	 0.09433	 0.06133	 0.04948	 0.05224	 0.07071	 0.09136	 0.11938	 0.11966	-0.44387	  1.1383	-0.216492	 -0.0628	
       9	  14.235	0.076557	  1.1302	 -0.0590	  1.1143	-0.203704	2.979E+6	   0.232	 3783.42	   81.29	   0.000	-0.35150	-0.44612	-0.46867	-0.47231	-0.46773	-0.46344	-0.45626	-0.44645	-0.43449	-0.42620	-0.42150	-0.42304	-0.43540	-0.47088	-0.54432	-0.66680	-0.82387	-0.97510	-1.11495	-1.24594	-1.34616	-1.45761	-1.54276	-1.64858	-1.71977	-1.79726	-1.88722	-2.04333	-2.23084	-2.33519	-2.42365	-2.63643	-2.85547	-3.10653	-3.45590	-3.70911	-3.85753	-3.82571	-3.13417	-2.85520	-2.85608	 0.17303	 0.77760	 0.98806	 0.98106	 0.90186	 0.79507	 0.68223	 0.58111	 0.47910	 0.38202	 0.29394	 0.20715	 0.13477	 0.07549	 0.04654	 0.03855	 0.04571	 0.06802	 0.09200	 0.12357	 0.13152	-0.40946	  1.1153	-0.204962	 -0.0593	
