   Runnr	Alpha-pr	Cd-press	Cl-press	Cm-press	Cn-press	Ct-press	Re-press	 M-press	 Q-press	 V-press	    Flap	 Cpu_001	 Cpu_002	 Cpu_003	 Cpu_004	 Cpu_005	 Cpu_006	 Cpu_007	 Cpu_008	 Cpu_009	 Cpu_010	 Cpu_011	 Cpu_012	 Cpu_013	 Cpu_014	 Cpu_015	 Cpu_016	 Cpu_017	 Cpu_018	 Cpu_019	 Cpu_020	 Cpu_021	 Cpu_022	 Cpu_023	 Cpu_024	 Cpu_025	 Cpu_026	 Cpu_027	 Cpu_028	 Cpu_029	 Cpu_030	 Cpu_031	 Cpu_032	 Cpu_033	 Cpu_034	 Cpu_035	 Cpu_036	 Cpu_037	 Cpu_038	 Cpu_039	 Cpu_040	 Cpl_001	 Cpl_002	 Cpl_003	 Cpl_004	 Cpl_005	 Cpl_006	 Cpl_007	 Cpl_008	 Cpl_009	 Cpl_010	 Cpl_011	 Cpl_012	 Cpl_013	 Cpl_014	 Cpl_015	 Cpl_016	 Cpl_017	 Cpl_018	 Cpl_019	 Cpl_020	 Cpl_021	 Cpl_022	 Cpl_023	Cn-p-cor	Ct-p-cor	Cm-p-cor
      10	  16.233	0.101550	  1.0993	 -0.0579	  1.0839	-0.209807	2.962E+6	   0.237	 3902.14	   83.64	   0.000	-0.47232	-0.50343	-0.50304	-0.49784	-0.49007	-0.48260	-0.47463	-0.46798	-0.46105	-0.45499	-0.45196	-0.44841	-0.45079	-0.45881	-0.47809	-0.51689	-0.59396	-0.70773	-0.85233	-1.00463	-1.13481	-1.27699	-1.38824	-1.52010	-1.61937	-1.72207	-1.84300	-2.00640	-2.19916	-2.34341	-2.49861	-2.79514	-3.02963	-3.28036	-3.62955	-3.95707	-4.18018	-4.21874	-3.56519	-3.28255	-3.28412	-0.01412	 0.69348	 0.96893	 0.99462	 0.93198	 0.83487	 0.72556	 0.62548	 0.52244	 0.42183	 0.32958	 0.23788	 0.15962	 0.09384	 0.05661	 0.04146	 0.04069	 0.05565	 0.07251	 0.09850	 0.08918	-0.43386	  1.0855	-0.211802	 -0.0582	
      11	   9.214	0.025891	  1.0093	 -0.0498	  1.0004	-0.136058	2.997E+6	   0.240	 3996.89	   84.62	   0.000	-0.13515	-0.18092	-0.18554	-0.19408	-0.20322	-0.21342	-0.23222	-0.26551	-0.32608	-0.41588	-0.53073	-0.65944	-0.78856	-0.90904	-1.02131	-1.12749	-1.21211	-1.27813	-1.33129	-1.39015	-1.42778	-1.47679	-1.50781	-1.55565	-1.57502	-1.59766	-1.63120	-1.71984	-1.82480	-1.85443	-1.87211	-2.04473	-2.12359	-2.19807	-2.34161	-2.34939	-2.27610	-2.05358	-1.40637	-1.07245	-1.07245	 0.76797	 0.99153	 0.96476	 0.84196	 0.72030	 0.59202	 0.47147	 0.38009	 0.28710	 0.20430	 0.13222	 0.05584	 0.00643	-0.02942	-0.03466	-0.02092	 0.01730	 0.05242	 0.09359	 0.15050	 0.19567	-0.17303	  1.0002	-0.135831	 -0.0500	
      12	   7.178	0.014901	  0.9090	 -0.0537	  0.9037	-0.098797	3.004E+6	   0.240	 4016.81	   84.83	   0.000	-0.03137	-0.05761	-0.07236	-0.09083	-0.11499	-0.15305	-0.21414	-0.29883	-0.40559	-0.51709	-0.63212	-0.74996	-0.86001	-0.95868	-1.05090	-1.13934	-1.20488	-1.25313	-1.28740	-1.32922	-1.35017	-1.38059	-1.39480	-1.42216	-1.42358	-1.42708	-1.43748	-1.50153	-1.57639	-1.57429	-1.55477	-1.67650	-1.71160	-1.74523	-1.78500	-1.71611	-1.56902	-1.29434	-0.70127	-0.38358	-0.38320	 0.92481	 0.99586	 0.88338	 0.72548	 0.59838	 0.46881	 0.35226	 0.27086	 0.18257	 0.10773	 0.04477	-0.02272	-0.06198	-0.08707	-0.08054	-0.05582	-0.00574	 0.03996	 0.09110	 0.15627	 0.22428	-0.04147	  0.9033	-0.098391	 -0.0539	
      13	   5.132	0.011026	  0.7691	 -0.0619	  0.7670	-0.057809	3.005E+6	   0.241	 4021.26	   84.87	   0.000	 0.06404	 0.03446	-0.00101	-0.04657	-0.10340	-0.17748	-0.26577	-0.35938	-0.46043	-0.55886	-0.65828	-0.76083	-0.85398	-0.93524	-1.01122	-1.08427	-1.13345	-1.16622	-1.18390	-1.20986	-1.21576	-1.22852	-1.22695	-1.23452	-1.21889	-1.20404	-1.19235	-1.23022	-1.27332	-1.24056	-1.18619	-1.25837	-1.25907	-1.22061	-1.17908	-1.04681	-0.84061	-0.53600	-0.02884	 0.24866	 0.24985	 0.99941	 0.91791	 0.72720	 0.54830	 0.42839	 0.30718	 0.19800	 0.12987	 0.05146	-0.01255	-0.06391	-0.12151	-0.14893	-0.16154	-0.14163	-0.10470	-0.04120	 0.01642	 0.07837	 0.15296	 0.24495	 0.06058	  0.7665	-0.057451	 -0.0620	
      14	   3.074	0.008979	  0.5803	 -0.0657	  0.5800	-0.022150	3.008E+6	   0.241	 4028.89	   84.95	   0.000	 0.12064	 0.07594	 0.02377	-0.03748	-0.10598	-0.18501	-0.27181	-0.35910	-0.45045	-0.53793	-0.62556	-0.71571	-0.79517	-0.86201	-0.92377	-0.98262	-1.01714	-1.03586	-1.03874	-1.04980	-1.04212	-1.03793	-1.02137	-1.01049	-0.97922	-0.94726	-0.91535	-0.92713	-0.93885	-0.87786	-0.79791	-0.82872	-0.77104	-0.68071	-0.57880	-0.40017	-0.16206	 0.13968	 0.52763	 0.73317	 0.73457	 0.94399	 0.71294	 0.46904	 0.29307	 0.19859	 0.09916	 0.00204	-0.04570	-0.10985	-0.16041	-0.19751	-0.24285	-0.25642	-0.25481	-0.21991	-0.16958	-0.09129	-0.02147	 0.05187	 0.13570	 0.24690	 0.11909	  0.5795	-0.021945	 -0.0658	
      15	   1.027	0.007614	  0.3668	 -0.0664	  0.3669	0.001040	3.003E+6	   0.240	 4014.74	   84.80	   0.000	 0.15381	 0.09354	 0.03552	-0.02875	-0.09738	-0.17271	-0.25360	-0.33327	-0.41514	-0.49238	-0.56887	-0.64745	-0.71393	-0.76710	-0.81550	-0.86061	-0.88121	-0.88705	-0.87643	-0.87381	-0.85395	-0.83415	-0.80443	-0.77682	-0.73197	-0.68494	-0.63581	-0.62334	-0.60770	-0.52488	-0.43443	-0.40458	-0.31584	-0.18986	-0.04921	 0.15014	 0.38515	 0.64142	 0.88138	 0.97797	 0.97955	 0.68486	 0.35667	 0.09921	-0.04047	-0.08664	-0.15262	-0.22856	-0.24994	-0.29438	-0.32769	-0.34748	-0.37796	-0.37571	-0.35798	-0.30649	-0.24146	-0.14760	-0.06481	 0.02015	 0.11244	 0.23877	 0.15305	  0.3666	0.001118	 -0.0665	
      16	  -0.013	0.007003	  0.2547	 -0.0660	  0.2547	0.007062	3.003E+6	   0.240	 4015.52	   84.81	   0.000	 0.16439	 0.09839	 0.04028	-0.02303	-0.09001	-0.16238	-0.23975	-0.31539	-0.39241	-0.46480	-0.53567	-0.60856	-0.66879	-0.71548	-0.75723	-0.79565	-0.80989	-0.80953	-0.79271	-0.78382	-0.75834	-0.73132	-0.69567	-0.66072	-0.60995	-0.55615	-0.49948	-0.47676	-0.44897	-0.35812	-0.25912	-0.20864	-0.10907	 0.02782	 0.17962	 0.37824	 0.59741	 0.81339	 0.97064	 0.99869	 1.00000	 0.47084	 0.11781	-0.12736	-0.23649	-0.24795	-0.29345	-0.35592	-0.36113	-0.39393	-0.41720	-0.42708	-0.44920	-0.43818	-0.41171	-0.35143	-0.27869	-0.17674	-0.08733	 0.00368	 0.09961	 0.23178	 0.16386	  0.2545	0.007109	 -0.0661	
      17	  -2.058	0.006404	  0.0262	 -0.0644	  0.0260	0.007342	3.004E+6	   0.240	 4018.40	   84.85	   0.000	 0.17764	 0.10504	 0.05021	-0.00888	-0.07110	-0.13671	-0.20663	-0.27406	-0.34163	-0.40407	-0.46498	-0.52585	-0.57406	-0.60833	-0.63767	-0.66348	-0.66568	-0.65414	-0.62589	-0.60518	-0.56990	-0.52997	-0.48412	-0.43600	-0.37577	-0.30994	-0.24225	-0.20158	-0.15180	-0.05100	 0.06306	 0.14093	 0.25464	 0.40041	 0.55466	 0.72877	 0.88806	 0.98871	 0.98040	 0.84594	 0.84720	-0.12811	-0.48015	-0.66191	-0.68180	-0.60987	-0.60218	-0.62992	-0.59839	-0.60357	-0.60424	-0.59214	-0.59531	-0.56550	-0.52018	-0.44127	-0.35248	-0.23390	-0.13128	-0.02905	 0.07339	 0.21372	 0.17664	  0.0260	0.007404	 -0.0644	
      18	  -4.119	0.006427	 -0.1998	 -0.0621	 -0.1997	-0.007940	3.001E+6	   0.240	 4013.31	   84.80	   0.000	 0.17887	 0.10816	 0.05976	 0.00674	-0.04947	-0.10773	-0.16995	-0.22920	-0.28759	-0.34123	-0.39137	-0.44146	-0.47833	-0.50113	-0.51920	-0.53377	-0.52494	-0.50342	-0.46560	-0.43498	-0.39147	-0.34070	-0.28691	-0.22834	-0.16087	-0.08756	-0.01105	 0.04306	 0.10731	 0.21550	 0.33298	 0.42624	 0.54136	 0.67793	 0.81019	 0.93221	 0.99760	 0.96596	 0.76345	 0.40783	 0.40883	-0.93961	-1.22268	-1.28606	-1.17219	-1.01397	-0.93693	-0.92104	-0.84763	-0.82067	-0.79553	-0.75900	-0.74062	-0.69038	-0.62480	-0.52648	-0.42107	-0.28602	-0.17026	-0.05817	 0.04756	 0.18801	 0.17879	 -0.1996	-0.007762	 -0.0621	
      19	  -6.169	0.007279	 -0.4207	 -0.0603	 -0.4191	-0.037975	2.998E+6	   0.240	 4006.55	   84.74	   0.000	 0.16624	 0.10610	 0.06688	 0.02126	-0.02820	-0.07858	-0.13283	-0.18384	-0.23319	-0.27741	-0.31794	-0.35758	-0.38380	-0.39604	-0.40402	-0.40741	-0.38906	-0.35885	-0.31259	-0.27388	-0.22276	-0.16366	-0.10395	-0.03753	 0.03548	 0.11430	 0.19490	 0.25835	 0.33284	 0.44241	 0.55501	 0.65165	 0.75612	 0.86718	 0.95624	 0.99886	 0.95200	 0.74950	 0.31395	-0.30250	-0.30230	-1.95525	-2.10120	-2.00074	-1.71896	-1.45781	-1.29692	-1.22745	-1.10639	-1.04231	-0.98782	-0.92407	-0.88146	-0.80876	-0.72101	-0.60203	-0.47933	-0.32782	-0.19974	-0.08074	 0.02249	 0.15325	 0.16672	 -0.4188	-0.037612	 -0.0602	
