   Runnr	Alpha-pr	Cd-press	Cl-press	Cm-press	Cn-press	Ct-press	Re-press	 M-press	 Q-press	 V-press	    Flap	 Cpu_001	 Cpu_002	 Cpu_003	 Cpu_004	 Cpu_005	 Cpu_006	 Cpu_007	 Cpu_008	 Cpu_009	 Cpu_010	 Cpu_011	 Cpu_012	 Cpu_013	 Cpu_014	 Cpu_015	 Cpu_016	 Cpu_017	 Cpu_018	 Cpu_019	 Cpu_020	 Cpu_021	 Cpu_022	 Cpu_023	 Cpu_024	 Cpu_025	 Cpu_026	 Cpu_027	 Cpu_028	 Cpu_029	 Cpu_030	 Cpu_031	 Cpu_032	 Cpu_033	 Cpu_034	 Cpu_035	 Cpu_036	 Cpu_037	 Cpu_038	 Cpu_039	 Cpu_040	 Cpl_001	 Cpl_002	 Cpl_003	 Cpl_004	 Cpl_005	 Cpl_006	 Cpl_007	 Cpl_008	 Cpl_009	 Cpl_010	 Cpl_011	 Cpl_012	 Cpl_013	 Cpl_014	 Cpl_015	 Cpl_016	 Cpl_017	 Cpl_018	 Cpl_019	 Cpl_020	 Cpl_021	 Cpl_022	 Cpl_023	Cn-p-cor	Ct-p-cor	Cm-p-cor
      10	  16.239	0.098957	  1.1140	 -0.0551	  1.0972	-0.216512	2.944E+6	   0.236	 3863.79	   83.28	   0.000	-0.46834	-0.49804	-0.49751	-0.49172	-0.48389	-0.47706	-0.46986	-0.46354	-0.45642	-0.45154	-0.44928	-0.44739	-0.45110	-0.46144	-0.48543	-0.53285	-0.62187	-0.74713	-0.89590	-1.04686	-1.17426	-1.31457	-1.42529	-1.55368	-1.65012	-1.75198	-1.87002	-2.04161	-2.25032	-2.40002	-2.55527	-2.79611	-3.02732	-3.31650	-3.78220	-4.03988	-4.25561	-4.29769	-3.61057	-3.33798	-3.34102	-0.04518	 0.67754	 0.96399	 0.99680	 0.93447	 0.83652	 0.72336	 0.61925	 0.51929	 0.43140	 0.33880	 0.24224	 0.16620	 0.10054	 0.06419	 0.04769	 0.05356	 0.05794	 0.07072	 0.10072	 0.07022	-0.43449	  1.0988	-0.218455	 -0.0554	
      11	  17.223	0.124190	  1.0965	 -0.0643	  1.0841	-0.206034	2.928E+6	   0.235	 3823.49	   82.86	   0.000	-0.52244	-0.54949	-0.55044	-0.54601	-0.53896	-0.53226	-0.52481	-0.51790	-0.50952	-0.50305	-0.49910	-0.49468	-0.49422	-0.49705	-0.50750	-0.52691	-0.56617	-0.63290	-0.73954	-0.87577	-1.00937	-1.16307	-1.28904	-1.43137	-1.54188	-1.65743	-1.78731	-1.96626	-2.17889	-2.34172	-2.51056	-2.76295	-3.00128	-3.28254	-3.79002	-4.06803	-4.31563	-4.38201	-3.71325	-3.45572	-3.45894	-0.11224	 0.64403	 0.95308	 0.99835	 0.94305	 0.84909	 0.73796	 0.63405	 0.53347	 0.44394	 0.34965	 0.25093	 0.17236	 0.10393	 0.06428	 0.04468	 0.04718	 0.04821	 0.05769	 0.08499	 0.04592	-0.48165	  1.0863	-0.208358	 -0.0647	cpt_wake < 0; 
      12	  13.231	0.055292	  1.0739	 -0.0454	  1.0580	-0.191958	2.965E+6	   0.238	 3926.69	   83.95	   0.000	-0.35419	-0.39511	-0.39482	-0.38963	-0.38324	-0.37809	-0.37264	-0.36776	-0.36264	-0.36151	-0.36509	-0.37475	-0.40360	-0.46960	-0.58867	-0.74124	-0.89721	-1.03362	-1.15540	-1.26973	-1.35700	-1.45660	-1.53198	-1.62369	-1.68643	-1.75207	-1.83415	-1.97565	-2.14914	-2.25018	-2.34932	-2.53258	-2.68317	-3.03605	-3.26112	-3.41915	-3.50784	-3.42548	-2.72581	-2.40913	-2.41130	 0.32720	 0.84576	 0.99810	 0.96564	 0.86857	 0.75325	 0.63120	 0.52706	 0.42947	 0.34857	 0.26240	 0.17247	 0.10590	 0.05098	 0.02610	 0.02070	 0.03949	 0.05520	 0.07925	 0.11900	 0.11369	-0.34064	  1.0584	-0.192866	 -0.0456	
      13	  11.233	0.040996	  1.0715	 -0.0499	  1.0590	-0.168513	2.980E+6	   0.239	 3969.39	   84.41	   0.000	-0.25537	-0.31252	-0.31549	-0.31589	-0.31782	-0.31903	-0.32001	-0.32266	-0.32887	-0.34662	-0.38661	-0.46282	-0.58573	-0.73245	-0.87938	-1.01637	-1.13141	-1.22523	-1.30474	-1.38543	-1.44298	-1.51404	-1.56463	-1.63140	-1.67098	-1.71328	-1.77003	-1.88933	-2.03477	-2.10269	-2.16309	-2.29814	-2.50621	-2.68202	-2.85125	-2.93736	-2.94294	-2.78613	-2.09684	-1.76793	-1.76946	 0.55158	 0.93151	 0.99755	 0.92325	 0.80597	 0.68153	 0.55623	 0.45426	 0.36109	 0.28610	 0.20561	 0.12170	 0.06284	 0.01696	 0.00155	 0.00429	 0.03236	 0.05723	 0.09033	 0.13819	 0.15623	-0.27607	  1.0590	-0.168750	 -0.0501	
      14	   9.208	0.024325	  1.0104	 -0.0489	  1.0013	-0.137682	2.990E+6	   0.240	 3997.76	   84.72	   0.000	-0.13118	-0.17307	-0.17531	-0.18212	-0.19211	-0.20346	-0.22510	-0.26177	-0.32477	-0.41954	-0.53858	-0.67032	-0.79902	-0.91764	-1.02877	-1.13520	-1.21834	-1.28498	-1.33751	-1.39581	-1.43212	-1.48177	-1.51212	-1.55807	-1.57736	-1.59942	-1.63146	-1.72805	-1.84218	-1.87720	-1.89391	-2.00631	-2.14652	-2.24778	-2.35024	-2.35845	-2.28181	-2.05829	-1.40282	-1.07340	-1.07425	 0.76019	 0.98940	 0.96813	 0.85173	 0.71646	 0.58552	 0.45912	 0.36183	 0.27617	 0.20753	 0.13415	 0.05719	 0.00693	-0.02930	-0.03413	-0.02117	 0.01729	 0.05161	 0.09420	 0.15058	 0.19436	-0.15638	  1.0011	-0.137448	 -0.0491	
      15	   7.174	0.014401	  0.9078	 -0.0537	  0.9025	-0.099087	2.997E+6	   0.240	 4016.68	   84.92	   0.000	-0.02899	-0.05494	-0.07032	-0.09038	-0.11844	-0.15824	-0.21668	-0.30068	-0.40671	-0.51841	-0.63342	-0.75147	-0.86102	-0.95868	-1.05062	-1.13979	-1.20447	-1.25392	-1.28805	-1.32960	-1.34959	-1.38079	-1.39433	-1.42067	-1.42172	-1.42503	-1.43393	-1.50563	-1.58624	-1.58854	-1.56906	-1.67107	-1.71910	-1.75586	-1.78322	-1.71629	-1.56645	-1.29109	-0.69490	-0.38115	-0.38143	 0.92074	 0.99633	 0.88916	 0.73870	 0.59071	 0.45829	 0.33463	 0.24593	 0.16960	 0.11091	 0.04647	-0.02180	-0.06204	-0.08759	-0.08064	-0.05689	-0.00658	 0.03822	 0.09055	 0.15518	 0.22160	-0.03787	  0.9021	-0.098692	 -0.0539	
      16	   5.124	0.010483	  0.7663	 -0.0615	  0.7642	-0.058005	3.001E+6	   0.241	 4030.01	   85.06	   0.000	 0.06458	 0.03410	-0.00166	-0.04658	-0.10271	-0.17661	-0.26517	-0.35905	-0.45930	-0.55810	-0.65770	-0.76074	-0.85362	-0.93433	-1.01000	-1.08399	-1.13235	-1.16645	-1.18409	-1.20988	-1.21497	-1.22824	-1.22617	-1.23321	-1.21722	-1.20201	-1.18895	-1.23378	-1.28028	-1.25341	-1.20061	-1.24915	-1.24727	-1.22248	-1.17769	-1.04577	-0.83803	-0.53360	-0.02610	 0.24874	 0.24941	 0.99844	 0.92260	 0.73718	 0.56793	 0.41688	 0.29029	 0.17490	 0.10530	 0.03691	-0.00872	-0.06162	-0.11998	-0.14851	-0.16156	-0.14138	-0.10546	-0.04181	 0.01474	 0.07771	 0.15150	 0.24056	 0.06084	  0.7637	-0.057656	 -0.0616	
      17	   3.081	0.008586	  0.5790	 -0.0653	  0.5787	-0.022547	3.004E+6	   0.241	 4037.69	   85.14	   0.000	 0.12034	 0.07575	 0.02388	-0.03725	-0.10587	-0.18504	-0.27208	-0.35954	-0.45008	-0.53792	-0.62590	-0.71664	-0.79589	-0.86210	-0.92376	-0.98363	-1.01742	-1.03746	-1.04039	-1.05140	-1.04285	-1.03937	-1.02280	-1.01137	-0.97999	-0.94743	-0.91462	-0.93255	-0.94763	-0.89003	-0.82837	-0.80909	-0.76305	-0.68577	-0.58141	-0.40321	-0.16458	 0.13660	 0.52441	 0.72950	 0.73049	 0.94830	 0.72536	 0.48661	 0.32347	 0.18400	 0.07336	-0.02568	-0.07295	-0.12556	-0.15491	-0.19375	-0.23966	-0.25462	-0.25358	-0.21850	-0.16935	-0.09100	-0.02248	 0.05161	 0.13437	 0.24167	 0.11895	  0.5782	-0.022347	 -0.0654	
      18	   1.019	0.007413	  0.3652	 -0.0663	  0.3653	0.000914	3.005E+6	   0.241	 4043.07	   85.21	   0.000	 0.15301	 0.09300	 0.03508	-0.02914	-0.09794	-0.17332	-0.25441	-0.33412	-0.41516	-0.49264	-0.56951	-0.64852	-0.71489	-0.76745	-0.81557	-0.86166	-0.88166	-0.88860	-0.87793	-0.87515	-0.85432	-0.83521	-0.80568	-0.77756	-0.73255	-0.68438	-0.63537	-0.62848	-0.61392	-0.53599	-0.44680	-0.38859	-0.30798	-0.19271	-0.04968	 0.14900	 0.38429	 0.63938	 0.87920	 0.97710	 0.97832	 0.69621	 0.37724	 0.12446	 0.00013	-0.10845	-0.19033	-0.26287	-0.28224	-0.31321	-0.32188	-0.34330	-0.37409	-0.37338	-0.35603	-0.30435	-0.24056	-0.14653	-0.06528	 0.02030	 0.11146	 0.23315	 0.15251	  0.3650	0.000989	 -0.0664	
      19	  -1.031	0.006683	  0.1455	 -0.0655	  0.1453	0.009300	3.005E+6	   0.241	 4045.10	   85.23	   0.000	 0.16987	 0.10035	 0.04354	-0.01801	-0.08299	-0.15228	-0.22631	-0.29804	-0.36966	-0.43745	-0.50366	-0.57165	-0.62582	-0.66585	-0.70130	-0.73463	-0.74226	-0.73757	-0.71503	-0.70005	-0.66871	-0.63595	-0.59550	-0.55328	-0.49724	-0.43686	-0.37507	-0.34677	-0.30883	-0.21726	-0.10899	-0.02324	 0.07904	 0.21405	 0.37228	 0.56242	 0.75785	 0.92421	 0.99965	 0.96581	 0.96689	 0.23449	-0.11550	-0.33406	-0.38681	-0.44549	-0.48571	-0.52134	-0.50958	-0.51375	-0.49857	-0.50012	-0.51340	-0.49534	-0.46048	-0.39140	-0.31235	-0.20237	-0.10847	-0.01164	 0.08616	 0.21822	 0.16993	  0.1452	0.009342	 -0.0656	
      20	  -3.087	0.006844	 -0.0864	 -0.0636	 -0.0867	0.002181	3.004E+6	   0.241	 4044.00	   85.23	   0.000	 0.17629	 0.10466	 0.05307	-0.00302	-0.06244	-0.12446	-0.19070	-0.25401	-0.31615	-0.37401	-0.43017	-0.48611	-0.52836	-0.55617	-0.57942	-0.60052	-0.59636	-0.58071	-0.54743	-0.52124	-0.48062	-0.43581	-0.38598	-0.33175	-0.26764	-0.19689	-0.12545	-0.07980	-0.02383	 0.08094	 0.19683	 0.29804	 0.41122	 0.54843	 0.69652	 0.84777	 0.96470	 0.99836	 0.90467	 0.67322	 0.67393	-0.47310	-0.78692	-0.91693	-0.85964	-0.84380	-0.79556	-0.81932	-0.76333	-0.73491	-0.69135	-0.66922	-0.66163	-0.62356	-0.56878	-0.48046	-0.38489	-0.25807	-0.15098	-0.04351	 0.05937	 0.19703	 0.17645	 -0.0866	0.002296	 -0.0636	
      21	  -5.147	0.007902	 -0.3068	 -0.0615	 -0.3062	-0.019652	3.001E+6	   0.241	 4037.24	   85.17	   0.000	 0.17017	 0.10489	 0.06111	 0.01171	-0.04137	-0.09585	-0.15427	-0.20945	-0.26255	-0.31179	-0.35750	-0.40301	-0.43445	-0.45134	-0.46390	-0.47390	-0.45986	-0.43495	-0.39281	-0.35732	-0.30936	-0.25491	-0.19827	-0.13552	-0.06475	 0.01233	 0.09032	 0.14747	 0.21695	 0.32660	 0.44161	 0.54727	 0.65720	 0.77913	 0.89474	 0.98135	 0.99510	 0.88789	 0.58187	 0.11823	 0.11835	-1.36062	-1.57208	-1.56687	-1.38065	-1.23238	-1.15206	-1.12081	-1.01831	-0.95388	-0.88019	-0.83257	-0.80206	-0.74297	-0.66728	-0.55935	-0.44726	-0.30472	-0.18536	-0.06984	 0.03304	 0.16790	 0.17115	 -0.3060	-0.019382	 -0.0615	
      22	  -7.191	0.010136	 -0.5170	 -0.0599	 -0.5142	-0.054665	2.997E+6	   0.241	 4027.64	   85.08	   0.000	 0.14482	 0.09666	 0.06388	 0.02270	-0.02318	-0.06959	-0.12003	-0.16699	-0.21107	-0.25121	-0.28741	-0.32290	-0.34397	-0.35060	-0.35367	-0.35309	-0.32992	-0.29686	-0.24745	-0.20397	-0.14936	-0.08779	-0.02583	 0.04462	 0.11896	 0.19901	 0.27865	 0.34529	 0.42389	 0.53143	 0.63899	 0.73877	 0.83423	 0.92571	 0.98950	 0.99127	 0.88131	 0.58644	 0.04150	-0.68968	-0.69067	-2.43624	-2.47721	-2.30458	-1.86496	-1.68883	-1.52502	-1.42963	-1.27691	-1.17156	-1.06525	-0.98863	-0.93226	-0.84964	-0.75080	-0.62209	-0.49265	-0.33530	-0.20583	-0.08858	 0.00462	 0.12328	 0.14502	 -0.5140	-0.054202	 -0.0598	
      23	  -9.231	0.015268	 -0.6804	 -0.0593	 -0.6741	-0.094084	2.990E+6	   0.240	 4012.66	   84.94	   0.000	 0.07428	 0.06498	 0.04772	 0.01674	-0.02118	-0.05917	-0.10186	-0.14105	-0.17679	-0.20849	-0.23608	-0.26289	-0.27463	-0.27160	-0.26553	-0.25642	-0.22513	-0.18594	-0.13141	-0.08128	-0.02344	 0.04339	 0.10480	 0.17946	 0.25606	 0.34281	 0.42491	 0.49612	 0.57685	 0.67827	 0.77456	 0.86084	 0.93553	 0.98877	 0.99592	 0.90718	 0.66300	 0.17502	-0.59826	-1.59284	-1.59475	-3.51676	-3.36124	-2.97315	-2.36227	-2.09155	-1.85269	-1.69287	-1.49273	-1.34679	-1.20919	-1.10280	-1.01898	-0.91150	-0.78742	-0.63667	-0.48985	-0.32336	-0.19633	-0.10112	-0.03884	 0.04201	 0.06852	 -0.6739	-0.093543	 -0.0592	
      24	 -11.267	0.030503	 -0.7706	 -0.0518	 -0.7617	-0.120655	2.988E+6	   0.240	 4010.50	   84.93	   0.000	-0.04455	 0.00843	 0.01067	-0.00896	-0.03922	-0.06545	-0.11161	-0.15185	-0.17782	-0.20245	-0.22307	-0.23932	-0.24417	-0.23919	-0.22780	-0.20686	-0.17094	-0.12233	-0.06489	-0.00623	 0.05555	 0.13052	 0.19590	 0.27408	 0.35264	 0.43948	 0.52204	 0.59372	 0.67413	 0.76848	 0.85363	 0.92605	 0.98000	 0.99925	 0.95989	 0.79006	 0.43601	-0.20804	-1.15489	-2.35235	-2.35485	-4.35022	-4.04189	-3.35582	-2.72179	-2.35759	-2.05382	-1.84122	-1.60309	-1.42164	-1.25751	-1.12190	-1.00721	-0.87217	-0.71847	-0.54957	-0.40604	-0.28208	-0.21646	-0.17527	-0.14927	-0.09962	-0.07797	 -0.7617	-0.120362	 -0.0517	
      25	 -12.212	0.058872	 -0.6995	 -0.0259	 -0.6961	-0.090422	2.970E+6	   0.239	 3969.95	   84.55	   0.000	-0.24342	-0.10367	-0.07612	-0.08060	-0.10043	-0.12407	-0.17007	-0.19562	-0.21762	-0.23821	-0.25493	-0.26748	-0.26860	-0.25964	-0.24514	-0.22098	-0.18189	-0.13037	-0.07015	-0.00921	 0.05472	 0.13163	 0.19849	 0.27799	 0.35734	 0.44471	 0.52769	 0.59951	 0.67957	 0.77313	 0.85701	 0.92873	 0.98053	 0.99833	 0.95803	 0.78919	 0.43825	-0.19394	-1.11470	-2.26782	-2.27008	-4.20552	-3.84034	-3.16028	-2.53445	-2.17176	-1.86172	-1.63359	-1.38775	-1.18973	-1.00338	-0.83571	-0.67929	-0.54119	-0.44055	-0.38590	-0.36510	-0.35699	-0.36449	-0.36324	-0.35593	-0.31109	-0.24406	 -0.6963	-0.090638	 -0.0258	Wake not in center of rake!; 
      26	 -13.097	0.179099	 -0.5330	  0.0480	 -0.5597	0.053676	2.928E+6	   0.236	 3857.86	   83.40	   0.000	-0.44919	-0.26114	-0.22183	-0.22114	-0.24044	-0.26151	-0.29297	-0.32118	-0.34658	-0.36902	-0.38734	-0.40529	-0.40745	-0.39359	-0.37766	-0.35898	-0.31748	-0.26843	-0.20246	-0.14441	-0.07787	-0.00449	 0.06297	 0.14156	 0.22138	 0.30906	 0.39369	 0.46424	 0.54444	 0.64588	 0.74258	 0.83019	 0.90778	 0.97164	 1.00000	 0.95941	 0.80182	 0.46605	-0.07766	-0.76287	-0.76338	-1.94307	-1.68223	-1.02686	-0.88585	-0.85331	-0.81747	-0.78466	-0.75701	-0.74163	-0.72930	-0.71499	-0.70126	-0.69448	-0.68961	-0.68763	-0.69050	-0.68696	-0.69931	-0.69254	-0.66791	-0.54818	-0.46582	 -0.5614	0.054247	  0.0483	Wake not in center of rake!; cpt_wake < 0; 
