   Runnr	Alpha-pr	Cd-press	Cl-press	Cm-press	Cn-press	Ct-press	Re-press	 M-press	 Q-press	 V-press	    Flap	 Cpu_001	 Cpu_002	 Cpu_003	 Cpu_004	 Cpu_005	 Cpu_006	 Cpu_007	 Cpu_008	 Cpu_009	 Cpu_010	 Cpu_011	 Cpu_012	 Cpu_013	 Cpu_014	 Cpu_015	 Cpu_016	 Cpu_017	 Cpu_018	 Cpu_019	 Cpu_020	 Cpu_021	 Cpu_022	 Cpu_023	 Cpu_024	 Cpu_025	 Cpu_026	 Cpu_027	 Cpu_028	 Cpu_029	 Cpu_030	 Cpu_031	 Cpu_032	 Cpu_033	 Cpu_034	 Cpu_035	 Cpu_036	 Cpu_037	 Cpu_038	 Cpu_039	 Cpu_040	 Cpl_001	 Cpl_002	 Cpl_003	 Cpl_004	 Cpl_005	 Cpl_006	 Cpl_007	 Cpl_008	 Cpl_009	 Cpl_010	 Cpl_011	 Cpl_012	 Cpl_013	 Cpl_014	 Cpl_015	 Cpl_016	 Cpl_017	 Cpl_018	 Cpl_019	 Cpl_020	 Cpl_021	 Cpl_022	 Cpl_023	Cn-p-cor	Ct-p-cor	Cm-p-cor
      10	  12.226	0.045541	  1.0325	 -0.0443	  1.0187	-0.174140	2.966E+6	   0.237	 3908.98	   83.67	   0.000	-0.31760	-0.36486	-0.36798	-0.36543	-0.36082	-0.35665	-0.35133	-0.34626	-0.34070	-0.33939	-0.34350	-0.35654	-0.39510	-0.48055	-0.62041	-0.78201	-0.93616	-1.06362	-1.17220	-1.27822	-1.35447	-1.44235	-1.50726	-1.59026	-1.64348	-1.70122	-1.76711	-1.89189	-2.03977	-2.12105	-2.20695	-2.42194	-2.57379	-2.73634	-2.97775	-3.12602	-3.15793	-3.04035	-2.35319	-2.03236	-2.03348	 0.47360	 0.90524	 0.99991	 0.93629	 0.83290	 0.71403	 0.59568	 0.49551	 0.39647	 0.30403	 0.22363	 0.13870	 0.07652	 0.02667	 0.00591	 0.00495	 0.02867	 0.04937	 0.07661	 0.12070	 0.12621	-0.31617	  1.0189	-0.174814	 -0.0445	
      11	  13.226	0.055907	  1.0460	 -0.0452	  1.0310	-0.184899	2.957E+6	   0.237	 3888.03	   83.46	   0.000	-0.35224	-0.39843	-0.40229	-0.39890	-0.39263	-0.38709	-0.38052	-0.37401	-0.36649	-0.36294	-0.36356	-0.36895	-0.38928	-0.43548	-0.52829	-0.66787	-0.82689	-0.96998	-1.09773	-1.21971	-1.31054	-1.41250	-1.48926	-1.58450	-1.64903	-1.71871	-1.79748	-1.93248	-2.09338	-2.19123	-2.29715	-2.53018	-2.70547	-2.88313	-3.16134	-3.36152	-3.43448	-3.35711	-2.66882	-2.35609	-2.35733	 0.35902	 0.86059	 0.99921	 0.95730	 0.86261	 0.74810	 0.63145	 0.53040	 0.42974	 0.33317	 0.24818	 0.16362	 0.09662	 0.04426	 0.01985	 0.01534	 0.03494	 0.05041	 0.07332	 0.11417	 0.11188	-0.35127	  1.0314	-0.185884	 -0.0454	
      12	  14.234	0.067759	  1.0621	 -0.0470	  1.0461	-0.195469	2.967E+6	   0.238	 3917.20	   83.79	   0.000	-0.38569	-0.42734	-0.43072	-0.42697	-0.42039	-0.41434	-0.40692	-0.39994	-0.39180	-0.38717	-0.38591	-0.38680	-0.39870	-0.42596	-0.48367	-0.58604	-0.73005	-0.87777	-1.01999	-1.15637	-1.26125	-1.37736	-1.46582	-1.57330	-1.64929	-1.73123	-1.82321	-1.96806	-2.14161	-2.25623	-2.38280	-2.63365	-2.83135	-3.03078	-3.33438	-3.59033	-3.70305	-3.66704	-2.98490	-2.68118	-2.68259	 0.23712	 0.80891	 0.99378	 0.97374	 0.88900	 0.77977	 0.66539	 0.56398	 0.46230	 0.36374	 0.27548	 0.18885	 0.11633	 0.05975	 0.03130	 0.02353	 0.03954	 0.05384	 0.07248	 0.11067	 0.10078	-0.37770	  1.0468	-0.196776	 -0.0472	
      13	  15.238	0.084313	  1.0868	 -0.0519	  1.0707	-0.204276	2.960E+6	   0.237	 3899.55	   83.61	   0.000	-0.43058	-0.46558	-0.46569	-0.46041	-0.45320	-0.44653	-0.43952	-0.43342	-0.42618	-0.42207	-0.42049	-0.41964	-0.42721	-0.44513	-0.48283	-0.55547	-0.67597	-0.81614	-0.96181	-1.10585	-1.22028	-1.34735	-1.44501	-1.56275	-1.64864	-1.74112	-1.84615	-1.99896	-2.18339	-2.31351	-2.45925	-2.72614	-2.94470	-3.16795	-3.49231	-3.79977	-3.95058	-3.95657	-3.28049	-2.99147	-2.99297	 0.11467	 0.75442	 0.98392	 0.98548	 0.91089	 0.80705	 0.69524	 0.59374	 0.49162	 0.39160	 0.30109	 0.21205	 0.13607	 0.07469	 0.04171	 0.03005	 0.03737	 0.05358	 0.07224	 0.10597	 0.09396	-0.40726	  1.0718	-0.205901	 -0.0522	
      14	  16.229	0.104499	  1.0879	 -0.0587	  1.0738	-0.203702	2.949E+6	   0.236	 3870.17	   83.32	   0.000	-0.48163	-0.51025	-0.50927	-0.50424	-0.49737	-0.49090	-0.48388	-0.47758	-0.47009	-0.46500	-0.46174	-0.45846	-0.46107	-0.46881	-0.48765	-0.52360	-0.59515	-0.70125	-0.83778	-0.98723	-1.11415	-1.25609	-1.36645	-1.49633	-1.59503	-1.69938	-1.81852	-1.97789	-2.17112	-2.31557	-2.47869	-2.75624	-2.99109	-3.23294	-3.58173	-3.91934	-4.10704	-4.15142	-3.48481	-3.21590	-3.21758	 0.01766	 0.70905	 0.97329	 0.99237	 0.92651	 0.82730	 0.71782	 0.61652	 0.51394	 0.41261	 0.32000	 0.22852	 0.14979	 0.08459	 0.04772	 0.03250	 0.03279	 0.04785	 0.06543	 0.09196	 0.08109	-0.44664	  1.0754	-0.205690	 -0.0590	cpt_wake < 0; 
      15	  17.155	0.190185	  0.9755	 -0.0998	  0.9882	-0.106000	2.898E+6	   0.232	 3739.58	   81.94	   0.000	-0.61380	-0.65893	-0.67136	-0.67487	-0.67281	-0.67000	-0.66260	-0.65572	-0.64512	-0.63747	-0.63087	-0.62442	-0.62152	-0.62062	-0.62342	-0.63085	-0.64782	-0.67390	-0.71450	-0.77480	-0.83888	-0.92006	-0.99490	-1.07990	-1.15624	-1.23959	-1.33121	-1.44235	-1.57271	-1.67893	-1.82183	-2.05632	-2.22166	-2.44695	-2.74896	-3.02335	-3.19478	-3.19132	-2.60841	-2.36785	-2.36883	 0.24897	 0.80032	 0.98365	 0.97039	 0.89159	 0.78611	 0.67304	 0.57120	 0.46755	 0.36575	 0.27306	 0.17920	 0.10053	 0.03507	-0.00232	-0.01838	-0.01435	-0.00554	 0.00740	 0.03652	 0.00555	-0.56766	  0.9920	-0.107990	 -0.1004	cpt_wake < 0; 
      16	   9.210	0.025296	  0.9999	 -0.0485	  0.9910	-0.135064	2.991E+6	   0.240	 3989.33	   84.57	   0.000	-0.13856	-0.18095	-0.18405	-0.19162	-0.20061	-0.21053	-0.22945	-0.26218	-0.32131	-0.41160	-0.52594	-0.65381	-0.78214	-0.90138	-1.01318	-1.11910	-1.20393	-1.27066	-1.32233	-1.38311	-1.41892	-1.46710	-1.49773	-1.54477	-1.56522	-1.58869	-1.61763	-1.70860	-1.81498	-1.84710	-1.87376	-2.02849	-2.11315	-2.19689	-2.32250	-2.34876	-2.26301	-2.04143	-1.38673	-1.05782	-1.05805	 0.77209	 0.99194	 0.96281	 0.83704	 0.71417	 0.58683	 0.46720	 0.37390	 0.28299	 0.19997	 0.12756	 0.05179	 0.00192	-0.03348	-0.03854	-0.02498	 0.01339	 0.04867	 0.09033	 0.14725	 0.19211	-0.17425	  0.9908	-0.134860	 -0.0487	
      17	   7.177	0.014882	  0.9012	 -0.0531	  0.8960	-0.097825	2.999E+6	   0.240	 4012.69	   84.82	   0.000	-0.03545	-0.06059	-0.07424	-0.09235	-0.11718	-0.15428	-0.21260	-0.29539	-0.40045	-0.51219	-0.62683	-0.74434	-0.85433	-0.95214	-1.04415	-1.13253	-1.19812	-1.24710	-1.28018	-1.32355	-1.34255	-1.37225	-1.38583	-1.41324	-1.41544	-1.41875	-1.42592	-1.49221	-1.56811	-1.56754	-1.55660	-1.66303	-1.70425	-1.73630	-1.76811	-1.71558	-1.55867	-1.28347	-0.68515	-0.37101	-0.37083	 0.92670	 0.99440	 0.88006	 0.71846	 0.59071	 0.46314	 0.34734	 0.26562	 0.17907	 0.10375	 0.04056	-0.02654	-0.06625	-0.09090	-0.08408	-0.05955	-0.00938	 0.03664	 0.08822	 0.15342	 0.22128	-0.04311	  0.8956	-0.097443	 -0.0532	
      18	   5.127	0.010919	  0.7630	 -0.0612	  0.7610	-0.057316	3.004E+6	   0.241	 4025.09	   84.95	   0.000	 0.05984	 0.03098	-0.00390	-0.04821	-0.10355	-0.17613	-0.26361	-0.35668	-0.45660	-0.55555	-0.65476	-0.75710	-0.85022	-0.93069	-1.00660	-1.07946	-1.12888	-1.16226	-1.17923	-1.20658	-1.21059	-1.22267	-1.22046	-1.22885	-1.21364	-1.19822	-1.18458	-1.22464	-1.26858	-1.23650	-1.19183	-1.24846	-1.24798	-1.21417	-1.17054	-1.04972	-0.83690	-0.53122	-0.02035	 0.25506	 0.25591	 0.99903	 0.91538	 0.72369	 0.54013	 0.42002	 0.29940	 0.19425	 0.12583	 0.04919	-0.01550	-0.06717	-0.12446	-0.15247	-0.16455	-0.14455	-0.10784	-0.04443	 0.01351	 0.07584	 0.15031	 0.24199	 0.05628	  0.7605	-0.056971	 -0.0614	
      19	   3.069	0.008910	  0.5755	 -0.0651	  0.5752	-0.021920	3.007E+6	   0.241	 4035.24	   85.06	   0.000	 0.11827	 0.07413	 0.02266	-0.03773	-0.10574	-0.18416	-0.27068	-0.35768	-0.44796	-0.53601	-0.62348	-0.71341	-0.79282	-0.85882	-0.92058	-0.97930	-1.01404	-1.03342	-1.03554	-1.04782	-1.03827	-1.03355	-1.01641	-1.00663	-0.97527	-0.94281	-0.90990	-0.92329	-0.93536	-0.87498	-0.80265	-0.81731	-0.76545	-0.67719	-0.57299	-0.40188	-0.15950	 0.14333	 0.53281	 0.73715	 0.73816	 0.94186	 0.70952	 0.46444	 0.28246	 0.18841	 0.09330	-0.00107	-0.04931	-0.11135	-0.16304	-0.20014	-0.24510	-0.25941	-0.25704	-0.22227	-0.17195	-0.09386	-0.02373	 0.05003	 0.13365	 0.24449	 0.11557	  0.5748	-0.021723	 -0.0652	
