   Runnr	Alpha-pr	Cd-press	Cl-press	Cm-press	Cn-press	Ct-press	Re-press	 M-press	 Q-press	 V-press	    Flap	 Cpu_001	 Cpu_002	 Cpu_003	 Cpu_004	 Cpu_005	 Cpu_006	 Cpu_007	 Cpu_008	 Cpu_009	 Cpu_010	 Cpu_011	 Cpu_012	 Cpu_013	 Cpu_014	 Cpu_015	 Cpu_016	 Cpu_017	 Cpu_018	 Cpu_019	 Cpu_020	 Cpu_021	 Cpu_022	 Cpu_023	 Cpu_024	 Cpu_025	 Cpu_026	 Cpu_027	 Cpu_028	 Cpu_029	 Cpu_030	 Cpu_031	 Cpu_032	 Cpu_033	 Cpu_034	 Cpu_035	 Cpu_036	 Cpu_037	 Cpu_038	 Cpu_039	 Cpu_040	 Cpl_001	 Cpl_002	 Cpl_003	 Cpl_004	 Cpl_005	 Cpl_006	 Cpl_007	 Cpl_008	 Cpl_009	 Cpl_010	 Cpl_011	 Cpl_012	 Cpl_013	 Cpl_014	 Cpl_015	 Cpl_016	 Cpl_017	 Cpl_018	 Cpl_019	 Cpl_020	 Cpl_021	 Cpl_022	 Cpl_023	Cn-p-cor	Ct-p-cor	Cm-p-cor
      10	  15.239	0.085400	  1.0933	 -0.0531	  1.0773	-0.204969	2.972E+6	   0.239	 3956.52	   84.34	   0.000	-0.44179	-0.47697	-0.47662	-0.47020	-0.46186	-0.45436	-0.44668	-0.43998	-0.43267	-0.42708	-0.42430	-0.42129	-0.42402	-0.43494	-0.46186	-0.52397	-0.64275	-0.79221	-0.95020	-1.09982	-1.21950	-1.35034	-1.45155	-1.57061	-1.65656	-1.74335	-1.84503	-2.00444	-2.29612	-2.40629	-2.50370	-2.65529	-2.86487	-3.12727	-3.48749	-3.78715	-3.97785	-3.98531	-3.31305	-3.02068	-3.02351	 0.08843	 0.74089	 0.98051	 0.98974	 0.91558	 0.80755	 0.70535	 0.60412	 0.50079	 0.40435	 0.31520	 0.22155	 0.14825	 0.08644	 0.05378	 0.04069	 0.05076	 0.05879	 0.07308	 0.10662	 0.08332	-0.40893	  1.0784	-0.206589	 -0.0534	
      11	  16.226	0.105697	  1.0807	 -0.0595	  1.0672	-0.200481	2.959E+6	   0.238	 3925.00	   84.02	   0.000	-0.49017	-0.51940	-0.51912	-0.51341	-0.50584	-0.49876	-0.49099	-0.48382	-0.47568	-0.46873	-0.46436	-0.45908	-0.45786	-0.46110	-0.47161	-0.49537	-0.54934	-0.64351	-0.78136	-0.93812	-1.07608	-1.22667	-1.34462	-1.47814	-1.57819	-1.67887	-1.79252	-1.95993	-2.25318	-2.37957	-2.49187	-2.65909	-2.88359	-3.16546	-3.54199	-3.87038	-4.09783	-4.13782	-3.47244	-3.19994	-3.20276	 0.00633	 0.70121	 0.97007	 0.99453	 0.92859	 0.82536	 0.72429	 0.62324	 0.51927	 0.42128	 0.33073	 0.23466	 0.15864	 0.09382	 0.05769	 0.04148	 0.04791	 0.05241	 0.06337	 0.09398	 0.06217	-0.44773	  1.0688	-0.202482	 -0.0598	cpt_wake < 0; 
      12	  11.223	0.037966	  1.0584	 -0.0487	  1.0456	-0.168765	2.997E+6	   0.241	 4030.98	   85.14	   0.000	-0.26790	-0.32796	-0.33472	-0.33488	-0.33315	-0.33199	-0.32855	-0.32538	-0.32236	-0.32545	-0.34029	-0.38077	-0.47659	-0.62734	-0.79384	-0.95100	-1.08365	-1.19005	-1.27864	-1.36649	-1.42852	-1.50436	-1.55817	-1.62961	-1.67128	-1.71039	-1.76527	-1.88032	-2.13432	-2.17750	-2.20938	-2.28402	-2.40625	-2.57644	-2.79913	-2.92298	-2.94594	-2.80340	-2.12349	-1.79621	-1.79775	 0.54256	 0.92867	 0.99834	 0.92506	 0.80992	 0.68007	 0.57661	 0.47712	 0.37842	 0.28966	 0.21021	 0.12728	 0.06823	 0.02269	 0.00689	 0.00918	 0.03694	 0.06149	 0.09201	 0.13949	 0.15390	-0.27745	  1.0456	-0.169055	 -0.0489	
      13	   9.207	0.024437	  1.0432	 -0.0514	  1.0336	-0.142785	2.994E+6	   0.241	 4026.07	   85.08	   0.000	-0.10958	-0.15486	-0.16223	-0.17330	-0.18450	-0.20052	-0.22735	-0.27294	-0.34977	-0.45258	-0.57348	-0.70361	-0.83090	-0.94896	-1.05889	-1.16541	-1.24898	-1.31576	-1.36748	-1.42643	-1.46222	-1.51263	-1.54364	-1.59141	-1.61174	-1.62840	-1.65939	-1.74947	-1.97495	-1.98575	-1.98560	-2.02104	-2.10322	-2.20737	-2.36529	-2.40053	-2.34316	-2.13522	-1.48121	-1.15196	-1.15314	 0.73937	 0.98536	 0.97359	 0.86006	 0.72872	 0.59099	 0.49150	 0.39614	 0.30166	 0.21839	 0.14589	 0.07002	 0.01971	-0.01619	-0.02124	-0.00904	 0.02918	 0.06363	 0.10437	 0.16150	 0.20873	-0.15189	  1.0334	-0.142444	 -0.0515	
      14	   7.187	0.014762	  0.9412	 -0.0570	  0.9356	-0.103100	3.001E+6	   0.241	 4045.25	   85.29	   0.000	-0.00495	-0.03090	-0.05010	-0.07516	-0.10832	-0.15990	-0.23589	-0.32999	-0.43975	-0.55132	-0.66525	-0.78233	-0.89065	-0.98767	-1.07843	-1.16776	-1.23264	-1.28230	-1.31542	-1.35751	-1.37684	-1.40852	-1.42253	-1.45022	-1.45263	-1.44972	-1.45822	-1.52126	-1.70998	-1.68912	-1.65696	-1.65359	-1.68760	-1.73629	-1.80200	-1.75231	-1.61707	-1.35342	-0.75673	-0.44213	-0.44275	 0.90961	 0.99828	 0.89877	 0.74907	 0.60574	 0.46344	 0.37274	 0.28696	 0.19723	 0.12155	 0.05801	-0.00936	-0.04957	-0.07477	-0.06810	-0.04472	 0.00534	 0.05034	 0.10105	 0.16664	 0.23695	-0.01099	  0.9352	-0.102611	 -0.0571	
      15	   5.134	0.011330	  0.7837	 -0.0638	  0.7816	-0.058837	3.005E+6	   0.242	 4057.95	   85.42	   0.000	 0.07733	 0.04566	 0.00545	-0.04573	-0.10803	-0.18625	-0.27679	-0.37132	-0.47202	-0.57053	-0.67028	-0.77303	-0.86580	-0.94657	-1.02145	-1.09573	-1.14457	-1.17893	-1.19579	-1.22196	-1.22637	-1.24005	-1.23784	-1.24548	-1.23032	-1.20880	-1.19489	-1.22916	-1.37426	-1.32266	-1.26115	-1.22037	-1.20118	-1.19781	-1.16590	-1.04513	-0.84609	-0.55089	-0.04476	 0.23088	 0.23117	 0.99794	 0.92550	 0.74197	 0.57144	 0.42592	 0.28941	 0.21205	 0.14008	 0.05919	-0.00556	-0.05746	-0.11501	-0.14327	-0.15592	-0.13580	-0.09978	-0.03603	 0.02097	 0.08266	 0.15770	 0.25114	 0.07498	  0.7811	-0.058449	 -0.0640	
      16	   3.074	0.009440	  0.5856	 -0.0667	  0.5853	-0.021979	3.008E+6	   0.242	 4064.69	   85.49	   0.000	 0.12564	 0.07849	 0.02437	-0.03867	-0.10873	-0.18856	-0.27586	-0.36342	-0.45439	-0.54206	-0.63017	-0.72069	-0.79970	-0.86599	-0.92674	-0.98666	-1.02088	-1.04107	-1.04317	-1.05424	-1.04485	-1.04141	-1.02394	-1.01291	-0.98159	-0.94332	-0.90917	-0.91591	-1.01606	-0.93893	-0.85232	-0.77933	-0.72313	-0.65022	-0.55294	-0.38505	-0.15449	 0.14051	 0.52650	 0.73104	 0.73167	 0.94656	 0.72218	 0.48334	 0.31899	 0.18743	 0.06670	 0.01218	-0.03963	-0.10653	-0.15765	-0.19495	-0.24058	-0.25478	-0.25314	-0.21787	-0.16805	-0.08911	-0.02001	 0.05326	 0.13788	 0.25031	 0.12430	  0.5849	-0.021765	 -0.0668	
      17	   1.027	0.008064	  0.3687	 -0.0671	  0.3688	0.001456	3.006E+6	   0.242	 4060.68	   85.45	   0.000	 0.15506	 0.09372	 0.03513	-0.02955	-0.09872	-0.17420	-0.25524	-0.33503	-0.41638	-0.49379	-0.57082	-0.64979	-0.71576	-0.76860	-0.81581	-0.86207	-0.88252	-0.88972	-0.87845	-0.87557	-0.85388	-0.83500	-0.80426	-0.77597	-0.73086	-0.67882	-0.62718	-0.60896	-0.66925	-0.57108	-0.46308	-0.36867	-0.27165	-0.16310	-0.02980	 0.16059	 0.39112	 0.64309	 0.88207	 0.97839	 0.97931	 0.68805	 0.37000	 0.11813	-0.00659	-0.10192	-0.19724	-0.22113	-0.24487	-0.29251	-0.32635	-0.34662	-0.37750	-0.37589	-0.35794	-0.30592	-0.24154	-0.14657	-0.06464	 0.02035	 0.11376	 0.24201	 0.15434	  0.3685	0.001538	 -0.0671	
      18	  -1.031	0.007003	  0.1472	 -0.0660	  0.1470	0.009651	3.006E+6	   0.242	 4063.26	   85.48	   0.000	 0.17408	 0.10232	 0.04469	-0.01744	-0.08285	-0.15223	-0.22625	-0.29806	-0.37012	-0.43780	-0.50420	-0.57205	-0.62587	-0.66602	-0.70054	-0.73410	-0.74210	-0.73762	-0.71434	-0.69919	-0.66665	-0.63449	-0.59247	-0.54937	-0.49225	-0.42847	-0.36232	-0.32237	-0.34846	-0.23650	-0.12778	-0.00904	 0.10327	 0.23341	 0.38464	 0.56961	 0.76232	 0.92664	 1.00000	 0.96372	 0.96449	 0.21678	-0.12365	-0.34089	-0.38808	-0.43986	-0.49873	-0.47939	-0.46721	-0.49287	-0.50563	-0.50473	-0.51834	-0.49920	-0.46388	-0.39424	-0.31443	-0.20346	-0.10843	-0.01196	 0.08870	 0.22738	 0.17343	  0.1469	0.009696	 -0.0661	
      19	  -3.088	0.006710	 -0.0896	 -0.0637	 -0.0899	0.001871	3.006E+6	   0.242	 4063.14	   85.49	   0.000	 0.18133	 0.10797	 0.05570	-0.00073	-0.06034	-0.12237	-0.18851	-0.25183	-0.31426	-0.37195	-0.42821	-0.48393	-0.52578	-0.55358	-0.57593	-0.59703	-0.59336	-0.57811	-0.54421	-0.51751	-0.47593	-0.43141	-0.38033	-0.32493	-0.26001	-0.18776	-0.10978	-0.05174	-0.05037	 0.06705	 0.18574	 0.31047	 0.42995	 0.56382	 0.70649	 0.85377	 0.96773	 0.99811	 0.89964	 0.66023	 0.66064	-0.50986	-0.80389	-0.93589	-0.86108	-0.84115	-0.84470	-0.77259	-0.71833	-0.71550	-0.70281	-0.67772	-0.67049	-0.63127	-0.57591	-0.48670	-0.38999	-0.26173	-0.15301	-0.04516	 0.06168	 0.20718	 0.18109	 -0.0898	0.001988	 -0.0637	
