   Runnr	Alpha-pr	Cd-press	Cl-press	Cm-press	Cn-press	Ct-press	Re-press	 M-press	 Q-press	 V-press	    Flap	 Cpu_001	 Cpu_002	 Cpu_003	 Cpu_004	 Cpu_005	 Cpu_006	 Cpu_007	 Cpu_008	 Cpu_009	 Cpu_010	 Cpu_011	 Cpu_012	 Cpu_013	 Cpu_014	 Cpu_015	 Cpu_016	 Cpu_017	 Cpu_018	 Cpu_019	 Cpu_020	 Cpu_021	 Cpu_022	 Cpu_023	 Cpu_024	 Cpu_025	 Cpu_026	 Cpu_027	 Cpu_028	 Cpu_029	 Cpu_030	 Cpu_031	 Cpu_032	 Cpu_033	 Cpu_034	 Cpu_035	 Cpu_036	 Cpu_037	 Cpu_038	 Cpu_039	 Cpu_040	 Cpl_001	 Cpl_002	 Cpl_003	 Cpl_004	 Cpl_005	 Cpl_006	 Cpl_007	 Cpl_008	 Cpl_009	 Cpl_010	 Cpl_011	 Cpl_012	 Cpl_013	 Cpl_014	 Cpl_015	 Cpl_016	 Cpl_017	 Cpl_018	 Cpl_019	 Cpl_020	 Cpl_021	 Cpl_022	 Cpl_023	Cn-p-cor	Ct-p-cor	Cm-p-cor
      10	  10.226	0.040665	  1.0288	 -0.0445	  1.0196	-0.142617	2.995E+6	   0.234	 3868.84	   82.27	   0.000	-0.18887	-0.23138	-0.23458	-0.23861	-0.24393	-0.24977	-0.25894	-0.27344	-0.29797	-0.34205	-0.41559	-0.52717	-0.66385	-0.80172	-0.93287	-1.05618	-1.15636	-1.23702	-1.30480	-1.37464	-1.42179	-1.48144	-1.52012	-1.57426	-1.60912	-1.64117	-1.69314	-1.82904	-2.03293	-2.06141	-2.07406	-2.12858	-2.21365	-2.36622	-2.53180	-2.61592	-2.58786	-2.40203	-1.73373	-1.40326	 0.04519	 0.67200	 0.96806	 0.98567	 0.88535	 0.75641	 0.62279	 0.52369	 0.42874	 0.33220	 0.24566	 0.17080	 0.09113	 0.03689	-0.00376	-0.01342	-0.00592	 0.02680	 0.05657	 0.09379	 0.14608	 0.17589	-0.20297	  1.0197	-0.142461	 -0.0447	
      11	  -0.007	-0.000667	  0.2464	 -0.0651	  0.2464	-0.000635	2.994E+6	   0.234	 3865.26	   82.21	   0.000	 0.15707	 0.09590	 0.03999	-0.02201	-0.08770	-0.15895	-0.23614	-0.31147	-0.38812	-0.46158	-0.53145	-0.60440	-0.66437	-0.71063	-0.75194	-0.79085	-0.80400	-0.80461	-0.78822	-0.77937	-0.75323	-0.72477	-0.68707	-0.65435	-0.60256	-0.54670	-0.49138	-0.48406	-0.51710	-0.41062	-0.30085	-0.18790	-0.08202	 0.04236	 0.18999	 0.38324	 0.60028	 0.81613	 0.97081	 0.99845	 0.04852	 0.46926	 0.12183	-0.12058	-0.21674	-0.30234	-0.35879	-0.35376	-0.35926	-0.39171	-0.41739	-0.42692	-0.44915	-0.43869	-0.41255	-0.35192	-0.28026	-0.17826	-0.09031	 0.00110	 0.09662	 0.22362	 0.15506	  0.2462	-0.000678	 -0.0651	
      12	  -0.007	-0.000625	  0.2463	 -0.0651	  0.2463	-0.000593	2.994E+6	   0.234	 3865.62	   82.22	   0.000	 0.15665	 0.09546	 0.03955	-0.02240	-0.08805	-0.15928	-0.23645	-0.31181	-0.38846	-0.46167	-0.53170	-0.60471	-0.66459	-0.71082	-0.75199	-0.79114	-0.80420	-0.80480	-0.78842	-0.77952	-0.75307	-0.72496	-0.68703	-0.65437	-0.60263	-0.54664	-0.49140	-0.48392	-0.51706	-0.41044	-0.30063	-0.18761	-0.08177	 0.04261	 0.19036	 0.38370	 0.60082	 0.81663	 0.97111	 0.99868	 0.04751	 0.46895	 0.12137	-0.12108	-0.21719	-0.30281	-0.35921	-0.35410	-0.35970	-0.39205	-0.41784	-0.42742	-0.44942	-0.43912	-0.41297	-0.35215	-0.28050	-0.17849	-0.09059	 0.00076	 0.09636	 0.22328	 0.15494	  0.2461	-0.000636	 -0.0652	
      13	  -2.063	0.000085	  0.0196	 -0.0640	  0.0195	0.000788	2.994E+6	   0.234	 3866.85	   82.24	   0.000	 0.17203	 0.10267	 0.04894	-0.00936	-0.07069	-0.13540	-0.20522	-0.27240	-0.33942	-0.40273	-0.46266	-0.52354	-0.57132	-0.60509	-0.63378	-0.66052	-0.66116	-0.65076	-0.62245	-0.60188	-0.56531	-0.52458	-0.47697	-0.43047	-0.36950	-0.30201	-0.23459	-0.20534	-0.20649	-0.09335	 0.03158	 0.15533	 0.27440	 0.41084	 0.56227	 0.73361	 0.89030	 0.98973	 0.97763	 0.84142	 0.04728	-0.13187	-0.47271	-0.65284	-0.65634	-0.67302	-0.67879	-0.62908	-0.59616	-0.60003	-0.60383	-0.59139	-0.59425	-0.56495	-0.51994	-0.44060	-0.35291	-0.23417	-0.13332	-0.03094	 0.07113	 0.20614	 0.16961	  0.0195	0.000782	 -0.0640	
      14	  -4.119	0.003303	 -0.2014	 -0.0621	 -0.2011	-0.011171	2.998E+6	   0.234	 3877.23	   82.35	   0.000	 0.17478	 0.10626	 0.05846	 0.00589	-0.04973	-0.10742	-0.16961	-0.22882	-0.28665	-0.34106	-0.39042	-0.44057	-0.47707	-0.49955	-0.51700	-0.53231	-0.52241	-0.50208	-0.46403	-0.43372	-0.38912	-0.33773	-0.28274	-0.22576	-0.15732	-0.08272	-0.00616	 0.03913	 0.06205	 0.18289	 0.30848	 0.43378	 0.55227	 0.68260	 0.81311	 0.93402	 0.99725	 0.96492	 0.75957	 0.40196	 0.04503	-0.93591	-1.20109	-1.26628	-1.13285	-1.07784	-1.02053	-0.91802	-0.84127	-0.81189	-0.79107	-0.75422	-0.73567	-0.68616	-0.62094	-0.52255	-0.41847	-0.28364	-0.17023	-0.05834	 0.04687	 0.18275	 0.17330	 -0.2010	-0.011027	 -0.0621	
      15	  -6.167	0.009297	 -0.4158	 -0.0602	 -0.4144	-0.035428	2.994E+6	   0.234	 3871.53	   82.30	   0.000	 0.16276	 0.10420	 0.06540	 0.02009	-0.02901	-0.07894	-0.13321	-0.18423	-0.23308	-0.27815	-0.31777	-0.35762	-0.38349	-0.39551	-0.40313	-0.40728	-0.38778	-0.35868	-0.31259	-0.27415	-0.22218	-0.16304	-0.10235	-0.03619	 0.03688	 0.11632	 0.19717	 0.25406	 0.29770	 0.41768	 0.53679	 0.65362	 0.76074	 0.86808	 0.95634	 0.99966	 0.95205	 0.75084	 0.31350	-0.30526	 0.04340	-1.93530	-2.05767	-1.95900	-1.66404	-1.51975	-1.38349	-1.22086	-1.09484	-1.02732	-0.97813	-0.91424	-0.87139	-0.79997	-0.71289	-0.59418	-0.47334	-0.32294	-0.19792	-0.07977	 0.02254	 0.15022	 0.16206	 -0.4142	-0.035055	 -0.0602	
      16	  -8.214	0.017975	 -0.6066	 -0.0592	 -0.6030	-0.068883	2.999E+6	   0.234	 3886.51	   82.48	   0.000	 0.12252	 0.08943	 0.06320	 0.02680	-0.01471	-0.05656	-0.10284	-0.14579	-0.18584	-0.22225	-0.25271	-0.28301	-0.29929	-0.30160	-0.29988	-0.29457	-0.26661	-0.23079	-0.17789	-0.13155	-0.07455	-0.00859	 0.05592	 0.12794	 0.20334	 0.28505	 0.36597	 0.43243	 0.48867	 0.60193	 0.70916	 0.81064	 0.89645	 0.96827	 0.99920	 0.95557	 0.77187	 0.37154	-0.31085	-1.21242	 0.04263	-3.05334	-2.97702	-2.73223	-2.21295	-1.96045	-1.73952	-1.51414	-1.33619	-1.22810	-1.14733	-1.05429	-0.98493	-0.89017	-0.77938	-0.63995	-0.50225	-0.33833	-0.20554	-0.09086	-0.00621	 0.09726	 0.12271	 -0.6028	-0.068288	 -0.0592	
      17	 -10.260	0.031643	 -0.7351	 -0.0586	 -0.7290	-0.099805	2.997E+6	   0.234	 3883.72	   82.47	   0.000	 0.03001	 0.04410	 0.03600	 0.01131	-0.02137	-0.05444	-0.09262	-0.12772	-0.15967	-0.18784	-0.21011	-0.23179	-0.23933	-0.23362	-0.22314	-0.20976	-0.17455	-0.13223	-0.07378	-0.02159	 0.03891	 0.11048	 0.17760	 0.25319	 0.32959	 0.41145	 0.49365	 0.56298	 0.62525	 0.72927	 0.82246	 0.90433	 0.96640	 0.99845	 0.97547	 0.83647	 0.51986	-0.07023	-0.97284	-2.13742	 0.04387	-4.08976	-3.81020	-3.16784	-2.68661	-2.32877	-2.02642	-1.74756	-1.52013	-1.37156	-1.25810	-1.13574	-1.03783	-0.91734	-0.77976	-0.61739	-0.46310	-0.29606	-0.17921	-0.10594	-0.06043	 0.00004	 0.02587	 -0.7290	-0.099181	 -0.0585	
      18	 -12.266	0.054730	 -0.7755	 -0.0475	 -0.7695	-0.111283	2.985E+6	   0.233	 3855.95	   82.20	   0.000	-0.12454	-0.04322	-0.02856	-0.03917	-0.06190	-0.08543	-0.11575	-0.14328	-0.16751	-0.18849	-0.20334	-0.21771	-0.21770	-0.20448	-0.18678	-0.16699	-0.12470	-0.07658	-0.01305	 0.04418	 0.10820	 0.18376	 0.25305	 0.33060	 0.40769	 0.49038	 0.57234	 0.64221	 0.70621	 0.80193	 0.88345	 0.95005	 0.99172	 0.99469	 0.92839	 0.71743	 0.30557	-0.41677	-1.46305	-2.79235	 0.04370	-4.74022	-4.33205	-3.49925	-2.93020	-2.50174	-2.13758	-1.83287	-1.56107	-1.37128	-1.21959	-1.06225	-0.92139	-0.76158	-0.58664	-0.42696	-0.32635	-0.26483	-0.24304	-0.22642	-0.21281	-0.17399	-0.14557	 -0.7698	-0.111057	 -0.0474	
      19	 -14.064	0.210480	 -0.4971	  0.0585	 -0.5333	0.083378	2.946E+6	   0.231	 3755.55	   81.19	   0.000	-0.55334	-0.32483	-0.27323	-0.26583	-0.28033	-0.29715	-0.32560	-0.35129	-0.37450	-0.39515	-0.40988	-0.42503	-0.42436	-0.40835	-0.38953	-0.36839	-0.32382	-0.27265	-0.20481	-0.14545	-0.07752	-0.00014	 0.07241	 0.15225	 0.23294	 0.31832	 0.40187	 0.47018	 0.52723	 0.63603	 0.73646	 0.82899	 0.90699	 0.97053	 0.99852	 0.96426	 0.81807	 0.50980	 0.00558	-0.63294	 0.01292	-1.53232	-1.20324	-0.71454	-0.67601	-0.66151	-0.65448	-0.65234	-0.65798	-0.66477	-0.67045	-0.67624	-0.68356	-0.69149	-0.69914	-0.70738	-0.71780	-0.72310	-0.74345	-0.74632	-0.73175	-0.63452	-0.52210	 -0.5357	0.084417	  0.0589	Wake not in center of rake!; cpt_wake < 0; 
