   Runnr	Alpha-pr	Cd-press	Cl-press	Cm-press	Cn-press	Ct-press	Re-press	 M-press	 Q-press	 V-press	    Flap	 Cpu_001	 Cpu_002	 Cpu_003	 Cpu_004	 Cpu_005	 Cpu_006	 Cpu_007	 Cpu_008	 Cpu_009	 Cpu_010	 Cpu_011	 Cpu_012	 Cpu_013	 Cpu_014	 Cpu_015	 Cpu_016	 Cpu_017	 Cpu_018	 Cpu_019	 Cpu_020	 Cpu_021	 Cpu_022	 Cpu_023	 Cpu_024	 Cpu_025	 Cpu_026	 Cpu_027	 Cpu_028	 Cpu_029	 Cpu_030	 Cpu_031	 Cpu_032	 Cpu_033	 Cpu_034	 Cpu_035	 Cpu_036	 Cpu_037	 Cpu_038	 Cpu_039	 Cpu_040	 Cpl_001	 Cpl_002	 Cpl_003	 Cpl_004	 Cpl_005	 Cpl_006	 Cpl_007	 Cpl_008	 Cpl_009	 Cpl_010	 Cpl_011	 Cpl_012	 Cpl_013	 Cpl_014	 Cpl_015	 Cpl_016	 Cpl_017	 Cpl_018	 Cpl_019	 Cpl_020	 Cpl_021	 Cpl_022	 Cpl_023	Cn-p-cor	Ct-p-cor	Cm-p-cor
      10	   6.171	0.012479	  0.9341	 -0.0694	  0.9301	-0.088006	3.003E+6	   0.230	 3749.99	   80.39	   0.000	 0.10632	 0.06634	 0.01488	-0.04874	-0.12376	-0.21222	-0.31067	-0.41105	-0.51694	-0.62118	-0.72651	-0.83610	-0.93549	-1.02347	-1.10577	-1.18843	-1.24396	-1.28598	-1.30818	-1.34500	-1.35554	-1.37917	-1.38305	-1.39992	-1.39162	-1.38697	-1.35108	-1.61395	-1.54264	-1.54967	-1.52093	-1.51136	-1.52725	-1.55608	-1.57571	-1.50113	-1.34548	-1.06734	-0.50486	-0.20474	-0.19303	 0.94836	 0.98878	 0.86658	 0.71182	 0.56668	 0.44196	 0.31520	 0.24363	 0.16365	 0.09208	 0.03375	-0.03047	-0.06508	-0.08557	-0.07290	-0.04486	 0.01034	 0.06095	 0.11693	 0.18712	 0.27479	 0.10626	  0.9297	-0.087405	 -0.0695	
      11	   7.195	0.013526	  1.0335	 -0.0677	  1.0270	-0.116030	3.001E+6	   0.230	 3751.81	   80.43	   0.000	 0.08315	 0.04969	 0.00593	-0.05055	-0.12092	-0.20823	-0.30836	-0.41241	-0.52351	-0.63340	-0.74492	-0.86082	-0.96729	-1.06270	-1.15263	-1.24286	-1.30624	-1.35578	-1.38592	-1.43134	-1.44919	-1.48238	-1.49444	-1.52216	-1.52323	-1.52807	-1.49766	-1.79917	-1.73868	-1.76363	-1.75380	-1.76832	-1.81467	-1.88351	-1.95059	-1.92050	-1.80664	-1.55434	-0.94539	-0.63078	-0.62109	 0.86469	 0.99999	 0.93215	 0.79603	 0.65692	 0.53101	 0.40354	 0.32400	 0.23843	 0.16209	 0.09824	 0.02930	-0.01117	-0.03788	-0.03208	-0.01035	 0.03751	 0.08241	 0.13279	 0.19808	 0.27577	 0.08087	  1.0267	-0.115304	 -0.0679	
      12	   8.222	0.014743	  1.1205	 -0.0645	  1.1111	-0.145651	3.002E+6	   0.230	 3758.12	   80.51	   0.000	 0.04970	 0.02098	-0.01184	-0.05556	-0.11421	-0.19436	-0.29278	-0.39959	-0.51602	-0.63220	-0.75024	-0.87293	-0.98694	-1.09032	-1.18806	-1.28609	-1.35762	-1.41486	-1.45365	-1.50707	-1.53288	-1.57553	-1.59679	-1.63520	-1.64059	-1.66212	-1.64431	-1.97677	-1.92801	-1.97228	-1.98174	-2.02135	-2.09962	-2.21033	-2.32761	-2.34669	-2.28100	-2.06301	-1.41615	-1.09383	-1.08926	 0.74834	 0.98597	 0.97378	 0.86215	 0.73238	 0.60815	 0.48116	 0.39562	 0.30575	 0.22542	 0.15664	 0.08333	 0.03742	 0.00524	 0.00457	 0.01996	 0.06126	 0.10047	 0.14534	 0.20575	 0.27255	 0.04175	  1.1108	-0.144835	 -0.0647	
      13	   9.248	0.017167	  1.1790	 -0.0589	  1.1664	-0.172529	3.000E+6	   0.230	 3756.80	   80.52	   0.000	-0.00847	-0.03846	-0.05771	-0.08191	-0.11546	-0.16941	-0.25018	-0.35270	-0.47327	-0.59713	-0.72445	-0.85495	-0.97809	-1.09132	-1.19711	-1.30397	-1.38401	-1.44982	-1.49669	-1.55851	-1.59191	-1.64604	-1.67672	-1.72444	-1.74496	-1.77539	-1.78778	-2.02312	-2.08217	-2.14641	-2.17530	-2.25076	-2.35501	-2.50288	-2.66721	-2.73500	-2.71892	-2.53909	-1.86443	-1.54046	-1.53856	 0.61816	 0.95127	 0.99425	 0.90890	 0.79012	 0.66897	 0.54341	 0.45358	 0.36054	 0.27688	 0.20407	 0.12687	 0.07605	 0.03846	 0.03193	 0.04168	 0.07632	 0.11038	 0.14973	 0.20514	 0.25872	-0.02698	  1.1663	-0.171723	 -0.0592	
      14	  10.266	0.026252	  1.2051	 -0.0560	  1.1905	-0.188952	2.999E+6	   0.230	 3757.41	   80.55	   0.000	-0.07082	-0.11431	-0.12547	-0.13986	-0.15698	-0.18626	-0.23549	-0.31149	-0.41845	-0.53955	-0.66912	-0.80459	-0.93442	-1.05457	-1.16908	-1.28151	-1.37039	-1.44249	-1.49864	-1.56733	-1.60887	-1.67193	-1.70953	-1.76903	-1.80257	-1.83915	-1.87544	-2.13491	-2.13169	-2.18473	-2.26846	-2.39202	-2.53635	-2.70510	-2.90339	-3.00959	-3.03397	-2.88723	-2.19795	-1.87748	-1.87140	 0.50962	 0.91440	 0.99999	 0.93618	 0.82669	 0.70874	 0.58482	 0.49240	 0.39712	 0.31050	 0.23476	 0.15419	 0.09929	 0.05692	 0.04547	 0.05102	 0.08076	 0.11038	 0.14556	 0.19760	 0.24042	-0.10738	  1.1906	-0.188347	 -0.0562	
      15	  11.261	0.036473	  1.2125	 -0.0571	  1.1962	-0.201002	2.989E+6	   0.230	 3738.72	   80.37	   0.000	-0.16476	-0.23554	-0.24830	-0.26110	-0.27339	-0.28537	-0.29778	-0.31717	-0.35376	-0.41466	-0.50381	-0.62451	-0.77323	-0.92332	-1.06517	-1.19547	-1.30263	-1.38982	-1.46114	-1.54207	-1.59588	-1.66941	-1.71710	-1.78778	-1.83364	-1.87830	-1.92660	-2.19945	-2.21662	-2.29403	-2.30812	-2.45988	-2.70636	-2.89748	-3.12334	-3.26816	-3.33543	-3.22417	-2.52622	-2.21098	-2.19977	 0.39403	 0.86987	 0.99999	 0.95742	 0.85806	 0.74415	 0.62210	 0.52774	 0.43100	 0.34089	 0.26257	 0.17885	 0.11987	 0.07285	 0.05634	 0.05700	 0.08166	 0.10641	 0.13693	 0.18444	 0.21066	-0.21072	  1.1965	-0.200786	 -0.0573	
      16	  12.256	0.044468	  1.2053	 -0.0553	  1.1872	-0.212391	2.985E+6	   0.230	 3731.35	   80.31	   0.000	-0.25358	-0.32516	-0.33368	-0.33753	-0.34123	-0.34391	-0.34380	-0.34442	-0.34951	-0.36752	-0.40507	-0.47019	-0.57942	-0.73534	-0.90700	-1.06537	-1.19865	-1.30648	-1.39696	-1.49247	-1.56003	-1.64595	-1.70501	-1.78815	-1.84575	-1.90009	-1.96067	-2.24504	-2.27771	-2.37763	-2.41407	-2.50773	-2.82257	-3.07483	-3.32859	-3.50910	-3.61841	-3.54355	-2.84376	-2.53566	-2.52954	 0.27439	 0.81968	 0.99510	 0.97357	 0.88496	 0.77572	 0.65593	 0.56030	 0.46192	 0.36873	 0.28867	 0.20184	 0.13884	 0.08738	 0.06590	 0.06184	 0.08170	 0.10166	 0.12717	 0.16993	 0.17907	-0.27748	  1.1877	-0.212605	 -0.0556	
      17	  13.257	0.057214	  1.2303	 -0.0579	  1.2107	-0.226456	2.978E+6	   0.229	 3717.38	   80.18	   0.000	-0.31216	-0.38876	-0.39717	-0.39675	-0.39443	-0.39222	-0.38773	-0.38309	-0.37841	-0.37828	-0.38790	-0.41737	-0.49782	-0.64310	-0.82177	-0.99369	-1.14264	-1.26355	-1.36715	-1.47304	-1.55080	-1.64631	-1.71342	-1.80747	-1.87697	-1.93872	-2.01066	-2.30766	-2.35515	-2.47312	-2.53461	-2.63569	-2.91983	-3.27360	-3.56457	-3.78340	-3.93884	-3.90745	-3.20339	-2.90626	-2.88677	 0.13278	 0.75701	 0.98389	 0.98685	 0.91100	 0.80766	 0.69116	 0.59465	 0.49532	 0.39943	 0.31773	 0.22828	 0.16172	 0.10620	 0.08011	 0.07189	 0.08731	 0.10315	 0.12452	 0.16352	 0.16131	-0.33079	  1.2114	-0.227010	 -0.0582	
      18	  14.267	0.061833	  1.2100	 -0.0520	  1.1879	-0.238262	2.974E+6	   0.229	 3713.26	   80.16	   0.000	-0.36625	-0.42453	-0.42679	-0.41981	-0.41095	-0.40279	-0.39405	-0.38602	-0.37774	-0.37235	-0.37103	-0.37420	-0.39811	-0.47301	-0.62350	-0.81385	-0.99618	-1.14529	-1.27365	-1.39801	-1.49133	-1.60197	-1.68244	-1.78971	-1.86942	-1.94349	-2.02783	-2.33479	-2.39720	-2.53152	-2.61355	-2.74838	-2.96333	-3.41205	-3.75615	-4.00637	-4.20249	-4.21307	-3.49958	-3.22401	-3.22474	 0.00410	 0.69696	 0.96924	 0.99437	 0.93021	 0.83252	 0.71910	 0.62209	 0.52190	 0.42394	 0.34038	 0.24833	 0.17828	 0.11869	 0.08822	 0.07620	 0.08739	 0.09875	 0.11562	 0.15038	 0.13486	-0.35294	  1.1888	-0.239257	 -0.0523	
      19	  15.270	0.071418	  1.2094	 -0.0504	  1.1855	-0.249615	2.972E+6	   0.229	 3712.12	   80.18	   0.000	-0.39686	-0.44574	-0.44673	-0.43928	-0.42945	-0.42058	-0.41095	-0.40203	-0.39266	-0.38592	-0.38256	-0.38100	-0.38879	-0.41963	-0.50839	-0.67244	-0.86959	-1.04111	-1.19114	-1.33190	-1.43945	-1.56306	-1.65493	-1.77460	-1.86473	-1.94905	-2.04486	-2.36183	-2.43872	-2.58820	-2.68804	-2.84805	-3.05581	-3.53155	-3.94822	-4.22698	-4.46574	-4.51286	-3.80101	-3.55235	-3.55947	-0.13258	 0.63083	 0.95008	 0.99891	 0.94734	 0.85600	 0.74624	 0.64931	 0.54894	 0.44946	 0.36386	 0.27011	 0.19690	 0.13361	 0.09948	 0.08397	 0.09104	 0.09852	 0.11157	 0.14304	 0.11926	-0.37218	  1.1867	-0.251012	 -0.0507	
      20	  -0.006	0.008341	  0.2634	 -0.0680	  0.2634	0.008368	3.020E+6	   0.233	 3839.05	   81.52	   0.000	 0.17159	 0.10036	 0.04057	-0.02393	-0.09244	-0.16529	-0.24324	-0.31911	-0.39556	-0.46842	-0.53979	-0.61304	-0.67287	-0.71944	-0.76042	-0.79972	-0.81349	-0.81452	-0.79594	-0.78846	-0.76153	-0.73464	-0.69765	-0.66200	-0.60903	-0.55701	-0.48325	-0.56418	-0.45378	-0.37473	-0.27102	-0.16474	-0.06320	 0.05781	 0.20236	 0.39217	 0.60378	 0.81549	 0.96894	 0.99826	 0.99889	 0.49566	 0.15899	-0.07345	-0.16707	-0.25006	-0.30279	-0.38885	-0.34676	-0.38629	-0.41110	-0.42071	-0.44574	-0.43446	-0.40905	-0.34764	-0.27591	-0.17227	-0.08376	 0.00752	 0.10639	 0.24372	 0.17128	  0.2632	0.008428	 -0.0681	
