   Runnr	Alpha-pr	Cd-press	Cl-press	Cm-press	Cn-press	Ct-press	Re-press	 M-press	 Q-press	 V-press	    Flap	 Cpu_001	 Cpu_002	 Cpu_003	 Cpu_004	 Cpu_005	 Cpu_006	 Cpu_007	 Cpu_008	 Cpu_009	 Cpu_010	 Cpu_011	 Cpu_012	 Cpu_013	 Cpu_014	 Cpu_015	 Cpu_016	 Cpu_017	 Cpu_018	 Cpu_019	 Cpu_020	 Cpu_021	 Cpu_022	 Cpu_023	 Cpu_024	 Cpu_025	 Cpu_026	 Cpu_027	 Cpu_028	 Cpu_029	 Cpu_030	 Cpu_031	 Cpu_032	 Cpu_033	 Cpu_034	 Cpu_035	 Cpu_036	 Cpu_037	 Cpu_038	 Cpu_039	 Cpu_040	 Cpl_001	 Cpl_002	 Cpl_003	 Cpl_004	 Cpl_005	 Cpl_006	 Cpl_007	 Cpl_008	 Cpl_009	 Cpl_010	 Cpl_011	 Cpl_012	 Cpl_013	 Cpl_014	 Cpl_015	 Cpl_016	 Cpl_017	 Cpl_018	 Cpl_019	 Cpl_020	 Cpl_021	 Cpl_022	 Cpl_023	Cn-p-cor	Ct-p-cor	Cm-p-cor
      10	  13.222	0.058925	  1.0452	 -0.0462	  1.0310	-0.181689	2.952E+6	   0.235	 3864.18	   82.93	   0.000	-0.33955	-0.39403	-0.40308	-0.40227	-0.39762	-0.39388	-0.38837	-0.38296	-0.37606	-0.37332	-0.37502	-0.38327	-0.40758	-0.45310	-0.53404	-0.65268	-0.79824	-0.93929	-1.07221	-1.19739	-1.29193	-1.39714	-1.47583	-1.56981	-1.63765	-1.70772	-1.79448	-1.94965	-2.20319	-2.28559	-2.33774	-2.43797	-2.58908	-2.86574	-3.12985	-3.28806	-3.37139	-3.28458	-2.60109	-2.29555	-2.29687	 0.36260	 0.85899	 0.99891	 0.96020	 0.85953	 0.73958	 0.63415	 0.53409	 0.43268	 0.33914	 0.25425	 0.16525	 0.09875	 0.04432	 0.02062	 0.01539	 0.03408	 0.05127	 0.07453	 0.11531	 0.11234	-0.35599	  1.0314	-0.182658	 -0.0464	
      11	  14.237	0.073591	  1.0805	 -0.0494	  1.0654	-0.194383	2.956E+6	   0.235	 3879.16	   83.11	   0.000	-0.39757	-0.43685	-0.43720	-0.43183	-0.42510	-0.41925	-0.41345	-0.40861	-0.40298	-0.40097	-0.40167	-0.40527	-0.42262	-0.45819	-0.52941	-0.64018	-0.78301	-0.92221	-1.05661	-1.18493	-1.28497	-1.39778	-1.48338	-1.58663	-1.66260	-1.74331	-1.84071	-2.00633	-2.26812	-2.36653	-2.43695	-2.55691	-2.73484	-2.97897	-3.34810	-3.53864	-3.66508	-3.61873	-2.93348	-2.63681	-2.63820	 0.23542	 0.80498	 0.99260	 0.97593	 0.88697	 0.77285	 0.66818	 0.56728	 0.46510	 0.36971	 0.28239	 0.19087	 0.12097	 0.06261	 0.03427	 0.02532	 0.03971	 0.05285	 0.07228	 0.10978	 0.09668	-0.38367	  1.0662	-0.195613	 -0.0496	
      12	  15.238	0.093598	  1.0813	 -0.0555	  1.0679	-0.193880	2.946E+6	   0.235	 3853.89	   82.86	   0.000	-0.45147	-0.48556	-0.48520	-0.47944	-0.47220	-0.46581	-0.45932	-0.45418	-0.44806	-0.44469	-0.44278	-0.44161	-0.44945	-0.46489	-0.50043	-0.56436	-0.67333	-0.80347	-0.94442	-1.08418	-1.19737	-1.32346	-1.42051	-1.53549	-1.62160	-1.71427	-1.82206	-1.99467	-2.25957	-2.37167	-2.45857	-2.59372	-2.79038	-3.01407	-3.44157	-3.66007	-3.81784	-3.80307	-3.13289	-2.84809	-2.84959	 0.14800	 0.76549	 0.98532	 0.98449	 0.90406	 0.79437	 0.69051	 0.58914	 0.48634	 0.38944	 0.30023	 0.20635	 0.13345	 0.07184	 0.04007	 0.02778	 0.03856	 0.04815	 0.06408	 0.09867	 0.07619	-0.42447	  1.0692	-0.195471	 -0.0558	
      13	  15.236	0.091016	  1.0692	 -0.0536	  1.0555	-0.193145	2.944E+6	   0.234	 3852.11	   82.85	   0.000	-0.44486	-0.47795	-0.47791	-0.47273	-0.46556	-0.45914	-0.45230	-0.44651	-0.43950	-0.43565	-0.43326	-0.43171	-0.43877	-0.45292	-0.48580	-0.54477	-0.64758	-0.77477	-0.91639	-1.05856	-1.17464	-1.30386	-1.40327	-1.51990	-1.60767	-1.70143	-1.81024	-1.98330	-2.24770	-2.36072	-2.44828	-2.58369	-2.77998	-3.00348	-3.43206	-3.64977	-3.80740	-3.79274	-3.12327	-2.83893	-2.84037	 0.15104	 0.76693	 0.98582	 0.98452	 0.90394	 0.79415	 0.69031	 0.58893	 0.48612	 0.38927	 0.29998	 0.20605	 0.13311	 0.07144	 0.03966	 0.02726	 0.03803	 0.04743	 0.06331	 0.09777	 0.07591	-0.41691	  1.0567	-0.194752	 -0.0539	
      14	   7.183	0.014813	  0.9160	 -0.0542	  0.9106	-0.099834	2.976E+6	   0.237	 3937.50	   83.73	   0.000	-0.02485	-0.04768	-0.06467	-0.08825	-0.11896	-0.15823	-0.21679	-0.30332	-0.41141	-0.52415	-0.63818	-0.75485	-0.86493	-0.96161	-1.05379	-1.14072	-1.20655	-1.25471	-1.28822	-1.33111	-1.35125	-1.38160	-1.39597	-1.42148	-1.42523	-1.42905	-1.44269	-1.52399	-1.70029	-1.68259	-1.63151	-1.61532	-1.68005	-1.71619	-1.75687	-1.70269	-1.55950	-1.28700	-0.69494	-0.38633	-0.38660	 0.91907	 0.99608	 0.88980	 0.73841	 0.58831	 0.45012	 0.35814	 0.27642	 0.18733	 0.11197	 0.04862	-0.01871	-0.05899	-0.08430	-0.07726	-0.05358	-0.00413	 0.04188	 0.09308	 0.15854	 0.22553	-0.02456	  0.9103	-0.099408	 -0.0544	
      15	   5.140	0.011268	  0.7639	 -0.0610	  0.7618	-0.057209	2.989E+6	   0.238	 3972.88	   84.11	   0.000	 0.06002	 0.03132	-0.00351	-0.04757	-0.10241	-0.17489	-0.26222	-0.35556	-0.45573	-0.55477	-0.65365	-0.75536	-0.84918	-0.92907	-1.00518	-1.07694	-1.12645	-1.15917	-1.17608	-1.20303	-1.20811	-1.22041	-1.21841	-1.22474	-1.21024	-1.19470	-1.18522	-1.23637	-1.37188	-1.32124	-1.24253	-1.21026	-1.19739	-1.17181	-1.13650	-1.01230	-0.80969	-0.50669	-0.00530	 0.26441	 0.26473	 0.99846	 0.91814	 0.73110	 0.56000	 0.40565	 0.27166	 0.19833	 0.13043	 0.05126	-0.01326	-0.06507	-0.12241	-0.15068	-0.16336	-0.14288	-0.10676	-0.04355	 0.01434	 0.07638	 0.15121	 0.24099	 0.05960	  0.7614	-0.056858	 -0.0612	
      16	   3.076	0.009052	  0.5714	 -0.0643	  0.5710	-0.021623	2.991E+6	   0.238	 3978.64	   84.17	   0.000	 0.11306	 0.07155	 0.02247	-0.03676	-0.10360	-0.18115	-0.26699	-0.35390	-0.44426	-0.53226	-0.61932	-0.70883	-0.78887	-0.85439	-0.91628	-0.97381	-1.00866	-1.02738	-1.02941	-1.04143	-1.03260	-1.02791	-1.01113	-0.99908	-0.96854	-0.93540	-0.90486	-0.92684	-1.01914	-0.94290	-0.85881	-0.77357	-0.71538	-0.63684	-0.53956	-0.36652	-0.13307	 0.16548	 0.54560	 0.74498	 0.74531	 0.94148	 0.71218	 0.47273	 0.30782	 0.16473	 0.04635	 0.00017	-0.04680	-0.11207	-0.16321	-0.20060	-0.24540	-0.25981	-0.25819	-0.22266	-0.17295	-0.09476	-0.02481	 0.04863	 0.13261	 0.24066	 0.11249	  0.5706	-0.021428	 -0.0644	
      17	   1.019	0.007604	  0.3577	 -0.0651	  0.3578	0.001243	3.001E+6	   0.239	 4006.50	   84.47	   0.000	 0.14730	 0.09071	 0.03489	-0.02797	-0.09536	-0.16958	-0.24968	-0.32891	-0.40972	-0.48759	-0.56343	-0.64127	-0.70834	-0.76034	-0.80876	-0.85261	-0.87367	-0.87929	-0.86775	-0.86614	-0.84483	-0.82487	-0.79473	-0.76626	-0.72181	-0.67352	-0.62511	-0.62009	-0.67348	-0.58396	-0.47031	-0.36096	-0.27060	-0.15496	-0.01806	 0.17638	 0.40617	 0.65757	 0.88973	 0.98149	 0.98190	 0.67985	 0.35650	 0.10514	-0.01970	-0.13217	-0.21205	-0.23185	-0.25092	-0.29705	-0.33096	-0.35099	-0.38066	-0.37904	-0.36127	-0.30917	-0.24463	-0.15055	-0.06790	 0.01705	 0.10966	 0.23223	 0.14611	  0.3575	0.001316	 -0.0651	
      18	  -1.028	0.006547	  0.1393	 -0.0644	  0.1392	0.009046	2.996E+6	   0.239	 3996.30	   84.37	   0.000	 0.16681	 0.09980	 0.04399	-0.01685	-0.08087	-0.14934	-0.22258	-0.29395	-0.36541	-0.43348	-0.49934	-0.56554	-0.62054	-0.66009	-0.69592	-0.72704	-0.73592	-0.73003	-0.70654	-0.69281	-0.66083	-0.62755	-0.58643	-0.54395	-0.48864	-0.42795	-0.36507	-0.33926	-0.36189	-0.25177	-0.12764	-0.00309	 0.10572	 0.24058	 0.39325	 0.57974	 0.76997	 0.93180	 1.00000	 0.96052	 0.96083	 0.20984	-0.14206	-0.35735	-0.40973	-0.47236	-0.50800	-0.48632	-0.47122	-0.49375	-0.50753	-0.50770	-0.51992	-0.50091	-0.46562	-0.39610	-0.31630	-0.20626	-0.11082	-0.01453	 0.08492	 0.21766	 0.16553	  0.1391	0.009086	 -0.0645	
      19	  -3.084	0.006235	 -0.0912	 -0.0629	 -0.0914	0.001322	2.997E+6	   0.239	 3997.57	   84.39	   0.000	 0.17589	 0.10521	 0.05384	-0.00200	-0.06078	-0.12228	-0.18794	-0.25107	-0.31303	-0.37121	-0.42657	-0.48130	-0.52458	-0.55196	-0.57582	-0.59456	-0.59168	-0.57510	-0.54090	-0.51599	-0.47474	-0.42948	-0.37915	-0.32442	-0.26101	-0.18973	-0.11733	-0.07671	-0.06298	 0.05469	 0.18306	 0.31183	 0.42852	 0.56508	 0.70856	 0.85665	 0.96860	 0.99824	 0.89821	 0.65869	 0.65870	-0.50544	-0.81883	-0.94304	-0.88560	-0.86473	-0.84757	-0.77573	-0.71784	-0.71079	-0.69987	-0.67626	-0.66782	-0.62894	-0.57365	-0.48486	-0.38839	-0.26150	-0.15274	-0.04564	 0.05929	 0.19727	 0.17500	 -0.0913	0.001434	 -0.0629	
