   Runnr	Alpha-pr	Cd-press	Cl-press	Cm-press	Cn-press	Ct-press	Re-press	 M-press	 Q-press	 V-press	    Flap	 Cpu_001	 Cpu_002	 Cpu_003	 Cpu_004	 Cpu_005	 Cpu_006	 Cpu_007	 Cpu_008	 Cpu_009	 Cpu_010	 Cpu_011	 Cpu_012	 Cpu_013	 Cpu_014	 Cpu_015	 Cpu_016	 Cpu_017	 Cpu_018	 Cpu_019	 Cpu_020	 Cpu_021	 Cpu_022	 Cpu_023	 Cpu_024	 Cpu_025	 Cpu_026	 Cpu_027	 Cpu_028	 Cpu_029	 Cpu_030	 Cpu_031	 Cpu_032	 Cpu_033	 Cpu_034	 Cpu_035	 Cpu_036	 Cpu_037	 Cpu_038	 Cpu_039	 Cpu_040	 Cpl_001	 Cpl_002	 Cpl_003	 Cpl_004	 Cpl_005	 Cpl_006	 Cpl_007	 Cpl_008	 Cpl_009	 Cpl_010	 Cpl_011	 Cpl_012	 Cpl_013	 Cpl_014	 Cpl_015	 Cpl_016	 Cpl_017	 Cpl_018	 Cpl_019	 Cpl_020	 Cpl_021	 Cpl_022	 Cpl_023	Cn-p-cor	Ct-p-cor	Cm-p-cor
      10	   5.156	0.009162	  0.8921	 -0.0795	  0.8893	-0.071041	2.994E+6	   0.229	 3704.77	   79.81	   0.000	 0.17217	 0.09241	 0.01854	-0.06227	-0.14843	-0.24065	-0.34040	-0.43861	-0.54131	-0.63943	-0.73815	-0.84485	-0.93615	-1.00506	-1.06326	-1.18806	-1.24665	-1.27251	-1.29570	-1.31765	-1.32927	-1.33504	-1.35096	-1.36730	-1.35361	-1.32867	-1.32892	-1.37498	-1.43632	-1.41736	-1.36874	-1.33980	-1.33314	-1.33398	-1.32044	-1.21630	-1.03385	-0.74219	-0.21537	 0.07001	 0.08541	 0.98515	 0.95941	 0.80251	 0.63829	 0.49144	 0.36409	 0.25489	 0.17918	 0.10078	 0.03216	-0.02165	-0.07151	-0.10625	-0.12069	-0.10274	-0.07005	-0.02447	 0.06890	 0.12168	 0.19966	 0.30578	 0.17447	  0.8889	-0.070471	 -0.0797	
      11	   6.176	0.010584	  0.9877	 -0.0776	  0.9831	-0.095741	3.000E+6	   0.229	 3724.07	   80.04	   0.000	 0.14093	 0.08346	 0.01688	-0.06026	-0.14521	-0.23943	-0.34197	-0.44423	-0.55179	-0.65555	-0.76065	-0.87280	-0.97256	-1.05564	-1.13646	-1.22021	-1.26830	-1.29756	-1.35859	-1.40551	-1.42316	-1.43655	-1.46070	-1.48705	-1.48205	-1.46689	-1.48088	-1.54233	-1.62185	-1.62108	-1.58939	-1.58193	-1.60257	-1.63922	-1.66786	-1.60159	-1.45320	-1.17946	-0.60390	-0.29762	-0.28542	 0.93287	 0.99407	 0.88322	 0.73173	 0.58761	 0.45771	 0.34392	 0.26107	 0.17733	 0.10253	 0.04271	-0.01268	-0.05318	-0.07404	-0.06291	-0.03602	 0.00666	 0.08919	 0.13684	 0.20934	 0.30420	 0.15219	  0.9828	-0.095054	 -0.0778	
      12	   7.198	0.012726	  1.0638	 -0.0730	  1.0570	-0.120656	2.993E+6	   0.229	 3710.66	   79.91	   0.000	 0.10316	 0.06281	 0.00960	-0.05704	-0.13538	-0.22793	-0.33072	-0.43575	-0.54796	-0.65697	-0.76772	-0.88445	-0.99161	-1.08482	-1.17573	-1.26585	-1.32921	-1.37763	-1.40633	-1.45123	-1.46584	-1.49835	-1.49490	-1.54943	-1.58994	-1.59479	-1.62605	-1.69978	-1.79501	-1.81251	-1.79887	-1.81429	-1.86329	-1.93721	-2.01017	-1.98600	-1.87749	-1.62937	-1.01317	-0.69504	-0.68489	 0.85076	 0.99999	 0.93923	 0.80579	 0.66782	 0.53771	 0.42126	 0.33292	 0.24469	 0.16500	 0.09987	 0.03883	-0.00648	-0.03348	-0.02883	-0.00762	 0.03095	 0.09055	 0.14779	 0.21456	 0.29748	 0.09953	  1.0567	-0.119888	 -0.0732	
      13	   8.224	0.014477	  1.1457	 -0.0692	  1.1360	-0.149553	2.999E+6	   0.229	 3729.10	   80.12	   0.000	 0.06513	 0.03426	-0.00566	-0.05853	-0.12600	-0.21298	-0.31504	-0.42298	-0.54018	-0.65510	-0.77213	-0.89510	-1.00952	-1.11099	-1.21009	-1.30745	-1.37957	-1.43597	-1.47439	-1.52776	-1.55308	-1.59739	-1.61426	-1.65346	-1.65476	-1.65869	-1.75366	-1.87110	-1.98372	-2.01958	-2.02472	-2.06495	-2.14577	-2.26125	-2.38442	-2.40959	-2.34983	-2.13690	-1.48392	-1.15891	-1.15357	 0.73157	 0.98216	 0.97783	 0.86938	 0.74113	 0.61339	 0.49584	 0.40322	 0.31138	 0.22751	 0.15758	 0.09167	 0.04099	 0.00851	 0.00682	 0.02191	 0.05549	 0.09600	 0.16134	 0.22162	 0.29229	 0.05735	  1.1358	-0.148703	 -0.0694	
      14	   9.251	0.016781	  1.2110	 -0.0642	  1.1979	-0.178105	2.992E+6	   0.229	 3715.30	   79.99	   0.000	 0.00972	-0.01829	-0.04243	-0.07448	-0.11886	-0.18638	-0.27827	-0.38568	-0.50820	-0.63031	-0.75513	-0.88526	-1.00809	-1.11852	-1.22561	-1.33085	-1.41177	-1.47627	-1.52409	-1.58616	-1.62097	-1.67485	-1.70405	-1.75732	-1.77608	-1.80784	-1.83164	-1.95129	-2.14993	-2.20176	-2.22835	-2.30463	-2.41142	-2.56572	-2.73777	-2.81368	-2.80602	-2.63337	-1.95220	-1.62616	-1.62544	 0.59272	 0.94312	 0.99649	 0.91598	 0.79953	 0.67570	 0.55856	 0.46294	 0.36851	 0.28113	 0.20699	 0.13671	 0.08158	 0.04374	 0.03611	 0.04568	 0.07325	 0.11077	 0.16927	 0.22372	 0.28020	-0.00240	  1.1978	-0.177239	 -0.0644	
      15	  10.263	0.024161	  1.2271	 -0.0610	  1.2118	-0.194853	3.000E+6	   0.230	 3739.24	   80.27	   0.000	-0.08221	-0.14515	-0.17121	-0.19676	-0.21917	-0.23926	-0.25808	-0.29302	-0.36904	-0.48417	-0.62250	-0.77041	-0.91433	-1.04499	-1.16837	-1.28610	-1.38023	-1.45610	-1.51618	-1.58788	-1.63301	-1.69692	-1.73701	-1.80298	-1.83338	-1.87479	-1.91964	-2.05616	-2.21205	-2.24211	-2.31862	-2.45219	-2.60204	-2.77813	-2.98536	-3.10194	-3.13709	-2.99943	-2.30354	-1.98101	-1.98133	 0.47635	 0.90213	 0.99999	 0.94305	 0.83667	 0.71683	 0.60061	 0.50320	 0.40682	 0.31664	 0.23924	 0.16511	 0.10591	 0.06302	 0.05015	 0.05502	 0.07734	 0.11190	 0.15469	 0.21407	 0.25285	-0.13464	  1.2118	-0.194259	 -0.0613	
      16	  11.254	0.034868	  1.2131	 -0.0611	  1.1966	-0.202543	2.989E+6	   0.229	 3714.30	   80.01	   0.000	-0.19656	-0.26878	-0.28860	-0.30501	-0.31835	-0.32920	-0.33565	-0.34251	-0.35579	-0.38300	-0.43636	-0.53417	-0.68929	-0.85834	-1.01751	-1.15980	-1.27717	-1.37159	-1.44925	-1.53482	-1.59272	-1.66820	-1.71986	-1.79720	-1.83853	-1.88985	-1.94668	-2.09450	-2.26835	-2.32732	-2.33449	-2.49014	-2.73635	-2.93303	-3.16357	-3.31414	-3.38775	-3.28251	-2.58234	-2.26543	-2.26611	 0.37513	 0.86215	 0.99979	 0.96039	 0.86299	 0.74685	 0.63163	 0.53289	 0.43490	 0.34227	 0.26163	 0.18400	 0.12089	 0.07333	 0.05548	 0.05558	 0.07310	 0.10453	 0.13401	 0.19875	 0.21571	-0.22731	  1.1968	-0.202428	 -0.0613	
      17	  12.250	0.042406	  1.1910	 -0.0573	  1.1729	-0.211267	2.993E+6	   0.229	 3727.70	   80.18	   0.000	-0.28670	-0.35531	-0.36621	-0.37005	-0.37167	-0.37168	-0.36703	-0.36199	-0.35830	-0.36078	-0.37462	-0.40747	-0.48560	-0.63166	-0.81922	-0.99508	-1.14369	-1.26229	-1.36195	-1.46410	-1.53709	-1.62615	-1.69056	-1.78030	-1.83333	-1.89508	-1.96450	-2.12333	-2.31177	-2.39269	-2.42233	-2.51341	-2.83837	-3.08386	-3.34039	-3.52420	-3.63664	-3.56515	-2.86435	-2.55564	-2.56628	 0.26733	 0.81660	 0.99495	 0.97469	 0.88713	 0.77527	 0.66151	 0.56191	 0.46246	 0.36759	 0.28410	 0.20299	 0.13609	 0.08403	 0.06108	 0.05668	 0.06967	 0.09696	 0.12380	 0.17748	 0.18014	-0.29421	  1.1733	-0.211613	 -0.0575	
      18	  13.251	0.055071	  1.2021	 -0.0580	  1.1827	-0.221926	2.995E+6	   0.230	 3737.96	   80.32	   0.000	-0.35038	-0.41276	-0.41869	-0.41685	-0.41278	-0.40796	-0.40056	-0.39326	-0.38568	-0.38013	-0.38022	-0.38871	-0.43083	-0.53544	-0.70766	-0.89496	-1.06220	-1.19655	-1.31089	-1.42466	-1.50843	-1.60806	-1.68235	-1.78248	-1.84555	-1.91670	-1.99727	-2.16682	-2.36949	-2.46781	-2.52156	-2.61736	-2.91091	-3.25589	-3.54330	-3.76163	-3.91583	-3.88465	-3.17976	-2.88070	-2.87500	 0.14173	 0.76056	 0.98468	 0.98616	 0.91001	 0.80363	 0.69209	 0.59203	 0.49161	 0.39494	 0.30885	 0.22476	 0.15448	 0.09827	 0.07091	 0.06253	 0.07134	 0.09493	 0.11960	 0.15438	 0.15948	-0.33838	  1.1833	-0.222624	 -0.0582	
      19	  14.267	0.065610	  1.2168	 -0.0567	  1.1954	-0.236286	2.994E+6	   0.230	 3744.38	   80.43	   0.000	-0.38525	-0.44393	-0.44511	-0.43855	-0.43050	-0.42302	-0.41476	-0.40726	-0.39996	-0.39387	-0.39127	-0.39213	-0.41210	-0.47614	-0.61797	-0.80554	-0.98965	-1.14008	-1.26958	-1.39510	-1.48952	-1.59933	-1.68314	-1.79326	-1.86563	-1.94629	-2.03779	-2.21853	-2.43524	-2.54998	-2.62420	-2.75534	-2.96905	-3.42508	-3.76528	-4.01701	-4.21522	-4.22608	-3.51147	-3.23149	-3.22063	 0.00173	 0.69556	 0.96886	 0.99445	 0.93095	 0.83080	 0.72213	 0.62206	 0.52114	 0.42293	 0.33454	 0.24780	 0.17452	 0.11450	 0.08318	 0.07115	 0.07600	 0.09604	 0.11789	 0.14580	 0.14591	-0.36610	  1.1964	-0.237322	 -0.0570	
      20	  15.258	0.075747	  1.2097	 -0.0553	  1.1870	-0.245287	2.993E+6	   0.230	 3748.04	   80.50	   0.000	-0.41731	-0.46663	-0.46598	-0.45790	-0.44818	-0.43968	-0.43068	-0.42247	-0.41434	-0.40712	-0.40265	-0.39934	-0.40529	-0.42818	-0.50210	-0.65246	-0.84790	-1.02230	-1.17499	-1.31772	-1.42694	-1.55034	-1.64596	-1.76775	-1.85048	-1.94147	-2.04404	-2.23495	-2.46445	-2.59406	-2.68531	-2.84107	-3.04660	-3.52299	-3.93378	-4.21101	-4.44784	-4.49054	-3.78123	-3.52796	-3.52095	-0.12250	 0.63529	 0.95156	 0.99883	 0.94688	 0.85265	 0.74689	 0.64717	 0.54593	 0.44647	 0.35604	 0.26686	 0.19069	 0.12707	 0.09211	 0.07674	 0.07763	 0.09397	 0.11249	 0.13833	 0.13132	-0.38703	  1.1883	-0.246739	 -0.0556	
