   Runnr	Alpha-pr	Cd-press	Cl-press	Cm-press	Cn-press	Ct-press	Re-press	 M-press	 Q-press	 V-press	    Flap	 Cpu_001	 Cpu_002	 Cpu_003	 Cpu_004	 Cpu_005	 Cpu_006	 Cpu_007	 Cpu_008	 Cpu_009	 Cpu_010	 Cpu_011	 Cpu_012	 Cpu_013	 Cpu_014	 Cpu_015	 Cpu_016	 Cpu_017	 Cpu_018	 Cpu_019	 Cpu_020	 Cpu_021	 Cpu_022	 Cpu_023	 Cpu_024	 Cpu_025	 Cpu_026	 Cpu_027	 Cpu_028	 Cpu_029	 Cpu_030	 Cpu_031	 Cpu_032	 Cpu_033	 Cpu_034	 Cpu_035	 Cpu_036	 Cpu_037	 Cpu_038	 Cpu_039	 Cpu_040	 Cpl_001	 Cpl_002	 Cpl_003	 Cpl_004	 Cpl_005	 Cpl_006	 Cpl_007	 Cpl_008	 Cpl_009	 Cpl_010	 Cpl_011	 Cpl_012	 Cpl_013	 Cpl_014	 Cpl_015	 Cpl_016	 Cpl_017	 Cpl_018	 Cpl_019	 Cpl_020	 Cpl_021	 Cpl_022	 Cpl_023	Cn-p-cor	Ct-p-cor	Cm-p-cor
       /	 degrees	       /	       /	       /	       /	       /	       /	       /	      Pa	     m/s	 degrees	  100.00	   94.76	   89.84	   84.97	   80.44	   75.81	   71.34	   67.21	   63.02	   59.06	   55.22	   51.47	   47.87	   44.31	   40.97	   37.84	   34.73	   31.83	   28.95	   26.24	   23.77	   21.21	   19.02	   16.69	   14.78	   12.88	   11.12	    9.52	    7.96	    6.55	    5.35	    4.20	    3.24	    2.37	    1.63	    1.03	    0.58	    0.26	    0.02	    0.00	    0.00	    0.51	    1.21	    2.24	    3.62	    5.34	    7.43	    9.84	   12.66	   15.80	   19.37	   23.34	   27.72	   32.33	   37.52	   42.99	   48.39	   54.79	   61.58	   68.55	   75.87	   92.00	  100.00	       /	       /	       /
       1	  -0.004	0.007537	  0.2482	 -0.0657	  0.2482	0.007554	2.972E+6	   0.234	 3849.94	   82.44	   0.000	 0.16282	 0.09836	 0.04107	-0.02185	-0.08847	-0.15997	-0.23686	-0.31233	-0.38858	-0.46070	-0.53064	-0.60309	-0.66335	-0.70937	-0.75047	-0.78803	-0.80222	-0.80156	-0.78412	-0.77488	-0.74717	-0.71786	-0.67612	-0.63400	-0.64996	-0.57375	-0.50997	-0.48900	-0.45965	-0.37590	-0.26807	-0.15855	-0.05548	 0.06334	 0.20745	 0.39777	 0.61103	 0.82140	 0.97275	 0.99897	 0.99956	 0.46812	 0.12690	-0.10226	-0.18902	-0.26696	-0.33346	-0.37642	-0.38867	-0.42065	-0.40886	-0.42534	-0.44778	-0.43825	-0.41210	-0.35146	-0.27906	-0.17654	-0.08831	 0.00319	 0.10041	 0.23123	 0.16195	  0.2480	0.007600	 -0.0657	
       2	   2.055	0.008757	  0.4718	 -0.0661	  0.4718	-0.008167	2.978E+6	   0.235	 3874.40	   82.74	   0.000	 0.13987	 0.08706	 0.03142	-0.03237	-0.10165	-0.17849	-0.26223	-0.34567	-0.43144	-0.51366	-0.59472	-0.67882	-0.75159	-0.81092	-0.86545	-0.91640	-0.94381	-0.95560	-0.95072	-0.95475	-0.93909	-0.92407	-0.89412	-0.86872	-0.90460	-0.84076	-0.79196	-0.79312	-0.79180	-0.72212	-0.63834	-0.55121	-0.46926	-0.38003	-0.26653	-0.08498	 0.14834	 0.42656	 0.73762	 0.89138	 0.89184	 0.84224	 0.56102	 0.31634	 0.17076	 0.05212	-0.04658	-0.12318	-0.16323	-0.22010	-0.23153	-0.26674	-0.30627	-0.31337	-0.30442	-0.26118	-0.20423	-0.11780	-0.04272	 0.03686	 0.12631	 0.24371	 0.13860	  0.4715	-0.008037	 -0.0662	
       3	   4.096	0.009967	  0.6829	 -0.0647	  0.6819	-0.038842	2.978E+6	   0.235	 3883.25	   82.87	   0.000	 0.10197	 0.06401	 0.01711	-0.04073	-0.10744	-0.18626	-0.27500	-0.36589	-0.46144	-0.55420	-0.64661	-0.74250	-0.82886	-0.90221	-0.97066	-1.03564	-1.07753	-1.10292	-1.11277	-1.13094	-1.12836	-1.12948	-1.11370	-1.10735	-1.16453	-1.11523	-1.08522	-1.11284	-1.14293	-1.10002	-1.03070	-0.98902	-0.94491	-0.90415	-0.84060	-0.69469	-0.47853	-0.17887	 0.26716	 0.50882	 0.50913	 0.99420	 0.84068	 0.62932	 0.46011	 0.31836	 0.19840	 0.09779	 0.03430	-0.03807	-0.06995	-0.12034	-0.17395	-0.19609	-0.20238	-0.17542	-0.13262	-0.06265	 0.00072	 0.06858	 0.14876	 0.24904	 0.10032	  0.6815	-0.038545	 -0.0649	
       1	   4.102	0.010051	  0.6831	 -0.0648	  0.6821	-0.038837	2.996E+6	   0.237	 3942.38	   83.54	   0.000	 0.10229	 0.06415	 0.01721	-0.04067	-0.10746	-0.18632	-0.27506	-0.36594	-0.46160	-0.55434	-0.64680	-0.74283	-0.82912	-0.90250	-0.97104	-1.03595	-1.07794	-1.10326	-1.11325	-1.13131	-1.12872	-1.12991	-1.11397	-1.10772	-1.16495	-1.11562	-1.08547	-1.11316	-1.14323	-1.10013	-1.03083	-0.98902	-0.94483	-0.90392	-0.84033	-0.69409	-0.47774	-0.17807	 0.26802	 0.50959	 0.50988	 0.99413	 0.84054	 0.62918	 0.46008	 0.31826	 0.19834	 0.09766	 0.03422	-0.03813	-0.07007	-0.12044	-0.17405	-0.19618	-0.20245	-0.17552	-0.13264	-0.06263	 0.00076	 0.06862	 0.14878	 0.24917	 0.10039	  0.6816	-0.038541	 -0.0649	
       2	   6.169	0.013027	  0.8643	 -0.0606	  0.8607	-0.079929	2.997E+6	   0.237	 3949.83	   83.65	   0.000	 0.04132	 0.01494	-0.01556	-0.05503	-0.10518	-0.17381	-0.26066	-0.35652	-0.46171	-0.56567	-0.67027	-0.77892	-0.87940	-0.96765	-1.05079	-1.13011	-1.18708	-1.22681	-1.25226	-1.28557	-1.29718	-1.31571	-1.31532	-1.32955	-1.40833	-1.37594	-1.36703	-1.42299	-1.48672	-1.47359	-1.43426	-1.41252	-1.42829	-1.45879	-1.46773	-1.38218	-1.21432	-0.93094	-0.38042	-0.08772	-0.08783	 0.96880	 0.97434	 0.83264	 0.67166	 0.52510	 0.39550	 0.28245	 0.19749	 0.11674	 0.06939	 0.00664	-0.05810	-0.09310	-0.11264	-0.09973	-0.07045	-0.01412	 0.03697	 0.09397	 0.16474	 0.24507	 0.03871	  0.8602	-0.079489	 -0.0607	
       3	   8.205	0.017522	  0.9878	 -0.0516	  0.9802	-0.123639	2.990E+6	   0.237	 3933.71	   83.49	   0.000	-0.06525	-0.09406	-0.10535	-0.11934	-0.13716	-0.16389	-0.20639	-0.27520	-0.37495	-0.48944	-0.61093	-0.73723	-0.85753	-0.96593	-1.06754	-1.16369	-1.23846	-1.29485	-1.33846	-1.38825	-1.41595	-1.45284	-1.46949	-1.50522	-1.60459	-1.59116	-1.60491	-1.68881	-1.78667	-1.80593	-1.79610	-1.81705	-1.87361	-1.98620	-2.07915	-2.06921	-1.97395	-1.73561	-1.11024	-0.79718	-0.79748	 0.83310	 0.99779	 0.94377	 0.81247	 0.67428	 0.54373	 0.42479	 0.32970	 0.23970	 0.17929	 0.10704	 0.03312	-0.01275	-0.04402	-0.04398	-0.02636	 0.01704	 0.05657	 0.10254	 0.16389	 0.21914	-0.08092	  0.9799	-0.123209	 -0.0517	
       4	  10.217	0.031570	  1.0183	 -0.0500	  1.0077	-0.149552	2.984E+6	   0.236	 3922.06	   83.39	   0.000	-0.23754	-0.28823	-0.29607	-0.30049	-0.30355	-0.30605	-0.30573	-0.30557	-0.30778	-0.32006	-0.34921	-0.41429	-0.53989	-0.69889	-0.85563	-0.99549	-1.11211	-1.20256	-1.27857	-1.35430	-1.40570	-1.46676	-1.50484	-1.56430	-1.68157	-1.69002	-1.72746	-1.83530	-1.96198	-2.01218	-2.03321	-2.08598	-2.19238	-2.35777	-2.53473	-2.59603	-2.57505	-2.39334	-1.73222	-1.41934	-1.41964	 0.66339	 0.96454	 0.98757	 0.89143	 0.76683	 0.64009	 0.51973	 0.41951	 0.32287	 0.25437	 0.17530	 0.09368	 0.03824	-0.00275	-0.01368	-0.00642	 0.02618	 0.05529	 0.09113	 0.14287	 0.16562	-0.23476	  1.0076	-0.149654	 -0.0502	
       5	  11.220	0.040923	  1.0179	 -0.0491	  1.0064	-0.157913	2.975E+6	   0.236	 3901.59	   83.20	   0.000	-0.29592	-0.34798	-0.35312	-0.35287	-0.35088	-0.34889	-0.34463	-0.34070	-0.33637	-0.33734	-0.34603	-0.36986	-0.42773	-0.53513	-0.68814	-0.84835	-0.99214	-1.10615	-1.20359	-1.29576	-1.36162	-1.43671	-1.48712	-1.55909	-1.68463	-1.70542	-1.75498	-1.87373	-2.01372	-2.07882	-2.11593	-2.18591	-2.30748	-2.49756	-2.71944	-2.81401	-2.82979	-2.67881	-2.00988	-1.70108	-1.70134	 0.57447	 0.93699	 0.99627	 0.91829	 0.80136	 0.67749	 0.55728	 0.45541	 0.35642	 0.28432	 0.20238	 0.11710	 0.05766	 0.01191	-0.00406	-0.00128	 0.02677	 0.05107	 0.08221	 0.12976	 0.14021	-0.28881	  1.0065	-0.158334	 -0.0493	
       6	  12.217	0.054783	  1.0465	 -0.0529	  1.0344	-0.167921	2.968E+6	   0.235	 3886.95	   83.06	   0.000	-0.35553	-0.40194	-0.40313	-0.39901	-0.39432	-0.39062	-0.38573	-0.38117	-0.37646	-0.37345	-0.37488	-0.38368	-0.41778	-0.49424	-0.62352	-0.77836	-0.93036	-1.05545	-1.16525	-1.26797	-1.34342	-1.42890	-1.48891	-1.57055	-1.70321	-1.73480	-1.79578	-1.92518	-2.07842	-2.15860	-2.21218	-2.30139	-2.43758	-2.65054	-2.92451	-3.05442	-3.10994	-2.99253	-2.31624	-2.01333	-2.01359	 0.47026	 0.89978	 0.99947	 0.94189	 0.83400	 0.71388	 0.59446	 0.49129	 0.39023	 0.31499	 0.23018	 0.14193	 0.07878	 0.02861	 0.00797	 0.00663	 0.03013	 0.05026	 0.07736	 0.12144	 0.12135	-0.33039	  1.0347	-0.168604	 -0.0531	
