   Runnr	Alpha-pr	Cd-press	Cl-press	Cm-press	Cn-press	Ct-press	Re-press	 M-press	 Q-press	 V-press	    Flap	 Cpu_001	 Cpu_002	 Cpu_003	 Cpu_004	 Cpu_005	 Cpu_006	 Cpu_007	 Cpu_008	 Cpu_009	 Cpu_010	 Cpu_011	 Cpu_012	 Cpu_013	 Cpu_014	 Cpu_015	 Cpu_016	 Cpu_017	 Cpu_018	 Cpu_019	 Cpu_020	 Cpu_021	 Cpu_022	 Cpu_023	 Cpu_024	 Cpu_025	 Cpu_026	 Cpu_027	 Cpu_028	 Cpu_029	 Cpu_030	 Cpu_031	 Cpu_032	 Cpu_033	 Cpu_034	 Cpu_035	 Cpu_036	 Cpu_037	 Cpu_038	 Cpu_039	 Cpu_040	 Cpl_001	 Cpl_002	 Cpl_003	 Cpl_004	 Cpl_005	 Cpl_006	 Cpl_007	 Cpl_008	 Cpl_009	 Cpl_010	 Cpl_011	 Cpl_012	 Cpl_013	 Cpl_014	 Cpl_015	 Cpl_016	 Cpl_017	 Cpl_018	 Cpl_019	 Cpl_020	 Cpl_021	 Cpl_022	 Cpl_023	Cn-p-cor	Ct-p-cor	Cm-p-cor
       /	 degrees	       /	       /	       /	       /	       /	       /	       /	      Pa	     m/s	 degrees	  100.00	   94.76	   89.84	   84.97	   80.44	   75.81	   71.34	   67.21	   63.02	   59.06	   55.22	   51.47	   47.87	   44.31	   40.97	   37.84	   34.73	   31.83	   28.95	   26.24	   23.77	   21.21	   19.02	   16.69	   14.78	   12.88	   11.12	    9.52	    7.96	    6.55	    5.35	    4.20	    3.24	    2.37	    1.63	    1.03	    0.58	    0.26	    0.02	    0.00	    0.00	    0.51	    1.21	    2.24	    3.62	    5.34	    7.43	    9.84	   12.66	   15.80	   19.37	   23.34	   27.72	   32.33	   37.52	   42.99	   48.39	   54.79	   61.58	   68.55	   75.87	   92.00	  100.00	       /	       /	       /
       1	  -0.010	0.007100	  0.2511	 -0.0654	  0.2511	0.007144	1.002E+6	   0.078	  428.07	   27.45	   0.000	 0.15958	 0.09331	 0.03638	-0.02618	-0.09175	-0.16379	-0.23722	-0.31376	-0.38404	-0.46000	-0.52720	-0.59497	-0.65633	-0.70401	-0.74287	-0.78252	-0.79689	-0.79370	-0.77920	-0.76902	-0.74776	-0.71820	-0.69059	-0.65151	-0.60646	-0.53959	-0.49288	-0.45897	-0.49756	-0.39799	-0.29388	-0.18269	-0.08184	 0.03929	 0.17933	 0.37640	 0.59323	 0.81333	 0.97216	 0.99790	 0.99780	 0.47370	 0.13177	-0.10424	-0.19924	-0.27193	-0.36295	-0.34331	-0.35206	-0.38524	-0.40783	-0.42488	-0.43647	-0.43070	-0.40795	-0.34888	-0.27709	-0.17522	-0.08711	 0.00236	 0.09911	 0.23065	 0.15881	  0.2512	0.007185	 -0.0656	
       2	   2.050	0.008280	  0.4713	 -0.0662	  0.4713	-0.008584	1.003E+6	   0.078	  428.11	   27.44	   0.000	 0.14370	 0.08516	 0.02755	-0.03748	-0.10650	-0.18500	-0.26567	-0.34982	-0.42905	-0.51469	-0.59297	-0.67207	-0.74468	-0.80442	-0.85698	-0.90826	-0.93492	-0.94466	-0.94130	-0.94356	-0.93389	-0.91799	-0.90216	-0.87706	-0.84253	-0.78522	-0.75910	-0.75888	-0.82697	-0.74593	-0.66033	-0.57533	-0.49631	-0.40882	-0.29950	-0.11375	 0.11968	 0.41102	 0.72241	 0.88212	 0.88177	 0.84738	 0.56454	 0.31493	 0.16119	 0.04502	-0.07822	-0.09621	-0.14130	-0.19290	-0.23414	-0.26993	-0.29756	-0.30774	-0.30219	-0.25939	-0.20182	-0.11652	-0.04144	 0.03706	 0.12493	 0.24255	 0.14247	  0.4716	-0.008462	 -0.0664	
       3	   4.098	0.009676	  0.6822	 -0.0660	  0.6812	-0.039096	1.005E+6	   0.078	  427.76	   27.40	   0.000	 0.11906	 0.07324	 0.01957	-0.04434	-0.11506	-0.19800	-0.28526	-0.37678	-0.46544	-0.56087	-0.64980	-0.73974	-0.82476	-0.89830	-0.96211	-1.02727	-1.06807	-1.08976	-1.10021	-1.11456	-1.11737	-1.11740	-1.11479	-1.10203	-1.08147	-1.03121	-1.03485	-1.08301	-1.17377	-1.11201	-1.05999	-1.00431	-0.96672	-0.92286	-0.87241	-0.72575	-0.51674	-0.20471	 0.23021	 0.48499	 0.48404	 0.99598	 0.84640	 0.62986	 0.45514	 0.31501	 0.17325	 0.11607	 0.05068	-0.01605	-0.07397	-0.12517	-0.16622	-0.19099	-0.20035	-0.17127	-0.12827	-0.05901	 0.00376	 0.07168	 0.15140	 0.25299	 0.11717	  0.6816	-0.038825	 -0.0664	
       4	   6.150	0.012046	  0.8728	 -0.0636	  0.8690	-0.081523	1.006E+6	   0.078	  427.47	   27.38	   0.000	 0.08022	 0.04948	 0.00780	-0.04733	-0.11354	-0.19702	-0.28904	-0.38714	-0.48443	-0.59056	-0.68999	-0.79083	-0.88889	-0.97563	-1.05310	-1.13179	-1.18532	-1.22095	-1.24492	-1.27477	-1.29159	-1.29940	-1.30949	-1.32223	-1.31290	-1.27974	-1.30338	-1.42722	-1.51980	-1.49157	-1.47020	-1.45686	-1.46636	-1.48591	-1.50669	-1.42666	-1.27053	-0.98671	-0.46005	-0.14491	-0.14874	 0.96004	 0.98035	 0.83912	 0.67536	 0.52995	 0.38287	 0.29748	 0.21724	 0.13987	 0.06906	 0.00552	-0.04922	-0.08763	-0.11022	-0.09701	-0.06543	-0.00546	 0.04747	 0.10349	 0.17390	 0.25808	 0.07832	  0.8697	-0.081099	 -0.0640	
       5	   8.195	0.014834	  1.0335	 -0.0575	  1.0251	-0.132633	1.005E+6	   0.078	  426.40	   27.34	   0.000	 0.00224	-0.01720	-0.03562	-0.06260	-0.10275	-0.16814	-0.25512	-0.35668	-0.46417	-0.58218	-0.69518	-0.80990	-0.92205	-1.02298	-1.11458	-1.20183	-1.27786	-1.32815	-1.36601	-1.41196	-1.44368	-1.47015	-1.49671	-1.53051	-1.53700	-1.51011	-1.53604	-1.71936	-1.86690	-1.87072	-1.88995	-1.92744	-1.98995	-2.07697	-2.17803	-2.18388	-2.12108	-1.89741	-1.31354	-0.97273	-0.97831	 0.77756	 0.99497	 0.95422	 0.83176	 0.69285	 0.55209	 0.45265	 0.36153	 0.27568	 0.19409	 0.11780	 0.05570	 0.00669	-0.02859	-0.02782	-0.00935	 0.02800	 0.07809	 0.12669	 0.18899	 0.25044	 0.00148	  1.0260	-0.132112	 -0.0579	
       6	  10.237	0.022006	  1.1293	 -0.0491	  1.1152	-0.179043	1.006E+6	   0.078	  425.73	   27.31	   0.000	-0.11748	-0.14495	-0.14536	-0.14960	-0.15536	-0.16797	-0.19320	-0.24801	-0.34898	-0.47299	-0.60508	-0.74168	-0.87347	-0.99507	-1.10424	-1.20860	-1.30104	-1.36685	-1.42243	-1.48533	-1.53266	-1.57629	-1.62066	-1.67400	-1.70099	-1.70320	-1.73835	-1.87115	-2.12628	-2.14783	-2.21970	-2.31345	-2.43327	-2.60466	-2.77185	-2.86622	-2.90003	-2.75423	-2.15043	-1.80973	-1.81660	 0.51712	 0.92844	 0.99422	 0.92249	 0.80294	 0.67097	 0.56541	 0.46831	 0.37463	 0.28921	 0.20434	 0.13424	 0.07700	 0.03109	 0.02003	 0.02865	 0.05510	 0.09242	 0.12923	 0.18308	 0.22110	-0.12476	  1.1165	-0.178699	 -0.0496	
       7	  12.232	0.036180	  1.1274	 -0.0457	  1.1095	-0.203507	1.003E+6	   0.078	  422.77	   27.21	   0.000	-0.28388	-0.32983	-0.32341	-0.31650	-0.30996	-0.30566	-0.30142	-0.29927	-0.29836	-0.30178	-0.31993	-0.38361	-0.52057	-0.69252	-0.85657	-1.01022	-1.13838	-1.23855	-1.32788	-1.41487	-1.48525	-1.55580	-1.62114	-1.69989	-1.75049	-1.77888	-1.84732	-1.94481	-2.24308	-2.30418	-2.36865	-2.42729	-2.78588	-2.96586	-3.17246	-3.33798	-3.45884	-3.38968	-2.79397	-2.46883	-2.47590	 0.27612	 0.83592	 0.99426	 0.96664	 0.86652	 0.74215	 0.63796	 0.53888	 0.43970	 0.34848	 0.25895	 0.18291	 0.11736	 0.06307	 0.04150	 0.04011	 0.05617	 0.08433	 0.11228	 0.15623	 0.16505	-0.28197	  1.1110	-0.203889	 -0.0462	
       8	  14.243	0.058970	  1.1217	 -0.0472	  1.1017	-0.218817	9.986E+5	   0.078	  419.06	   27.09	   0.000	-0.36383	-0.41942	-0.41838	-0.41004	-0.39951	-0.39030	-0.38004	-0.37194	-0.36487	-0.35837	-0.35409	-0.35394	-0.36983	-0.42091	-0.54069	-0.71463	-0.88911	-1.03440	-1.16343	-1.28208	-1.37879	-1.47602	-1.56358	-1.66515	-1.73685	-1.79062	-1.88203	-2.00596	-2.32185	-2.39827	-2.48194	-2.58769	-2.82176	-3.29861	-3.50066	-3.72124	-3.92156	-3.93177	-3.35859	-3.06012	-3.06785	 0.03103	 0.72800	 0.97563	 0.98969	 0.91082	 0.79831	 0.69541	 0.59501	 0.49442	 0.39946	 0.30497	 0.22319	 0.15088	 0.08814	 0.05849	 0.05001	 0.05855	 0.07674	 0.09823	 0.12910	 0.12698	-0.35310	  1.1037	-0.219976	 -0.0478	
       9	  16.232	0.085786	  1.1313	 -0.0525	  1.1101	-0.233855	9.962E+5	   0.077	  415.93	   26.98	   0.000	-0.43030	-0.48128	-0.48273	-0.47553	-0.46472	-0.45483	-0.44366	-0.43472	-0.42032	-0.41863	-0.41060	-0.40744	-0.40798	-0.41355	-0.43129	-0.49572	-0.62759	-0.79065	-0.95764	-1.11148	-1.23983	-1.36696	-1.47843	-1.60440	-1.69909	-1.77486	-1.88929	-2.03519	-2.37044	-2.48366	-2.60091	-2.75477	-2.99542	-3.42565	-3.87400	-4.12726	-4.38935	-4.48021	-3.93757	-3.67325	-3.67942	-0.24062	 0.59655	 0.93983	 0.99999	 0.94696	 0.84810	 0.74861	 0.64911	 0.54769	 0.45057	 0.35268	 0.26519	 0.18755	 0.11755	 0.08044	 0.06516	 0.06550	 0.07559	 0.08989	 0.11517	 0.09745	-0.40913	  1.1127	-0.235770	 -0.0531	
