   Runnr	Alpha-pr	Cd-press	Cl-press	Cm-press	Cn-press	Ct-press	Re-press	 M-press	 Q-press	 V-press	    Flap	 Cpu_001	 Cpu_002	 Cpu_003	 Cpu_004	 Cpu_005	 Cpu_006	 Cpu_007	 Cpu_008	 Cpu_009	 Cpu_010	 Cpu_011	 Cpu_012	 Cpu_013	 Cpu_014	 Cpu_015	 Cpu_016	 Cpu_017	 Cpu_018	 Cpu_019	 Cpu_020	 Cpu_021	 Cpu_022	 Cpu_023	 Cpu_024	 Cpu_025	 Cpu_026	 Cpu_027	 Cpu_028	 Cpu_029	 Cpu_030	 Cpu_031	 Cpu_032	 Cpu_033	 Cpu_034	 Cpu_035	 Cpu_036	 Cpu_037	 Cpu_038	 Cpu_039	 Cpu_040	 Cpl_001	 Cpl_002	 Cpl_003	 Cpl_004	 Cpl_005	 Cpl_006	 Cpl_007	 Cpl_008	 Cpl_009	 Cpl_010	 Cpl_011	 Cpl_012	 Cpl_013	 Cpl_014	 Cpl_015	 Cpl_016	 Cpl_017	 Cpl_018	 Cpl_019	 Cpl_020	 Cpl_021	 Cpl_022	 Cpl_023	Cn-p-cor	Ct-p-cor	Cm-p-cor
       /	 degrees	       /	       /	       /	       /	       /	       /	       /	      Pa	     m/s	 degrees	  100.00	   94.76	   89.84	   84.97	   80.44	   75.81	   71.34	   67.21	   63.02	   59.06	   55.22	   51.47	   47.87	   44.31	   40.97	   37.84	   34.73	   31.83	   28.95	   26.24	   23.77	   21.21	   19.02	   16.69	   14.78	   12.88	   11.12	    9.52	    7.96	    6.55	    5.35	    4.20	    3.24	    2.37	    1.63	    1.03	    0.58	    0.26	    0.02	    0.00	    0.00	    0.51	    1.21	    2.24	    3.62	    5.34	    7.43	    9.84	   12.66	   15.80	   19.37	   23.34	   27.72	   32.33	   37.52	   42.99	   48.39	   54.79	   61.58	   68.55	   75.87	   92.00	  100.00	       /	       /	       /
       1	   0.008	0.008992	  0.2548	 -0.0659	  0.2548	0.008954	2.994E+6	   0.229	 3718.29	   80.01	   0.000	 0.16408	 0.09889	 0.04028	-0.02266	-0.08890	-0.16125	-0.23889	-0.31391	-0.38979	-0.46265	-0.53340	-0.60684	-0.66571	-0.71300	-0.75384	-0.79264	-0.80515	-0.80736	-0.78852	-0.78070	-0.75446	-0.72860	-0.68970	-0.65141	-0.59801	-0.54701	-0.50742	-0.55715	-0.45265	-0.35978	-0.25889	-0.15370	-0.05317	 0.06649	 0.21124	 0.40041	 0.61141	 0.81963	 0.97156	 0.99963	 0.99952	 0.48991	 0.15362	-0.07692	-0.16766	-0.24612	-0.28289	-0.40861	-0.34899	-0.38944	-0.41278	-0.42427	-0.44720	-0.43598	-0.41091	-0.34990	-0.27836	-0.17509	-0.08681	 0.00409	 0.10122	 0.23394	 0.16290	  0.2546	0.009021	 -0.0659	
       2	   1.034	0.009681	  0.3658	 -0.0664	  0.3659	0.003080	2.996E+6	   0.230	 3735.34	   80.24	   0.000	 0.15596	 0.09483	 0.03578	-0.02847	-0.09662	-0.17205	-0.25324	-0.33235	-0.41302	-0.49084	-0.56691	-0.64619	-0.71113	-0.76465	-0.81200	-0.85731	-0.87605	-0.88423	-0.87114	-0.86981	-0.84910	-0.83029	-0.79666	-0.76573	-0.71750	-0.67308	-0.64275	-0.71117	-0.61242	-0.52784	-0.43402	-0.33911	-0.24958	-0.14183	-0.00867	 0.18061	 0.40646	 0.65353	 0.88509	 0.97927	 0.98449	 0.69633	 0.38253	 0.13985	 0.01723	-0.08397	-0.14225	-0.27473	-0.24055	-0.29127	-0.32433	-0.34547	-0.37626	-0.37372	-0.35720	-0.30483	-0.24096	-0.14595	-0.06403	 0.02072	 0.11397	 0.24017	 0.15387	  0.3657	0.003178	 -0.0665	
       3	   2.060	0.010240	  0.4791	 -0.0667	  0.4792	-0.006987	2.997E+6	   0.230	 3747.91	   80.42	   0.000	 0.14503	 0.08902	 0.03066	-0.03393	-0.10354	-0.18181	-0.26655	-0.34985	-0.43546	-0.51836	-0.60018	-0.68529	-0.75676	-0.81723	-0.87130	-0.92370	-0.94899	-0.96370	-0.95729	-0.96275	-0.94780	-0.93704	-0.90928	-0.88611	-0.84377	-0.80723	-0.78761	-0.87684	-0.78524	-0.71050	-0.62664	-0.54453	-0.46876	-0.37958	-0.26393	-0.08218	 0.14943	 0.42506	 0.73438	 0.88821	 0.89822	 0.85318	 0.57982	 0.33760	 0.19092	 0.07080	-0.00598	-0.14553	-0.13595	-0.19371	-0.23595	-0.26635	-0.30468	-0.31073	-0.30259	-0.25895	-0.20275	-0.11621	-0.04087	 0.03804	 0.12682	 0.24555	 0.14220	  0.4789	-0.006829	 -0.0668	
       4	   3.082	0.010842	  0.5883	 -0.0666	  0.5880	-0.020805	2.997E+6	   0.230	 3755.47	   80.53	   0.000	 0.13224	 0.08230	 0.02596	-0.03790	-0.10796	-0.18848	-0.27643	-0.36382	-0.45432	-0.54237	-0.62977	-0.72103	-0.79902	-0.86621	-0.92715	-0.98670	-1.01909	-1.04034	-1.04046	-1.05326	-1.04462	-1.04182	-1.02052	-1.00563	-0.97005	-0.94151	-0.93289	-1.04508	-0.96121	-0.89775	-0.82559	-0.75828	-0.70020	-0.63320	-0.54041	-0.37349	-0.14567	 0.14651	 0.52609	 0.72818	 0.74102	 0.95182	 0.73538	 0.50568	 0.34402	 0.21080	 0.11863	-0.02601	-0.03410	-0.10135	-0.15204	-0.19065	-0.23591	-0.24989	-0.24956	-0.21416	-0.16523	-0.08688	-0.01777	 0.05525	 0.13950	 0.25031	 0.12771	  0.5877	-0.020567	 -0.0667	
       5	   4.107	0.011506	  0.6944	 -0.0661	  0.6934	-0.038256	2.999E+6	   0.231	 3767.48	   80.69	   0.000	 0.11545	 0.07241	 0.02001	-0.04133	-0.11052	-0.19241	-0.28317	-0.37455	-0.46999	-0.56320	-0.65638	-0.75376	-0.83849	-0.91267	-0.98055	-1.04756	-1.08700	-1.11510	-1.12234	-1.14244	-1.14052	-1.14604	-1.13170	-1.12541	-1.09729	-1.07641	-1.08096	-1.21699	-1.14248	-1.09092	-1.03246	-0.98256	-0.94493	-0.90456	-0.84140	-0.69666	-0.48185	-0.18415	 0.25993	 0.50160	 0.51651	 0.99631	 0.85338	 0.64696	 0.47909	 0.33772	 0.23373	 0.08586	 0.06082	-0.01360	-0.07185	-0.11814	-0.16970	-0.19116	-0.19814	-0.17067	-0.12878	-0.05844	 0.00462	 0.07187	 0.15146	 0.25371	 0.10971	  0.6931	-0.037922	 -0.0662	
       6	   5.149	0.012808	  0.7939	 -0.0650	  0.7918	-0.058492	2.996E+6	   0.230	 3765.22	   80.69	   0.000	 0.09487	 0.05908	 0.01246	-0.04402	-0.11025	-0.19194	-0.28477	-0.37993	-0.48020	-0.57883	-0.67788	-0.78127	-0.87271	-0.95397	-1.02886	-1.10298	-1.14987	-1.18498	-1.19904	-1.22683	-1.23175	-1.24585	-1.23870	-1.24138	-1.22107	-1.20730	-1.22590	-1.38666	-1.32237	-1.28350	-1.24027	-1.20881	-1.19453	-1.18414	-1.15524	-1.03878	-0.84557	-0.55246	-0.05190	 0.22018	 0.23475	 0.99624	 0.93379	 0.75983	 0.59393	 0.44899	 0.33666	 0.18764	 0.14824	 0.06716	 0.00281	-0.05030	-0.10746	-0.13562	-0.14950	-0.12936	-0.09402	-0.03123	 0.02592	 0.08762	 0.16256	 0.25577	 0.08825	  0.7915	-0.058068	 -0.0652	
       7	   6.166	0.013886	  0.8895	 -0.0633	  0.8858	-0.081724	2.998E+6	   0.231	 3776.65	   80.84	   0.000	 0.06855	 0.03906	 0.00029	-0.04831	-0.10832	-0.18709	-0.28053	-0.37907	-0.48444	-0.58873	-0.69379	-0.80369	-0.90214	-0.99079	-1.07295	-1.15465	-1.20899	-1.25133	-1.27322	-1.30889	-1.32090	-1.34401	-1.34424	-1.35700	-1.34454	-1.33899	-1.37032	-1.55933	-1.50663	-1.48092	-1.45474	-1.44417	-1.45620	-1.47987	-1.49067	-1.40903	-1.24645	-0.96727	-0.41579	-0.11993	-0.10567	 0.96057	 0.98218	 0.85012	 0.69333	 0.54902	 0.43128	 0.28208	 0.23083	 0.14435	 0.07389	 0.01500	-0.04770	-0.08217	-0.10268	-0.08956	-0.06086	-0.00537	 0.04563	 0.10205	 0.17223	 0.25574	 0.06031	  0.8855	-0.081204	 -0.0634	
       8	   7.188	0.015402	  0.9748	 -0.0605	  0.9691	-0.106692	2.995E+6	   0.231	 3773.10	   80.82	   0.000	 0.03427	 0.00859	-0.02018	-0.05732	-0.10598	-0.17555	-0.26566	-0.36617	-0.47661	-0.58702	-0.69884	-0.81546	-0.92137	-1.01786	-1.10760	-1.19681	-1.25899	-1.30890	-1.33870	-1.38259	-1.40176	-1.43420	-1.44228	-1.46507	-1.46113	-1.46523	-1.50177	-1.72556	-1.68576	-1.67319	-1.66507	-1.67710	-1.71699	-1.77727	-1.83128	-1.78980	-1.66440	-1.40734	-0.81179	-0.50127	-0.48989	 0.89174	 0.99978	 0.91608	 0.77485	 0.63501	 0.51450	 0.36683	 0.30516	 0.21460	 0.13883	 0.07430	 0.00731	-0.03307	-0.05969	-0.05321	-0.03071	 0.01786	 0.06303	 0.11393	 0.17944	 0.25235	 0.02252	  0.9688	-0.106098	 -0.0607	
       9	   8.211	0.017838	  1.0437	 -0.0566	  1.0356	-0.131401	2.997E+6	   0.231	 3783.06	   80.95	   0.000	-0.01226	-0.03780	-0.05623	-0.08000	-0.11192	-0.16247	-0.23828	-0.33476	-0.44844	-0.56544	-0.68501	-0.80890	-0.92306	-1.02846	-1.12618	-1.22310	-1.29350	-1.35118	-1.38931	-1.44192	-1.46812	-1.51022	-1.52633	-1.55949	-1.56487	-1.58064	-1.58147	-1.88258	-1.84164	-1.85568	-1.86345	-1.89746	-1.96548	-2.06273	-2.16104	-2.16243	-2.07848	-1.85015	-1.21935	-0.90021	-0.88998	 0.79796	 0.99455	 0.95985	 0.83858	 0.70575	 0.58484	 0.43934	 0.36971	 0.27572	 0.19570	 0.12633	 0.05474	 0.00880	-0.02321	-0.02305	-0.00624	 0.03565	 0.07538	 0.12083	 0.18180	 0.24308	-0.02781	  1.0353	-0.130792	 -0.0568	
