   Runnr	Alpha-pr	Cd-press	Cl-press	Cm-press	Cn-press	Ct-press	Re-press	 M-press	 Q-press	 V-press	    Flap	 Cpu_001	 Cpu_002	 Cpu_003	 Cpu_004	 Cpu_005	 Cpu_006	 Cpu_007	 Cpu_008	 Cpu_009	 Cpu_010	 Cpu_011	 Cpu_012	 Cpu_013	 Cpu_014	 Cpu_015	 Cpu_016	 Cpu_017	 Cpu_018	 Cpu_019	 Cpu_020	 Cpu_021	 Cpu_022	 Cpu_023	 Cpu_024	 Cpu_025	 Cpu_026	 Cpu_027	 Cpu_028	 Cpu_029	 Cpu_030	 Cpu_031	 Cpu_032	 Cpu_033	 Cpu_034	 Cpu_035	 Cpu_036	 Cpu_037	 Cpu_038	 Cpu_039	 Cpu_040	 Cpl_001	 Cpl_002	 Cpl_003	 Cpl_004	 Cpl_005	 Cpl_006	 Cpl_007	 Cpl_008	 Cpl_009	 Cpl_010	 Cpl_011	 Cpl_012	 Cpl_013	 Cpl_014	 Cpl_015	 Cpl_016	 Cpl_017	 Cpl_018	 Cpl_019	 Cpl_020	 Cpl_021	 Cpl_022	 Cpl_023	Cn-p-cor	Ct-p-cor	Cm-p-cor
      10	  11.204	0.062731	  1.0044	 -0.0512	  0.9975	-0.133627	2.991E+6	   0.234	 3880.54	   82.51	   0.000	-0.28128	-0.33755	-0.34565	-0.34966	-0.35294	-0.35506	-0.35502	-0.35596	-0.35850	-0.36878	-0.39116	-0.43342	-0.51122	-0.62202	-0.75352	-0.88595	-1.00551	-1.10375	-1.18912	-1.27052	-1.32933	-1.40158	-1.45419	-1.53811	-1.65040	-1.68190	-1.72775	-1.83216	-1.93685	-1.99559	-2.03546	-2.11184	-2.21042	-2.37519	-2.55688	-2.66468	-2.66008	-2.49446	-1.83401	-1.50978	 0.04948	 0.63373	 0.95649	 0.99078	 0.90024	 0.77730	 0.65024	 0.52974	 0.42718	 0.33557	 0.25937	 0.17956	 0.09757	 0.03970	-0.00594	-0.01983	-0.01634	 0.01302	 0.03906	 0.07177	 0.12067	 0.13882	-0.30154	  0.9978	-0.133871	 -0.0514	
      11	  13.206	0.094757	  0.9626	 -0.0551	  0.9588	-0.127668	2.969E+6	   0.233	 3826.66	   81.96	   0.000	-0.42108	-0.46082	-0.46205	-0.45769	-0.45169	-0.44656	-0.44060	-0.43542	-0.42928	-0.42577	-0.42360	-0.42308	-0.43181	-0.45142	-0.49143	-0.56079	-0.66637	-0.78573	-0.91044	-1.02929	-1.12517	-1.23057	-1.31299	-1.42064	-1.54444	-1.60398	-1.67384	-1.79514	-1.92137	-2.00464	-2.07516	-2.18307	-2.31049	-2.50457	-2.73175	-2.90458	-2.95783	-2.84424	-2.18874	-1.87758	 0.04789	 0.50527	 0.91303	 0.99884	 0.93505	 0.82422	 0.70170	 0.58163	 0.47609	 0.38048	 0.29888	 0.21330	 0.12494	 0.05954	 0.00570	-0.01657	-0.02060	 0.00081	 0.01840	 0.04269	 0.08445	 0.07796	-0.39001	  0.9598	-0.128557	 -0.0553	
      12	  15.146	0.150599	  0.8535	 -0.0751	  0.8632	-0.077620	2.930E+6	   0.230	 3731.05	   80.97	   0.000	-0.53240	-0.56961	-0.57609	-0.57534	-0.57033	-0.56547	-0.55877	-0.55195	-0.54307	-0.53673	-0.53086	-0.52454	-0.52186	-0.52028	-0.52170	-0.52624	-0.53776	-0.55520	-0.58440	-0.62892	-0.68734	-0.77112	-0.85984	-0.97651	-1.09846	-1.20008	-1.30722	-1.44243	-1.58671	-1.69341	-1.79295	-1.91892	-2.05476	-2.25198	-2.48445	-2.66616	-2.73454	-2.64551	-2.03754	-1.75065	 0.04144	 0.51904	 0.91436	 0.99857	 0.93643	 0.82723	 0.70540	 0.58490	 0.47782	 0.37977	 0.29505	 0.20537	 0.11226	 0.04173	-0.01767	-0.04552	-0.05454	-0.03800	-0.02614	-0.00747	 0.03070	 0.01031	-0.48429	  0.8653	-0.078914	 -0.0755	cpt_wake < 0; 
      13	  14.167	0.120328	  0.9112	 -0.0636	  0.9129	-0.106351	2.949E+6	   0.231	 3783.93	   81.55	   0.000	-0.48375	-0.51797	-0.52075	-0.51716	-0.51142	-0.50601	-0.49949	-0.49331	-0.48543	-0.47976	-0.47446	-0.46928	-0.46923	-0.47282	-0.48388	-0.50488	-0.54511	-0.60539	-0.69163	-0.79676	-0.90055	-1.02137	-1.12286	-1.24428	-1.37175	-1.44988	-1.53375	-1.66111	-1.79442	-1.88731	-1.97050	-2.08768	-2.21885	-2.41648	-2.64717	-2.82864	-2.89121	-2.78965	-2.15283	-1.85260	 0.05421	 0.49944	 0.90949	 0.99879	 0.93784	 0.82866	 0.70677	 0.58654	 0.48013	 0.38317	 0.29995	 0.21215	 0.12128	 0.05309	-0.00356	-0.02868	-0.03527	-0.01663	-0.00200	 0.01911	 0.05870	 0.04384	-0.43727	  0.9144	-0.107519	 -0.0639	
      14	  12.201	0.076233	  0.9752	 -0.0510	  0.9693	-0.131595	2.988E+6	   0.234	 3889.99	   82.68	   0.000	-0.36861	-0.40936	-0.41097	-0.40769	-0.40381	-0.40034	-0.39616	-0.39222	-0.38759	-0.38645	-0.38828	-0.39570	-0.41984	-0.46953	-0.55780	-0.67969	-0.81540	-0.93788	-1.04943	-1.15197	-1.22983	-1.31919	-1.38682	-1.48304	-1.60183	-1.64748	-1.70586	-1.81927	-1.93508	-2.00677	-2.06199	-2.15491	-2.26766	-2.45027	-2.65750	-2.79598	-2.82119	-2.68185	-2.02119	-1.70285	 0.06442	 0.56883	 0.93570	 0.99667	 0.91977	 0.80295	 0.67801	 0.55764	 0.45337	 0.35963	 0.28047	 0.19757	 0.11214	 0.05029	 0.00021	-0.01825	-0.01878	 0.00629	 0.02757	 0.05562	 0.10033	 0.10312	-0.34665	  0.9699	-0.132189	 -0.0513	
      15	  10.209	0.046757	  0.9880	 -0.0473	  0.9806	-0.129098	3.003E+6	   0.236	 3930.68	   83.11	   0.000	-0.21714	-0.26577	-0.27354	-0.28015	-0.28649	-0.29122	-0.29679	-0.30542	-0.32006	-0.34971	-0.39983	-0.47830	-0.59198	-0.72314	-0.85673	-0.98086	-1.08605	-1.16978	-1.24097	-1.31039	-1.35845	-1.41956	-1.46180	-1.53686	-1.64251	-1.66306	-1.69849	-1.79388	-1.88655	-1.93240	-1.95677	-2.01452	-2.09691	-2.23898	-2.39729	-2.46224	-2.42374	-2.22850	-1.57445	-1.24829	 0.07362	 0.71266	 0.97789	 0.97870	 0.87179	 0.74197	 0.61250	 0.49226	 0.39198	 0.30253	 0.22966	 0.15306	 0.07431	 0.02044	-0.02077	-0.02995	-0.02213	 0.01158	 0.04179	 0.07866	 0.13111	 0.16059	-0.23978	  0.9807	-0.129092	 -0.0475	
      16	  11.215	0.062669	  0.9912	 -0.0507	  0.9845	-0.131318	2.995E+6	   0.235	 3911.06	   82.92	   0.000	-0.29463	-0.34828	-0.35597	-0.35932	-0.36119	-0.36176	-0.36097	-0.36043	-0.36057	-0.36642	-0.38185	-0.41364	-0.47972	-0.58267	-0.71223	-0.84689	-0.97107	-1.07384	-1.16344	-1.24797	-1.30924	-1.38360	-1.43780	-1.52286	-1.63537	-1.66817	-1.71490	-1.81980	-1.92426	-1.98342	-2.02350	-2.09916	-2.19737	-2.36296	-2.54676	-2.64975	-2.64478	-2.47767	-1.81729	-1.49396	 0.07411	 0.63754	 0.95749	 0.99025	 0.89900	 0.77589	 0.64864	 0.52813	 0.42553	 0.33387	 0.25756	 0.17770	 0.09550	 0.03748	-0.00832	-0.02242	-0.01904	 0.01019	 0.03583	 0.06823	 0.11671	 0.13280	-0.30675	  0.9848	-0.131605	 -0.0510	
      17	   8.191	0.024313	  0.9422	 -0.0471	  0.9360	-0.110172	2.999E+6	   0.235	 3924.20	   83.05	   0.000	-0.08068	-0.10680	-0.11624	-0.12844	-0.14400	-0.16908	-0.20530	-0.26004	-0.34421	-0.45000	-0.56649	-0.68965	-0.80844	-0.91652	-1.01726	-1.11253	-1.18639	-1.24317	-1.28797	-1.33461	-1.36303	-1.40155	-1.42417	-1.47926	-1.56904	-1.56799	-1.58107	-1.65476	-1.72253	-1.73915	-1.73234	-1.75150	-1.80222	-1.88125	-1.97726	-1.96656	-1.85814	-1.60989	-0.99040	-0.66889	 0.08119	 0.86292	 0.99932	 0.92861	 0.78974	 0.64731	 0.51536	 0.39764	 0.30409	 0.22025	 0.15595	 0.08689	 0.01611	-0.02886	-0.06034	-0.05884	-0.04116	 0.00282	 0.04271	 0.08873	 0.14926	 0.20424	-0.09386	  0.9358	-0.109784	 -0.0473	
      18	   6.147	0.013474	  0.8324	 -0.0565	  0.8290	-0.075737	3.003E+6	   0.236	 3935.95	   83.17	   0.000	 0.02161	-0.00168	-0.02900	-0.06437	-0.10722	-0.16490	-0.24213	-0.33266	-0.43535	-0.53911	-0.64305	-0.75028	-0.84981	-0.93765	-1.01995	-1.09854	-1.15406	-1.19429	-1.22102	-1.25098	-1.26390	-1.28334	-1.28904	-1.32327	-1.39433	-1.37349	-1.36440	-1.41155	-1.45299	-1.43697	-1.39834	-1.37646	-1.38898	-1.40907	-1.41871	-1.33374	-1.15814	-0.86831	-0.31900	-0.02255	 0.07997	 0.97715	 0.96685	 0.81461	 0.64974	 0.50011	 0.37045	 0.26030	 0.17778	 0.10253	 0.05056	-0.00870	-0.07038	-0.10469	-0.12464	-0.11071	-0.08159	-0.02503	 0.02616	 0.08243	 0.15173	 0.23061	 0.01960	  0.8286	-0.075352	 -0.0567	
      19	   4.110	0.006222	  0.6605	 -0.0617	  0.6592	-0.041129	3.003E+6	   0.236	 3934.75	   83.15	   0.000	 0.08456	 0.05180	 0.01002	-0.04237	-0.10318	-0.17777	-0.26313	-0.35202	-0.44662	-0.53960	-0.63159	-0.72641	-0.81190	-0.88476	-0.95265	-1.01710	-1.05759	-1.08356	-1.09449	-1.10967	-1.10811	-1.10999	-1.10008	-1.11327	-1.16369	-1.12476	-1.09421	-1.11475	-1.12705	-1.08031	-1.01291	-0.95550	-0.93106	-0.88632	-0.81937	-0.67418	-0.45154	-0.14687	 0.29860	 0.53947	 0.08137	 0.99120	 0.82752	 0.60887	 0.43719	 0.29268	 0.17410	 0.08001	 0.01268	-0.04883	-0.08549	-0.13229	-0.18279	-0.20458	-0.21115	-0.18332	-0.14139	-0.07078	-0.00797	 0.05924	 0.13752	 0.23587	 0.08450	  0.6588	-0.040917	 -0.0618	
