   Runnr	Alpha-pr	Cd-press	Cl-press	Cm-press	Cn-press	Ct-press	Re-press	 M-press	 Q-press	 V-press	    Flap	 Cpu_001	 Cpu_002	 Cpu_003	 Cpu_004	 Cpu_005	 Cpu_006	 Cpu_007	 Cpu_008	 Cpu_009	 Cpu_010	 Cpu_011	 Cpu_012	 Cpu_013	 Cpu_014	 Cpu_015	 Cpu_016	 Cpu_017	 Cpu_018	 Cpu_019	 Cpu_020	 Cpu_021	 Cpu_022	 Cpu_023	 Cpu_024	 Cpu_025	 Cpu_026	 Cpu_027	 Cpu_028	 Cpu_029	 Cpu_030	 Cpu_031	 Cpu_032	 Cpu_033	 Cpu_034	 Cpu_035	 Cpu_036	 Cpu_037	 Cpu_038	 Cpu_039	 Cpu_040	 Cpl_001	 Cpl_002	 Cpl_003	 Cpl_004	 Cpl_005	 Cpl_006	 Cpl_007	 Cpl_008	 Cpl_009	 Cpl_010	 Cpl_011	 Cpl_012	 Cpl_013	 Cpl_014	 Cpl_015	 Cpl_016	 Cpl_017	 Cpl_018	 Cpl_019	 Cpl_020	 Cpl_021	 Cpl_022	 Cpl_023	Cn-p-cor	Ct-p-cor	Cm-p-cor
       /	 degrees	       /	       /	       /	       /	       /	       /	       /	      Pa	     m/s	 degrees	  100.00	   94.76	   89.84	   84.97	   80.44	   75.81	   71.34	   67.21	   63.02	   59.06	   55.22	   51.47	   47.87	   44.31	   40.97	   37.84	   34.73	   31.83	   28.95	   26.24	   23.77	   21.21	   19.02	   16.69	   14.78	   12.88	   11.12	    9.52	    7.96	    6.55	    5.35	    4.20	    3.24	    2.37	    1.63	    1.03	    0.58	    0.26	    0.02	    0.00	    0.00	    0.51	    1.21	    2.24	    3.62	    5.34	    7.43	    9.84	   12.66	   15.80	   19.37	   23.34	   27.72	   32.33	   37.52	   42.99	   48.39	   54.79	   61.58	   68.55	   75.87	   92.00	  100.00	       /	       /	       /
       1	   0.004	0.005969	  0.2960	 -0.0737	  0.2960	0.005949	2.005E+6	   0.151	 1623.50	   52.59	   0.000	 0.19656	 0.10184	 0.03911	-0.02828	-0.09874	-0.17137	-0.24887	-0.32381	-0.39948	-0.46492	-0.53387	-0.65986	-0.70113	-0.74542	-0.78893	-0.81860	-0.83697	-0.83180	-0.82178	-0.80989	-0.78968	-0.75556	-0.73369	-0.70252	-0.65525	-0.59096	-0.54142	-0.51943	-0.49657	-0.40832	-0.30428	-0.19793	-0.09903	 0.02140	 0.16296	 0.35485	 0.56920	 0.79133	 0.95742	 0.99629	 1.00000	 0.52754	 0.18995	-0.03867	-0.14192	-0.22371	-0.29059	-0.33730	-0.34994	-0.37930	-0.40460	-0.41532	-0.42524	-0.42215	-0.39794	-0.34262	-0.29529	-0.13525	-0.06352	 0.02379	 0.12498	 0.27416	 0.19535	  0.2960	0.005988	 -0.0738	
       2	   1.034	0.006408	  0.4188	 -0.0754	  0.4189	-0.001151	2.004E+6	   0.151	 1621.74	   52.55	   0.000	 0.19449	 0.09917	 0.03328	-0.03728	-0.11095	-0.18760	-0.26925	-0.34873	-0.43007	-0.50310	-0.56741	-0.68678	-0.76295	-0.80760	-0.85533	-0.89079	-0.91530	-0.91624	-0.91289	-0.90718	-0.89354	-0.86626	-0.85082	-0.82827	-0.78690	-0.72904	-0.68679	-0.67772	-0.66930	-0.59136	-0.49542	-0.39994	-0.31346	-0.20802	-0.07942	 0.10972	 0.33745	 0.59930	 0.84958	 0.96025	 0.97029	 0.73816	 0.42795	 0.18847	 0.05237	-0.05175	-0.13850	-0.20241	-0.23129	-0.27286	-0.30907	-0.32995	-0.34915	-0.35434	-0.33870	-0.29008	-0.24170	-0.11067	-0.03582	 0.04447	 0.14032	 0.28120	 0.19350	  0.4189	-0.001060	 -0.0756	
       3	   2.060	0.007055	  0.5367	 -0.0765	  0.5366	-0.012243	2.005E+6	   0.151	 1622.22	   52.56	   0.000	 0.19262	 0.09748	 0.02877	-0.04473	-0.12156	-0.20217	-0.28778	-0.37173	-0.45865	-0.53796	-0.61115	-0.69030	-0.82727	-0.87068	-0.92072	-0.96150	-0.99200	-0.99928	-1.00262	-1.00352	-0.99599	-0.97611	-0.96804	-0.95391	-0.91962	-0.86883	-0.83583	-0.83799	-0.84626	-0.78011	-0.69426	-0.61210	-0.54149	-0.45402	-0.34707	-0.16778	 0.06227	 0.35187	 0.67706	 0.84697	 0.86151	 0.88460	 0.62030	 0.38252	 0.22533	 0.10405	 0.00133	-0.07711	-0.12023	-0.17239	-0.21837	-0.24801	-0.27600	-0.28886	-0.28150	-0.24007	-0.19367	-0.10463	-0.00753	 0.06541	 0.15578	 0.28830	 0.19169	  0.5367	-0.012072	 -0.0767	
       4	   3.086	0.007626	  0.6555	 -0.0775	  0.6549	-0.027676	2.004E+6	   0.151	 1620.42	   52.53	   0.000	 0.18975	 0.09593	 0.02455	-0.05171	-0.13159	-0.21593	-0.30564	-0.39426	-0.48641	-0.57185	-0.65400	-0.72863	-0.86067	-0.93822	-0.98709	-1.03345	-1.07004	-1.08391	-1.09407	-1.10190	-1.10138	-1.08941	-1.08928	-1.08443	-1.05768	-1.01465	-0.99219	-1.00788	-1.03295	-0.98094	-0.90592	-0.84129	-0.78830	-0.72710	-0.64722	-0.48656	-0.26291	 0.03900	 0.43470	 0.65394	 0.67167	 0.97265	 0.77425	 0.55217	 0.38237	 0.24821	 0.13349	 0.04205	-0.01307	-0.07480	-0.12957	-0.16801	-0.20369	-0.22392	-0.22449	-0.19065	-0.14857	-0.09597	 0.02132	 0.08545	 0.17134	 0.29529	 0.18903	  0.6550	-0.027394	 -0.0778	
       5	   4.112	0.007909	  0.7731	 -0.0788	  0.7717	-0.047553	2.004E+6	   0.151	 1620.66	   52.53	   0.000	 0.18584	 0.09531	 0.02193	-0.05684	-0.13938	-0.22733	-0.32130	-0.41466	-0.51180	-0.60296	-0.69264	-0.78032	-0.85580	-1.00791	-1.05743	-1.10479	-1.14670	-1.16705	-1.18461	-1.19983	-1.20573	-1.20237	-1.21070	-1.21534	-1.19501	-1.16249	-1.15135	-1.18175	-1.22455	-1.18842	-1.12738	-1.08132	-1.05077	-1.01920	-0.97221	-0.83717	-0.63327	-0.33064	 0.12788	 0.38648	 0.40528	 1.00000	 0.88712	 0.69308	 0.52008	 0.37878	 0.25405	 0.15393	 0.08700	 0.01794	-0.04474	-0.09097	-0.13375	-0.16073	-0.16867	-0.14247	-0.10606	-0.05561	 0.04883	 0.10700	 0.18711	 0.30215	 0.18578	  0.7719	-0.047143	 -0.0790	
       6	   5.148	0.009069	  0.8829	 -0.0791	  0.8802	-0.070189	2.003E+6	   0.151	 1618.38	   52.49	   0.000	 0.17788	 0.09470	 0.02043	-0.06008	-0.14509	-0.23688	-0.33446	-0.43212	-0.53414	-0.63136	-0.72758	-0.82551	-0.90840	-0.98577	-1.12537	-1.17858	-1.22210	-1.24723	-1.27151	-1.29348	-1.30666	-1.31190	-1.32827	-1.34293	-1.33049	-1.30726	-1.30870	-1.35392	-1.41445	-1.39487	-1.34962	-1.32366	-1.31872	-1.32004	-1.30946	-1.20906	-1.03370	-0.74081	-0.22866	 0.05979	 0.07738	 0.98520	 0.95839	 0.80307	 0.63543	 0.49252	 0.36196	 0.25483	 0.17922	 0.10257	 0.03396	-0.01923	-0.06838	-0.10154	-0.11627	-0.09730	-0.06659	-0.01815	 0.06186	 0.12749	 0.20182	 0.30770	 0.17975	  0.8804	-0.069652	 -0.0794	
       7	   6.177	0.009660	  0.9889	 -0.0779	  0.9842	-0.096801	2.003E+6	   0.151	 1618.16	   52.48	   0.000	 0.16174	 0.09237	 0.02024	-0.06036	-0.14662	-0.24164	-0.34268	-0.44476	-0.55202	-0.65459	-0.75778	-0.86396	-0.96050	-1.03790	-1.10595	-1.22079	-1.29640	-1.32954	-1.36052	-1.38862	-1.40814	-1.42226	-1.44760	-1.47254	-1.46908	-1.45642	-1.47199	-1.53294	-1.61185	-1.61122	-1.58421	-1.58177	-1.60557	-1.64451	-1.67848	-1.62005	-1.48268	-1.21114	-0.65242	-0.34311	-0.32877	 0.92510	 0.99454	 0.88945	 0.73595	 0.59614	 0.46262	 0.35041	 0.26719	 0.18476	 0.10998	 0.05064	-0.00467	-0.04355	-0.06494	-0.05312	-0.02858	 0.01592	 0.06738	 0.14768	 0.21558	 0.31091	 0.16598	  0.9846	-0.096120	 -0.0783	
       8	   7.199	0.011401	  1.0702	 -0.0742	  1.0632	-0.122794	2.001E+6	   0.151	 1614.97	   52.43	   0.000	 0.12664	 0.07891	 0.01831	-0.05510	-0.13807	-0.23360	-0.33673	-0.44208	-0.55397	-0.66216	-0.77141	-0.88268	-0.98783	-1.07864	-1.16686	-1.25350	-1.31397	-1.35327	-1.37687	-1.44656	-1.48871	-1.51580	-1.54981	-1.58328	-1.58759	-1.58518	-1.61532	-1.69029	-1.78526	-1.80295	-1.79409	-1.81455	-1.86639	-1.94288	-2.02114	-2.00568	-1.91040	-1.66812	-1.07459	-0.75481	-0.74296	 0.83510	 0.99818	 0.94478	 0.81068	 0.67693	 0.54333	 0.42842	 0.33951	 0.25284	 0.17312	 0.10855	 0.04772	 0.00354	-0.02373	-0.01845	 0.00060	 0.03995	 0.08279	 0.16058	 0.22262	 0.30617	 0.12692	  1.0637	-0.122026	 -0.0746	
       9	   8.213	0.013973	  1.1270	 -0.0679	  1.1175	-0.147174	2.005E+6	   0.151	 1620.12	   52.51	   0.000	 0.06620	 0.03818	 0.00042	-0.05123	-0.11839	-0.20606	-0.30766	-0.41530	-0.53243	-0.64644	-0.76167	-0.87828	-0.99096	-1.09107	-1.18796	-1.28105	-1.35263	-1.40573	-1.44117	-1.49332	-1.52114	-1.55598	-1.56966	-1.60296	-1.65725	-1.69482	-1.74580	-1.82910	-1.93645	-1.97182	-1.98102	-2.02417	-2.10359	-2.21587	-2.33684	-2.36570	-2.31475	-2.10537	-1.48539	-1.16363	-1.15604	 0.72577	 0.98103	 0.97823	 0.86631	 0.74107	 0.60923	 0.49310	 0.40011	 0.30970	 0.22604	 0.15595	 0.09128	 0.04241	 0.00937	 0.00894	 0.02253	 0.05653	 0.09756	 0.15989	 0.22408	 0.29265	 0.06150	  1.1181	-0.146395	 -0.0683	
