   Runnr	Alpha-pr	Cd-press	Cl-press	Cm-press	Cn-press	Ct-press	Re-press	 M-press	 Q-press	 V-press	    Flap	 Cpu_001	 Cpu_002	 Cpu_003	 Cpu_004	 Cpu_005	 Cpu_006	 Cpu_007	 Cpu_008	 Cpu_009	 Cpu_010	 Cpu_011	 Cpu_012	 Cpu_013	 Cpu_014	 Cpu_015	 Cpu_016	 Cpu_017	 Cpu_018	 Cpu_019	 Cpu_020	 Cpu_021	 Cpu_022	 Cpu_023	 Cpu_024	 Cpu_025	 Cpu_026	 Cpu_027	 Cpu_028	 Cpu_029	 Cpu_030	 Cpu_031	 Cpu_032	 Cpu_033	 Cpu_034	 Cpu_035	 Cpu_036	 Cpu_037	 Cpu_038	 Cpu_039	 Cpu_040	 Cpl_001	 Cpl_002	 Cpl_003	 Cpl_004	 Cpl_005	 Cpl_006	 Cpl_007	 Cpl_008	 Cpl_009	 Cpl_010	 Cpl_011	 Cpl_012	 Cpl_013	 Cpl_014	 Cpl_015	 Cpl_016	 Cpl_017	 Cpl_018	 Cpl_019	 Cpl_020	 Cpl_021	 Cpl_022	 Cpl_023	Cn-p-cor	Ct-p-cor	Cm-p-cor
      10	 -11.276	0.019302	 -0.8481	 -0.0556	 -0.8355	-0.146912	2.994E+6	   0.234	 3861.15	   82.32	   0.000	 0.01237	 0.05140	 0.05002	 0.02971	-0.00038	-0.02105	-0.08037	-0.11718	-0.14129	-0.16352	-0.18267	-0.19712	-0.20060	-0.19526	-0.18290	-0.16114	-0.12495	-0.07541	-0.01865	 0.03926	 0.10126	 0.17635	 0.24110	 0.31908	 0.39642	 0.48180	 0.56363	 0.63456	 0.71294	 0.80360	 0.88358	 0.94931	 0.99095	 0.99512	 0.93069	 0.72096	 0.31104	-0.41097	-1.45468	-2.77881	-2.77782	-4.88579	-4.47509	-3.64541	-2.98778	-2.48957	-2.12006	-1.90433	-1.65546	-1.49383	-1.36068	-1.22294	-1.11297	-0.97805	-0.82554	-0.64668	-0.47632	-0.29913	-0.18533	-0.12081	-0.08621	-0.03497	-0.01194	 -0.8356	-0.146403	 -0.0555	
      11	 -12.283	0.028086	 -0.9028	 -0.0503	 -0.8881	-0.164606	2.990E+6	   0.234	 3855.66	   82.28	   0.000	-0.03797	 0.02746	 0.03434	 0.01979	-0.00484	-0.03392	-0.08650	-0.11092	-0.13366	-0.15316	-0.16892	-0.17991	-0.17979	-0.17059	-0.15469	-0.12954	-0.09021	-0.03819	 0.02104	 0.08120	 0.14483	 0.22152	 0.28741	 0.36658	 0.44369	 0.52851	 0.60925	 0.67944	 0.75620	 0.84170	 0.91437	 0.97015	 0.99829	 0.98306	 0.88829	 0.62958	 0.15495	-0.65785	-1.80107	-3.24251	-3.24136	-5.38808	-4.83850	-3.92819	-3.18373	-2.63611	-2.22998	-1.98674	-1.71735	-1.53698	-1.38856	-1.23674	-1.11119	-0.96247	-0.79393	-0.60326	-0.43283	-0.28381	-0.20962	-0.17064	-0.14985	-0.10027	-0.08035	 -0.8883	-0.164247	 -0.0502	
      12	 -13.280	0.042307	 -0.9268	 -0.0394	 -0.9117	-0.171713	2.980E+6	   0.234	 3836.76	   82.12	   0.000	-0.11798	-0.01398	 0.00435	-0.00181	-0.02213	-0.06883	-0.09416	-0.11745	-0.13759	-0.15388	-0.16639	-0.17388	-0.17030	-0.15768	-0.13830	-0.11001	-0.06769	-0.01309	 0.04858	 0.11093	 0.17623	 0.25431	 0.32134	 0.40146	 0.47858	 0.56288	 0.64266	 0.71212	 0.78709	 0.86816	 0.93451	 0.98224	 0.99935	 0.96832	 0.84956	 0.55263	 0.02882	-0.85274	-2.06537	-3.59150	-3.59011	-5.74003	-5.08582	-4.09215	-3.29098	-2.70905	-2.27571	-2.00716	-1.72052	-1.52136	-1.35431	-1.18393	-1.03303	-0.86048	-0.67017	-0.49429	-0.37825	-0.30576	-0.28151	-0.26553	-0.25176	-0.19664	-0.17517	 -0.9121	-0.171688	 -0.0393	
      13	 -13.783	0.049699	 -0.9335	 -0.0363	 -0.9185	-0.174137	2.981E+6	   0.234	 3844.79	   82.23	   0.000	-0.15223	-0.03275	-0.00927	-0.01149	-0.03712	-0.07682	-0.09910	-0.12192	-0.14075	-0.15571	-0.16677	-0.17294	-0.16782	-0.15360	-0.13282	-0.10328	-0.05953	-0.00387	 0.05889	 0.12213	 0.18819	 0.26689	 0.33443	 0.41505	 0.49219	 0.57623	 0.65570	 0.72465	 0.79893	 0.87813	 0.94199	 0.98626	 0.99892	 0.96125	 0.83268	 0.52050	-0.02302	-0.93226	-2.17085	-3.72895	-3.72758	-5.88730	-5.16624	-4.15394	-3.32806	-2.73369	-2.28965	-2.01025	-1.71662	-1.50937	-1.33412	-1.15577	-0.99420	-0.81482	-0.63032	-0.47626	-0.37969	-0.32072	-0.30420	-0.29323	-0.28227	-0.23149	-0.20450	 -0.9190	-0.174261	 -0.0362	
      14	  -4.117	0.006835	 -0.2053	 -0.0620	 -0.2053	-0.007921	3.005E+6	   0.236	 3911.68	   82.94	   0.000	 0.18331	 0.11145	 0.06308	 0.01005	-0.04630	-0.10436	-0.16645	-0.22551	-0.28379	-0.33659	-0.38685	-0.43671	-0.47346	-0.49551	-0.51306	-0.52755	-0.51872	-0.49732	-0.45950	-0.42920	-0.38402	-0.33354	-0.28063	-0.22165	-0.15413	-0.08037	-0.00731	 0.04617	 0.11110	 0.22102	 0.34009	 0.44805	 0.55908	 0.68856	 0.81893	 0.93777	 0.99860	 0.96264	 0.75434	 0.39303	 0.39489	-0.95262	-1.21382	-1.27074	-1.15594	-1.01885	-0.94602	-0.92970	-0.85133	-0.82522	-0.79981	-0.76177	-0.74493	-0.69426	-0.62880	-0.52958	-0.42454	-0.28787	-0.17255	-0.05884	 0.04961	 0.19724	 0.18305	 -0.2051	-0.007730	 -0.0620	
      15	  -4.117	0.006815	 -0.2055	 -0.0620	 -0.2054	-0.007952	3.005E+6	   0.236	 3913.18	   82.96	   0.000	 0.18347	 0.11164	 0.06325	 0.01021	-0.04614	-0.10418	-0.16628	-0.22534	-0.28366	-0.33637	-0.38663	-0.43654	-0.47329	-0.49528	-0.51291	-0.52735	-0.51850	-0.49718	-0.45935	-0.42897	-0.38376	-0.33332	-0.28038	-0.22137	-0.15394	-0.08014	-0.00707	 0.04642	 0.11140	 0.22134	 0.34035	 0.44833	 0.55935	 0.68888	 0.81918	 0.93797	 0.99869	 0.96258	 0.75424	 0.39278	 0.39444	-0.95326	-1.21440	-1.27124	-1.15635	-1.01918	-0.94625	-0.92985	-0.85144	-0.82534	-0.79984	-0.76178	-0.74498	-0.69421	-0.62872	-0.52945	-0.42448	-0.28779	-0.17245	-0.05875	 0.04981	 0.19738	 0.18321	 -0.2053	-0.007762	 -0.0620	
      16	  -3.087	0.006900	 -0.0884	 -0.0635	 -0.0886	0.002129	3.004E+6	   0.236	 3911.87	   82.95	   0.000	 0.18318	 0.10922	 0.05731	 0.00101	-0.05853	-0.12043	-0.18655	-0.24979	-0.31276	-0.36969	-0.42568	-0.48103	-0.52345	-0.55106	-0.57442	-0.59462	-0.59092	-0.57449	-0.54146	-0.51597	-0.47473	-0.42954	-0.38030	-0.32581	-0.26238	-0.19173	-0.12033	-0.07643	-0.01916	 0.08848	 0.20821	 0.31305	 0.42470	 0.55984	 0.70424	 0.85334	 0.96686	 0.99852	 0.89922	 0.65708	 0.65867	-0.50693	-0.81419	-0.93804	-0.89009	-0.80979	-0.77022	-0.77660	-0.72138	-0.71213	-0.70019	-0.67514	-0.66948	-0.62923	-0.57429	-0.48517	-0.38883	-0.26070	-0.15229	-0.04383	 0.06300	 0.21066	 0.18262	 -0.0886	0.002246	 -0.0635	
      17	  -1.029	0.007397	  0.1417	 -0.0661	  0.1415	0.009940	3.003E+6	   0.236	 3913.10	   82.98	   0.000	 0.17657	 0.10380	 0.04628	-0.01562	-0.08097	-0.15010	-0.22392	-0.29540	-0.36770	-0.43424	-0.50069	-0.56715	-0.62109	-0.66057	-0.69562	-0.72778	-0.73556	-0.72949	-0.70677	-0.69231	-0.65973	-0.62653	-0.58602	-0.54323	-0.48781	-0.42737	-0.36417	-0.33524	-0.29972	-0.20250	-0.08756	 0.00435	 0.10580	 0.23848	 0.39205	 0.57831	 0.76945	 0.93194	 0.99991	 0.95744	 0.95890	 0.19924	-0.14834	-0.35905	-0.41659	-0.43084	-0.44580	-0.49150	-0.47699	-0.49707	-0.50917	-0.50741	-0.52149	-0.50060	-0.46518	-0.39499	-0.31495	-0.20353	-0.10839	-0.01092	 0.08982	 0.23098	 0.17608	  0.1414	0.009985	 -0.0662	
      18	  -0.006	0.007682	  0.2590	 -0.0673	  0.2590	0.007711	3.000E+6	   0.236	 3908.52	   82.95	   0.000	 0.17010	 0.10020	 0.04085	-0.02330	-0.09130	-0.16394	-0.24168	-0.31739	-0.39445	-0.46621	-0.53737	-0.61036	-0.67049	-0.71631	-0.75780	-0.79650	-0.81045	-0.81027	-0.79342	-0.78516	-0.75812	-0.73133	-0.69601	-0.66063	-0.61078	-0.55580	-0.49906	-0.48074	-0.45371	-0.36816	-0.25854	-0.17630	-0.08518	 0.03908	 0.18750	 0.38126	 0.59779	 0.81294	 0.96986	 0.99791	 0.99927	 0.47561	 0.13244	-0.10423	-0.20032	-0.24794	-0.30317	-0.35441	-0.35773	-0.39098	-0.41438	-0.42372	-0.44677	-0.43513	-0.40912	-0.34822	-0.27617	-0.17329	-0.08486	 0.00665	 0.10368	 0.23970	 0.16971	  0.2588	0.007762	 -0.0674	
      19	   4.122	0.010033	  0.6995	 -0.0671	  0.6984	-0.040272	2.994E+6	   0.235	 3897.42	   82.85	   0.000	 0.11475	 0.07166	 0.01968	-0.04213	-0.11258	-0.19447	-0.28493	-0.37646	-0.47295	-0.56522	-0.65883	-0.75527	-0.84160	-0.91501	-0.98414	-1.05025	-1.09209	-1.11804	-1.12871	-1.14819	-1.14602	-1.15064	-1.14235	-1.14159	-1.11845	-1.09495	-1.07228	-1.10429	-1.13728	-1.09038	-1.01777	-1.02606	-1.00460	-0.95680	-0.88915	-0.74111	-0.52249	-0.21856	 0.23671	 0.48226	 0.48338	 0.99492	 0.84811	 0.63561	 0.46178	 0.33578	 0.21682	 0.11651	 0.05849	-0.01306	-0.07118	-0.11601	-0.16897	-0.18962	-0.19590	-0.16883	-0.12663	-0.05606	 0.00649	 0.07393	 0.15315	 0.25721	 0.11242	  0.6980	-0.039955	 -0.0672	
      20	   4.628	0.010735	  0.7461	 -0.0664	  0.7446	-0.049497	2.992E+6	   0.235	 3892.97	   82.81	   0.000	 0.10289	 0.06399	 0.01553	-0.04349	-0.11226	-0.19391	-0.28519	-0.37839	-0.47715	-0.57201	-0.66831	-0.76756	-0.85713	-0.93393	-1.00638	-1.07595	-1.12123	-1.15050	-1.16467	-1.18775	-1.18889	-1.19759	-1.19302	-1.19671	-1.17741	-1.15824	-1.14032	-1.17909	-1.21990	-1.17996	-1.11448	-1.12260	-1.12424	-1.09043	-1.03855	-0.90300	-0.69335	-0.39072	 0.09259	 0.35274	 0.35395	 0.99880	 0.89129	 0.69326	 0.51962	 0.38969	 0.26735	 0.16306	 0.10090	 0.02547	-0.03556	-0.08359	-0.13942	-0.16327	-0.17295	-0.14939	-0.11042	-0.04342	 0.01620	 0.08101	 0.15791	 0.25732	 0.10052	  0.7441	-0.049141	 -0.0665	
      21	  10.729	0.037252	  1.0902	 -0.0540	  1.0781	-0.166357	2.980E+6	   0.234	 3866.84	   82.56	   0.000	-0.20842	-0.27740	-0.28226	-0.28604	-0.29072	-0.29488	-0.29927	-0.30812	-0.32585	-0.36012	-0.42743	-0.53376	-0.67523	-0.82262	-0.96286	-1.09119	-1.19720	-1.28145	-1.35255	-1.42750	-1.47797	-1.54238	-1.58835	-1.65245	-1.68599	-1.72407	-1.77298	-1.89095	-2.02949	-2.08102	-2.10782	-2.24604	-2.39730	-2.56379	-2.77478	-2.85873	-2.86099	-2.69717	-2.01458	-1.69990	-1.69898	 0.58099	 0.94060	 0.99483	 0.91279	 0.79931	 0.67540	 0.55655	 0.45882	 0.36189	 0.27080	 0.19416	 0.11718	 0.06031	 0.01871	 0.00677	 0.01209	 0.04351	 0.07006	 0.10437	 0.15582	 0.18585	-0.24531	  1.0782	-0.166403	 -0.0542	
      22	   9.722	0.029211	  1.0666	 -0.0531	  1.0563	-0.151337	2.987E+6	   0.235	 3891.63	   82.85	   0.000	-0.13975	-0.19193	-0.19623	-0.20381	-0.21325	-0.22362	-0.24109	-0.27269	-0.33288	-0.42511	-0.54579	-0.68002	-0.81389	-0.93736	-1.05285	-1.16218	-1.24960	-1.31842	-1.37493	-1.43782	-1.47715	-1.53041	-1.56611	-1.61915	-1.64261	-1.67013	-1.70731	-1.81319	-1.93655	-1.97209	-1.98154	-2.10016	-2.22700	-2.36949	-2.52670	-2.57090	-2.53085	-2.33294	-1.66579	-1.34787	-1.34678	 0.68819	 0.97228	 0.98237	 0.87865	 0.75721	 0.63014	 0.51088	 0.41544	 0.32146	 0.23524	 0.16488	 0.08733	 0.03661	-0.00212	-0.00972	-0.00001	 0.03617	 0.06789	 0.10706	 0.16229	 0.20539	-0.17275	  1.0562	-0.151100	 -0.0533	
      23	   8.717	0.021683	  1.0230	 -0.0532	  1.0145	-0.133608	2.992E+6	   0.236	 3904.23	   82.99	   0.000	-0.08252	-0.11993	-0.12785	-0.13942	-0.15342	-0.17593	-0.21362	-0.27723	-0.37509	-0.48915	-0.61312	-0.74097	-0.86315	-0.97398	-1.07842	-1.17816	-1.25565	-1.31557	-1.36242	-1.41695	-1.44813	-1.49216	-1.51955	-1.56280	-1.57738	-1.59564	-1.62161	-1.71528	-1.82331	-1.84332	-1.83699	-1.93540	-2.03409	-2.15147	-2.25878	-2.26364	-2.18324	-1.95452	-1.30928	-0.99191	-0.99077	 0.78586	 0.99283	 0.95934	 0.83543	 0.70750	 0.57833	 0.45945	 0.36717	 0.27767	 0.19681	 0.12770	 0.05264	 0.00607	-0.02754	-0.02964	-0.01457	 0.02650	 0.06333	 0.10702	 0.16600	 0.21980	-0.10233	  1.0142	-0.133216	 -0.0534	
      24	   8.191	0.018518	  0.9980	 -0.0541	  0.9904	-0.123853	2.992E+6	   0.236	 3905.89	   83.01	   0.000	-0.05308	-0.08623	-0.09898	-0.11436	-0.13431	-0.16591	-0.21734	-0.29488	-0.40003	-0.51408	-0.63459	-0.75831	-0.87569	-0.98179	-1.08202	-1.17783	-1.25113	-1.30713	-1.34980	-1.40043	-1.42763	-1.46743	-1.49075	-1.52912	-1.53945	-1.55313	-1.57357	-1.66084	-1.76096	-1.77316	-1.75942	-1.84678	-1.93173	-2.03314	-2.11850	-2.10440	-2.00472	-1.76177	-1.12983	-0.81452	-0.81332	 0.83011	 0.99798	 0.94306	 0.80980	 0.67921	 0.54927	 0.43104	 0.34068	 0.25320	 0.17384	 0.10663	 0.03355	-0.01037	-0.04159	-0.04091	-0.02325	 0.02062	 0.06008	 0.10617	 0.16716	 0.22690	-0.07481	  0.9901	-0.123409	 -0.0543	
