   Runnr	Alpha-pr	Cd-press	Cl-press	Cm-press	Cn-press	Ct-press	Re-press	 M-press	 Q-press	 V-press	    Flap	 Cpu_001	 Cpu_002	 Cpu_003	 Cpu_004	 Cpu_005	 Cpu_006	 Cpu_007	 Cpu_008	 Cpu_009	 Cpu_010	 Cpu_011	 Cpu_012	 Cpu_013	 Cpu_014	 Cpu_015	 Cpu_016	 Cpu_017	 Cpu_018	 Cpu_019	 Cpu_020	 Cpu_021	 Cpu_022	 Cpu_023	 Cpu_024	 Cpu_025	 Cpu_026	 Cpu_027	 Cpu_028	 Cpu_029	 Cpu_030	 Cpu_031	 Cpu_032	 Cpu_033	 Cpu_034	 Cpu_035	 Cpu_036	 Cpu_037	 Cpu_038	 Cpu_039	 Cpu_040	 Cpl_001	 Cpl_002	 Cpl_003	 Cpl_004	 Cpl_005	 Cpl_006	 Cpl_007	 Cpl_008	 Cpl_009	 Cpl_010	 Cpl_011	 Cpl_012	 Cpl_013	 Cpl_014	 Cpl_015	 Cpl_016	 Cpl_017	 Cpl_018	 Cpl_019	 Cpl_020	 Cpl_021	 Cpl_022	 Cpl_023	Cn-p-cor	Ct-p-cor	Cm-p-cor
       /	 degrees	       /	       /	       /	       /	       /	       /	       /	      Pa	     m/s	 degrees	  100.00	   94.76	   89.84	   84.97	   80.44	   75.81	   71.34	   67.21	   63.02	   59.06	   55.22	   51.47	   47.87	   44.31	   40.97	   37.84	   34.73	   31.83	   28.95	   26.24	   23.77	   21.21	   19.02	   16.69	   14.78	   12.88	   11.12	    9.52	    7.96	    6.55	    5.35	    4.20	    3.24	    2.37	    1.63	    1.03	    0.58	    0.26	    0.02	    0.00	    0.00	    0.51	    1.21	    2.24	    3.62	    5.34	    7.43	    9.84	   12.66	   15.80	   19.37	   23.34	   27.72	   32.33	   37.52	   42.99	   48.39	   54.79	   61.58	   68.55	   75.87	   92.00	  100.00	       /	       /	       /
       1	  -0.018	0.007530	  0.2529	 -0.0663	  0.2529	0.007608	2.997E+6	   0.232	 3790.70	   81.24	   0.000	 0.16726	 0.09959	 0.04120	-0.02233	-0.08942	-0.16179	-0.23902	-0.31440	-0.39068	-0.46277	-0.53384	-0.60623	-0.66595	-0.71131	-0.75300	-0.79146	-0.80517	-0.80557	-0.78854	-0.77883	-0.75205	-0.72468	-0.68840	-0.65300	-0.59919	-0.54548	-0.48669	-0.46531	-0.48651	-0.39686	-0.28213	-0.16965	-0.06401	 0.05494	 0.20025	 0.39093	 0.60532	 0.81817	 0.97139	 0.99895	 0.99931	 0.47124	 0.13061	-0.09941	-0.18628	-0.27984	-0.34814	-0.35211	-0.35821	-0.39212	-0.41488	-0.42511	-0.44670	-0.43608	-0.41039	-0.34975	-0.27749	-0.17481	-0.08616	 0.00536	 0.10195	 0.23453	 0.16508	  0.2527	0.007657	 -0.0664	
       1	   0.005	0.007223	  0.2569	 -0.0664	  0.2569	0.007201	2.988E+6	   0.234	 3846.56	   82.17	   0.000	 0.16868	 0.10148	 0.04288	-0.02102	-0.08839	-0.16092	-0.23856	-0.31430	-0.39094	-0.46324	-0.53470	-0.60743	-0.66817	-0.71326	-0.75520	-0.79338	-0.80812	-0.80769	-0.79112	-0.78251	-0.75592	-0.72889	-0.69274	-0.65700	-0.60506	-0.55108	-0.49221	-0.47090	-0.49237	-0.40281	-0.28890	-0.17555	-0.07073	 0.04861	 0.19290	 0.38445	 0.59875	 0.81255	 0.96918	 0.99825	 0.99868	 0.47916	 0.13764	-0.09429	-0.18382	-0.26565	-0.34792	-0.34818	-0.35387	-0.38868	-0.41211	-0.42181	-0.44493	-0.43389	-0.40817	-0.34730	-0.27572	-0.17319	-0.08495	 0.00683	 0.10322	 0.23690	 0.16586	  0.2567	0.007249	 -0.0664	
       2	   0.005	0.007442	  0.2573	 -0.0665	  0.2573	0.007421	2.986E+6	   0.234	 3845.35	   82.18	   0.000	 0.16644	 0.09934	 0.04083	-0.02280	-0.09006	-0.16249	-0.23993	-0.31558	-0.39203	-0.46435	-0.53565	-0.60832	-0.66892	-0.71401	-0.75596	-0.79403	-0.80871	-0.80832	-0.79168	-0.78301	-0.75636	-0.72930	-0.69304	-0.65728	-0.60545	-0.55137	-0.49240	-0.47104	-0.49263	-0.40303	-0.28901	-0.17560	-0.07089	 0.04843	 0.19281	 0.38445	 0.59880	 0.81274	 0.96945	 0.99861	 0.99905	 0.47972	 0.13811	-0.09390	-0.18360	-0.26554	-0.34796	-0.34823	-0.35398	-0.38891	-0.41235	-0.42214	-0.44533	-0.43441	-0.40865	-0.34782	-0.27627	-0.17372	-0.08565	 0.00594	 0.10223	 0.23549	 0.16624	  0.2571	0.007470	 -0.0666	
       3	   2.053	0.008612	  0.4804	 -0.0672	  0.4804	-0.008602	2.989E+6	   0.234	 3858.07	   82.34	   0.000	 0.14384	 0.08851	 0.03097	-0.03390	-0.10413	-0.18213	-0.26650	-0.35011	-0.43606	-0.51842	-0.60072	-0.68492	-0.75807	-0.81637	-0.87150	-0.92295	-0.95080	-0.96283	-0.95834	-0.96325	-0.94840	-0.93591	-0.91219	-0.89237	-0.85302	-0.81288	-0.76902	-0.77104	-0.82836	-0.75289	-0.66072	-0.57169	-0.48745	-0.39755	-0.28377	-0.10162	 0.13184	 0.41240	 0.72834	 0.88484	 0.88515	 0.84772	 0.56774	 0.32178	 0.17459	 0.05296	-0.05902	-0.10097	-0.13525	-0.19379	-0.23611	-0.26483	-0.30430	-0.31034	-0.30159	-0.25797	-0.20179	-0.11528	-0.04022	 0.03938	 0.12791	 0.24772	 0.14334	  0.4800	-0.008462	 -0.0673	
       4	   4.106	0.009909	  0.6906	 -0.0658	  0.6896	-0.039565	2.989E+6	   0.235	 3868.94	   82.50	   0.000	 0.10652	 0.06681	 0.01793	-0.04139	-0.10950	-0.18993	-0.27964	-0.37082	-0.46647	-0.55928	-0.65297	-0.74898	-0.83557	-0.90777	-0.97689	-1.04236	-1.08450	-1.11016	-1.12007	-1.13941	-1.13746	-1.14147	-1.13221	-1.13043	-1.10593	-1.08161	-1.05675	-1.08632	-1.18372	-1.13433	-1.05667	-1.00793	-0.96452	-0.92371	-0.86008	-0.71385	-0.49815	-0.19704	 0.25335	 0.49704	 0.49739	 0.99480	 0.84370	 0.63225	 0.46232	 0.31879	 0.18807	 0.11623	 0.05704	-0.01652	-0.07429	-0.11947	-0.17240	-0.19345	-0.19973	-0.17225	-0.13019	-0.05949	 0.00314	 0.07112	 0.15025	 0.25278	 0.10486	  0.6891	-0.039259	 -0.0659	
       5	   6.170	0.012777	  0.8699	 -0.0612	  0.8662	-0.080789	2.989E+6	   0.235	 3875.45	   82.60	   0.000	 0.04484	 0.01731	-0.01351	-0.05340	-0.10483	-0.17575	-0.26427	-0.36085	-0.46622	-0.57039	-0.67622	-0.78491	-0.88537	-0.97248	-1.05594	-1.13567	-1.19275	-1.23282	-1.25794	-1.29250	-1.30479	-1.32622	-1.33251	-1.35008	-1.34233	-1.33533	-1.33171	-1.39048	-1.52994	-1.50998	-1.46102	-1.43526	-1.44680	-1.47882	-1.48796	-1.40231	-1.23565	-0.95145	-0.39733	-0.10317	-0.10303	 0.96700	 0.97502	 0.83386	 0.67287	 0.52528	 0.38700	 0.29669	 0.21628	 0.13395	 0.06467	 0.00665	-0.05700	-0.09075	-0.11041	-0.09697	-0.06787	-0.01143	 0.03900	 0.09608	 0.16576	 0.24795	 0.04127	  0.8658	-0.080338	 -0.0614	
       6	   8.209	0.017617	  0.9921	 -0.0523	  0.9845	-0.124223	2.988E+6	   0.235	 3879.50	   82.67	   0.000	-0.06217	-0.09407	-0.10578	-0.12011	-0.13728	-0.16407	-0.20833	-0.27972	-0.38138	-0.49656	-0.61903	-0.74471	-0.86439	-0.97115	-1.07261	-1.16886	-1.24365	-1.30003	-1.34290	-1.39403	-1.42232	-1.46182	-1.48493	-1.52269	-1.53302	-1.54489	-1.56383	-1.65093	-1.83099	-1.84356	-1.82338	-1.83969	-1.89319	-2.00533	-2.09794	-2.08743	-1.99288	-1.75397	-1.12526	-0.81088	-0.81057	 0.83050	 0.99714	 0.94361	 0.81247	 0.67360	 0.53617	 0.43507	 0.34355	 0.25300	 0.17424	 0.10603	 0.03312	-0.01136	-0.04281	-0.04222	-0.02481	 0.01873	 0.05783	 0.10394	 0.16435	 0.22164	-0.08283	  0.9842	-0.123788	 -0.0525	
       7	   9.228	0.023880	  1.0429	 -0.0512	  1.0332	-0.143675	2.986E+6	   0.235	 3876.71	   82.66	   0.000	-0.11375	-0.15736	-0.16357	-0.17377	-0.18445	-0.19854	-0.22265	-0.26555	-0.34116	-0.44560	-0.56921	-0.70124	-0.83059	-0.94789	-1.05909	-1.16385	-1.24779	-1.31274	-1.36475	-1.42416	-1.46065	-1.50924	-1.54084	-1.58860	-1.60823	-1.62931	-1.65976	-1.76029	-1.95839	-1.98793	-1.98331	-2.01693	-2.09925	-2.24101	-2.38199	-2.41149	-2.35779	-2.14920	-1.49480	-1.17775	-1.17731	 0.73553	 0.98243	 0.97333	 0.86192	 0.73049	 0.59552	 0.49169	 0.39623	 0.30161	 0.22022	 0.14811	 0.07130	 0.02165	-0.01480	-0.01990	-0.00777	 0.02998	 0.06403	 0.10544	 0.16183	 0.20801	-0.14349	  1.0330	-0.143347	 -0.0514	
       8	  10.215	0.032304	  1.0470	 -0.0527	  1.0361	-0.153876	2.978E+6	   0.234	 3861.81	   82.52	   0.000	-0.21823	-0.27514	-0.28485	-0.29115	-0.29651	-0.30050	-0.30274	-0.30639	-0.31439	-0.33592	-0.38345	-0.47460	-0.61746	-0.77188	-0.91834	-1.04981	-1.15872	-1.24368	-1.31426	-1.38838	-1.43826	-1.49977	-1.54258	-1.60227	-1.63255	-1.66413	-1.70649	-1.81875	-2.03124	-2.07631	-2.08749	-2.13572	-2.24164	-2.40493	-2.59094	-2.65511	-2.63826	-2.45914	-1.79114	-1.47651	-1.47592	 0.64808	 0.95999	 0.98855	 0.89520	 0.77125	 0.63928	 0.53383	 0.43628	 0.33848	 0.25511	 0.17934	 0.09925	 0.04529	 0.00398	-0.00641	 0.00039	 0.03290	 0.06191	 0.09811	 0.14927	 0.17627	-0.22328	  1.0361	-0.153902	 -0.0529	
