,   Alpha,       M,       Q,       V,  Z_w.r., Cpu_001, Cpu_002, Cpu_003, Cpu_004, Cpu_005, Cpu_006, Cpu_007, Cpu_008, Cpu_009, Cpu_010, Cpu_011, Cpu_012, Cpu_013, Cpu_014, Cpu_015, Cpu_016, Cpu_017, Cpu_018, Cpu_019, Cpu_020, Cpu_021, Cpu_022, Cpu_023, Cpu_024, Cpu_025, Cpu_026, Cpu_027, Cpu_028, Cpu_029, Cpu_030, Cpu_031, Cpu_032, Cpu_033, Cpu_034, Cpu_035, Cpu_036, Cpu_037, Cpu_038, Cpu_039, Cpu_040, Cpl_001, Cpl_002, Cpl_003, Cpl_004, Cpl_005, Cpl_006, Cpl_007, Cpl_008, Cpl_009, Cpl_010, Cpl_011, Cpl_012, Cpl_013, Cpl_014, Cpl_015, Cpl_016, Cpl_017, Cpl_018, Cpl_019, Cpl_020, Cpl_021, Cpl_022, Cpl_023,Grade,Grit Size,Lower Coverage,Upper Coverage
10,6.176,0.229,3722.93,80.03,50.74,0.14067,0.08318,0.01658,-0.06059,-0.14556,-0.23981,-0.34238,-0.44468,-0.55227,-0.65606,-0.76118,-0.87337,-0.97316,-1.05627,-1.13711,-1.22089,-1.269,-1.29826,-1.35931,-1.40624,-1.4239,-1.43729,-1.46145,-1.48781,-1.4828,-1.46764,-1.48164,-1.54311,-1.62265,-1.62188,-1.59018,-1.58272,-1.60336,-1.64003,-1.66867,-1.60239,-1.45395,-1.18012,-0.60439,-0.29801,-0.28581,0.93285,0.99407,0.88318,0.73165,0.58748,0.45755,0.34372,0.26085,0.17708,0.10226,0.04242,-0.01298,-0.0535,-0.07436,-0.06323,-0.03633,0.00636,0.08892,0.13658,0.2091,0.30399,0.15193,0.0,0.0,0.0,0.0
11,7.198,0.229,3709.99,79.9,49.18,0.103,0.06264,0.00942,-0.05723,-0.13559,-0.22815,-0.33096,-0.43601,-0.54824,-0.65727,-0.76804,-0.88479,-0.99197,-1.0852,-1.17612,-1.26626,-1.32962,-1.37806,-1.40676,-1.45167,-1.46628,-1.4988,-1.49535,-1.54989,-1.59041,-1.59525,-1.62652,-1.70027,-1.79551,-1.81302,-1.79937,-1.81479,-1.8638,-1.93774,-2.01071,-1.98653,-1.878,-1.62985,-1.01353,-0.69534,-0.68519,0.85074,0.99999,0.93922,0.80576,0.66776,0.53763,0.42115,0.3328,0.24456,0.16485,0.09971,0.03866,-0.00666,-0.03367,-0.02901,-0.0078,0.03078,0.09039,0.14764,0.21442,0.29736,0.09937,0.0,0.0,0.0,0.0
12,8.224,0.229,3728.74,80.12,50.78,0.06504,0.03417,-0.00576,-0.05864,-0.12611,-0.2131,-0.31517,-0.42312,-0.54033,-0.65526,-0.7723,-0.89528,-1.00971,-1.1112,-1.2103,-1.30768,-1.3798,-1.43621,-1.47463,-1.52801,-1.55333,-1.59764,-1.61451,-1.65372,-1.65502,-1.65895,-1.75393,-1.87138,-1.98401,-2.01988,-2.02501,-2.06525,-2.14608,-2.26157,-2.38475,-2.40993,-2.35016,-2.13721,-1.48416,-1.15912,-1.15378,0.73154,0.98216,0.97783,0.86937,0.74111,0.61335,0.49579,0.40316,0.31131,0.22744,0.1575,0.09158,0.0409,0.00842,0.00672,0.02181,0.0554,0.09591,0.16126,0.22154,0.29222,0.05726,0.0,0.0,0.0,0.0
13,9.251,0.229,3715.47,80.0,49.17,0.00977,-0.01825,-0.04239,-0.07443,-0.11881,-0.18633,-0.27821,-0.38561,-0.50813,-0.63023,-0.75505,-0.88517,-1.008,-1.11842,-1.2255,-1.33074,-1.41165,-1.47615,-1.52397,-1.58604,-1.62084,-1.67473,-1.70392,-1.75719,-1.77595,-1.80771,-1.83151,-1.95115,-2.14978,-2.20161,-2.2282,-2.30447,-2.41126,-2.56556,-2.7376,-2.8135,-2.80584,-2.6332,-1.95206,-1.62603,-1.62532,0.59274,0.94312,0.99649,0.91598,0.79954,0.67572,0.55858,0.46297,0.36854,0.28116,0.20702,0.13675,0.08163,0.04378,0.03616,0.04573,0.07329,0.11081,0.16931,0.22375,0.28024,-0.00236,0.0,0.0,0.0,0.0
14,10.263,0.23,3735.47,80.23,50.8,-0.08331,-0.14631,-0.1724,-0.19797,-0.2204,-0.24052,-0.25935,-0.29434,-0.37043,-0.48568,-0.62414,-0.7722,-0.91627,-1.04706,-1.17057,-1.28841,-1.38264,-1.45859,-1.51873,-1.5905,-1.63568,-1.69965,-1.73978,-1.80581,-1.83625,-1.8777,-1.92259,-2.05925,-2.21529,-2.24539,-2.32198,-2.45568,-2.60568,-2.78195,-2.98939,-3.10608,-3.14126,-3.00347,-2.30688,-1.98402,-1.98434,0.47582,0.90203,0.99999,0.94299,0.83651,0.71655,0.6002,0.5027,0.40623,0.31596,0.23847,0.16427,0.10501,0.06208,0.0492,0.05407,0.07642,0.11101,0.15385,0.21328,0.2521,-0.13578,0.0,0.0,0.0,0.0
15,11.253,0.229,3719.54,80.07,49.16,-0.19487,-0.26699,-0.28679,-0.30317,-0.31649,-0.32733,-0.33376,-0.34061,-0.35387,-0.38104,-0.43433,-0.53201,-0.68691,-0.85572,-1.01467,-1.15676,-1.27396,-1.36824,-1.44579,-1.53124,-1.58907,-1.66444,-1.71603,-1.79325,-1.83453,-1.88577,-1.94253,-2.09014,-2.26375,-2.32263,-2.32979,-2.48522,-2.73109,-2.92749,-3.15771,-3.30806,-3.38157,-3.27648,-2.5773,-2.26083,-2.26151,0.37601,0.86235,0.99979,0.96045,0.86318,0.7472,0.63214,0.53355,0.4357,0.34319,0.26266,0.18514,0.12212,0.07463,0.0568,0.05691,0.0744,0.10578,0.13523,0.19987,0.21681,-0.22558,0.0,0.0,0.0,0.0
16,12.249,0.23,3734.18,80.26,50.78,-0.28447,-0.35296,-0.36384,-0.36767,-0.36928,-0.3693,-0.36465,-0.35962,-0.35594,-0.35842,-0.37223,-0.40502,-0.48302,-0.62883,-0.81606,-0.99161,-1.13996,-1.25835,-1.35784,-1.45982,-1.53269,-1.62158,-1.68588,-1.77547,-1.8284,-1.89005,-1.95935,-2.1179,-2.30602,-2.38679,-2.41639,-2.50731,-2.8317,-3.07676,-3.33285,-3.51634,-3.62858,-3.55722,-2.85764,-2.54947,-2.56009,0.2686,0.81691,0.99496,0.97473,0.88733,0.77566,0.66209,0.56267,0.46339,0.36869,0.28534,0.20437,0.13759,0.08562,0.06271,0.05832,0.07128,0.09852,0.12532,0.1789,0.18157,-0.29196,0.0,0.0,0.0,0.0
17,13.249,0.23,3758.6,80.55,49.19,-0.34296,-0.405,-0.4109,-0.40906,-0.40502,-0.40023,-0.39286,-0.3856,-0.37807,-0.37254,-0.37264,-0.38108,-0.42297,-0.527,-0.69828,-0.88455,-1.05087,-1.18449,-1.2982,-1.41134,-1.49465,-1.59374,-1.66762,-1.7672,-1.82992,-1.90067,-1.9808,-2.14942,-2.35098,-2.44876,-2.50221,-2.59749,-2.88942,-3.23252,-3.51834,-3.73548,-3.88882,-3.85782,-3.1568,-2.85938,-2.85371,0.14645,0.76187,0.98476,0.98624,0.9105,0.80471,0.69379,0.59427,0.4944,0.39827,0.31264,0.22902,0.15912,0.10322,0.07601,0.06768,0.07644,0.0999,0.12443,0.15903,0.1641,-0.33103,0.0,0.0,0.0,0.0
18,14.265,0.231,3775.12,80.78,50.86,-0.37396,-0.43218,-0.43334,-0.42684,-0.41886,-0.41144,-0.40325,-0.39581,-0.38857,-0.38253,-0.37995,-0.3808,-0.40061,-0.46413,-0.6048,-0.79085,-0.97345,-1.12266,-1.25111,-1.37561,-1.46925,-1.57817,-1.6613,-1.77052,-1.8423,-1.92231,-2.01306,-2.19233,-2.40727,-2.52108,-2.59469,-2.72477,-2.93673,-3.38905,-3.72647,-3.97615,-4.17274,-4.18351,-3.47473,-3.19703,-3.18625,0.00987,0.69804,0.96911,0.99449,0.93152,0.83218,0.7244,0.62514,0.52504,0.42764,0.33996,0.25393,0.18125,0.12172,0.09065,0.07872,0.08354,0.10342,0.12509,0.15276,0.15287,-0.35497,0.0,0.0,0.0,0.0
19,15.254,0.231,3783.71,80.91,49.14,-0.40395,-0.45282,-0.45218,-0.44418,-0.43455,-0.42614,-0.41722,-0.40909,-0.40104,-0.39388,-0.38946,-0.38618,-0.39208,-0.41475,-0.48797,-0.63691,-0.83051,-1.00327,-1.15452,-1.29591,-1.4041,-1.52633,-1.62105,-1.74169,-1.82364,-1.91377,-2.01537,-2.20448,-2.43182,-2.5602,-2.6506,-2.80488,-3.00848,-3.48037,-3.88728,-4.16189,-4.39649,-4.43879,-3.73616,-3.48527,-3.47833,-0.11191,0.63874,0.95202,0.99884,0.94739,0.85404,0.74928,0.6505,0.55023,0.45171,0.36213,0.27379,0.19834,0.13533,0.10069,0.08547,0.08635,0.10254,0.12088,0.14647,0.13952,-0.37395,0.0,0.0,0.0,0.0
