,   Alpha,       M,       Q,       V,  Z_w.r., Cpu_001, Cpu_002, Cpu_003, Cpu_004, Cpu_005, Cpu_006, Cpu_007, Cpu_008, Cpu_009, Cpu_010, Cpu_011, Cpu_012, Cpu_013, Cpu_014, Cpu_015, Cpu_016, Cpu_017, Cpu_018, Cpu_019, Cpu_020, Cpu_021, Cpu_022, Cpu_023, Cpu_024, Cpu_025, Cpu_026, Cpu_027, Cpu_028, Cpu_029, Cpu_030, Cpu_031, Cpu_032, Cpu_033, Cpu_034, Cpu_035, Cpu_036, Cpu_037, Cpu_038, Cpu_039, Cpu_040, Cpl_001, Cpl_002, Cpl_003, Cpl_004, Cpl_005, Cpl_006, Cpl_007, Cpl_008, Cpl_009, Cpl_010, Cpl_011, Cpl_012, Cpl_013, Cpl_014, Cpl_015, Cpl_016, Cpl_017, Cpl_018, Cpl_019, Cpl_020, Cpl_021, Cpl_022, Cpl_023,Grade,Grit Size,Lower Coverage,Upper Coverage
173,-8.225,0.232,3817.35,81.49,179.21,0.1559,0.1114,0.08158,0.0436,0.00178,-0.04064,-0.08692,-0.12933,-0.16848,-0.20427,-0.23518,-0.26496,-0.27987,-0.28357,-0.28072,-0.27464,-0.24642,-0.21145,-0.15715,-0.11084,-0.05383,0.01076,0.07586,0.14926,0.21851,0.30272,0.38579,0.42958,0.53779,0.64281,0.74085,0.83556,0.91601,0.97884,0.99909,0.9377,0.73555,0.31169,-0.38048,-1.28212,-1.34034,-3.14571,-3.05365,-2.73077,-2.17144,-1.89054,-1.61903,-1.66303,-1.37188,-1.26843,-1.18393,-1.09356,-1.03056,-0.9323,-0.82288,-0.68086,-0.53981,-0.36652,-0.22427,-0.09597,0.00752,0.13102,0.15572,0.0,0.0,0.08,0.08
174,-9.243,0.233,3835.96,81.7,180.83,0.13239,0.10386,0.08068,0.04737,0.00936,-0.02905,-0.07132,-0.10977,-0.14486,-0.17652,-0.20284,-0.22801,-0.23846,-0.23818,-0.23061,-0.22011,-0.18825,-0.14976,-0.09263,-0.0432,0.01612,0.08309,0.1497,0.22394,0.29584,0.37998,0.46327,0.51163,0.61569,0.71599,0.80676,0.89086,0.95697,0.99649,0.98479,0.86693,0.58641,0.05056,-0.77131,-1.82614,-1.89327,-3.78661,-3.57554,-3.17565,-2.37326,-2.12261,-1.7996,-1.82278,-1.49641,-1.37172,-1.27078,-1.16583,-1.08937,-0.97886,-0.85729,-0.70379,-0.55287,-0.3707,-0.22239,-0.09602,-0.0042,0.09995,0.1305,0.0,0.0,0.08,0.08
175,-10.281,0.232,3828.59,81.63,179.14,0.09513,0.08909,0.07411,0.04624,0.0123,-0.0219,-0.06019,-0.09478,-0.1257,-0.1533,-0.17542,-0.19699,-0.2023,-0.19776,-0.18626,-0.17192,-0.13634,-0.09469,-0.03507,0.01722,0.0778,0.1477,0.21546,0.29099,0.36372,0.44763,0.53033,0.58185,0.68164,0.77628,0.85908,0.93196,0.98274,0.99866,0.95337,0.77745,0.41916,-0.22878,-1.17644,-2.38129,-2.45951,-4.42028,-4.08759,-3.6229,-2.66277,-2.33639,-1.96634,-1.96882,-1.6087,-1.4624,-1.3452,-1.22605,-1.13576,-1.01288,-0.8784,-0.71277,-0.55098,-0.35988,-0.20802,-0.09208,-0.02105,0.05657,0.08997,0.0,0.0,0.08,0.08
176,-11.289,0.233,3829.3,81.65,180.86,0.04694,0.06839,0.06257,0.04058,0.01089,-0.019,-0.05337,-0.08428,-0.11115,-0.13471,-0.15301,-0.17047,-0.1715,-0.16309,-0.14752,-0.12978,-0.0906,-0.04619,0.01598,0.07074,0.1333,0.20477,0.27327,0.34981,0.42304,0.50641,0.58805,0.64184,0.73669,0.82543,0.89986,0.96089,0.9959,0.98936,0.90919,0.67623,0.24238,-0.51259,-1.5789,-2.91894,-3.01113,-5.02296,-4.57413,-3.94657,-2.92357,-2.5253,-2.11223,-2.09259,-1.70174,-1.53469,-1.40106,-1.26748,-1.1634,-1.02781,-0.87958,-0.70063,-0.52715,-0.3298,-0.18464,-0.09486,-0.04951,0.002,0.03416,0.0,0.0,0.08,0.08
177,-12.303,0.233,3829.53,81.67,179.15,0.00108,0.04988,0.05285,0.0365,0.01099,-0.01467,-0.04521,-0.07248,-0.09548,-0.11515,-0.1297,-0.1431,-0.14019,-0.12801,-0.10879,-0.08746,-0.04526,0.0017,0.06606,0.12271,0.18675,0.25936,0.32807,0.40489,0.47856,0.56082,0.64057,0.69551,0.78501,0.86695,0.93237,0.98049,0.99933,0.96956,0.85356,0.56308,0.05437,-0.80616,-1.98692,-3.46361,-3.56174,-5.61311,-5.0332,-4.04701,-3.15658,-2.69426,-2.24012,-2.19824,-1.77928,-1.59318,-1.44213,-1.29431,-1.17661,-1.02892,-0.86672,-0.67514,-0.49228,-0.29772,-0.17559,-0.11577,-0.0894,-0.05399,-0.01928,0.0,0.0,0.08,0.08
178,-13.311,0.232,3821.0,81.58,180.77,-0.05118,0.02595,0.0375,0.02671,0.00526,-0.01638,-0.04326,-0.06708,-0.08721,-0.10274,-0.11378,-0.12359,-0.11697,-0.10101,-0.07832,-0.05367,-0.00849,0.04087,0.10756,0.16613,0.23145,0.30478,0.37411,0.45177,0.52566,0.60682,0.685,0.7406,0.82472,0.89998,0.95654,0.99257,0.99536,0.94172,0.78999,0.44242,-0.13968,-1.10514,-2.39895,-4.00877,-4.10636,-6.22944,-5.47026,-4.30238,-3.38486,-2.85915,-2.36545,-2.30038,-1.85375,-1.64946,-1.47995,-1.31682,-1.18387,-1.02189,-0.8418,-0.63207,-0.4377,-0.26493,-0.19063,-0.16204,-0.14924,-0.1199,-0.08718,0.0,0.0,0.08,0.08
179,-14.316,0.232,3813.04,81.52,179.21,-0.11167,-0.00221,0.01868,0.01373,-0.00326,-0.02055,-0.04366,-0.0639,-0.08041,-0.09237,-0.1001,-0.10646,-0.09646,-0.07701,-0.05098,-0.02319,0.02465,0.07628,0.14494,0.20481,0.27089,0.34489,0.41463,0.49312,0.56664,0.64649,0.72259,0.77818,0.85694,0.92562,0.97352,0.99791,0.98571,0.90975,0.7253,0.32615,-0.32136,-1.37851,-2.76866,-4.49691,-4.58476,-6.74516,-5.87866,-4.54248,-3.55201,-2.97696,-2.44959,-2.36038,-1.89063,-1.67014,-1.48097,-1.29964,-1.14673,-0.96465,-0.75631,-0.52763,-0.3583,-0.26438,-0.24171,-0.2336,-0.22481,-0.19362,-0.16648,0.0,0.0,0.08,0.08
180,-15.315,0.233,3828.2,81.69,180.87,-0.21569,-0.05627,-0.01956,-0.01494,-0.02533,-0.0366,-0.05495,-0.07086,-0.08309,-0.09135,-0.09526,-0.09802,-0.08459,-0.06193,-0.03278,-0.00208,0.04787,0.10252,0.17271,0.23316,0.30038,0.37575,0.44597,0.52503,0.5981,0.67661,0.75096,0.80596,0.88017,0.94326,0.98391,0.99897,0.97401,0.88023,0.66979,0.23104,-0.46609,-1.59132,-3.04988,-4.86263,-4.95614,-7.09234,-6.16814,-4.68491,-3.63613,-3.02317,-2.47023,-2.35567,-1.86917,-1.63051,-1.41849,-1.21183,-1.02459,-0.80371,-0.55526,-0.3616,-0.29323,-0.27557,-0.28284,-0.28889,-0.29174,-0.28155,-0.23396,0.0,0.0,0.08,0.08
181,4.624,0.233,3848.77,81.89,179.22,0.10541,0.06625,0.01673,-0.04225,-0.11003,-0.19187,-0.28369,-0.37689,-0.4749,-0.57072,-0.66694,-0.76712,-0.85509,-0.93295,-1.00425,-1.07484,-1.11791,-1.14946,-1.15975,-1.18377,-1.18537,-1.19514,-1.18485,-1.18136,-1.15811,-1.14061,-1.15156,-1.29966,-1.23009,-1.18432,-1.13288,-1.09098,-1.06512,-1.03869,-0.99152,-0.85942,-0.65435,-0.35754,0.11441,0.37161,0.38772,0.99983,0.8965,0.70526,0.53732,0.39389,0.28542,0.136,0.10442,0.0265,-0.03478,-0.08462,-0.13899,-0.16351,-0.17412,-0.14999,-0.11156,-0.04488,0.01518,0.07965,0.15695,0.25479,0.09905,0.0,0.0,0.08,0.08
182,5.652,0.233,3846.93,81.87,180.77,0.08142,0.04939,0.0069,-0.04561,-0.10876,-0.18911,-0.2824,-0.37927,-0.48233,-0.5838,-0.68597,-0.79266,-0.88758,-0.97277,-1.05134,-1.12953,-1.18007,-1.21885,-1.23685,-1.26873,-1.27733,-1.29613,-1.2933,-1.29951,-1.28424,-1.27433,-1.29932,-1.47456,-1.41564,-1.3832,-1.34802,-1.32656,-1.32562,-1.33191,-1.32237,-1.22226,-1.04353,-0.75605,-0.22916,0.05542,0.0707,0.98266,0.96191,0.8085,0.64614,0.50135,0.3858,0.23599,0.1909,0.10685,0.03939,-0.01712,-0.07691,-0.10818,-0.12567,-0.1088,-0.0771,-0.01787,0.03616,0.09498,0.16747,0.25586,0.07402,0.0,0.0,0.08,0.08
183,6.679,0.233,3839.69,81.8,179.22,0.05092,0.02419,-0.00925,-0.05186,-0.10622,-0.18083,-0.27307,-0.37282,-0.48094,-0.58822,-0.69697,-0.81009,-0.91233,-1.00513,-1.09121,-1.17694,-1.23529,-1.28147,-1.30745,-1.34739,-1.36319,-1.39111,-1.39574,-1.41266,-1.40536,-1.40458,-1.43943,-1.64591,-1.59938,-1.5802,-1.56307,-1.56385,-1.58992,-1.63209,-1.66462,-1.60253,-1.45824,-1.18914,-0.61394,-0.30987,-0.2954,0.9291,0.99441,0.88678,0.73722,0.59504,0.4754,0.32644,0.26994,0.18129,0.10783,0.04568,-0.01902,-0.05642,-0.08029,-0.07037,-0.04508,0.00678,0.05471,0.1082,0.17599,0.25407,0.04169,0.0,0.0,0.08,0.08
184,7.707,0.233,3836.96,81.78,180.84,0.01288,-0.01209,-0.03547,-0.06565,-0.10616,-0.16749,-0.25223,-0.3519,-0.46448,-0.57814,-0.69372,-0.81363,-0.92336,-1.024,-1.11753,-1.21071,-1.2767,-1.33029,-1.364,-1.41191,-1.43489,-1.4717,-1.48402,-1.51052,-1.51172,-1.52099,-1.54794,-1.7993,-1.76633,-1.75918,-1.75967,-1.78287,-1.8358,-1.9135,-1.98843,-1.96642,-1.86012,-1.61557,-1.00247,-0.68648,-0.67606,0.85018,0.99938,0.93924,0.80697,0.67043,0.54936,0.4025,0.33706,0.24484,0.16703,0.09992,0.03056,-0.01186,-0.04146,-0.0378,-0.01823,0.02706,0.06965,0.11783,0.18115,0.24857,-0.0009,0.0,0.0,0.08,0.08
185,12.233,0.232,3818.99,81.44,260.84,-0.29833,-0.34686,-0.35067,-0.34873,-0.34612,-0.34457,-0.34277,-0.34153,-0.34054,-0.34532,-0.35768,-0.38524,-0.44538,-0.54545,-0.6761,-0.82069,-0.95702,-1.07463,-1.17855,-1.27764,-1.35047,-1.43596,-1.49798,-1.57402,-1.6301,-1.68639,-1.763,-1.91924,-2.14252,-2.20237,-2.25116,-2.34752,-2.46752,-2.66969,-2.90114,-3.07662,-3.12685,-3.014,-2.33529,-2.01447,-0.03124,0.47401,0.90296,0.99985,0.9401,0.8295,0.70393,0.60257,0.50393,0.40444,0.3132,0.23225,0.14647,0.0842,0.0345,0.01509,0.01367,0.03688,0.05747,0.08566,0.12987,0.13621,-0.30414,40.0,425.0,0.08,0.08
186,13.224,0.232,3793.42,81.26,259.16,-0.33976,-0.3881,-0.39348,-0.39083,-0.38551,-0.38151,-0.37675,-0.37236,-0.36792,-0.36768,-0.37073,-0.38082,-0.40697,-0.46003,-0.54795,-0.66806,-0.80347,-0.93403,-1.05923,-1.17713,-1.26804,-1.36972,-1.44592,-1.53544,-1.60304,-1.67266,-1.76158,-1.92648,-2.15627,-2.23143,-2.29797,-2.41331,-2.55099,-2.77126,-3.03465,-3.24849,-3.33378,-3.25491,-2.57969,-2.2677,-0.01266,0.38148,0.86664,0.99921,0.95689,0.85524,0.73389,0.63238,0.53281,0.432,0.33893,0.25539,0.16693,0.10105,0.04719,0.02381,0.01859,0.03763,0.0539,0.07797,0.11859,0.11559,-0.34719,40.0,425.0,0.08,0.08
187,14.232,0.232,3814.55,81.54,260.82,-0.38446,-0.42217,-0.4232,-0.41817,-0.41144,-0.40564,-0.39984,-0.39486,-0.38968,-0.38798,-0.38773,-0.39117,-0.40518,-0.43479,-0.49273,-0.58905,-0.71639,-0.84911,-0.98152,-1.10745,-1.20793,-1.31887,-1.40514,-1.50416,-1.5797,-1.66132,-1.76034,-1.93186,-2.16633,-2.25495,-2.33828,-2.47218,-2.62936,-2.86629,-3.16404,-3.4114,-3.53136,-3.4876,-2.82288,-2.52221,0.0007,0.28226,0.82432,0.99538,0.97166,0.88025,0.76441,0.66385,0.56415,0.46289,0.36859,0.28336,0.19286,0.1241,0.06675,0.03933,0.03084,0.04577,0.05806,0.07837,0.11552,0.10303,-0.36931,40.0,425.0,0.08,0.08
188,15.224,0.232,3809.05,81.57,259.19,-0.43302,-0.46494,-0.46525,-0.46015,-0.45364,-0.44766,-0.44128,-0.4357,-0.42936,-0.42532,-0.42203,-0.42021,-0.42459,-0.43623,-0.46082,-0.50738,-0.58764,-0.69625,-0.82585,-0.95913,-1.0729,-1.19729,-1.29619,-1.40883,-1.49307,-1.5875,-1.69607,-1.8712,-2.10433,-2.20494,-2.30357,-2.45081,-2.62095,-2.86862,-3.18429,-3.4539,-3.59773,-3.57901,-2.93608,-2.6486,0.0181,0.22101,0.79603,0.9909,0.97978,0.8958,0.78435,0.6848,0.58543,0.48403,0.38905,0.30238,0.21022,0.13905,0.07908,0.04857,0.03698,0.04845,0.05719,0.07388,0.10798,0.08602,-0.40256,40.0,425.0,0.08,0.08
189,8.694,0.234,3865.71,82.14,260.78,-0.10566,-0.13261,-0.13745,-0.14635,-0.1583,-0.17812,-0.20593,-0.24411,-0.30907,-0.41287,-0.53703,-0.67077,-0.79833,-0.914,-1.02108,-1.12378,-1.20244,-1.26447,-1.3137,-1.36738,-1.39991,-1.44346,-1.46745,-1.50715,-1.52655,-1.54204,-1.57541,-1.69235,-1.87644,-1.88,-1.86682,-1.88961,-1.94447,-2.04528,-2.16339,-2.17569,-2.08701,-1.8541,-1.2153,-0.88763,0.0268,0.81315,0.9964,0.95035,0.82065,0.67929,0.54196,0.4474,0.35821,0.26481,0.18323,0.11416,0.04021,-0.00695,-0.04021,-0.04176,-0.02619,0.01454,0.05156,0.09596,0.15439,0.20201,-0.10729,40.0,425.0,0.08,0.08
190,7.681,0.234,3872.64,82.22,259.23,-0.04526,-0.06866,-0.08095,-0.09876,-0.12364,-0.15849,-0.20441,-0.27717,-0.38148,-0.49579,-0.6127,-0.73371,-0.84678,-0.94858,-1.04352,-1.13568,-1.20368,-1.256,-1.2951,-1.33979,-1.36379,-1.39759,-1.41269,-1.44318,-1.45287,-1.45809,-1.47972,-1.58301,-1.7523,-1.73973,-1.71007,-1.71207,-1.74875,-1.81246,-1.89398,-1.8657,-1.74012,-1.48043,-0.86915,-0.54835,0.02881,0.89054,0.99885,0.91121,0.76477,0.61703,0.47874,0.38905,0.30449,0.21411,0.13635,0.07165,0.00217,-0.04028,-0.06817,-0.06379,-0.04284,0.00378,0.04627,0.09576,0.15869,0.2197,-0.04647,40.0,425.0,0.08,0.08
191,7.681,0.234,3872.73,82.24,260.82,-0.04553,-0.06879,-0.08093,-0.09854,-0.12385,-0.15854,-0.20431,-0.27684,-0.38122,-0.49547,-0.61247,-0.73346,-0.84661,-0.94841,-1.0434,-1.13561,-1.20356,-1.25587,-1.29513,-1.33974,-1.36376,-1.39745,-1.41267,-1.44302,-1.45274,-1.45799,-1.47955,-1.58276,-1.75214,-1.73942,-1.7098,-1.71158,-1.74844,-1.81197,-1.89331,-1.86491,-1.7391,-1.47928,-0.86806,-0.54717,0.02969,0.89076,0.9988,0.9111,0.76458,0.61689,0.47859,0.38893,0.30434,0.21408,0.13621,0.07153,0.00208,-0.04029,-0.06819,-0.06383,-0.04288,0.00377,0.04626,0.09576,0.15868,0.21974,-0.04641,40.0,425.0,0.08,0.08
192,6.667,0.234,3876.33,82.29,259.24,0.00481,-0.0189,-0.04074,-0.07004,-0.10566,-0.15591,-0.22979,-0.32157,-0.42787,-0.53574,-0.64381,-0.75593,-0.85965,-0.95174,-1.03803,-1.12231,-1.18159,-1.22593,-1.25647,-1.29309,-1.30937,-1.33411,-1.34119,-1.36271,-1.3628,-1.35841,-1.36837,-1.45721,-1.61048,-1.5818,-1.53642,-1.51745,-1.53529,-1.56282,-1.60565,-1.53977,-1.37982,-1.09797,-0.52266,-0.21362,0.03422,0.95164,0.98494,0.85511,0.69453,0.54244,0.40447,0.32153,0.24271,0.15608,0.08267,0.02318,-0.04204,-0.07915,-0.10127,-0.09082,-0.06419,-0.01137,0.03663,0.09137,0.15888,0.23204,0.00324,40.0,425.0,0.08,0.08
193,11.233,0.234,3860.01,82.16,261.43,-0.24705,-0.29697,-0.30124,-0.30232,-0.30364,-0.30564,-0.30749,-0.3106,-0.31709,-0.33327,-0.36396,-0.42268,-0.52327,-0.6545,-0.79812,-0.93939,-1.06146,-1.16177,-1.24778,-1.33211,-1.39207,-1.46457,-1.51471,-1.57992,-1.62543,-1.66957,-1.73399,-1.8807,-2.09493,-2.13934,-2.1697,-2.24416,-2.34872,-2.5282,-2.72451,-2.85464,-2.86643,-2.71428,-2.03764,-1.7109,0.03935,0.57533,0.9387,0.99599,0.91572,0.79579,0.66591,0.56529,0.4682,0.37002,0.28096,0.20292,0.12011,0.06172,0.01647,0.00173,0.00458,0.03244,0.05746,0.09003,0.13807,0.15527,-0.25813,40.0,425.0,0.08,0.08
194,10.226,0.234,3874.71,82.33,259.15,-0.18707,-0.22951,-0.2327,-0.23673,-0.24204,-0.24788,-0.25703,-0.27151,-0.296,-0.34002,-0.41345,-0.52486,-0.66132,-0.79899,-0.92994,-1.05306,-1.15308,-1.23362,-1.3013,-1.37104,-1.41812,-1.47768,-1.5163,-1.57035,-1.60517,-1.63716,-1.68906,-1.82476,-2.02833,-2.05677,-2.0694,-2.12383,-2.20878,-2.36112,-2.52645,-2.61044,-2.58242,-2.39688,-1.72959,-1.39962,0.04664,0.6725,0.9681,0.98569,0.88552,0.75678,0.62336,0.52441,0.4296,0.33321,0.2468,0.17206,0.09251,0.03835,-0.00224,-0.01189,-0.0044,0.02827,0.058,0.09516,0.14737,0.17714,-0.20115,40.0,425.0,0.08,0.08
195,-0.007,0.234,3875.51,82.33,300.0,0.15929,0.09829,0.04253,-0.0193,-0.08482,-0.15588,-0.23286,-0.30799,-0.38444,-0.45771,-0.52739,-0.60015,-0.65996,-0.7061,-0.7473,-0.7861,-0.79923,-0.79983,-0.78349,-0.77465,-0.74858,-0.7202,-0.6826,-0.64997,-0.59832,-0.54261,-0.48743,-0.48013,-0.51308,-0.40689,-0.29741,-0.18475,-0.07916,0.04489,0.19213,0.38487,0.60134,0.81662,0.97088,0.99845,0.05103,0.47066,0.12415,-0.11762,-0.21352,-0.2989,-0.35521,-0.35019,-0.35568,-0.38804,-0.41365,-0.42316,-0.44533,-0.43489,-0.40882,-0.34835,-0.27689,-0.17515,-0.08744,0.00373,0.099,0.22567,0.15729,40.0,425.0,0.08,0.08
196,-0.007,0.234,3875.77,82.33,260.82,0.15886,0.09783,0.04207,-0.01972,-0.08519,-0.15624,-0.2332,-0.30836,-0.38481,-0.45783,-0.52767,-0.60049,-0.66021,-0.70633,-0.74739,-0.78644,-0.79947,-0.80006,-0.78372,-0.77485,-0.74847,-0.72044,-0.6826,-0.65003,-0.59842,-0.54259,-0.48749,-0.48003,-0.51308,-0.40674,-0.29722,-0.18449,-0.07894,0.04512,0.19249,0.38532,0.60187,0.81711,0.97118,0.99868,0.05,0.47034,0.12367,-0.11815,-0.21401,-0.2994,-0.35566,-0.35056,-0.35614,-0.38841,-0.41413,-0.42369,-0.44563,-0.43537,-0.40928,-0.34862,-0.27716,-0.17542,-0.08774,0.00336,0.09871,0.22531,0.15715,40.0,425.0,0.08,0.08
197,-2.063,0.234,3876.52,82.34,260.32,0.17409,0.10491,0.05132,-0.00684,-0.06802,-0.13256,-0.20221,-0.26922,-0.33607,-0.39922,-0.459,-0.51974,-0.56739,-0.60108,-0.6297,-0.65637,-0.65701,-0.64664,-0.6184,-0.59788,-0.56141,-0.52077,-0.47328,-0.4269,-0.36609,-0.29876,-0.23151,-0.20233,-0.20348,-0.09062,0.034,0.15744,0.27621,0.41231,0.56336,0.73428,0.89058,0.98976,0.97768,0.84182,0.04966,-0.12905,-0.46904,-0.64872,-0.65221,-0.66886,-0.67461,-0.62502,-0.59219,-0.59605,-0.59984,-0.58743,-0.59028,-0.56106,-0.51616,-0.43702,-0.34955,-0.2311,-0.1305,-0.02838,0.07344,0.20812,0.17168,40.0,425.0,0.08,0.08
198,-4.119,0.234,3885.58,82.44,260.84,0.17655,0.10818,0.06048,0.00803,-0.04747,-0.10504,-0.1671,-0.22617,-0.28388,-0.33818,-0.38743,-0.43747,-0.47389,-0.49633,-0.51374,-0.52901,-0.51913,-0.49885,-0.46088,-0.43063,-0.38613,-0.33485,-0.27999,-0.22312,-0.15483,-0.0804,-0.004,0.0412,0.06407,0.18465,0.30996,0.43499,0.55323,0.68328,0.81351,0.93416,0.99725,0.965,0.76009,0.40324,0.04708,-0.93175,-1.19637,-1.26141,-1.12827,-1.07339,-1.01619,-0.91391,-0.83732,-0.808,-0.78723,-0.75045,-0.73195,-0.68254,-0.61747,-0.51929,-0.41543,-0.28089,-0.16772,-0.05607,0.04891,0.1845,0.17508,40.0,425.0,0.08,0.08
199,-6.167,0.234,3877.3,82.37,259.22,0.16401,0.10553,0.06679,0.02155,-0.02748,-0.07733,-0.13152,-0.18246,-0.23124,-0.27625,-0.3158,-0.35559,-0.38142,-0.39343,-0.40104,-0.40518,-0.38571,-0.35665,-0.31063,-0.27225,-0.22036,-0.16131,-0.10071,-0.03465,0.03832,0.11763,0.19837,0.25517,0.29874,0.41855,0.53748,0.65413,0.7611,0.86828,0.95641,0.99966,0.95212,0.75121,0.31452,-0.30331,0.04482,-1.93093,-2.05312,-1.95459,-1.66008,-1.516,-1.37994,-1.21756,-1.09172,-1.02431,-0.97519,-0.91139,-0.8686,-0.79729,-0.71035,-0.59181,-0.47115,-0.32097,-0.19613,-0.07816,0.024,0.15148,0.1633,40.0,425.0,0.08,0.08
200,-8.214,0.234,3889.44,82.51,260.75,0.12318,0.09012,0.0639,0.02754,-0.01395,-0.05577,-0.10201,-0.14492,-0.18494,-0.22132,-0.25176,-0.28204,-0.29831,-0.30062,-0.2989,-0.29359,-0.26565,-0.22986,-0.177,-0.13069,-0.07374,-0.00782,0.05664,0.1286,0.20394,0.28559,0.36645,0.43286,0.48906,0.60223,0.70938,0.81078,0.89653,0.9683,0.9992,0.9556,0.77205,0.37201,-0.30986,-1.21075,0.04336,-3.05028,-2.97402,-2.72941,-2.21052,-1.95821,-1.73745,-1.51225,-1.33443,-1.22642,-1.14571,-1.05274,-0.98343,-0.88875,-0.77804,-0.63871,-0.50112,-0.33732,-0.20463,-0.09004,-0.00545,0.09794,0.12337,40.0,425.0,0.08,0.08
201,-10.26,0.234,3883.49,82.46,259.16,0.02995,0.04404,0.03594,0.01125,-0.02143,-0.0545,-0.09268,-0.12779,-0.15974,-0.18791,-0.21018,-0.23186,-0.2394,-0.23369,-0.22321,-0.20983,-0.17462,-0.13229,-0.07384,-0.02165,0.03885,0.11043,0.17755,0.25314,0.32955,0.41142,0.49362,0.56295,0.62522,0.72925,0.82245,0.90432,0.9664,0.99845,0.97547,0.83646,0.51983,-0.07029,-0.97295,-2.13761,0.04381,-4.09006,-3.81048,-3.16809,-2.68682,-2.32897,-2.0266,-1.74772,-1.52028,-1.3717,-1.25823,-1.13587,-1.03795,-0.91745,-0.77986,-0.61749,-0.46319,-0.29614,-0.17928,-0.10601,-0.06049,-2e-05,0.02582,40.0,425.0,0.08,0.08
202,-12.265,0.234,3866.55,82.31,260.83,-0.12146,-0.04035,-0.02573,-0.03631,-0.05898,-0.08244,-0.11267,-0.14013,-0.16429,-0.18522,-0.20002,-0.21436,-0.21435,-0.20116,-0.18352,-0.16378,-0.1216,-0.07362,-0.01026,0.04681,0.11065,0.186,0.25511,0.33244,0.40932,0.49178,0.57351,0.64319,0.70701,0.80247,0.88377,0.95019,0.99174,0.99471,0.92859,0.7182,0.30747,-0.41289,-1.4563,-2.78196,0.04632,-4.72449,-4.31745,-3.48693,-2.91944,-2.49215,-2.12899,-1.82512,-1.55406,-1.3648,-1.21352,-1.05662,-0.91614,-0.75677,-0.58231,-0.42306,-0.32273,-0.26138,-0.23965,-0.22308,-0.2095,-0.17078,-0.14243,40.0,425.0,0.08,0.08
203,-14.06,0.232,3802.38,81.73,259.17,-0.53421,-0.30844,-0.25745,-0.25012,-0.26444,-0.28103,-0.30913,-0.33449,-0.35742,-0.37781,-0.39236,-0.40732,-0.40666,-0.39085,-0.37225,-0.35138,-0.30736,-0.25683,-0.18983,-0.1312,-0.06412,0.0123,0.08395,0.16279,0.24248,0.32681,0.40932,0.47678,0.53311,0.64057,0.73975,0.83113,0.90816,0.9709,0.99854,0.96471,0.82032,0.51585,0.01783,-0.61283,0.02507,-1.50118,-1.17617,-0.69352,-0.65548,-0.64116,-0.63423,-0.63213,-0.6377,-0.64442,-0.65004,-0.65576,-0.663,-0.67084,-0.67839,-0.68654,-0.69683,-0.70206,-0.72216,-0.72499,-0.71058,-0.61449,-0.50336,40.0,425.0,0.08,0.08
204,-13.073,0.234,3865.23,82.43,260.82,-0.4273,-0.24038,-0.20127,-0.20054,-0.21912,-0.23955,-0.2706,-0.29858,-0.32437,-0.34729,-0.36455,-0.38215,-0.38463,-0.37211,-0.35674,-0.33883,-0.29798,-0.25036,-0.18657,-0.13075,-0.06586,0.00786,0.07778,0.15463,0.23285,0.31596,0.39756,0.46379,0.51906,0.62695,0.72734,0.82047,0.89991,0.96603,0.99812,0.96945,0.83025,0.52814,0.02396,-0.62122,0.04647,-1.66686,-1.39202,-0.83836,-0.74283,-0.71233,-0.69488,-0.69329,-0.69529,-0.6891,-0.67861,-0.66873,-0.66172,-0.65685,-0.65312,-0.65244,-0.65606,-0.65473,-0.66749,-0.66227,-0.63735,-0.51955,-0.42627,40.0,425.0,0.08,0.08
205,-13.084,0.234,3861.61,82.41,259.21,-0.4249,-0.24017,-0.20153,-0.20106,-0.21981,-0.24038,-0.2715,-0.29958,-0.32537,-0.3484,-0.3657,-0.38335,-0.38586,-0.37322,-0.35779,-0.33986,-0.29897,-0.25138,-0.18738,-0.13147,-0.06645,0.00728,0.07727,0.15424,0.23254,0.31581,0.39742,0.4638,0.51921,0.62718,0.72762,0.82156,0.90033,0.96637,0.99833,0.96919,0.82927,0.52583,0.01879,-0.62814,0.04537,-1.67706,-1.40244,-0.84612,-0.74919,-0.71786,-0.6995,-0.69785,-0.6998,-0.69356,-0.68308,-0.67396,-0.66718,-0.66205,-0.65834,-0.65674,-0.65956,-0.65741,-0.66939,-0.66288,-0.63763,-0.51932,-0.42645,40.0,425.0,0.08,0.08
206,-12.25,0.237,3981.52,83.6,259.55,-0.12776,-0.04346,-0.02794,-0.03813,-0.06062,-0.08395,-0.11417,-0.14158,-0.16593,-0.18678,-0.20167,-0.21607,-0.21617,-0.20305,-0.18538,-0.16537,-0.1237,-0.07564,-0.0123,0.0448,0.10889,0.18396,0.25323,0.33074,0.40754,0.48989,0.5717,0.64133,0.70524,0.80086,0.88251,0.94976,0.99129,0.99516,0.93033,0.7221,0.31477,-0.40094,-1.43656,-2.75658,0.0577,-4.71008,-4.30614,-3.47843,-2.91571,-2.48831,-2.12594,-1.82201,-1.55118,-1.36182,-1.21054,-1.0531,-0.91164,-0.75083,-0.57508,-0.41551,-0.31611,-0.25671,-0.23671,-0.22215,-0.20916,-0.17477,-0.14073,40.0,425.0,0.08,0.08
