	      Cd	      Cl	      Cm
176	0.029138	-0.8891	-0.0573
177	0.050418	-0.9461	-0.0542
178	0.053632	-1.0052	-0.0497
179	0.069883	-1.0441	-0.0422
180	0.086148	-1.0335	-0.0387
181	0.014204	0.743	-0.0655
182	0.015348	0.8423	-0.0641
183	0.016768	0.9336	-0.0618
184	0.019167	1.0086	-0.0586
185	0.080139	1.0419	-0.0447
186	0.097378	1.0307	-0.0449
187	0.144361	1.0293	-0.0476
188	0.203891	0.9994	-0.0543
189	0.029739	0.9765	-0.0461
190	0.025201	0.9347	-0.0509
191	0.025145	0.9346	-0.0509
192	0.021509	0.8762	-0.0554
193	0.060408	1.0365	-0.0446
194	0.049067	1.0257	-0.0445
195	0.013212	0.2457	-0.0649
196	0.013128	0.2456	-0.0649
197	0.01318	0.0199	-0.0638
198	0.014608	-0.2001	-0.0619
199	0.017209	-0.4143	-0.0601
200	0.02214	-0.6056	-0.0592
201	0.031732	-0.7352	-0.0586
202	0.069699	-0.7702	-0.0473
203	0.275079	-0.4741	0.0577
204	0.295202	-0.47	0.049
205	0.292572	-0.473	0.049
206	0.067138	-0.766	-0.048
207	0.047342	-0.7637	-0.0563
208	0.025897	-0.6803	-0.0589
209	0.019161	-0.5111	-0.0594
210	0.015589	-0.3063	-0.061
211	0.01365	-0.0927	-0.0629
212	0.013096	0.1321	-0.0645
213	0.013159	0.2404	-0.0649
214	0.013176	0.2414	-0.0649
215	0.013538	0.3544	-0.065
216	0.014304	0.4618	-0.0647
217	0.015041	0.5665	-0.0639
218	0.016406	0.666	-0.0625
219	0.017932	0.7573	-0.0604
220	0.020206	0.84	-0.0573
221	0.023332	0.9087	-0.0531
222	0.027395	0.959	-0.0481
223	0.031945	0.9957	-0.0449
224	0.045679	1.0243	-0.044
225	0.01463	0.2353	-0.0639
226	0.015569	0.4547	-0.0637
227	0.017796	0.6586	-0.0616
228	0.014642	0.2373	-0.0639
229	0.014962	0.3483	-0.064
230	0.016568	0.5601	-0.063
231	0.019614	0.7506	-0.0594
232	0.025513	0.8971	-0.052
233	0.055596	0.9746	-0.0461
234	0.100052	0.9896	-0.0508
235	0.164999	0.9321	-0.0543
236	0.274767	0.7963	-0.0731
237	0.233469	0.8603	-0.0621
238	0.129072	0.9533	-0.0505
239	0.070307	0.9792	-0.0471
240	0.10256	0.9754	-0.0503
241	0.032545	0.9395	-0.0471
242	0.021825	0.8301	-0.0564
243	0.017747	0.6581	-0.0616
244	0.015594	0.4544	-0.0637
245	0.014655	0.2392	-0.0639
246	0.014812	0.0169	-0.063
247	0.016155	-0.201	-0.0612
248	0.019033	-0.4119	-0.0594
249	0.024705	-0.5924	-0.0586
250	0.049676	-0.692	-0.0557
251	0.201831	-0.5899	0.0057
252	0.275097	-0.4766	0.0575
253	0.274759	-0.4902	0.0631
254	0.293539	-0.4716	0.046
255	0.063529	-0.7188	-0.0479
256	0.028843	-0.6545	-0.0585
257	0.021068	-0.5039	-0.0589
258	0.017169	-0.3064	-0.0601
259	0.015202	-0.0968	-0.0618
260	0.014456	0.1255	-0.0631
261	0.014603	0.2324	-0.0635
262	0.018674	0.7001	-0.0598
263	0.020658	0.7864	-0.0571
264	0.023605	0.8605	-0.0531
265	0.010935	0.2578	-0.0668
266	0.011803	0.4821	-0.0677
267	0.013474	0.6942	-0.0664
268	0.01658	0.8717	-0.0618
269	0.02947	0.9891	-0.0527
270	0.054149	1.0808	-0.0537
271	0.050175	1.082	-0.0532
272	0.12135	1.1386	-0.0621
273	0.085936	1.1261	-0.0589
274	0.056979	1.1103	-0.0574
275	0.039285	1.0772	-0.0523
276	0.033947	1.0414	-0.052
277	0.023071	0.9699	-0.055
278	0.019801	0.9443	-0.0578
279	0.018065	0.9151	-0.0601
280	0.015642	0.8358	-0.0638
281	0.01482	0.7908	-0.0651
282	0.030369	0.993	-0.0533
283	0.023026	0.9687	-0.0551
284	0.012497	0.594	-0.0677
285	0.011225	0.3728	-0.0678
286	0.010944	0.2605	-0.0671
287	0.010965	0.1453	-0.0661
288	0.01111	0.0277	-0.0648
289	0.011535	-0.0861	-0.0635
290	0.012816	-0.3156	-0.0607
291	0.015052	-0.5329	-0.0588
292	0.018481	-0.7141	-0.0583
293	0.037471	-0.8328	-0.0556
294	0.080034	-0.8867	-0.0374
295	0.073732	-0.9153	-0.0362
296	0.249138	-0.5363	0.0464
297	0.252253	-0.4656	0.0526
298	0.010962	0.2575	-0.0672
299	0.01115	0.0249	-0.0648
300	0.012121	-0.2024	-0.062
301	0.012695	-0.3167	-0.0606
302	0.013741	-0.4276	-0.0595
303	0.015034	-0.5324	-0.0586
304	0.016211	-0.6284	-0.0584
305	0.018386	-0.7142	-0.0581
306	0.022434	-0.785	-0.0575
307	0.037483	-0.8415	-0.0554
308	0.04944	-0.8944	-0.0501
309	0.078006	-0.9119	-0.0391
310	0.08782	-0.9172	-0.036
311	0.01199	-0.2047	-0.062
312	0.011983	-0.2049	-0.062
313	0.011451	-0.0881	-0.0634
314	0.010987	0.1416	-0.0661
315	0.01098	0.2589	-0.0673
316	0.013553	0.6988	-0.067
317	0.014065	0.7454	-0.0663
318	0.056252	1.0826	-0.0538
319	0.046458	1.0601	-0.053
320	0.030774	1.0198	-0.0531
321	0.03001	0.9941	-0.054
322	0.011445	0.2527	-0.0663
323	0.011595	0.2567	-0.0663
324	0.0115	0.2571	-0.0665
325	0.012266	0.4799	-0.0672
326	0.014141	0.6897	-0.0657
327	0.017364	0.8686	-0.0612
328	0.027866	0.9887	-0.0522
329	0.043635	1.0356	-0.051
330	0.053481	1.0388	-0.0525
331	0.068647	1.0596	-0.0512
332	0.069846	1.073	-0.0508
333	0.099353	1.0897	-0.0528
334	0.072134	1.0888	-0.0518
335	0.192291	1.1151	-0.0625
336	0.075794	1.1072	-0.0541
337	0.056427	1.1135	-0.0557
338	0.039257	1.0375	-0.0509
339	0.274388	1.0739	-0.0687
340	0.022395	0.9658	-0.0546
341	0.020279	0.938	-0.0572
342	0.01867	0.9068	-0.0593
343	0.016252	0.827	-0.0627
344	0.015402	0.785	-0.064
345	0.01293	0.586	-0.0668
346	0.011668	0.3681	-0.067
347	0.011508	0.2559	-0.0665
348	0.011429	0.0275	-0.0647
349	0.012311	-0.2021	-0.0621
350	0.014231	-0.4277	-0.0597
351	0.017608	-0.6356	-0.0583
352	0.024673	-0.793	-0.058
353	0.057917	-0.8721	-0.0459
354	0.095649	-0.8452	-0.0305
355	0.319174	-0.583	0.0492
356	0.04143	-0.8436	-0.0559
357	0.020416	-0.725	-0.0581
358	0.015622	-0.5337	-0.0588
359	0.013064	-0.3166	-0.0608
360	0.011772	-0.0923	-0.0633
361	0.011309	0.1405	-0.0656
362	0.011368	0.1413	-0.0657
363	0.011512	0.2537	-0.0665
364	0.012281	0.248	-0.0656
365	0.013071	0.4713	-0.0661
366	0.01475	0.682	-0.0647
367	0.01482	0.6821	-0.0647
368	0.018086	0.8629	-0.0605
369	0.027851	0.9844	-0.0515
370	0.055722	1.0091	-0.0498
371	0.079414	1.0025	-0.0487
372	0.113513	1.0213	-0.0522
373	0.143966	1.0367	-0.0557
374	0.187897	1.03	-0.0604
375	0.274708	0.9835	-0.0664
376	0.044718	1.0266	-0.0507
377	0.023271	0.9618	-0.0541
378	0.021013	0.9344	-0.0567
379	0.019442	0.9022	-0.0587
380	0.017101	0.8221	-0.062
381	0.016198	0.7771	-0.0631
382	0.013759	0.5792	-0.0657
383	0.012649	0.362	-0.0661
384	0.012209	0.1416	-0.065
385	0.012396	-0.0917	-0.063
386	0.013643	-0.3151	-0.0608
387	0.016204	-0.5345	-0.0588
388	0.021268	-0.7198	-0.0579
389	0.035437	-0.8345	-0.0542
