   Runnr	   Alpha	      Cd	      Cl	      Cm	      Cn	      Ct	Cd-press	Cl-press	      Re	       M	       Q	       V	  Z_w.r.	    Flap	 Cpu_001	 Cpu_002	 Cpu_003	 Cpu_004	 Cpu_005	 Cpu_006	 Cpu_007	 Cpu_008	 Cpu_009	 Cpu_010	 Cpu_011	 Cpu_012	 Cpu_013	 Cpu_014	 Cpu_015	 Cpu_016	 Cpu_017	 Cpu_018	 Cpu_019	 Cpu_020	 Cpu_021	 Cpu_022	 Cpu_023	 Cpu_024	 Cpu_025	 Cpu_026	 Cpu_027	 Cpu_028	 Cpu_029	 Cpu_030	 Cpu_031	 Cpu_032	 Cpu_033	 Cpu_034	 Cpu_035	 Cpu_036	 Cpu_037	 Cpu_038	 Cpu_039	 Cpu_040	 Cpl_001	 Cpl_002	 Cpl_003	 Cpl_004	 Cpl_005	 Cpl_006	 Cpl_007	 Cpl_008	 Cpl_009	 Cpl_010	 Cpl_011	 Cpl_012	 Cpl_013	 Cpl_014	 Cpl_015	 Cpl_016	 Cpl_017	 Cpl_018	 Cpl_019	 Cpl_020	 Cpl_021	 Cpl_022	 Cpl_023	 Cn-corr	 Ct-corr	 Cm-corr
       /	 degrees	       /	       /	       /	       /	       /	       /	       /	       /	       /	      Pa	     m/s	      mm	 degrees	  100.00	   94.76	   89.84	   84.97	   80.44	   75.81	   71.34	   67.21	   63.02	   59.06	   55.22	   51.47	   47.87	   44.31	   40.97	   37.84	   34.73	   31.83	   28.95	   26.24	   23.77	   21.21	   19.02	   16.69	   14.78	   12.88	   11.12	    9.52	    7.96	    6.55	    5.35	    4.20	    3.24	    2.37	    1.63	    1.03	    0.58	    0.26	    0.02	    0.00	    0.00	    0.51	    1.21	    2.24	    3.62	    5.34	    7.43	    9.84	   12.66	   15.80	   19.37	   23.34	   27.72	   32.33	   37.52	   42.99	   48.39	   54.79	   61.58	   68.55	   75.87	   92.00	  100.00	       /	       /	       /
       1	   0.004	0.013958	  0.2434	 -0.0636	  0.2434	0.013941	0.006956	  0.2437	2.984E+6	   0.235	 3829.03	   82.25	  250.87	   0.000	 0.15589	 0.09657	 0.04146	-0.01971	-0.08493	-0.15574	-0.23159	-0.30612	-0.38231	-0.45465	-0.52460	-0.59748	-0.65665	-0.70332	-0.74438	-0.78094	-0.79628	-0.79480	-0.77884	-0.76931	-0.74275	-0.71402	-0.67685	-0.64551	-0.64820	-0.58879	-0.52122	-0.49585	-0.47864	-0.37880	-0.27038	-0.15869	-0.06032	 0.06574	 0.21083	 0.40346	 0.61509	 0.82533	 0.97456	 0.99846	 0.99994	 0.46847	 0.12442	-0.11093	-0.19943	-0.28209	-0.33005	-0.38578	-0.40242	-0.40177	-0.41340	-0.42521	-0.44610	-0.43695	-0.41067	-0.35101	-0.27868	-0.17713	-0.08958	 0.00108	 0.09591	 0.22251	 0.15419	  0.2432	0.006973	 -0.0637	
       2	   2.055	0.014930	  0.4610	 -0.0636	  0.4613	-0.001612	0.008244	  0.4619	2.994E+6	   0.236	 3861.58	   82.62	  249.14	   0.000	 0.12926	 0.08236	 0.03072	-0.02988	-0.09661	-0.17190	-0.25404	-0.33629	-0.42203	-0.50441	-0.58531	-0.66967	-0.74133	-0.80109	-0.85539	-0.90519	-0.93342	-0.94431	-0.94137	-0.94469	-0.92956	-0.91551	-0.89041	-0.87541	-0.89700	-0.85141	-0.79967	-0.79700	-0.80119	-0.72291	-0.63411	-0.54366	-0.47101	-0.37276	-0.25675	-0.07110	 0.16263	 0.44191	 0.74836	 0.89773	 0.89905	 0.83846	 0.55511	 0.30651	 0.16041	 0.03609	-0.05388	-0.13560	-0.18145	-0.20688	-0.23994	-0.27053	-0.30813	-0.31547	-0.30637	-0.26368	-0.20657	-0.12092	-0.04625	 0.03282	 0.12005	 0.23415	 0.12858	  0.4610	-0.008188	 -0.0637	
       3	   4.104	0.017073	  0.6641	 -0.0617	  0.6636	-0.030499	0.009884	  0.6656	3.005E+6	   0.237	 3894.69	   83.00	  250.84	   0.000	 0.08739	 0.05401	 0.01255	-0.03939	-0.10063	-0.17552	-0.26130	-0.35040	-0.44567	-0.53834	-0.63068	-0.72685	-0.81184	-0.88554	-0.95359	-1.01731	-1.05987	-1.08424	-1.09571	-1.11328	-1.11116	-1.11316	-1.10224	-1.10615	-1.14782	-1.11945	-1.08622	-1.11014	-1.14590	-1.08206	-1.01826	-0.96680	-0.93302	-0.87934	-0.81422	-0.66436	-0.44461	-0.14097	 0.29932	 0.53636	 0.53742	 0.99254	 0.83280	 0.61701	 0.44750	 0.30121	 0.18099	 0.08382	 0.01508	-0.03096	-0.08170	-0.12776	-0.17958	-0.20151	-0.20758	-0.18073	-0.13764	-0.06730	-0.00503	 0.06270	 0.14126	 0.23925	 0.08644	  0.6632	-0.037451	 -0.0618	
       4	   6.169	0.020980	  0.8348	 -0.0570	  0.8322	-0.068849	0.013453	  0.8368	2.993E+6	   0.236	 3878.38	   82.89	  249.13	   0.000	 0.02112	-0.00268	-0.02974	-0.06472	-0.10610	-0.16161	-0.23823	-0.32957	-0.43367	-0.53791	-0.64294	-0.75186	-0.85114	-0.93994	-1.02258	-1.10060	-1.15829	-1.19713	-1.22411	-1.25663	-1.26869	-1.28823	-1.29290	-1.31665	-1.37892	-1.36932	-1.35769	-1.40813	-1.47800	-1.44391	-1.39359	-1.37670	-1.40678	-1.40984	-1.41353	-1.32316	-1.14876	-0.85874	-0.31512	-0.02456	-0.02402	 0.97579	 0.96962	 0.82007	 0.65725	 0.50684	 0.37615	 0.26347	 0.17929	 0.11766	 0.05357	-0.00499	-0.06803	-0.10250	-0.12198	-0.10897	-0.07867	-0.02240	 0.02827	 0.08504	 0.15452	 0.23291	 0.01961	  0.8318	-0.076058	 -0.0571	
       5	   8.198	0.033318	  0.9452	 -0.0481	  0.9403	-0.101808	0.018841	  0.9499	2.983E+6	   0.236	 3863.02	   82.77	  250.76	   0.000	-0.08315	-0.11083	-0.11960	-0.13148	-0.14592	-0.17056	-0.20573	-0.25674	-0.33831	-0.44418	-0.56256	-0.68860	-0.80810	-0.91799	-1.01993	-1.11507	-1.19132	-1.24742	-1.29251	-1.34198	-1.37013	-1.40855	-1.43025	-1.47469	-1.55676	-1.56736	-1.57862	-1.65568	-1.75725	-1.75457	-1.73602	-1.74261	-1.84498	-1.90686	-1.98508	-1.96882	-1.85940	-1.61126	-0.99694	-0.68247	-0.68234	 0.85607	 1.00000	 0.93379	 0.79792	 0.65567	 0.52339	 0.40370	 0.30875	 0.23604	 0.16137	 0.09274	 0.02067	-0.02473	-0.05589	-0.05559	-0.03688	 0.00651	 0.04560	 0.09207	 0.15243	 0.20643	-0.09769	  0.9401	-0.116170	 -0.0483	
       6	   9.215	0.051934	  0.9849	 -0.0475	  0.9805	-0.106447	0.026313	  0.9940	3.003E+6	   0.237	 3918.40	   83.39	  249.18	   0.000	-0.13173	-0.17188	-0.17842	-0.18771	-0.19775	-0.21018	-0.23051	-0.26197	-0.31440	-0.39480	-0.50107	-0.62600	-0.75327	-0.87399	-0.98646	-1.09076	-1.17689	-1.24241	-1.29725	-1.35552	-1.39201	-1.43998	-1.47015	-1.52473	-1.61575	-1.63633	-1.65891	-1.74832	-1.86410	-1.87638	-1.87442	-1.90009	-2.02647	-2.12166	-2.23446	-2.25595	-2.18196	-1.96125	-1.32417	-1.00615	-1.00621	 0.77469	 0.99133	 0.96535	 0.84696	 0.71175	 0.58109	 0.46018	 0.36172	 0.28494	 0.20636	 0.13381	 0.05754	 0.00748	-0.02856	-0.03389	-0.02031	 0.01753	 0.05166	 0.09340	 0.14985	 0.19342	-0.16361	  0.9804	-0.132375	 -0.0477	
       7	  10.211	0.063333	  0.9779	 -0.0472	  0.9737	-0.111033	0.034830	  0.9886	2.995E+6	   0.237	 3901.60	   83.23	  250.85	   0.000	-0.22579	-0.27235	-0.27788	-0.28182	-0.28611	-0.28971	-0.29254	-0.29738	-0.30643	-0.32780	-0.36796	-0.43761	-0.54724	-0.68482	-0.82640	-0.95740	-1.06988	-1.15738	-1.23207	-1.30588	-1.35620	-1.41764	-1.45933	-1.52576	-1.62517	-1.65708	-1.69148	-1.79185	-1.91936	-1.94586	-1.95956	-2.00446	-2.11806	-2.27484	-2.41239	-2.46451	-2.42249	-2.22786	-1.57957	-1.26243	-1.26264	 0.70149	 0.97532	 0.98209	 0.87913	 0.75033	 0.62156	 0.50026	 0.39918	 0.31932	 0.23762	 0.16157	 0.08181	 0.02759	-0.01310	-0.02359	-0.01484	 0.01796	 0.04725	 0.08402	 0.13564	 0.16162	-0.23442	  0.9738	-0.140379	 -0.0474	
       8	  11.214	0.087485	  0.9903	 -0.0492	  0.9884	-0.106774	0.046893	  1.0065	2.989E+6	   0.237	 3889.89	   83.13	  249.37	   0.000	-0.27763	-0.32955	-0.33475	-0.33595	-0.33670	-0.33687	-0.33574	-0.33566	-0.33720	-0.34575	-0.36551	-0.40507	-0.47642	-0.58351	-0.71672	-0.85487	-0.98284	-1.08626	-1.17692	-1.26350	-1.32534	-1.39867	-1.45036	-1.52780	-1.63465	-1.67728	-1.72297	-1.83419	-1.97297	-2.01436	-2.04426	-2.10909	-2.21811	-2.43537	-2.59667	-2.68073	-2.67396	-2.51019	-1.85363	-1.53942	-1.53974	 0.61526	 0.95046	 0.99356	 0.90861	 0.78767	 0.66197	 0.54097	 0.43784	 0.35536	 0.27076	 0.19155	 0.10861	 0.05043	 0.00524	-0.01001	-0.00582	 0.02254	 0.04736	 0.07988	 0.12789	 0.14333	-0.28567	  0.9889	-0.149030	 -0.0494	
       9	  12.206	0.115426	  0.9880	 -0.0513	  0.9901	-0.096081	0.059728	  1.0115	2.984E+6	   0.236	 3879.80	   83.05	  300.00	   0.000	-0.33636	-0.38526	-0.38883	-0.38533	-0.38184	-0.37913	-0.37529	-0.37167	-0.36769	-0.36693	-0.37107	-0.38400	-0.41718	-0.48484	-0.59186	-0.72340	-0.86267	-0.98231	-1.09137	-1.19290	-1.26798	-1.35454	-1.41725	-1.50597	-1.61962	-1.67371	-1.73058	-1.85207	-2.00072	-2.05674	-2.10271	-2.18548	-2.30853	-2.55227	-2.74796	-2.86291	-2.88528	-2.75447	-2.09567	-1.78765	-1.78798	 0.53109	 0.92193	 0.99902	 0.93150	 0.81861	 0.69632	 0.57632	 0.47181	 0.38718	 0.30021	 0.21833	 0.13256	 0.07071	 0.02134	 0.00166	 0.00170	 0.02579	 0.04639	 0.07465	 0.11894	 0.12287	-0.32711	  0.9910	-0.154600	 -0.0516	
      10	  13.199	0.145289	  0.9728	 -0.0535	  0.9803	-0.080677	0.074320	  1.0042	2.988E+6	   0.237	 3894.51	   83.24	  250.79	   0.000	-0.38732	-0.42902	-0.43039	-0.42579	-0.42005	-0.41471	-0.40879	-0.40344	-0.39758	-0.39441	-0.39308	-0.39568	-0.40745	-0.43628	-0.49348	-0.58703	-0.71575	-0.84405	-0.97067	-1.08890	-1.17993	-1.28151	-1.35697	-1.45757	-1.57740	-1.64328	-1.71147	-1.84201	-1.99925	-2.06904	-2.12987	-2.22820	-2.36858	-2.62133	-2.85403	-2.99511	-3.04762	-2.94605	-2.29000	-1.98949	-1.99005	 0.45722	 0.89402	 0.99999	 0.94791	 0.84236	 0.72363	 0.60466	 0.49911	 0.41280	 0.32379	 0.23944	 0.15099	 0.08584	 0.03278	 0.00913	 0.00558	 0.02577	 0.04225	 0.06658	 0.10749	 0.10120	-0.36269	  0.9818	-0.155903	 -0.0538	
      11	  14.195	0.197353	  0.9412	 -0.0591	  0.9608	-0.039458	0.095372	  0.9883	2.984E+6	   0.237	 3885.35	   83.18	  200.00	   0.000	-0.43114	-0.47090	-0.47289	-0.46824	-0.46198	-0.45609	-0.44967	-0.44361	-0.43665	-0.43203	-0.42868	-0.42690	-0.42946	-0.44012	-0.46295	-0.50520	-0.58313	-0.68447	-0.80712	-0.93442	-1.04077	-1.15810	-1.24842	-1.36031	-1.48550	-1.56337	-1.64223	-1.78001	-1.94261	-2.02489	-2.09888	-2.20962	-2.36342	-2.60073	-2.87700	-3.03629	-3.11224	-3.03433	-2.39051	-2.10155	-2.10211	 0.40665	 0.87300	 0.99990	 0.95838	 0.85873	 0.74320	 0.62547	 0.51956	 0.43206	 0.34166	 0.25552	 0.16493	 0.09697	 0.04093	 0.01404	 0.00729	 0.02399	 0.03690	 0.05776	 0.09576	 0.08099	-0.40093	  0.9635	-0.148414	 -0.0595	
