   Runnr	   Alpha	      Cd	      Cl	      Cm	      Cn	      Ct	Cd-press	Cl-press	      Re	       M	       Q	       V	  Z_w.r.	    Flap	 Cpu_001	 Cpu_002	 Cpu_003	 Cpu_004	 Cpu_005	 Cpu_006	 Cpu_007	 Cpu_008	 Cpu_009	 Cpu_010	 Cpu_011	 Cpu_012	 Cpu_013	 Cpu_014	 Cpu_015	 Cpu_016	 Cpu_017	 Cpu_018	 Cpu_019	 Cpu_020	 Cpu_021	 Cpu_022	 Cpu_023	 Cpu_024	 Cpu_025	 Cpu_026	 Cpu_027	 Cpu_028	 Cpu_029	 Cpu_030	 Cpu_031	 Cpu_032	 Cpu_033	 Cpu_034	 Cpu_035	 Cpu_036	 Cpu_037	 Cpu_038	 Cpu_039	 Cpu_040	 Cpl_001	 Cpl_002	 Cpl_003	 Cpl_004	 Cpl_005	 Cpl_006	 Cpl_007	 Cpl_008	 Cpl_009	 Cpl_010	 Cpl_011	 Cpl_012	 Cpl_013	 Cpl_014	 Cpl_015	 Cpl_016	 Cpl_017	 Cpl_018	 Cpl_019	 Cpl_020	 Cpl_021	 Cpl_022	 Cpl_023	 Cn-corr	 Ct-corr	 Cm-corr
      10	  10.226	0.049067	  1.0257	 -0.0445	  1.0181	-0.133796	0.040665	  1.0288	2.998E+6	   0.234	 3874.71	   82.33	  259.15	   0.000	-0.18707	-0.22951	-0.23270	-0.23673	-0.24204	-0.24788	-0.25703	-0.27151	-0.29600	-0.34002	-0.41345	-0.52486	-0.66132	-0.79899	-0.92994	-1.05306	-1.15308	-1.23362	-1.30130	-1.37104	-1.41812	-1.47768	-1.51630	-1.57035	-1.60517	-1.63716	-1.68906	-1.82476	-2.02833	-2.05677	-2.06940	-2.12383	-2.20878	-2.36112	-2.52645	-2.61044	-2.58242	-2.39688	-1.72959	-1.39962	 0.04664	 0.67250	 0.96810	 0.98569	 0.88552	 0.75678	 0.62336	 0.52441	 0.42960	 0.33321	 0.24680	 0.17206	 0.09251	 0.03835	-0.00224	-0.01189	-0.00440	 0.02827	 0.05800	 0.09516	 0.14737	 0.17714	-0.20115	  1.0182	-0.142246	 -0.0447	
      11	  -0.007	0.013212	  0.2457	 -0.0649	  0.2457	0.013243	-0.000667	  0.2464	2.998E+6	   0.234	 3875.51	   82.33	  300.00	   0.000	 0.15929	 0.09829	 0.04253	-0.01930	-0.08482	-0.15588	-0.23286	-0.30799	-0.38444	-0.45771	-0.52739	-0.60015	-0.65996	-0.70610	-0.74730	-0.78610	-0.79923	-0.79983	-0.78349	-0.77465	-0.74858	-0.72020	-0.68260	-0.64997	-0.59832	-0.54261	-0.48743	-0.48013	-0.51308	-0.40689	-0.29741	-0.18475	-0.07916	 0.04489	 0.19213	 0.38487	 0.60134	 0.81662	 0.97088	 0.99845	 0.05103	 0.47066	 0.12415	-0.11762	-0.21352	-0.29890	-0.35521	-0.35019	-0.35568	-0.38804	-0.41365	-0.42316	-0.44533	-0.43489	-0.40882	-0.34835	-0.27689	-0.17515	-0.08744	 0.00373	 0.09900	 0.22567	 0.15729	  0.2456	-0.000676	 -0.0650	
      12	  -0.007	0.013128	  0.2456	 -0.0649	  0.2456	0.013160	-0.000625	  0.2463	2.998E+6	   0.234	 3875.77	   82.33	  260.82	   0.000	 0.15886	 0.09783	 0.04207	-0.01972	-0.08519	-0.15624	-0.23320	-0.30836	-0.38481	-0.45783	-0.52767	-0.60049	-0.66021	-0.70633	-0.74739	-0.78644	-0.79947	-0.80006	-0.78372	-0.77485	-0.74847	-0.72044	-0.68260	-0.65003	-0.59842	-0.54259	-0.48749	-0.48003	-0.51308	-0.40674	-0.29722	-0.18449	-0.07894	 0.04512	 0.19249	 0.38532	 0.60187	 0.81711	 0.97118	 0.99868	 0.05000	 0.47034	 0.12367	-0.11815	-0.21401	-0.29940	-0.35566	-0.35056	-0.35614	-0.38841	-0.41413	-0.42369	-0.44563	-0.43537	-0.40928	-0.34862	-0.27716	-0.17542	-0.08774	 0.00336	 0.09871	 0.22531	 0.15715	  0.2454	-0.000634	 -0.0650	
      13	  -2.063	0.013180	  0.0199	 -0.0638	  0.0195	0.013890	0.000085	  0.0196	2.998E+6	   0.234	 3876.52	   82.34	  260.32	   0.000	 0.17409	 0.10491	 0.05132	-0.00684	-0.06802	-0.13256	-0.20221	-0.26922	-0.33607	-0.39922	-0.45900	-0.51974	-0.56739	-0.60108	-0.62970	-0.65637	-0.65701	-0.64664	-0.61840	-0.59788	-0.56141	-0.52077	-0.47328	-0.42690	-0.36609	-0.29876	-0.23151	-0.20233	-0.20348	-0.09062	 0.03400	 0.15744	 0.27621	 0.41231	 0.56336	 0.73428	 0.89058	 0.98976	 0.97768	 0.84182	 0.04966	-0.12905	-0.46904	-0.64872	-0.65221	-0.66886	-0.67461	-0.62502	-0.59219	-0.59605	-0.59984	-0.58743	-0.59028	-0.56106	-0.51616	-0.43702	-0.34955	-0.23110	-0.13050	-0.02838	 0.07344	 0.20812	 0.17168	  0.0195	0.000780	 -0.0639	
      14	  -4.119	0.014608	 -0.2001	 -0.0619	 -0.2007	0.000195	0.003303	 -0.2014	3.001E+6	   0.234	 3885.58	   82.44	  260.84	   0.000	 0.17655	 0.10818	 0.06048	 0.00803	-0.04747	-0.10504	-0.16710	-0.22617	-0.28388	-0.33818	-0.38743	-0.43747	-0.47389	-0.49633	-0.51374	-0.52901	-0.51913	-0.49885	-0.46088	-0.43063	-0.38613	-0.33485	-0.27999	-0.22312	-0.15483	-0.08040	-0.00400	 0.04120	 0.06407	 0.18465	 0.30996	 0.43499	 0.55323	 0.68328	 0.81351	 0.93416	 0.99725	 0.96500	 0.76009	 0.40324	 0.04708	-0.93175	-1.19637	-1.26141	-1.12827	-1.07339	-1.01619	-0.91391	-0.83732	-0.80800	-0.78723	-0.75045	-0.73195	-0.68254	-0.61747	-0.51929	-0.41543	-0.28089	-0.16772	-0.05607	 0.04891	 0.18450	 0.17508	 -0.2005	-0.011003	 -0.0619	
      15	  -6.167	0.017209	 -0.4143	 -0.0601	 -0.4138	-0.027403	0.009297	 -0.4158	2.997E+6	   0.234	 3877.30	   82.37	  259.22	   0.000	 0.16401	 0.10553	 0.06679	 0.02155	-0.02748	-0.07733	-0.13152	-0.18246	-0.23124	-0.27625	-0.31580	-0.35559	-0.38142	-0.39343	-0.40104	-0.40518	-0.38571	-0.35665	-0.31063	-0.27225	-0.22036	-0.16131	-0.10071	-0.03465	 0.03832	 0.11763	 0.19837	 0.25517	 0.29874	 0.41855	 0.53748	 0.65413	 0.76110	 0.86828	 0.95641	 0.99966	 0.95212	 0.75121	 0.31452	-0.30331	 0.04482	-1.93093	-2.05312	-1.95459	-1.66008	-1.51600	-1.37994	-1.21756	-1.09172	-1.02431	-0.97519	-0.91139	-0.86860	-0.79729	-0.71035	-0.59181	-0.47115	-0.32097	-0.19613	-0.07816	 0.02400	 0.15148	 0.16330	 -0.4136	-0.035003	 -0.0601	
      16	  -8.214	0.022140	 -0.6056	 -0.0592	 -0.6025	-0.064611	0.017975	 -0.6066	3.001E+6	   0.234	 3889.44	   82.51	  260.75	   0.000	 0.12318	 0.09012	 0.06390	 0.02754	-0.01395	-0.05577	-0.10201	-0.14492	-0.18494	-0.22132	-0.25176	-0.28204	-0.29831	-0.30062	-0.29890	-0.29359	-0.26565	-0.22986	-0.17700	-0.13069	-0.07374	-0.00782	 0.05664	 0.12860	 0.20394	 0.28559	 0.36645	 0.43286	 0.48906	 0.60223	 0.70938	 0.81078	 0.89653	 0.96830	 0.99920	 0.95560	 0.77205	 0.37201	-0.30986	-1.21075	 0.04336	-3.05028	-2.97402	-2.72941	-2.21052	-1.95821	-1.73745	-1.51225	-1.33443	-1.22642	-1.14571	-1.05274	-0.98343	-0.88875	-0.77804	-0.63871	-0.50112	-0.33732	-0.20463	-0.09004	-0.00545	 0.09794	 0.12337	 -0.6024	-0.068236	 -0.0591	
      17	 -10.260	0.031732	 -0.7352	 -0.0586	 -0.7291	-0.099736	0.031643	 -0.7351	2.997E+6	   0.234	 3883.49	   82.46	  259.16	   0.000	 0.02995	 0.04404	 0.03594	 0.01125	-0.02143	-0.05450	-0.09268	-0.12779	-0.15974	-0.18791	-0.21018	-0.23186	-0.23940	-0.23369	-0.22321	-0.20983	-0.17462	-0.13229	-0.07384	-0.02165	 0.03885	 0.11043	 0.17755	 0.25314	 0.32955	 0.41142	 0.49362	 0.56295	 0.62522	 0.72925	 0.82245	 0.90432	 0.96640	 0.99845	 0.97547	 0.83646	 0.51983	-0.07029	-0.97295	-2.13761	 0.04381	-4.09006	-3.81048	-3.16809	-2.68682	-2.32897	-2.02660	-1.74772	-1.52028	-1.37170	-1.25823	-1.13587	-1.03795	-0.91745	-0.77986	-0.61749	-0.46319	-0.29614	-0.17928	-0.10601	-0.06049	-0.00002	 0.02582	 -0.7291	-0.099187	 -0.0585	
      18	 -12.265	0.069699	 -0.7702	 -0.0473	 -0.7674	-0.095512	0.054730	 -0.7755	2.989E+6	   0.234	 3866.55	   82.31	  260.83	   0.000	-0.12146	-0.04035	-0.02573	-0.03631	-0.05898	-0.08244	-0.11267	-0.14013	-0.16429	-0.18522	-0.20002	-0.21436	-0.21435	-0.20116	-0.18352	-0.16378	-0.12160	-0.07362	-0.01026	 0.04681	 0.11065	 0.18600	 0.25511	 0.33244	 0.40932	 0.49178	 0.57351	 0.64319	 0.70701	 0.80247	 0.88377	 0.95019	 0.99174	 0.99471	 0.92859	 0.71820	 0.30747	-0.41289	-1.45630	-2.78196	 0.04632	-4.72449	-4.31745	-3.48693	-2.91944	-2.49215	-2.12899	-1.82512	-1.55406	-1.36480	-1.21352	-1.05662	-0.91614	-0.75677	-0.58231	-0.42306	-0.32273	-0.26138	-0.23965	-0.22308	-0.20950	-0.17078	-0.14243	 -0.7677	-0.110754	 -0.0472	
      19	 -14.060	0.275079	 -0.4741	  0.0577	 -0.5267	0.151664	0.210480	 -0.4971	2.965E+6	   0.232	 3802.38	   81.73	  259.17	   0.000	-0.53421	-0.30844	-0.25745	-0.25012	-0.26444	-0.28103	-0.30913	-0.33449	-0.35742	-0.37781	-0.39236	-0.40732	-0.40666	-0.39085	-0.37225	-0.35138	-0.30736	-0.25683	-0.18983	-0.13120	-0.06412	 0.01230	 0.08395	 0.16279	 0.24248	 0.32681	 0.40932	 0.47678	 0.53311	 0.64057	 0.73975	 0.83113	 0.90816	 0.97090	 0.99854	 0.96471	 0.82032	 0.51585	 0.01783	-0.61283	 0.02507	-1.50118	-1.17617	-0.69352	-0.65548	-0.64116	-0.63423	-0.63213	-0.63770	-0.64442	-0.65004	-0.65576	-0.66300	-0.67084	-0.67839	-0.68654	-0.69683	-0.70206	-0.72216	-0.72499	-0.71058	-0.61449	-0.50336	 -0.5294	0.083375	  0.0582	Wake not in center of rake!; cpt_wake < 0; 
