   Runnr	   Alpha	      Cd	      Cl	      Cm	      Cn	      Ct	Cd-press	Cl-press	      Re	       M	       Q	       V	  Z_w.r.	    Flap	 Cpu_001	 Cpu_002	 Cpu_003	 Cpu_004	 Cpu_005	 Cpu_006	 Cpu_007	 Cpu_008	 Cpu_009	 Cpu_010	 Cpu_011	 Cpu_012	 Cpu_013	 Cpu_014	 Cpu_015	 Cpu_016	 Cpu_017	 Cpu_018	 Cpu_019	 Cpu_020	 Cpu_021	 Cpu_022	 Cpu_023	 Cpu_024	 Cpu_025	 Cpu_026	 Cpu_027	 Cpu_028	 Cpu_029	 Cpu_030	 Cpu_031	 Cpu_032	 Cpu_033	 Cpu_034	 Cpu_035	 Cpu_036	 Cpu_037	 Cpu_038	 Cpu_039	 Cpu_040	 Cpl_001	 Cpl_002	 Cpl_003	 Cpl_004	 Cpl_005	 Cpl_006	 Cpl_007	 Cpl_008	 Cpl_009	 Cpl_010	 Cpl_011	 Cpl_012	 Cpl_013	 Cpl_014	 Cpl_015	 Cpl_016	 Cpl_017	 Cpl_018	 Cpl_019	 Cpl_020	 Cpl_021	 Cpl_022	 Cpl_023	 Cn-corr	 Ct-corr	 Cm-corr
       7	  13.216	0.143966	  1.0367	 -0.0557	  1.0421	-0.096863	0.069592	  1.0706	2.981E+6	   0.237	 3923.27	   83.49	  200.00	   0.000	-0.37747	-0.42323	-0.42363	-0.41890	-0.41362	-0.40875	-0.40370	-0.39949	-0.39487	-0.39140	-0.39005	-0.39211	-0.41039	-0.45490	-0.54412	-0.67507	-0.82610	-0.96020	-1.08226	-1.19533	-1.28048	-1.37578	-1.44516	-1.53539	-1.67295	-1.71511	-1.78641	-1.92390	-2.08732	-2.18071	-2.24904	-2.35550	-2.50674	-2.73843	-3.05073	-3.21841	-3.31207	-3.23046	-2.56149	-2.26960	-2.26988	 0.37143	 0.85948	 0.99858	 0.96114	 0.86430	 0.75023	 0.63388	 0.53144	 0.43037	 0.35322	 0.26717	 0.17773	 0.11205	 0.05842	 0.03420	 0.02931	 0.04835	 0.06442	 0.08751	 0.12782	 0.11904	-0.35052	  1.0438	-0.175542	 -0.0560	
       8	  14.217	0.187897	  1.0300	 -0.0604	  1.0446	-0.070814	0.087888	  1.0781	2.978E+6	   0.236	 3917.30	   83.46	  200.00	   0.000	-0.42179	-0.46367	-0.46376	-0.45857	-0.45288	-0.44805	-0.44284	-0.43741	-0.43078	-0.42508	-0.42037	-0.41734	-0.42431	-0.44560	-0.49195	-0.57821	-0.70894	-0.84538	-0.98007	-1.10575	-1.20335	-1.31074	-1.39138	-1.49101	-1.63368	-1.68700	-1.76895	-1.91414	-2.08717	-2.19310	-2.27531	-2.39719	-2.56456	-2.81211	-3.14427	-3.35494	-3.48052	-3.42886	-2.77124	-2.49042	-2.49059	 0.28389	 0.82168	 0.99458	 0.97347	 0.88541	 0.77591	 0.66151	 0.55905	 0.45740	 0.37803	 0.29026	 0.19893	 0.13033	 0.07341	 0.04554	 0.03744	 0.05261	 0.06496	 0.08449	 0.12151	 0.10381	-0.38772	  1.0473	-0.177538	 -0.0609	
       9	  15.206	0.274708	  0.9835	 -0.0664	  1.0212	0.007110	0.110338	  1.0669	2.999E+6	   0.238	 3971.86	   84.09	  200.00	   0.000	-0.45910	-0.49517	-0.49629	-0.49248	-0.48733	-0.48307	-0.47734	-0.47149	-0.46263	-0.45403	-0.44596	-0.43785	-0.43695	-0.44515	-0.46756	-0.50536	-0.58016	-0.68323	-0.81126	-0.94570	-1.05727	-1.17916	-1.27367	-1.38213	-1.52850	-1.59474	-1.68644	-1.83676	-2.01517	-2.13131	-2.22542	-2.35771	-2.53502	-2.79289	-3.13326	-3.37306	-3.52246	-3.49598	-2.85215	-2.58705	-2.58725	 0.23127	 0.79614	 0.98954	 0.97999	 0.89912	 0.79387	 0.68209	 0.58048	 0.47916	 0.39881	 0.31012	 0.21775	 0.14708	 0.08792	 0.05721	 0.04625	 0.05804	 0.06698	 0.08305	 0.11724	 0.09117	-0.41820	  1.0266	-0.169692	 -0.0670	cpt_wake < 0; 
      10	   9.200	0.044718	  1.0266	 -0.0507	  1.0206	-0.120004	0.024646	  1.0339	2.998E+6	   0.238	 3979.87	   84.09	  249.16	   0.000	-0.10867	-0.15163	-0.15917	-0.17034	-0.18289	-0.19922	-0.22423	-0.26580	-0.33702	-0.43556	-0.55354	-0.68324	-0.81177	-0.92995	-1.04084	-1.14491	-1.22845	-1.29312	-1.34550	-1.40323	-1.43856	-1.48447	-1.50916	-1.55472	-1.66246	-1.65837	-1.68311	-1.77915	-1.89145	-1.92633	-1.93145	-1.96900	-2.05194	-2.19420	-2.32887	-2.35600	-2.29859	-2.08870	-1.44132	-1.12681	-1.12677	 0.74724	 0.98508	 0.97201	 0.85927	 0.72810	 0.59970	 0.48014	 0.38247	 0.28969	 0.22470	 0.14935	 0.07173	 0.02103	-0.01464	-0.02009	-0.00738	 0.03044	 0.06497	 0.10643	 0.16379	 0.20900	-0.14273	  1.0205	-0.140158	 -0.0509	
      11	   7.692	0.023271	  0.9618	 -0.0541	  0.9563	-0.105685	0.016244	  0.9641	3.000E+6	   0.238	 3985.93	   84.16	  250.79	   0.000	-0.03105	-0.05603	-0.07127	-0.09059	-0.11658	-0.15598	-0.21685	-0.30231	-0.41006	-0.52374	-0.64039	-0.76092	-0.87448	-0.97604	-1.07192	-1.16287	-1.23238	-1.28380	-1.32237	-1.36737	-1.39068	-1.42250	-1.43459	-1.46466	-1.55880	-1.54033	-1.54792	-1.62515	-1.71405	-1.72474	-1.70756	-1.71771	-1.76077	-1.85409	-1.92562	-1.89534	-1.78002	-1.52802	-0.91911	-0.60907	-0.60907	 0.87562	 0.99900	 0.92267	 0.78274	 0.64158	 0.51090	 0.39316	 0.30028	 0.21249	 0.15526	 0.08523	 0.01394	-0.02950	-0.05770	-0.05448	-0.03392	 0.01265	 0.05510	 0.10383	 0.16759	 0.22965	-0.03824	  0.9560	-0.112342	 -0.0543	
      12	   7.171	0.021013	  0.9344	 -0.0567	  0.9297	-0.095799	0.014801	  0.9363	3.000E+6	   0.238	 3987.52	   84.17	  249.24	   0.000	-0.00288	-0.02746	-0.04747	-0.07414	-0.10868	-0.15971	-0.23421	-0.32712	-0.43560	-0.54610	-0.65802	-0.77402	-0.88262	-0.97925	-1.07046	-1.15727	-1.22232	-1.26975	-1.30366	-1.34471	-1.36400	-1.39141	-1.39927	-1.42392	-1.51322	-1.49002	-1.49199	-1.56240	-1.64301	-1.64588	-1.62151	-1.62098	-1.65256	-1.72701	-1.77814	-1.72928	-1.59569	-1.33186	-0.73975	-0.43422	-0.43417	 0.91163	 0.99664	 0.89813	 0.75042	 0.60684	 0.47607	 0.35961	 0.26900	 0.18338	 0.12906	 0.06130	-0.00778	-0.04855	-0.07397	-0.06765	-0.04427	 0.00541	 0.05074	 0.10214	 0.16831	 0.23676	-0.00699	  0.9294	-0.101607	 -0.0568	
      13	   6.675	0.019442	  0.9022	 -0.0587	  0.8983	-0.085551	0.013691	  0.9039	3.001E+6	   0.238	 3991.34	   84.22	  251.24	   0.000	 0.02104	-0.00406	-0.02959	-0.06276	-0.10525	-0.16626	-0.24861	-0.34395	-0.45103	-0.55824	-0.66633	-0.77856	-0.88301	-0.97538	-1.06266	-1.14569	-1.20675	-1.25038	-1.28027	-1.31743	-1.33297	-1.35603	-1.35991	-1.37956	-1.46381	-1.43612	-1.43277	-1.49659	-1.56883	-1.56389	-1.53255	-1.52096	-1.54281	-1.59788	-1.62902	-1.56181	-1.41107	-1.13701	-0.56438	-0.26378	-0.26375	 0.94223	 0.98908	 0.86925	 0.71471	 0.56934	 0.43894	 0.32408	 0.23589	 0.15258	 0.10147	 0.03598	-0.03079	-0.06893	-0.09148	-0.08208	-0.05586	-0.00301	 0.04513	 0.09910	 0.16754	 0.24200	 0.01709	  0.8979	-0.090892	 -0.0589	
      14	   5.649	0.017101	  0.8221	 -0.0620	  0.8198	-0.063914	0.012048	  0.8234	3.002E+6	   0.239	 3995.04	   84.26	  249.39	   0.000	 0.06009	 0.03172	-0.00341	-0.04872	-0.10502	-0.17856	-0.26729	-0.36244	-0.46515	-0.56603	-0.66742	-0.77277	-0.86965	-0.95397	-1.03333	-1.10892	-1.16206	-1.19817	-1.21969	-1.24890	-1.25673	-1.27113	-1.26687	-1.27582	-1.34917	-1.31249	-1.29781	-1.34738	-1.40207	-1.38110	-1.33434	-1.30124	-1.31017	-1.31904	-1.30810	-1.20544	-1.02245	-0.73221	-0.20497	 0.07749	 0.07793	 0.98721	 0.95318	 0.79143	 0.62626	 0.47932	 0.35133	 0.24085	 0.16047	 0.08161	 0.03775	-0.02219	-0.08426	-0.11633	-0.13266	-0.11645	-0.08397	-0.02423	 0.02998	 0.08931	 0.16245	 0.24799	 0.05810	  0.8194	-0.068593	 -0.0621	
      15	   5.140	0.016198	  0.7771	 -0.0631	  0.7755	-0.053489	0.011428	  0.7783	3.003E+6	   0.239	 3998.15	   84.30	  250.85	   0.000	 0.07633	 0.04515	 0.00560	-0.04483	-0.10590	-0.18230	-0.27170	-0.36566	-0.46594	-0.56405	-0.66221	-0.76446	-0.85770	-0.93826	-1.01396	-1.08588	-1.13514	-1.16759	-1.18528	-1.21065	-1.21498	-1.22478	-1.21660	-1.22026	-1.28829	-1.24716	-1.22693	-1.26931	-1.31528	-1.28699	-1.23246	-1.19052	-1.18721	-1.17744	-1.14772	-1.02893	-0.83251	-0.53722	-0.03543	 0.23536	 0.23586	 0.99772	 0.92363	 0.74310	 0.57497	 0.42864	 0.30278	 0.19522	 0.12068	 0.04315	 0.00284	-0.05394	-0.11312	-0.14199	-0.15509	-0.13543	-0.09940	-0.03637	 0.02090	 0.08308	 0.15861	 0.24933	 0.07441	  0.7750	-0.057915	 -0.0632	
      16	   3.077	0.013759	  0.5792	 -0.0657	  0.5791	-0.017352	0.009417	  0.5799	3.005E+6	   0.239	 4004.22	   84.36	  249.15	   0.000	 0.12369	 0.07803	 0.02564	-0.03645	-0.10545	-0.18398	-0.27061	-0.35781	-0.44837	-0.53588	-0.62241	-0.71244	-0.79212	-0.85822	-0.91966	-0.97752	-1.01210	-1.03059	-1.03300	-1.04371	-1.03426	-1.02729	-1.00419	-0.98807	-1.03418	-0.97720	-0.93701	-0.95148	-0.96524	-0.90841	-0.83161	-0.76547	-0.70068	-0.63260	-0.53988	-0.37312	-0.14393	 0.15004	 0.53182	 0.73397	 0.73445	 0.94510	 0.71991	 0.48640	 0.32493	 0.19179	 0.08124	-0.00955	-0.06086	-0.12591	-0.14837	-0.19166	-0.23841	-0.25342	-0.25203	-0.21742	-0.16746	-0.08964	-0.02019	 0.05350	 0.13840	 0.24764	 0.12240	  0.5787	-0.021502	 -0.0659	
