   Runnr	   Alpha	      Cd	      Cl	      Cm	      Cn	      Ct	Cd-press	Cl-press	      Re	       M	       Q	       V	  Z_w.r.	    Flap	 Cpu_001	 Cpu_002	 Cpu_003	 Cpu_004	 Cpu_005	 Cpu_006	 Cpu_007	 Cpu_008	 Cpu_009	 Cpu_010	 Cpu_011	 Cpu_012	 Cpu_013	 Cpu_014	 Cpu_015	 Cpu_016	 Cpu_017	 Cpu_018	 Cpu_019	 Cpu_020	 Cpu_021	 Cpu_022	 Cpu_023	 Cpu_024	 Cpu_025	 Cpu_026	 Cpu_027	 Cpu_028	 Cpu_029	 Cpu_030	 Cpu_031	 Cpu_032	 Cpu_033	 Cpu_034	 Cpu_035	 Cpu_036	 Cpu_037	 Cpu_038	 Cpu_039	 Cpu_040	 Cpl_001	 Cpl_002	 Cpl_003	 Cpl_004	 Cpl_005	 Cpl_006	 Cpl_007	 Cpl_008	 Cpl_009	 Cpl_010	 Cpl_011	 Cpl_012	 Cpl_013	 Cpl_014	 Cpl_015	 Cpl_016	 Cpl_017	 Cpl_018	 Cpl_019	 Cpl_020	 Cpl_021	 Cpl_022	 Cpl_023	 Cn-corr	 Ct-corr	 Cm-corr
       /	 degrees	       /	       /	       /	       /	       /	       /	       /	       /	       /	      Pa	     m/s	      mm	 degrees	  100.00	   94.76	   89.84	   84.97	   80.44	   75.81	   71.34	   67.21	   63.02	   59.06	   55.22	   51.47	   47.87	   44.31	   40.97	   37.84	   34.73	   31.83	   28.95	   26.24	   23.77	   21.21	   19.02	   16.69	   14.78	   12.88	   11.12	    9.52	    7.96	    6.55	    5.35	    4.20	    3.24	    2.37	    1.63	    1.03	    0.58	    0.26	    0.02	    0.00	    0.00	    0.51	    1.21	    2.24	    3.62	    5.34	    7.43	    9.84	   12.66	   15.80	   19.37	   23.34	   27.72	   32.33	   37.52	   42.99	   48.39	   54.79	   61.58	   68.55	   75.87	   92.00	  100.00	       /	       /	       /
       1	   0.001	0.012717	  0.2474	 -0.0647	  0.2474	0.012715	0.007023	  0.2477	2.985E+6	   0.236	 3916.46	   83.31	  189.39	   0.000	 0.15953	 0.09706	 0.04074	-0.02144	-0.08727	-0.15863	-0.23521	-0.31034	-0.38640	-0.45919	-0.52956	-0.60141	-0.66231	-0.70786	-0.74965	-0.78692	-0.80162	-0.80125	-0.78364	-0.77564	-0.74899	-0.72183	-0.68604	-0.65013	-0.60003	-0.54530	-0.48926	-0.47258	-0.51158	-0.40960	-0.29007	-0.17192	-0.07203	 0.05595	 0.20427	 0.39806	 0.61158	 0.82317	 0.97390	 0.99924	 0.99957	 0.46896	 0.12329	-0.11497	-0.20725	-0.29631	-0.35570	-0.35550	-0.35830	-0.39301	-0.41703	-0.42737	-0.44852	-0.43825	-0.41202	-0.35126	-0.27938	-0.17743	-0.08851	 0.00231	 0.09819	 0.22630	 0.15837	  0.2473	0.007057	 -0.0648	
       2	   2.055	0.013637	  0.4665	 -0.0648	  0.4667	-0.003103	0.008276	  0.4672	2.986E+6	   0.236	 3923.31	   83.41	  190.82	   0.000	 0.13320	 0.08404	 0.03063	-0.03129	-0.09904	-0.17533	-0.25842	-0.34150	-0.42710	-0.50991	-0.59127	-0.67473	-0.74819	-0.80688	-0.86189	-0.91253	-0.94024	-0.95237	-0.94748	-0.95252	-0.93762	-0.92499	-0.90153	-0.88090	-0.84314	-0.80232	-0.76273	-0.77074	-0.84253	-0.76137	-0.66019	-0.56231	-0.48762	-0.38775	-0.26820	-0.08108	 0.15402	 0.43514	 0.74461	 0.89590	 0.89607	 0.83963	 0.55602	 0.30517	 0.15594	 0.02642	-0.07395	-0.10907	-0.14318	-0.19956	-0.24251	-0.27166	-0.30932	-0.31582	-0.30663	-0.26306	-0.20632	-0.12051	-0.04448	 0.03455	 0.12277	 0.23839	 0.13243	  0.4664	-0.008350	 -0.0649	
       3	   4.101	0.015706	  0.6711	 -0.0629	  0.6705	-0.032327	0.009781	  0.6723	2.987E+6	   0.237	 3932.27	   83.53	  189.22	   0.000	 0.09026	 0.05613	 0.01386	-0.03939	-0.10248	-0.17924	-0.26667	-0.35698	-0.45227	-0.54561	-0.63831	-0.73368	-0.82038	-0.89298	-0.96182	-1.02647	-1.06854	-1.09416	-1.10361	-1.12294	-1.12106	-1.12472	-1.11523	-1.11229	-1.08953	-1.06525	-1.04526	-1.08161	-1.19570	-1.13005	-1.04942	-0.99211	-0.95588	-0.90111	-0.83270	-0.68170	-0.46089	-0.15506	 0.28951	 0.52865	 0.52852	 0.99263	 0.83460	 0.61769	 0.44584	 0.29543	 0.16694	 0.10673	 0.04781	-0.02468	-0.08314	-0.12814	-0.17967	-0.20113	-0.20702	-0.17939	-0.13682	-0.06647	-0.00285	 0.06469	 0.14401	 0.24312	 0.08980	  0.6701	-0.038002	 -0.0630	
       4	   6.167	0.019575	  0.8437	 -0.0581	  0.8409	-0.071167	0.013095	  0.8454	2.982E+6	   0.236	 3922.91	   83.45	  190.84	   0.000	 0.02489	 0.00044	-0.02645	-0.06065	-0.10219	-0.16209	-0.24398	-0.33828	-0.44317	-0.54822	-0.65358	-0.76163	-0.86260	-0.95008	-1.03357	-1.11236	-1.16955	-1.20957	-1.23440	-1.26882	-1.28121	-1.30218	-1.30808	-1.32375	-1.31791	-1.31180	-1.31349	-1.37953	-1.53510	-1.50085	-1.43412	-1.40860	-1.43616	-1.43881	-1.43984	-1.34862	-1.17348	-0.88183	-0.33307	-0.04027	-0.04088	 0.97359	 0.97056	 0.82126	 0.65728	 0.50386	 0.36668	 0.28286	 0.20775	 0.12337	 0.05340	-0.00431	-0.06694	-0.10111	-0.12031	-0.10658	-0.07684	-0.02063	 0.03140	 0.08787	 0.15805	 0.23718	 0.02495	  0.8405	-0.077305	 -0.0583	
       5	   8.202	0.028189	  0.9633	 -0.0492	  0.9575	-0.109532	0.017436	  0.9669	2.989E+6	   0.237	 3946.34	   83.72	  189.15	   0.000	-0.08057	-0.10523	-0.11309	-0.12499	-0.14093	-0.16809	-0.20398	-0.25297	-0.34194	-0.45736	-0.58157	-0.70966	-0.83184	-0.94030	-1.04293	-1.13901	-1.21452	-1.27176	-1.31468	-1.36609	-1.39468	-1.43425	-1.45720	-1.49244	-1.50571	-1.51960	-1.54461	-1.64024	-1.83429	-1.83294	-1.79831	-1.79653	-1.89675	-1.96181	-2.04031	-2.02520	-1.91753	-1.66912	-1.04612	-0.72871	-0.72967	 0.84573	 0.99937	 0.93700	 0.80178	 0.65810	 0.52071	 0.42355	 0.33660	 0.24430	 0.16479	 0.09685	 0.02508	-0.02025	-0.05129	-0.05035	-0.03248	 0.01069	 0.05095	 0.09670	 0.15745	 0.21101	-0.08207	  0.9572	-0.120070	 -0.0494	
       6	   9.220	0.046438	  1.0034	 -0.0465	  0.9979	-0.114928	0.022761	  1.0120	2.988E+6	   0.237	 3946.04	   83.74	  190.78	   0.000	-0.12677	-0.15947	-0.16292	-0.16948	-0.17767	-0.19003	-0.21202	-0.24655	-0.30571	-0.39936	-0.51791	-0.64997	-0.78166	-0.90157	-1.01479	-1.12011	-1.20556	-1.27208	-1.32480	-1.38489	-1.42184	-1.47111	-1.50257	-1.54762	-1.57061	-1.59439	-1.63115	-1.74013	-1.95000	-1.96501	-1.94727	-1.96590	-2.08777	-2.19088	-2.30594	-2.33067	-2.26060	-2.04138	-1.39479	-1.07372	-1.07471	 0.75740	 0.98814	 0.96870	 0.85255	 0.71668	 0.58176	 0.48115	 0.39005	 0.29534	 0.21235	 0.14046	 0.06462	 0.01458	-0.02138	-0.02615	-0.01359	 0.02369	 0.05877	 0.09961	 0.15617	 0.19879	-0.14391	  0.9978	-0.138798	 -0.0466	
       7	  10.225	0.047630	  1.0312	 -0.0467	  1.0233	-0.136173	0.030372	  1.0378	2.978E+6	   0.237	 3924.56	   83.53	  189.41	   0.000	-0.18885	-0.23483	-0.23931	-0.24424	-0.25035	-0.25730	-0.26632	-0.28047	-0.30253	-0.34361	-0.41114	-0.51632	-0.65439	-0.79548	-0.93177	-1.05625	-1.16025	-1.24208	-1.30943	-1.38154	-1.42932	-1.48999	-1.53125	-1.58722	-1.62030	-1.65464	-1.70347	-1.82502	-2.04897	-2.08021	-2.07957	-2.11994	-2.22639	-2.40511	-2.55030	-2.61151	-2.58065	-2.39223	-1.72751	-1.40591	-1.40706	 0.66219	 0.96527	 0.98713	 0.89030	 0.76267	 0.63073	 0.52768	 0.43316	 0.33648	 0.25030	 0.17474	 0.09540	 0.04090	 0.00019	-0.00977	-0.00236	 0.03001	 0.06045	 0.09669	 0.14884	 0.17801	-0.20379	  1.0233	-0.153816	 -0.0469	
       8	  11.228	0.048808	  1.0388	 -0.0462	  1.0285	-0.154408	0.038413	  1.0429	2.967E+6	   0.236	 3898.31	   83.26	  190.78	   0.000	-0.25297	-0.30630	-0.31228	-0.31375	-0.31456	-0.31659	-0.31727	-0.31982	-0.32334	-0.33629	-0.36155	-0.40815	-0.49816	-0.62623	-0.77632	-0.92428	-1.05581	-1.16128	-1.25024	-1.33890	-1.40124	-1.47590	-1.52922	-1.59766	-1.64211	-1.68813	-1.74962	-1.88333	-2.11910	-2.16738	-2.18438	-2.24557	-2.35310	-2.59659	-2.76417	-2.86075	-2.86849	-2.71248	-2.03670	-1.71816	-1.71935	 0.56403	 0.93481	 0.99653	 0.91946	 0.80049	 0.67198	 0.56754	 0.47059	 0.37199	 0.28301	 0.20404	 0.12118	 0.06244	 0.01700	 0.00199	 0.00476	 0.03236	 0.05820	 0.08967	 0.13751	 0.15319	-0.26458	  1.0285	-0.165394	 -0.0464	
       9	  12.224	0.069484	  1.0460	 -0.0468	  1.0370	-0.153567	0.049048	  1.0545	2.961E+6	   0.235	 3886.96	   83.16	  140.00	   0.000	-0.29831	-0.35173	-0.35893	-0.35905	-0.35715	-0.35597	-0.35323	-0.35134	-0.34925	-0.35242	-0.36408	-0.38829	-0.44212	-0.53176	-0.65773	-0.80146	-0.94583	-1.06966	-1.17844	-1.28247	-1.35847	-1.44658	-1.51110	-1.59130	-1.64667	-1.70421	-1.77790	-1.92241	-2.16765	-2.23283	-2.26744	-2.34878	-2.47710	-2.75275	-2.95654	-3.08470	-3.13195	-3.01121	-2.33068	-2.01821	-2.01955	 0.46125	 0.89769	 0.99972	 0.94330	 0.83403	 0.71014	 0.60515	 0.50677	 0.40686	 0.31568	 0.23388	 0.14806	 0.08544	 0.03565	 0.01591	 0.01443	 0.03731	 0.05853	 0.08570	 0.12979	 0.13533	-0.31152	  1.0373	-0.175312	 -0.0470	
