   Runnr	   Alpha	      Cd	      Cl	      Cm	      Cn	      Ct	Cd-press	Cl-press	      Re	       M	       Q	       V	  Z_w.r.	    Flap	 Cpu_001	 Cpu_002	 Cpu_003	 Cpu_004	 Cpu_005	 Cpu_006	 Cpu_007	 Cpu_008	 Cpu_009	 Cpu_010	 Cpu_011	 Cpu_012	 Cpu_013	 Cpu_014	 Cpu_015	 Cpu_016	 Cpu_017	 Cpu_018	 Cpu_019	 Cpu_020	 Cpu_021	 Cpu_022	 Cpu_023	 Cpu_024	 Cpu_025	 Cpu_026	 Cpu_027	 Cpu_028	 Cpu_029	 Cpu_030	 Cpu_031	 Cpu_032	 Cpu_033	 Cpu_034	 Cpu_035	 Cpu_036	 Cpu_037	 Cpu_038	 Cpu_039	 Cpu_040	 Cpl_001	 Cpl_002	 Cpl_003	 Cpl_004	 Cpl_005	 Cpl_006	 Cpl_007	 Cpl_008	 Cpl_009	 Cpl_010	 Cpl_011	 Cpl_012	 Cpl_013	 Cpl_014	 Cpl_015	 Cpl_016	 Cpl_017	 Cpl_018	 Cpl_019	 Cpl_020	 Cpl_021	 Cpl_022	 Cpl_023	 Cn-corr	 Ct-corr	 Cm-corr
      10	  16.231	0.208427	  1.0561	 -0.0538	  1.0722	-0.095050	0.098957	  1.1140	2.976E+6	   0.239	 3946.99	   84.22	  220.00	   0.000	-0.43738	-0.46653	-0.46604	-0.46039	-0.45274	-0.44606	-0.43902	-0.43284	-0.42587	-0.42109	-0.41888	-0.41704	-0.42067	-0.43079	-0.45427	-0.50070	-0.58784	-0.71045	-0.85610	-1.00387	-1.12859	-1.26593	-1.37431	-1.50000	-1.59440	-1.69411	-1.80965	-1.97762	-2.18192	-2.32847	-2.48044	-2.71620	-2.94252	-3.22559	-3.68145	-3.93369	-4.14485	-4.18603	-3.51339	-3.24654	-3.24951	-0.02314	 0.68435	 0.96475	 0.99687	 0.93586	 0.83999	 0.72923	 0.62733	 0.52949	 0.44346	 0.35282	 0.25831	 0.18388	 0.11962	 0.08404	 0.06789	 0.07363	 0.07792	 0.09043	 0.11978	 0.08989	-0.40425	  1.0758	-0.213854	 -0.0543	
      11	  17.210	0.274037	  1.0136	 -0.0622	  1.0493	-0.038129	0.124190	  1.0965	2.973E+6	   0.239	 3938.09	   84.17	  220.00	   0.000	-0.47814	-0.50452	-0.50550	-0.50123	-0.49441	-0.48792	-0.48071	-0.47400	-0.46588	-0.45959	-0.45576	-0.45148	-0.45103	-0.45378	-0.46392	-0.48277	-0.52088	-0.58567	-0.68920	-0.82147	-0.95118	-1.10040	-1.22271	-1.36088	-1.46817	-1.58035	-1.70644	-1.88018	-2.08661	-2.24469	-2.40860	-2.65364	-2.88501	-3.15806	-3.65073	-3.92063	-4.16100	-4.22541	-3.57610	-3.32605	-3.32918	-0.07985	 0.65441	 0.95446	 0.99840	 0.94473	 0.85353	 0.74566	 0.64480	 0.54716	 0.46026	 0.36874	 0.27291	 0.19665	 0.13023	 0.09174	 0.07271	 0.07514	 0.07614	 0.08533	 0.11181	 0.07382	-0.43853	  1.0551	-0.202302	 -0.0629	cpt_wake < 0; 
      12	  13.228	0.096716	  1.0552	 -0.0450	  1.0494	-0.147326	0.055292	  1.0739	2.977E+6	   0.239	 3957.75	   84.30	  220.00	   0.000	-0.34357	-0.38416	-0.38388	-0.37874	-0.37240	-0.36729	-0.36188	-0.35704	-0.35196	-0.35085	-0.35440	-0.36398	-0.39260	-0.45808	-0.57622	-0.72759	-0.88233	-1.01768	-1.13851	-1.25194	-1.33852	-1.43734	-1.51212	-1.60312	-1.66536	-1.73048	-1.81192	-1.95231	-2.12444	-2.22469	-2.32305	-2.50487	-2.65428	-3.00438	-3.22769	-3.38448	-3.47247	-3.39075	-2.69658	-2.38238	-2.38453	 0.33248	 0.84697	 0.99812	 0.96591	 0.86960	 0.75519	 0.63410	 0.53078	 0.43395	 0.35369	 0.26820	 0.17897	 0.11293	 0.05844	 0.03376	 0.02840	 0.04704	 0.06263	 0.08648	 0.12593	 0.12066	-0.33012	  1.0501	-0.191353	 -0.0452	
      13	  11.231	0.078982	  1.0558	 -0.0495	  1.0510	-0.128167	0.040996	  1.0715	2.991E+6	   0.240	 3998.22	   84.73	  259.23	   0.000	-0.24632	-0.30305	-0.30600	-0.30639	-0.30831	-0.30952	-0.31049	-0.31311	-0.31928	-0.33691	-0.37660	-0.45226	-0.57429	-0.71995	-0.86582	-1.00182	-1.11603	-1.20917	-1.28812	-1.36822	-1.42535	-1.49591	-1.54613	-1.61241	-1.65172	-1.69371	-1.75005	-1.86849	-2.01288	-2.08031	-2.14028	-2.27435	-2.48092	-2.65547	-2.82348	-2.90896	-2.91450	-2.75883	-2.07451	-1.74797	-1.74949	 0.55481	 0.93200	 0.99757	 0.92380	 0.80737	 0.68382	 0.55943	 0.45819	 0.36570	 0.29124	 0.21133	 0.12803	 0.06959	 0.02404	 0.00875	 0.01146	 0.03933	 0.06402	 0.09688	 0.14439	 0.16231	-0.26687	  1.0514	-0.167533	 -0.0497	
      14	   9.208	0.040590	  1.0046	 -0.0487	  0.9982	-0.120681	0.024325	  1.0104	2.995E+6	   0.240	 4010.04	   84.85	  260.84	   0.000	-0.12772	-0.16947	-0.17170	-0.17850	-0.18845	-0.19976	-0.22133	-0.25789	-0.32070	-0.41518	-0.53385	-0.66519	-0.79350	-0.91176	-1.02254	-1.12864	-1.21153	-1.27797	-1.33034	-1.38846	-1.42466	-1.47416	-1.50442	-1.55023	-1.56945	-1.59145	-1.62339	-1.71969	-1.83347	-1.86838	-1.88504	-1.99709	-2.13687	-2.23782	-2.33997	-2.34816	-2.27175	-2.04892	-1.39546	-1.06705	-1.06790	 0.76092	 0.98943	 0.96823	 0.85218	 0.71733	 0.58679	 0.46078	 0.36378	 0.27838	 0.20995	 0.13680	 0.06007	 0.00997	-0.02616	-0.03097	-0.01805	 0.02029	 0.05450	 0.09697	 0.15317	 0.19683	-0.15284	  0.9980	-0.137027	 -0.0489	
      15	   7.174	0.023406	  0.9051	 -0.0536	  0.9010	-0.089809	0.014401	  0.9078	2.999E+6	   0.241	 4023.49	   84.99	  259.36	   0.000	-0.02724	-0.05315	-0.06851	-0.08853	-0.11654	-0.15627	-0.21461	-0.29847	-0.40432	-0.51583	-0.63064	-0.74850	-0.85787	-0.95535	-1.04714	-1.13616	-1.20073	-1.25010	-1.28417	-1.32564	-1.34560	-1.37675	-1.39027	-1.41656	-1.41762	-1.42091	-1.42980	-1.50138	-1.58185	-1.58416	-1.56470	-1.66655	-1.71449	-1.75119	-1.77851	-1.71169	-1.56211	-1.28722	-0.69203	-0.37882	-0.37909	 0.92088	 0.99634	 0.88934	 0.73914	 0.59140	 0.45920	 0.33575	 0.24720	 0.17100	 0.11241	 0.04808	-0.02008	-0.06025	-0.08576	-0.07882	-0.05511	-0.00489	 0.03984	 0.09209	 0.15661	 0.22292	-0.03611	  0.9006	-0.098524	 -0.0538	
      16	   5.124	0.016876	  0.7648	 -0.0614	  0.7633	-0.051499	0.010483	  0.7663	3.003E+6	   0.241	 4034.85	   85.11	  260.79	   0.000	 0.06571	 0.03526	-0.00045	-0.04532	-0.10138	-0.17519	-0.26364	-0.35741	-0.45754	-0.55622	-0.65570	-0.75862	-0.85138	-0.93200	-1.00757	-1.08148	-1.12978	-1.16384	-1.18146	-1.20722	-1.21230	-1.22556	-1.22349	-1.23053	-1.21455	-1.19936	-1.18631	-1.23109	-1.27754	-1.25070	-1.19796	-1.24644	-1.24457	-1.21981	-1.17507	-1.04331	-0.83582	-0.53176	-0.02486	 0.24964	 0.25031	 0.99844	 0.92269	 0.73750	 0.56845	 0.41758	 0.29114	 0.17589	 0.10638	 0.03806	-0.00751	-0.06035	-0.11864	-0.14713	-0.16017	-0.14001	-0.10414	-0.04056	 0.01592	 0.07881	 0.15251	 0.24147	 0.06197	  0.7628	-0.057587	 -0.0615	
      17	   3.081	0.014298	  0.5781	 -0.0653	  0.5780	-0.016791	0.008586	  0.5790	3.005E+6	   0.241	 4042.03	   85.19	  259.47	   0.000	 0.12129	 0.07675	 0.02493	-0.03613	-0.10468	-0.18376	-0.27071	-0.35807	-0.44852	-0.53626	-0.62415	-0.71478	-0.79395	-0.86009	-0.92168	-0.98149	-1.01525	-1.03526	-1.03819	-1.04919	-1.04065	-1.03718	-1.02062	-1.00920	-0.97786	-0.94533	-0.91255	-0.93047	-0.94553	-0.88799	-0.82640	-0.80714	-0.76116	-0.68396	-0.57971	-0.40170	-0.16332	 0.13753	 0.52492	 0.72979	 0.73078	 0.94836	 0.72565	 0.48716	 0.32419	 0.18488	 0.07436	-0.02458	-0.07180	-0.12435	-0.15367	-0.19247	-0.23833	-0.25327	-0.25224	-0.21719	-0.16810	-0.08983	-0.02139	 0.05263	 0.13529	 0.24248	 0.11990	  0.5776	-0.022323	 -0.0654	
      18	   1.019	0.013047	  0.3647	 -0.0662	  0.3649	0.006557	0.007413	  0.3652	3.007E+6	   0.241	 4047.38	   85.25	  260.89	   0.000	 0.15391	 0.09397	 0.03611	-0.02804	-0.09677	-0.17207	-0.25307	-0.33270	-0.41365	-0.49105	-0.56783	-0.64677	-0.71306	-0.76556	-0.81364	-0.85967	-0.87965	-0.88659	-0.87593	-0.87315	-0.85234	-0.83326	-0.80376	-0.77566	-0.73070	-0.68259	-0.63363	-0.62675	-0.61220	-0.53435	-0.44526	-0.38712	-0.30659	-0.19144	-0.04856	 0.14990	 0.38494	 0.63977	 0.87933	 0.97712	 0.97834	 0.69653	 0.37790	 0.12539	 0.00119	-0.10728	-0.18907	-0.26153	-0.28088	-0.31182	-0.32048	-0.34188	-0.37263	-0.37193	-0.35460	-0.30296	-0.23924	-0.14532	-0.06416	 0.02134	 0.11240	 0.23396	 0.15342	  0.3646	0.000988	 -0.0663	
      19	  -1.031	0.012855	  0.1454	 -0.0655	  0.1451	0.015469	0.006683	  0.1455	3.007E+6	   0.241	 4049.82	   85.29	  259.16	   0.000	 0.17084	 0.10141	 0.04466	-0.01682	-0.08173	-0.15093	-0.22488	-0.29652	-0.36805	-0.43577	-0.50190	-0.56981	-0.62391	-0.66390	-0.69931	-0.73260	-0.74022	-0.73554	-0.71303	-0.69806	-0.66676	-0.63404	-0.59363	-0.55146	-0.49549	-0.43518	-0.37346	-0.34519	-0.30730	-0.21583	-0.10769	-0.02204	 0.08011	 0.21496	 0.37301	 0.56293	 0.75813	 0.92430	 0.99965	 0.96585	 0.96693	 0.23539	-0.11420	-0.33251	-0.38519	-0.44380	-0.48398	-0.51956	-0.50782	-0.51199	-0.49683	-0.49837	-0.51164	-0.49360	-0.45878	-0.38978	-0.31083	-0.20098	-0.10718	-0.01047	 0.08722	 0.21913	 0.17090	  0.1450	0.009331	 -0.0655	
