   Runnr	   Alpha	      Cd	      Cl	      Cm	      Cn	      Ct	Cd-press	Cl-press	      Re	       M	       Q	       V	  Z_w.r.	    Flap	 Cpu_001	 Cpu_002	 Cpu_003	 Cpu_004	 Cpu_005	 Cpu_006	 Cpu_007	 Cpu_008	 Cpu_009	 Cpu_010	 Cpu_011	 Cpu_012	 Cpu_013	 Cpu_014	 Cpu_015	 Cpu_016	 Cpu_017	 Cpu_018	 Cpu_019	 Cpu_020	 Cpu_021	 Cpu_022	 Cpu_023	 Cpu_024	 Cpu_025	 Cpu_026	 Cpu_027	 Cpu_028	 Cpu_029	 Cpu_030	 Cpu_031	 Cpu_032	 Cpu_033	 Cpu_034	 Cpu_035	 Cpu_036	 Cpu_037	 Cpu_038	 Cpu_039	 Cpu_040	 Cpl_001	 Cpl_002	 Cpl_003	 Cpl_004	 Cpl_005	 Cpl_006	 Cpl_007	 Cpl_008	 Cpl_009	 Cpl_010	 Cpl_011	 Cpl_012	 Cpl_013	 Cpl_014	 Cpl_015	 Cpl_016	 Cpl_017	 Cpl_018	 Cpl_019	 Cpl_020	 Cpl_021	 Cpl_022	 Cpl_023	 Cn-corr	 Ct-corr	 Cm-corr
      10	  11.202	0.100052	  0.9896	 -0.0508	  0.9902	-0.094096	0.062731	  1.0044	3.002E+6	   0.235	 3908.08	   82.81	  194.13	   0.000	-0.27226	-0.32813	-0.33617	-0.34015	-0.34340	-0.34551	-0.34547	-0.34641	-0.34892	-0.35914	-0.38135	-0.42332	-0.50058	-0.61059	-0.74116	-0.87266	-0.99137	-1.08893	-1.17369	-1.25452	-1.31291	-1.38465	-1.43690	-1.52023	-1.63173	-1.66300	-1.70852	-1.81220	-1.91615	-1.97448	-2.01407	-2.08991	-2.18780	-2.35141	-2.53182	-2.63885	-2.63429	-2.46984	-1.81404	-1.49209	 0.05618	 0.63632	 0.95680	 0.99085	 0.90095	 0.77887	 0.65271	 0.53306	 0.43122	 0.34025	 0.26459	 0.18534	 0.10393	 0.04647	 0.00115	-0.01265	-0.00918	 0.01998	 0.04583	 0.07831	 0.12687	 0.14489	-0.29237	  0.9908	-0.132928	 -0.0510	
      11	  13.202	0.164999	  0.9321	 -0.0543	  0.9452	-0.052243	0.094757	  0.9626	2.989E+6	   0.234	 3878.66	   82.54	  195.81	   0.000	-0.40203	-0.44126	-0.44249	-0.43820	-0.43228	-0.42722	-0.42135	-0.41623	-0.41018	-0.40672	-0.40458	-0.40406	-0.41268	-0.43203	-0.47150	-0.53993	-0.64409	-0.76185	-0.88489	-1.00215	-1.09674	-1.20073	-1.28204	-1.38824	-1.51038	-1.56912	-1.63804	-1.75771	-1.88226	-1.96441	-2.03397	-2.14043	-2.26615	-2.45762	-2.68175	-2.85225	-2.90478	-2.79271	-2.14599	-1.83900	 0.06065	 0.51190	 0.91419	 0.99886	 0.93592	 0.82659	 0.70571	 0.58725	 0.48314	 0.38881	 0.30831	 0.22388	 0.13672	 0.07220	 0.01908	-0.00290	-0.00686	 0.01426	 0.03161	 0.05557	 0.09677	 0.09034	-0.37137	  0.9470	-0.126835	 -0.0546	
      12	  15.136	0.274767	  0.7963	 -0.0731	  0.8404	0.057306	0.150599	  0.8535	2.967E+6	   0.233	 3823.10	   82.03	  150.00	   0.000	-0.49550	-0.53193	-0.53830	-0.53759	-0.53272	-0.52800	-0.52147	-0.51483	-0.50616	-0.49998	-0.49426	-0.48809	-0.48547	-0.48393	-0.48531	-0.48974	-0.50098	-0.51800	-0.54649	-0.58994	-0.64695	-0.72870	-0.81529	-0.92914	-1.04815	-1.14732	-1.25187	-1.38382	-1.52462	-1.62873	-1.72587	-1.84879	-1.98136	-2.17382	-2.40065	-2.57797	-2.64467	-2.55776	-1.96441	-1.68442	 0.06452	 0.53064	 0.91644	 0.99860	 0.93799	 0.83143	 0.71256	 0.59497	 0.49050	 0.39482	 0.31217	 0.22466	 0.13382	 0.06500	 0.00704	-0.02013	-0.02894	-0.01279	-0.00123	 0.01698	 0.05421	 0.03425	-0.44855	  0.8448	-0.077019	 -0.0738	cpt_wake < 0; 
      13	  14.160	0.233469	  0.8603	 -0.0621	  0.8913	0.015916	0.120328	  0.9112	2.983E+6	   0.234	 3868.38	   82.50	  150.00	   0.000	-0.45136	-0.48490	-0.48765	-0.48416	-0.47856	-0.47328	-0.46691	-0.46087	-0.45316	-0.44762	-0.44244	-0.43737	-0.43732	-0.44083	-0.45165	-0.47219	-0.51154	-0.57050	-0.65486	-0.75770	-0.85922	-0.97740	-1.07667	-1.19544	-1.32012	-1.39654	-1.47857	-1.60314	-1.73354	-1.82440	-1.90576	-2.02038	-2.14867	-2.34198	-2.56762	-2.74511	-2.80630	-2.70695	-2.08400	-1.79032	 0.07486	 0.51038	 0.91147	 0.99882	 0.93921	 0.83242	 0.71321	 0.59562	 0.49154	 0.39671	 0.31532	 0.22945	 0.14058	 0.07388	 0.01848	-0.00609	-0.01253	 0.00570	 0.02000	 0.04065	 0.07936	 0.06478	-0.40590	  0.8947	-0.105175	 -0.0626	
      14	  12.199	0.129072	  0.9533	 -0.0505	  0.9590	-0.075273	0.076233	  0.9752	3.004E+6	   0.236	 3929.43	   83.12	  194.38	   0.000	-0.35487	-0.39523	-0.39682	-0.39358	-0.38974	-0.38631	-0.38217	-0.37827	-0.37368	-0.37256	-0.37437	-0.38172	-0.40561	-0.45480	-0.54219	-0.66286	-0.79721	-0.91845	-1.02889	-1.13039	-1.20747	-1.29594	-1.36288	-1.45814	-1.57574	-1.62093	-1.67872	-1.79099	-1.90564	-1.97661	-2.03127	-2.12326	-2.23488	-2.41565	-2.62080	-2.75789	-2.78284	-2.64490	-1.99086	-1.67572	 0.07381	 0.57316	 0.93634	 0.99670	 0.92058	 0.80493	 0.68124	 0.56209	 0.45886	 0.36606	 0.28770	 0.20564	 0.12107	 0.05984	 0.01026	-0.00801	-0.00853	 0.01629	 0.03735	 0.06512	 0.10938	 0.11213	-0.33313	  0.9602	-0.130863	 -0.0508	
      15	  10.208	0.070307	  0.9792	 -0.0471	  0.9762	-0.104346	0.046757	  0.9880	3.009E+6	   0.236	 3948.13	   83.31	  195.84	   0.000	-0.21177	-0.26017	-0.26791	-0.27448	-0.28080	-0.28551	-0.29106	-0.29964	-0.31422	-0.34374	-0.39363	-0.47176	-0.58494	-0.71552	-0.84851	-0.97210	-1.07683	-1.16018	-1.23106	-1.30017	-1.34802	-1.40886	-1.45092	-1.52565	-1.63083	-1.65129	-1.68656	-1.78153	-1.87379	-1.91944	-1.94370	-2.00120	-2.08323	-2.22467	-2.38227	-2.44694	-2.40861	-2.21424	-1.56308	-1.23835	 0.07771	 0.71393	 0.97799	 0.97880	 0.87235	 0.74311	 0.61421	 0.49450	 0.39466	 0.30561	 0.23306	 0.15680	 0.07840	 0.02477	-0.01626	-0.02541	-0.01762	 0.01594	 0.04602	 0.08273	 0.13495	 0.16430	-0.23430	  0.9764	-0.128521	 -0.0473	
      16	  11.213	0.102560	  0.9754	 -0.0503	  0.9767	-0.089076	0.062669	  0.9912	3.006E+6	   0.236	 3940.79	   83.25	  194.24	   0.000	-0.28486	-0.33811	-0.34574	-0.34906	-0.35092	-0.35149	-0.35070	-0.35017	-0.35030	-0.35611	-0.37142	-0.40297	-0.46856	-0.57073	-0.69931	-0.83296	-0.95619	-1.05819	-1.14711	-1.23101	-1.29182	-1.36562	-1.41941	-1.50382	-1.61549	-1.64804	-1.69442	-1.79853	-1.90219	-1.96091	-2.00069	-2.07578	-2.17324	-2.33758	-2.52000	-2.62221	-2.61728	-2.45142	-1.79603	-1.47514	 0.08109	 0.64028	 0.95781	 0.99032	 0.89976	 0.77758	 0.65130	 0.53169	 0.42986	 0.33890	 0.26316	 0.18390	 0.10233	 0.04474	-0.00071	-0.01470	-0.01135	 0.01766	 0.04311	 0.07526	 0.12337	 0.13934	-0.29689	  0.9774	-0.130612	 -0.0506	
      17	   8.191	0.032545	  0.9395	 -0.0471	  0.9346	-0.101642	0.024313	  0.9422	3.001E+6	   0.236	 3930.17	   83.11	  195.77	   0.000	-0.07904	-0.10512	-0.11454	-0.12672	-0.14226	-0.16730	-0.20346	-0.25811	-0.34216	-0.44779	-0.56410	-0.68707	-0.80568	-0.91360	-1.01419	-1.10931	-1.18306	-1.23975	-1.28449	-1.33105	-1.35943	-1.39789	-1.42048	-1.47549	-1.56513	-1.56408	-1.57714	-1.65072	-1.71839	-1.73498	-1.72818	-1.74731	-1.79795	-1.87686	-1.97273	-1.96204	-1.85380	-1.60592	-0.98737	-0.66635	 0.08259	 0.86313	 0.99932	 0.92872	 0.79006	 0.64785	 0.51609	 0.39855	 0.30515	 0.22144	 0.15723	 0.08827	 0.01761	-0.02730	-0.05874	-0.05724	-0.03958	 0.00433	 0.04416	 0.09011	 0.15055	 0.20545	-0.09220	  0.9344	-0.109617	 -0.0472	
      18	   6.147	0.021825	  0.8301	 -0.0564	  0.8277	-0.067190	0.013474	  0.8324	3.006E+6	   0.236	 3942.12	   83.24	  194.22	   0.000	 0.02314	-0.00010	-0.02738	-0.06270	-0.10548	-0.16307	-0.24018	-0.33056	-0.43309	-0.53669	-0.64047	-0.74753	-0.84691	-0.93461	-1.01678	-1.09524	-1.15068	-1.19084	-1.21754	-1.24744	-1.26035	-1.27976	-1.28545	-1.31962	-1.39057	-1.36976	-1.36069	-1.40777	-1.44914	-1.43315	-1.39458	-1.37273	-1.38523	-1.40530	-1.41492	-1.33008	-1.15476	-0.86538	-0.31693	-0.02095	 0.08141	 0.97719	 0.96690	 0.81490	 0.65029	 0.50089	 0.37144	 0.26146	 0.17906	 0.10393	 0.05204	-0.00712	-0.06871	-0.10297	-0.12288	-0.10898	-0.07990	-0.02343	 0.02767	 0.08386	 0.15306	 0.23181	 0.02114	  0.8273	-0.075234	 -0.0566	
      19	   4.110	0.017747	  0.6581	 -0.0616	  0.6577	-0.029464	0.006222	  0.6605	3.006E+6	   0.236	 3943.37	   83.25	  195.83	   0.000	 0.08656	 0.05388	 0.01219	-0.04008	-0.10076	-0.17519	-0.26035	-0.34906	-0.44345	-0.53623	-0.62801	-0.72262	-0.80793	-0.88063	-0.94837	-1.01268	-1.05308	-1.07899	-1.08990	-1.10505	-1.10349	-1.10537	-1.09548	-1.10864	-1.15895	-1.12011	-1.08962	-1.11012	-1.12240	-1.07576	-1.00851	-0.95122	-0.92683	-0.88220	-0.81538	-0.67052	-0.44837	-0.14436	 0.30013	 0.54048	 0.08338	 0.99122	 0.82789	 0.60972	 0.43842	 0.29423	 0.17590	 0.08201	 0.01484	-0.04655	-0.08312	-0.12982	-0.18021	-0.20195	-0.20851	-0.18074	-0.13890	-0.06845	-0.00578	 0.06128	 0.13939	 0.23754	 0.08650	  0.6573	-0.040828	 -0.0617	
