   Runnr	   Alpha	      Cd	      Cl	      Cm	      Cn	      Ct	Cd-press	Cl-press	      Re	       M	       Q	       V	  Z_w.r.	    Flap	 Cpu_001	 Cpu_002	 Cpu_003	 Cpu_004	 Cpu_005	 Cpu_006	 Cpu_007	 Cpu_008	 Cpu_009	 Cpu_010	 Cpu_011	 Cpu_012	 Cpu_013	 Cpu_014	 Cpu_015	 Cpu_016	 Cpu_017	 Cpu_018	 Cpu_019	 Cpu_020	 Cpu_021	 Cpu_022	 Cpu_023	 Cpu_024	 Cpu_025	 Cpu_026	 Cpu_027	 Cpu_028	 Cpu_029	 Cpu_030	 Cpu_031	 Cpu_032	 Cpu_033	 Cpu_034	 Cpu_035	 Cpu_036	 Cpu_037	 Cpu_038	 Cpu_039	 Cpu_040	 Cpl_001	 Cpl_002	 Cpl_003	 Cpl_004	 Cpl_005	 Cpl_006	 Cpl_007	 Cpl_008	 Cpl_009	 Cpl_010	 Cpl_011	 Cpl_012	 Cpl_013	 Cpl_014	 Cpl_015	 Cpl_016	 Cpl_017	 Cpl_018	 Cpl_019	 Cpl_020	 Cpl_021	 Cpl_022	 Cpl_023	 Cn-corr	 Ct-corr	 Cm-corr
       /	 degrees	       /	       /	       /	       /	       /	       /	       /	       /	       /	      Pa	     m/s	      mm	 degrees	  100.00	   94.76	   89.84	   84.97	   80.44	   75.81	   71.34	   67.21	   63.02	   59.06	   55.22	   51.47	   47.87	   44.31	   40.97	   37.84	   34.73	   31.83	   28.95	   26.24	   23.77	   21.21	   19.02	   16.69	   14.78	   12.88	   11.12	    9.52	    7.96	    6.55	    5.35	    4.20	    3.24	    2.37	    1.63	    1.03	    0.58	    0.26	    0.02	    0.00	    0.00	    0.51	    1.21	    2.24	    3.62	    5.34	    7.43	    9.84	   12.66	   15.80	   19.37	   23.34	   27.72	   32.33	   37.52	   42.99	   48.39	   54.79	   61.58	   68.55	   75.87	   92.00	  100.00	       /	       /	       /
       1	   0.005	0.010935	  0.2578	 -0.0668	  0.2578	0.010914	0.007598	  0.2580	3.001E+6	   0.232	 3784.18	   81.04	  220.84	   0.000	 0.17018	 0.10115	 0.04256	-0.02101	-0.08848	-0.16083	-0.23829	-0.31381	-0.38992	-0.46304	-0.53345	-0.60765	-0.66678	-0.71262	-0.75416	-0.79315	-0.80783	-0.80813	-0.78985	-0.78194	-0.75580	-0.72957	-0.69330	-0.65829	-0.60873	-0.55463	-0.49766	-0.47873	-0.45195	-0.36529	-0.25826	-0.17674	-0.08484	 0.03933	 0.18666	 0.38057	 0.59740	 0.81181	 0.96901	 0.99923	 1.00000	 0.47760	 0.13359	-0.10237	-0.19946	-0.24722	-0.29721	-0.35241	-0.35591	-0.38929	-0.41166	-0.42179	-0.44461	-0.43366	-0.40803	-0.34700	-0.27423	-0.17207	-0.08343	 0.00784	 0.10513	 0.23954	 0.16956	  0.2577	0.007623	 -0.0669	
       2	   2.056	0.011803	  0.4821	 -0.0677	  0.4822	-0.005502	0.008753	  0.4825	2.995E+6	   0.231	 3775.01	   80.97	  219.15	   0.000	 0.14989	 0.09142	 0.03281	-0.03276	-0.10365	-0.18201	-0.26639	-0.34995	-0.43564	-0.51866	-0.60006	-0.68574	-0.75753	-0.81650	-0.87152	-0.92372	-0.95156	-0.96427	-0.95894	-0.96406	-0.94964	-0.93796	-0.91406	-0.89541	-0.85764	-0.81781	-0.77554	-0.78055	-0.78148	-0.70862	-0.62093	-0.57699	-0.51057	-0.41381	-0.29656	-0.11217	 0.12457	 0.40676	 0.72447	 0.88298	 0.88380	 0.84913	 0.56808	 0.31900	 0.16558	 0.06952	-0.02551	-0.10286	-0.13839	-0.19267	-0.23438	-0.26371	-0.30254	-0.30854	-0.29995	-0.25631	-0.19899	-0.11316	-0.03765	 0.04151	 0.13054	 0.25097	 0.14869	  0.4819	-0.008419	 -0.0678	
       3	   4.110	0.013474	  0.6942	 -0.0664	  0.6933	-0.036315	0.009913	  0.6949	3.005E+6	   0.233	 3815.24	   81.46	  220.84	   0.000	 0.11490	 0.07257	 0.02150	-0.03974	-0.10945	-0.19084	-0.28089	-0.37213	-0.46754	-0.56110	-0.65393	-0.75135	-0.83649	-0.90961	-0.97861	-1.04473	-1.08706	-1.11332	-1.12218	-1.14188	-1.14064	-1.14529	-1.13571	-1.13519	-1.11193	-1.08912	-1.06576	-1.09704	-1.13048	-1.08277	-1.01020	-1.02121	-0.99657	-0.94801	-0.88147	-0.73267	-0.51322	-0.20982	 0.24289	 0.48829	 0.48897	 0.99623	 0.84634	 0.63321	 0.45895	 0.33319	 0.21552	 0.11458	 0.05751	-0.01422	-0.07139	-0.11678	-0.16922	-0.19022	-0.19691	-0.16935	-0.12631	-0.05634	 0.00664	 0.07410	 0.15371	 0.25650	 0.11237	  0.6930	-0.039583	 -0.0665	
       4	   6.163	0.016580	  0.8717	 -0.0618	  0.8684	-0.077091	0.012698	  0.8727	2.999E+6	   0.232	 3803.95	   81.36	  219.21	   0.000	 0.05249	 0.02540	-0.00724	-0.04936	-0.10346	-0.17666	-0.26625	-0.36315	-0.46823	-0.57295	-0.67778	-0.78765	-0.88651	-0.97432	-1.05756	-1.13790	-1.19497	-1.23548	-1.25936	-1.29411	-1.30690	-1.32894	-1.33463	-1.35352	-1.34635	-1.34153	-1.33926	-1.39868	-1.46535	-1.44621	-1.40303	-1.44338	-1.48894	-1.50402	-1.50857	-1.42080	-1.24975	-0.96282	-0.40730	-0.11239	-0.11239	 0.96760	 0.97652	 0.83410	 0.67002	 0.53474	 0.40708	 0.29424	 0.21708	 0.13545	 0.06661	 0.00875	-0.05454	-0.08828	-0.10809	-0.09462	-0.06442	-0.00884	 0.04228	 0.09897	 0.16904	 0.25143	 0.04942	  0.8680	-0.080552	 -0.0619	
       5	   8.212	0.029470	  0.9891	 -0.0527	  0.9832	-0.112111	0.017923	  0.9930	2.993E+6	   0.232	 3793.27	   81.26	  220.84	   0.000	-0.05811	-0.08726	-0.09843	-0.11225	-0.12963	-0.15867	-0.20652	-0.28101	-0.38423	-0.50026	-0.62082	-0.74678	-0.86375	-0.97019	-1.07069	-1.16698	-1.24123	-1.29786	-1.33906	-1.39002	-1.41855	-1.45873	-1.48102	-1.52009	-1.53038	-1.54497	-1.56500	-1.65164	-1.75227	-1.76349	-1.75111	-1.84181	-1.92351	-2.02519	-2.11247	-2.09941	-2.00037	-1.75855	-1.13072	-0.81735	-0.81774	 0.83170	 0.99856	 0.94417	 0.81078	 0.68048	 0.55154	 0.43337	 0.34279	 0.25516	 0.17702	 0.10896	 0.03636	-0.00812	-0.03996	-0.03914	-0.02080	 0.02195	 0.06167	 0.10730	 0.16826	 0.22548	-0.07632	  0.9830	-0.123401	 -0.0529	
       6	  10.227	0.054149	  1.0808	 -0.0537	  1.0733	-0.138605	0.033572	  1.0889	2.985E+6	   0.231	 3775.25	   81.10	  219.24	   0.000	-0.15883	-0.21706	-0.22310	-0.23018	-0.23895	-0.24728	-0.25812	-0.27993	-0.32290	-0.39885	-0.50751	-0.63956	-0.77592	-0.90530	-1.02673	-1.14087	-1.23393	-1.30771	-1.36723	-1.43462	-1.47885	-1.53680	-1.57537	-1.63351	-1.66138	-1.69459	-1.73667	-1.84751	-1.97903	-2.02099	-2.04025	-2.17014	-2.30876	-2.46074	-2.64919	-2.71469	-2.69680	-2.51732	-1.84692	-1.53367	-1.53443	 0.63479	 0.95722	 0.99089	 0.89837	 0.78145	 0.65713	 0.53840	 0.44167	 0.34601	 0.25851	 0.18464	 0.10866	 0.05557	 0.01441	 0.00471	 0.01292	 0.04538	 0.07521	 0.11198	 0.16554	 0.20258	-0.19878	  1.0734	-0.159546	 -0.0539	
       7	  12.226	0.050175	  1.0820	 -0.0532	  1.0681	-0.180103	0.049297	  1.0821	2.958E+6	   0.230	 3714.19	   80.47	  220.85	   0.000	-0.28365	-0.36980	-0.38684	-0.38912	-0.38666	-0.38474	-0.37943	-0.37297	-0.36598	-0.36439	-0.36974	-0.38685	-0.42914	-0.51854	-0.66393	-0.83384	-0.99238	-1.12006	-1.22749	-1.33112	-1.40665	-1.49395	-1.55794	-1.64188	-1.69247	-1.74876	-1.81547	-1.94993	-2.11013	-2.18338	-2.23697	-2.40729	-2.58206	-2.78031	-3.06943	-3.21017	-3.27236	-3.16021	-2.47299	-2.17160	-2.17265	 0.42557	 0.88439	 0.99994	 0.94812	 0.84726	 0.72972	 0.61229	 0.51211	 0.41204	 0.31849	 0.23597	 0.15457	 0.08913	 0.03815	 0.01793	 0.01775	 0.04011	 0.06738	 0.09624	 0.14314	 0.15360	-0.33137	  1.0684	-0.181605	 -0.0534	
       8	  15.245	0.121350	  1.1386	 -0.0621	  1.1305	-0.182324	0.091643	  1.1533	2.943E+6	   0.229	 3681.89	   80.17	  219.23	   0.000	-0.38757	-0.47246	-0.49188	-0.49506	-0.49107	-0.48697	-0.47962	-0.46953	-0.45723	-0.44825	-0.44167	-0.43907	-0.44496	-0.46736	-0.51900	-0.61110	-0.74608	-0.89264	-1.04034	-1.18207	-1.29348	-1.41593	-1.51096	-1.62684	-1.70805	-1.79532	-1.89658	-2.06164	-2.26080	-2.38002	-2.48569	-2.71737	-2.95909	-3.23128	-3.60336	-3.92025	-4.11241	-4.12681	-3.44033	-3.18550	-3.18675	 0.03738	 0.71497	 0.97413	 0.99129	 0.92465	 0.82470	 0.71546	 0.61512	 0.51326	 0.41536	 0.32567	 0.23679	 0.16184	 0.09932	 0.06650	 0.05472	 0.05746	 0.07583	 0.09637	 0.12423	 0.12450	-0.43595	  1.1321	-0.215304	 -0.0625	
       9	  14.234	0.085936	  1.1261	 -0.0589	  1.1127	-0.193604	0.076557	  1.1302	2.982E+6	   0.232	 3789.48	   81.36	  220.78	   0.000	-0.34934	-0.44381	-0.46633	-0.46996	-0.46538	-0.46111	-0.45394	-0.44414	-0.43220	-0.42393	-0.41924	-0.42077	-0.43311	-0.46854	-0.54186	-0.66414	-0.82096	-0.97194	-1.11158	-1.24236	-1.34242	-1.45369	-1.53870	-1.64436	-1.71542	-1.79279	-1.88260	-2.03847	-2.22568	-2.32986	-2.41818	-2.63062	-2.84931	-3.09997	-3.44878	-3.70158	-3.84977	-3.81800	-3.12757	-2.84904	-2.84992	 0.17436	 0.77796	 0.98808	 0.98109	 0.90201	 0.79540	 0.68274	 0.58178	 0.47994	 0.38301	 0.29507	 0.20842	 0.13616	 0.07697	 0.04807	 0.04009	 0.04724	 0.06951	 0.09346	 0.12498	 0.13291	-0.40720	  1.1135	-0.204635	 -0.0592	
