   Runnr	   Alpha	      Cd	      Cl	      Cm	      Cn	      Ct	Cd-press	Cl-press	      Re	       M	       Q	       V	  Z_w.r.	    Flap	 Cpu_001	 Cpu_002	 Cpu_003	 Cpu_004	 Cpu_005	 Cpu_006	 Cpu_007	 Cpu_008	 Cpu_009	 Cpu_010	 Cpu_011	 Cpu_012	 Cpu_013	 Cpu_014	 Cpu_015	 Cpu_016	 Cpu_017	 Cpu_018	 Cpu_019	 Cpu_020	 Cpu_021	 Cpu_022	 Cpu_023	 Cpu_024	 Cpu_025	 Cpu_026	 Cpu_027	 Cpu_028	 Cpu_029	 Cpu_030	 Cpu_031	 Cpu_032	 Cpu_033	 Cpu_034	 Cpu_035	 Cpu_036	 Cpu_037	 Cpu_038	 Cpu_039	 Cpu_040	 Cpl_001	 Cpl_002	 Cpl_003	 Cpl_004	 Cpl_005	 Cpl_006	 Cpl_007	 Cpl_008	 Cpl_009	 Cpl_010	 Cpl_011	 Cpl_012	 Cpl_013	 Cpl_014	 Cpl_015	 Cpl_016	 Cpl_017	 Cpl_018	 Cpl_019	 Cpl_020	 Cpl_021	 Cpl_022	 Cpl_023	 Cn-corr	 Ct-corr	 Cm-corr
      10	   6.172	0.009296	  0.9766	 -0.0784	  0.9719	-0.095746	0.011016	  0.9760	1.007E+6	   0.075	  396.28	   25.80	  180.83	   0.000	 0.17213	 0.09233	 0.01874	-0.06258	-0.14755	-0.24116	-0.33893	-0.44053	-0.53500	-0.63549	-0.73370	-0.83350	-0.91469	-1.09655	-1.17382	-1.20893	-1.26430	-1.30465	-1.33669	-1.35747	-1.37814	-1.38594	-1.41552	-1.44016	-1.44134	-1.42353	-1.45068	-1.50416	-1.58122	-1.57020	-1.55223	-1.55602	-1.58203	-1.60809	-1.64919	-1.57729	-1.44564	-1.16757	-0.63386	-0.32456	-0.31329	 0.92443	 0.99091	 0.88828	 0.72900	 0.58794	 0.45959	 0.34413	 0.26298	 0.18797	 0.10897	 0.04963	-0.00464	-0.04306	-0.06524	-0.05188	-0.01979	 0.01925	 0.06045	 0.13502	 0.22220	 0.31686	 0.17534	  0.9726	-0.093383	 -0.0788	
      11	   7.195	0.010191	  1.0759	 -0.0771	  1.0687	-0.124648	0.012160	  1.0752	1.007E+6	   0.075	  395.94	   25.79	  179.15	   0.000	 0.15442	 0.08979	 0.01978	-0.06046	-0.14667	-0.24337	-0.34464	-0.44998	-0.54923	-0.65585	-0.76197	-0.87445	-0.96710	-1.04799	-1.19515	-1.27978	-1.33898	-1.38320	-1.41972	-1.44523	-1.47279	-1.49066	-1.52809	-1.56227	-1.57234	-1.56679	-1.60807	-1.67664	-1.76964	-1.77939	-1.78083	-1.81108	-1.86562	-1.93160	-2.01942	-1.99386	-1.90771	-1.66039	-1.09436	-0.77190	-0.76511	 0.82308	 0.99480	 0.94850	 0.81088	 0.67688	 0.54850	 0.42998	 0.34308	 0.26321	 0.17921	 0.11458	 0.05500	 0.01136	-0.01724	-0.01119	 0.01559	 0.04922	 0.09095	 0.13419	 0.23998	 0.32010	 0.16123	  1.0696	-0.121905	 -0.0776	
      12	   8.208	0.012792	  1.1438	 -0.0715	  1.1339	-0.150646	0.013897	  1.1434	1.007E+6	   0.075	  395.75	   25.79	  180.76	   0.000	 0.10959	 0.07143	 0.01806	-0.05145	-0.13221	-0.22779	-0.33120	-0.43913	-0.54359	-0.65528	-0.76949	-0.88904	-0.99557	-1.09513	-1.18215	-1.25474	-1.32765	-1.41699	-1.48054	-1.51334	-1.54807	-1.57545	-1.62032	-1.66183	-1.68006	-1.68689	-1.74343	-1.82366	-1.93034	-1.95772	-1.97980	-2.03230	-2.11748	-2.22028	-2.35108	-2.36695	-2.33389	-2.12001	-1.53328	-1.20672	-1.20581	 0.70075	 0.97424	 0.98196	 0.86902	 0.74079	 0.61763	 0.49789	 0.40684	 0.32057	 0.23562	 0.16612	 0.10187	 0.05317	 0.01894	 0.01900	 0.04064	 0.06804	 0.10922	 0.14735	 0.23527	 0.31258	 0.11479	  1.1350	-0.148721	 -0.0720	
      13	   9.237	0.018095	  1.1648	 -0.0601	  1.1526	-0.169111	0.017447	  1.1650	1.006E+6	   0.075	  394.95	   25.76	  179.22	   0.000	 0.02401	 0.00468	-0.01778	-0.05269	-0.10404	-0.18076	-0.27745	-0.38471	-0.49496	-0.61239	-0.73273	-0.85938	-0.97377	-1.08319	-1.18141	-1.26666	-1.35258	-1.41585	-1.45771	-1.50358	-1.53251	-1.56681	-1.64988	-1.72000	-1.74352	-1.77525	-1.84231	-1.92815	-2.04239	-2.08513	-2.12344	-2.19365	-2.30055	-2.44030	-2.60696	-2.66282	-2.67077	-2.49076	-1.89412	-1.56764	-1.57136	 0.58579	 0.94230	 0.99682	 0.90651	 0.78662	 0.66645	 0.54659	 0.45277	 0.36324	 0.27504	 0.20158	 0.13281	 0.07935	 0.04068	 0.03507	 0.05157	 0.07419	 0.11255	 0.15223	 0.19554	 0.28912	 0.01692	  1.1538	-0.169042	 -0.0606	
      14	  10.257	0.031204	  1.1808	 -0.0532	  1.1675	-0.179547	0.023235	  1.1839	1.006E+6	   0.075	  395.10	   25.76	  180.86	   0.000	-0.05166	-0.07692	-0.08348	-0.09557	-0.11481	-0.15327	-0.22065	-0.31452	-0.42417	-0.54823	-0.67655	-0.81022	-0.93186	-1.05013	-1.15635	-1.24823	-1.34276	-1.41446	-1.46676	-1.52146	-1.56641	-1.60594	-1.64962	-1.69614	-1.73679	-1.79488	-1.93668	-2.02375	-2.13878	-2.19502	-2.24962	-2.33956	-2.46946	-2.63407	-2.83574	-2.93018	-2.97902	-2.83371	-2.23332	-1.91155	-1.91562	 0.46600	 0.90146	 0.99999	 0.93393	 0.82453	 0.70734	 0.58855	 0.49271	 0.40122	 0.30988	 0.23303	 0.16081	 0.10352	 0.06002	 0.04935	 0.06090	 0.07837	 0.11276	 0.15286	 0.17937	 0.26813	-0.06762	  1.1689	-0.187144	 -0.0538	
      15	  11.256	0.043381	  1.2021	 -0.0507	  1.1875	-0.192091	0.029948	  1.2078	1.006E+6	   0.075	  394.69	   25.75	  179.22	   0.000	-0.13035	-0.16906	-0.16578	-0.16829	-0.17265	-0.18131	-0.20211	-0.24713	-0.33555	-0.45012	-0.58681	-0.73365	-0.86805	-0.99941	-1.11667	-1.21774	-1.32139	-1.40195	-1.46475	-1.52828	-1.58307	-1.63244	-1.68902	-1.75368	-1.78595	-1.78929	-1.91720	-2.11947	-2.25142	-2.31322	-2.38369	-2.49555	-2.64633	-2.83715	-3.07241	-3.20931	-3.30403	-3.19702	-2.59626	-2.28305	-2.28271	 0.33173	 0.84767	 0.99999	 0.95722	 0.85998	 0.74791	 0.62957	 0.53216	 0.43902	 0.34516	 0.26534	 0.19028	 0.12876	 0.08101	 0.06452	 0.07158	 0.08363	 0.11384	 0.15120	 0.18114	 0.24784	-0.15056	  1.1891	-0.205582	 -0.0512	
      16	  12.252	0.068546	  1.2040	 -0.0539	  1.1911	-0.188508	0.042442	  1.2156	1.006E+6	   0.075	  394.67	   25.75	  180.80	   0.000	-0.21501	-0.28326	-0.28332	-0.28387	-0.28547	-0.28745	-0.28973	-0.29384	-0.30702	-0.33905	-0.42144	-0.55431	-0.70673	-0.86527	-1.00459	-1.13007	-1.24500	-1.34004	-1.41719	-1.49157	-1.55556	-1.61787	-1.68721	-1.76678	-1.81710	-1.84989	-1.91904	-2.04581	-2.27223	-2.39496	-2.49870	-2.62754	-2.78881	-2.99214	-3.25531	-3.43206	-3.56953	-3.50148	-2.90797	-2.60582	-2.59399	 0.20246	 0.79216	 0.99417	 0.97274	 0.88657	 0.77631	 0.66346	 0.56619	 0.47178	 0.37602	 0.29312	 0.21415	 0.14973	 0.09787	 0.07669	 0.07912	 0.08617	 0.11175	 0.14590	 0.17542	 0.21270	-0.25057	  1.1931	-0.215605	 -0.0545	
      17	  13.261	0.052341	  1.1695	 -0.0470	  1.1503	-0.217322	0.046370	  1.1720	1.000E+6	   0.074	  390.39	   25.61	  179.23	   0.000	-0.30627	-0.36121	-0.35532	-0.34672	-0.33829	-0.33103	-0.32462	-0.31925	-0.31425	-0.30644	-0.31445	-0.35097	-0.44353	-0.61141	-0.79103	-0.95365	-1.10238	-1.22400	-1.32379	-1.41720	-1.49764	-1.57452	-1.65608	-1.74870	-1.81239	-1.85888	-1.94853	-2.08961	-2.27275	-2.32903	-2.54042	-2.76917	-2.91833	-3.11393	-3.39601	-3.60833	-3.78453	-3.74972	-3.16312	-2.87182	-2.87671	 0.09363	 0.74345	 0.98488	 0.98146	 0.90481	 0.79845	 0.68706	 0.58790	 0.49219	 0.39325	 0.30796	 0.22599	 0.15724	 0.10046	 0.07520	 0.07307	 0.07595	 0.09718	 0.12715	 0.15349	 0.16620	-0.29893	  1.1521	-0.224105	 -0.0475	
      18	  14.245	0.070511	  1.1597	 -0.0480	  1.1414	-0.217023	0.057981	  1.1654	9.992E+5	   0.074	  389.42	   25.58	  180.86	   0.000	-0.34737	-0.40383	-0.40030	-0.39076	-0.38053	-0.37129	-0.36240	-0.35431	-0.34704	-0.33620	-0.33499	-0.34496	-0.36939	-0.45783	-0.61510	-0.79338	-0.96816	-1.11134	-1.23231	-1.34131	-1.43572	-1.52507	-1.61737	-1.72144	-1.79525	-1.85277	-1.95472	-2.10788	-2.31246	-2.37829	-2.38906	-2.93889	-3.07574	-3.23920	-3.52422	-3.77619	-3.99428	-3.99970	-3.42617	-3.15026	-3.15220	-0.02765	 0.68531	 0.97099	 0.98887	 0.92316	 0.82285	 0.71392	 0.61462	 0.51843	 0.41803	 0.33037	 0.24575	 0.17395	 0.11340	 0.08382	 0.07872	 0.07726	 0.09490	 0.12095	 0.14513	 0.14731	-0.33161	  1.1434	-0.231116	 -0.0486	
      19	  15.247	0.109561	  1.1518	 -0.0499	  1.1401	-0.197209	0.071703	  1.1705	9.997E+5	   0.074	  389.76	   25.59	  179.21	   0.000	-0.38059	-0.43080	-0.42705	-0.41659	-0.40524	-0.39554	-0.38634	-0.37859	-0.37117	-0.36043	-0.35752	-0.36304	-0.36915	-0.40576	-0.50166	-0.65901	-0.84467	-1.00491	-1.14351	-1.26537	-1.37263	-1.47315	-1.57533	-1.69000	-1.77316	-1.84079	-1.95337	-2.11683	-2.33543	-2.42795	-2.46246	-2.73753	-3.25833	-3.38572	-3.65242	-3.94090	-4.20567	-4.25368	-3.69796	-3.43973	-3.43235	-0.16063	 0.61968	 0.95267	 0.99461	 0.94164	 0.84832	 0.74253	 0.64490	 0.54865	 0.44743	 0.35763	 0.27106	 0.19662	 0.13251	 0.09929	 0.09063	 0.08469	 0.09863	 0.12089	 0.14277	 0.13554	-0.35646	  1.1427	-0.238491	 -0.0505	
