   Runnr	   Alpha	      Cd	      Cl	      Cm	      Cn	      Ct	Cd-press	Cl-press	      Re	       M	       Q	       V	  Z_w.r.	    Flap	 Cpu_001	 Cpu_002	 Cpu_003	 Cpu_004	 Cpu_005	 Cpu_006	 Cpu_007	 Cpu_008	 Cpu_009	 Cpu_010	 Cpu_011	 Cpu_012	 Cpu_013	 Cpu_014	 Cpu_015	 Cpu_016	 Cpu_017	 Cpu_018	 Cpu_019	 Cpu_020	 Cpu_021	 Cpu_022	 Cpu_023	 Cpu_024	 Cpu_025	 Cpu_026	 Cpu_027	 Cpu_028	 Cpu_029	 Cpu_030	 Cpu_031	 Cpu_032	 Cpu_033	 Cpu_034	 Cpu_035	 Cpu_036	 Cpu_037	 Cpu_038	 Cpu_039	 Cpu_040	 Cpl_001	 Cpl_002	 Cpl_003	 Cpl_004	 Cpl_005	 Cpl_006	 Cpl_007	 Cpl_008	 Cpl_009	 Cpl_010	 Cpl_011	 Cpl_012	 Cpl_013	 Cpl_014	 Cpl_015	 Cpl_016	 Cpl_017	 Cpl_018	 Cpl_019	 Cpl_020	 Cpl_021	 Cpl_022	 Cpl_023	 Cn-corr	 Ct-corr	 Cm-corr
      10	   9.231	0.034705	  1.0842	 -0.0525	  1.0757	-0.139658	0.022827	  1.0886	3.000E+6	   0.231	 3792.85	   81.07	  180.62	   0.000	-0.07172	-0.10218	-0.10913	-0.11951	-0.13472	-0.16305	-0.21228	-0.28880	-0.39474	-0.51384	-0.63955	-0.77034	-0.89256	-1.00619	-1.11244	-1.21670	-1.29546	-1.36093	-1.40764	-1.46733	-1.50131	-1.55260	-1.57605	-1.62259	-1.63460	-1.66427	-1.68375	-1.96422	-1.95857	-1.98872	-2.01375	-2.07721	-2.16855	-2.29705	-2.43496	-2.47674	-2.43381	-2.23672	-1.58307	-1.26183	-1.25165	 0.69782	 0.97368	 0.98409	 0.88382	 0.75940	 0.63998	 0.49726	 0.42180	 0.32547	 0.24224	 0.16876	 0.09344	 0.04282	 0.00559	 0.00012	 0.01130	 0.04763	 0.08217	 0.12255	 0.17923	 0.22789	-0.08917	  1.0756	-0.151246	 -0.0527	
      11	  10.246	0.056620	  1.1099	 -0.0501	  1.1022	-0.141691	0.030387	  1.1204	2.997E+6	   0.231	 3789.99	   81.07	  179.23	   0.000	-0.13468	-0.17564	-0.17442	-0.17821	-0.18471	-0.19639	-0.21741	-0.25644	-0.32961	-0.43556	-0.56268	-0.70030	-0.83298	-0.95773	-1.07445	-1.18691	-1.27500	-1.34931	-1.40525	-1.47304	-1.51559	-1.57548	-1.60945	-1.65965	-1.68393	-1.72983	-1.77753	-2.05834	-1.99794	-2.05853	-2.12671	-2.22784	-2.35061	-2.50329	-2.67727	-2.75824	-2.75653	-2.59259	-1.92299	-1.60391	-1.58998	 0.59250	 0.94231	 0.99645	 0.91785	 0.80270	 0.68587	 0.54662	 0.46654	 0.36882	 0.28284	 0.20613	 0.12737	 0.07267	 0.03071	 0.02021	 0.02641	 0.05732	 0.08679	 0.12244	 0.17479	 0.21008	-0.16102	  1.1025	-0.168229	 -0.0504	
      12	  11.253	0.067204	  1.1485	 -0.0510	  1.1395	-0.158202	0.038625	  1.1607	2.992E+6	   0.231	 3783.12	   81.02	  180.77	   0.000	-0.18852	-0.24538	-0.24430	-0.24561	-0.24978	-0.25643	-0.26506	-0.27732	-0.30398	-0.36332	-0.46816	-0.60655	-0.75521	-0.89846	-1.03070	-1.15511	-1.25615	-1.34057	-1.40837	-1.48497	-1.53708	-1.60645	-1.64931	-1.71126	-1.74638	-1.80291	-1.86601	-2.16514	-2.12641	-2.17580	-2.19996	-2.34632	-2.57025	-2.74627	-2.95644	-3.08254	-3.12917	-3.00493	-2.31966	-2.00468	-1.98855	 0.45981	 0.89470	 0.99999	 0.94754	 0.84398	 0.73115	 0.59613	 0.51187	 0.41296	 0.32445	 0.24455	 0.16268	 0.10377	 0.05689	 0.04117	 0.04282	 0.06814	 0.09309	 0.12425	 0.17228	 0.19575	-0.22434	  1.1400	-0.187515	 -0.0512	
      13	  12.251	0.056673	  1.1516	 -0.0472	  1.1374	-0.188978	0.040727	  1.1586	2.977E+6	   0.230	 3750.00	   80.68	  179.13	   0.000	-0.28234	-0.32743	-0.32495	-0.31975	-0.31513	-0.31226	-0.30917	-0.30646	-0.30382	-0.30821	-0.32637	-0.38259	-0.51506	-0.69672	-0.87247	-1.03098	-1.16266	-1.27056	-1.36013	-1.45351	-1.52092	-1.60466	-1.66062	-1.73665	-1.78457	-1.85266	-1.93149	-2.24681	-2.22329	-2.29827	-2.33682	-2.42840	-2.74228	-2.98475	-3.22010	-3.39023	-3.48635	-3.40419	-2.70821	-2.39902	-2.39461	 0.32078	 0.83897	 0.99743	 0.96896	 0.87731	 0.76901	 0.63770	 0.55024	 0.44999	 0.35877	 0.27605	 0.19065	 0.12749	 0.07583	 0.05467	 0.05119	 0.07114	 0.09126	 0.11695	 0.15974	 0.16423	-0.26970	  1.1378	-0.205729	 -0.0474	
      14	  13.256	0.056817	  1.1717	 -0.0446	  1.1535	-0.213377	0.046447	  1.1764	2.975E+6	   0.230	 3747.94	   80.68	  180.77	   0.000	-0.32061	-0.36064	-0.35668	-0.34961	-0.34288	-0.33716	-0.33121	-0.32624	-0.32048	-0.31914	-0.32395	-0.34272	-0.41004	-0.56552	-0.75707	-0.93842	-1.09306	-1.21911	-1.32573	-1.43263	-1.51265	-1.60848	-1.67567	-1.76414	-1.82282	-1.90209	-1.99559	-2.32589	-2.31607	-2.40979	-2.47520	-2.57715	-2.83969	-3.21744	-3.48618	-3.69796	-3.84345	-3.80599	-3.10296	-2.80148	-2.80760	 0.16994	 0.77325	 0.98698	 0.98444	 0.90618	 0.80352	 0.67693	 0.58705	 0.48605	 0.39219	 0.30761	 0.21946	 0.15248	 0.09673	 0.07072	 0.06296	 0.07841	 0.09411	 0.11537	 0.15411	 0.14810	-0.29876	  1.1540	-0.224723	 -0.0449	
      15	  14.272	0.066569	  1.1955	 -0.0436	  1.1750	-0.230203	0.054241	  1.2013	2.967E+6	   0.230	 3731.79	   80.53	  179.22	   0.000	-0.34577	-0.38505	-0.38198	-0.37449	-0.36631	-0.35908	-0.35107	-0.34417	-0.33695	-0.33390	-0.33459	-0.34288	-0.37505	-0.47645	-0.65441	-0.84913	-1.02358	-1.16651	-1.28922	-1.40849	-1.50060	-1.60780	-1.68591	-1.78673	-1.85540	-1.94620	-2.05390	-2.39840	-2.40268	-2.51431	-2.60288	-2.74285	-2.94522	-3.41414	-3.75685	-4.00816	-4.20446	-4.21886	-3.50351	-3.22394	-3.23651	 0.00295	 0.69597	 0.96868	 0.99473	 0.93155	 0.83591	 0.71492	 0.62380	 0.52251	 0.42537	 0.34066	 0.25007	 0.17958	 0.11988	 0.08944	 0.07765	 0.08854	 0.09996	 0.11704	 0.15204	 0.13786	-0.32474	  1.1757	-0.243977	 -0.0439	
      16	  15.287	0.080832	  1.2219	 -0.0438	  1.2000	-0.244183	0.063654	  1.2305	2.963E+6	   0.229	 3723.17	   80.45	  180.84	   0.000	-0.36570	-0.40473	-0.40246	-0.39448	-0.38521	-0.37691	-0.36837	-0.36113	-0.35323	-0.34896	-0.34847	-0.35215	-0.37015	-0.43160	-0.57476	-0.76953	-0.95881	-1.11663	-1.25428	-1.38506	-1.48826	-1.60629	-1.69460	-1.80714	-1.88504	-1.98697	-2.10817	-2.46651	-2.48414	-2.61243	-2.72076	-2.88905	-3.10369	-3.57515	-4.02196	-4.31347	-4.56313	-4.63159	-3.90394	-3.65246	-3.67185	-0.17281	 0.61066	 0.94347	 0.99989	 0.95267	 0.86486	 0.75007	 0.65892	 0.55771	 0.45908	 0.37328	 0.28104	 0.20765	 0.14427	 0.10989	 0.09439	 0.10105	 0.10839	 0.12157	 0.15317	 0.13158	-0.34435	  1.2011	-0.263481	 -0.0441	
      17	  -0.005	0.011681	  0.2562	 -0.0658	  0.2562	0.011706	0.008790	  0.2563	3.004E+6	   0.232	 3830.65	   81.58	  179.15	   0.000	 0.16414	 0.09912	 0.04060	-0.02236	-0.08858	-0.16091	-0.23859	-0.31359	-0.38979	-0.46273	-0.53348	-0.60709	-0.66597	-0.71352	-0.75438	-0.79354	-0.80615	-0.80830	-0.78948	-0.78190	-0.75613	-0.73028	-0.69180	-0.65281	-0.60001	-0.54922	-0.50916	-0.55931	-0.45490	-0.36200	-0.26117	-0.15606	-0.05560	 0.06385	 0.20846	 0.39761	 0.60850	 0.81722	 0.96990	 0.99872	 0.99929	 0.49305	 0.15715	-0.07370	-0.16493	-0.24364	-0.28089	-0.40908	-0.34740	-0.38797	-0.41163	-0.42320	-0.44634	-0.43511	-0.41009	-0.34907	-0.27761	-0.17446	-0.08619	 0.00455	 0.10155	 0.23415	 0.16277	  0.2560	0.008877	 -0.0659	
      18	  -1.032	0.011515	  0.1397	 -0.0651	  0.1395	0.014029	0.008470	  0.1397	3.005E+6	   0.233	 3834.53	   81.62	  180.62	   0.000	 0.17154	 0.10325	 0.04607	-0.01497	-0.07876	-0.14779	-0.22156	-0.29231	-0.36361	-0.43156	-0.49744	-0.56449	-0.61710	-0.65833	-0.69279	-0.72537	-0.73179	-0.72806	-0.70337	-0.68944	-0.65853	-0.62581	-0.58217	-0.53629	-0.47939	-0.42165	-0.37313	-0.40545	-0.29614	-0.19642	-0.08937	 0.02325	 0.13191	 0.25994	 0.40912	 0.59074	 0.77652	 0.93343	 0.99909	 0.95925	 0.95547	 0.22243	-0.11944	-0.32573	-0.37486	-0.42426	-0.43603	-0.55376	-0.46465	-0.49296	-0.50598	-0.50682	-0.52119	-0.50034	-0.46610	-0.39571	-0.31607	-0.20414	-0.10917	-0.01247	 0.08877	 0.22764	 0.17044	  0.1394	0.011040	 -0.0651	
      19	  -2.062	0.011464	  0.0233	 -0.0641	  0.0229	0.012296	0.008188	  0.0232	3.004E+6	   0.233	 3833.13	   81.61	  179.22	   0.000	 0.17679	 0.10653	 0.05157	-0.00720	-0.06834	-0.13376	-0.20375	-0.27024	-0.33681	-0.39976	-0.46020	-0.52144	-0.56816	-0.60332	-0.63147	-0.65789	-0.65832	-0.64911	-0.61883	-0.59916	-0.56347	-0.52451	-0.47629	-0.42437	-0.36305	-0.30066	-0.24447	-0.26077	-0.14759	-0.04307	 0.06879	 0.18545	 0.29994	 0.43166	 0.57925	 0.74535	 0.89672	 0.98994	 0.97799	 0.84503	 0.83629	-0.10369	-0.43472	-0.60272	-0.60117	-0.61562	-0.59907	-0.70668	-0.58611	-0.60057	-0.60206	-0.59151	-0.59674	-0.56613	-0.52215	-0.44228	-0.35433	-0.23361	-0.13189	-0.02931	 0.07589	 0.22019	 0.17591	  0.0229	0.009095	 -0.0642	
      20	  -3.088	0.011484	 -0.0908	 -0.0631	 -0.0913	0.006575	0.007925	 -0.0911	3.005E+6	   0.233	 3834.56	   81.63	  180.77	   0.000	 0.18057	 0.11010	 0.05794	 0.00178	-0.05663	-0.11832	-0.18464	-0.24720	-0.30908	-0.36732	-0.42272	-0.47842	-0.51945	-0.54888	-0.57129	-0.59191	-0.58671	-0.57245	-0.53758	-0.51262	-0.47256	-0.42779	-0.37561	-0.31881	-0.25346	-0.18745	-0.12399	-0.12644	-0.01191	 0.09694	 0.21088	 0.32986	 0.44600	 0.57689	 0.71672	 0.86071	 0.96942	 0.99706	 0.89747	 0.66135	 0.64788	-0.47810	-0.78102	-0.89828	-0.83863	-0.81332	-0.76675	-0.86807	-0.70759	-0.70781	-0.69764	-0.67476	-0.67101	-0.63024	-0.57666	-0.48710	-0.39086	-0.26145	-0.15306	-0.04471	 0.06393	 0.21251	 0.18029	 -0.0913	0.003136	 -0.0631	
      21	  -4.114	0.011696	 -0.2095	 -0.0619	 -0.2098	-0.003361	0.007747	 -0.2099	3.002E+6	   0.232	 3830.10	   81.59	  179.23	   0.000	 0.18215	 0.11325	 0.06435	 0.01125	-0.04408	-0.10191	-0.16420	-0.22270	-0.27962	-0.33358	-0.38341	-0.43341	-0.46869	-0.49258	-0.50910	-0.52390	-0.51334	-0.49412	-0.45476	-0.42451	-0.38011	-0.33044	-0.27461	-0.21351	-0.14421	-0.07646	-0.00542	 0.00491	 0.12040	 0.23153	 0.34558	 0.46457	 0.57891	 0.70423	 0.82972	 0.94306	 0.99869	 0.95849	 0.75079	 0.39691	 0.37574	-0.92435	-1.18028	-1.23072	-1.10299	-1.03023	-0.95204	-1.04004	-0.83748	-0.82168	-0.79874	-0.76262	-0.74860	-0.69694	-0.63294	-0.53297	-0.42805	-0.28958	-0.17408	-0.06002	 0.05149	 0.20282	 0.18280	 -0.2096	-0.007118	 -0.0619	
      22	  -5.157	0.012384	 -0.3204	 -0.0606	 -0.3202	-0.016463	0.008196	 -0.3210	3.002E+6	   0.232	 3830.17	   81.60	  180.78	   0.000	 0.18145	 0.11504	 0.07002	 0.02023	-0.03202	-0.08620	-0.14455	-0.19885	-0.25147	-0.30088	-0.34552	-0.39049	-0.42045	-0.43879	-0.45020	-0.45945	-0.44424	-0.42054	-0.37683	-0.34213	-0.29431	-0.23993	-0.18117	-0.11585	-0.04422	 0.02560	 0.10222	 0.12295	 0.23837	 0.35018	 0.46286	 0.57876	 0.68878	 0.80432	 0.91063	 0.98731	 0.98966	 0.86952	 0.55123	 0.07442	 0.04504	-1.40432	-1.59826	-1.57110	-1.37363	-1.25190	-1.13265	-1.14473	-0.96735	-0.93313	-0.89522	-0.84705	-0.82162	-0.75899	-0.68407	-0.57414	-0.46048	-0.31321	-0.19126	-0.07238	 0.04001	 0.18964	 0.18201	 -0.3200	-0.020378	 -0.0606	
      23	  -6.174	0.013368	 -0.4299	 -0.0593	 -0.4289	-0.032945	0.008871	 -0.4308	2.998E+6	   0.232	 3824.65	   81.55	  179.18	   0.000	 0.17749	 0.11533	 0.07495	 0.02873	-0.02023	-0.07046	-0.12486	-0.17524	-0.22331	-0.26799	-0.30804	-0.34768	-0.37244	-0.38579	-0.39257	-0.39607	-0.37629	-0.34817	-0.30070	-0.26237	-0.21084	-0.15285	-0.09158	-0.02243	 0.05014	 0.12364	 0.20381	 0.23366	 0.34787	 0.45879	 0.56809	 0.67876	 0.78182	 0.88364	 0.96538	 0.99924	 0.94271	 0.73060	 0.29358	-0.31529	-0.35438	-1.93730	-2.05183	-1.93339	-1.67354	-1.45757	-1.22814	-1.32456	-1.10542	-1.04540	-0.99210	-0.93082	-0.89354	-0.81915	-0.73310	-0.61302	-0.49062	-0.33476	-0.20597	-0.08290	 0.02851	 0.17339	 0.17805	 -0.4287	-0.037076	 -0.0593	
      24	  -7.195	0.014381	 -0.5403	 -0.0585	 -0.5378	-0.053401	0.009185	 -0.5414	2.998E+6	   0.232	 3824.05	   81.55	  180.79	   0.000	 0.17006	 0.11486	 0.07946	 0.03718	-0.00827	-0.05448	-0.10494	-0.15139	-0.19471	-0.23498	-0.27050	-0.30498	-0.32477	-0.33329	-0.33498	-0.33363	-0.30936	-0.27740	-0.22700	-0.18416	-0.12993	-0.06809	-0.00448	 0.06688	 0.13562	 0.21683	 0.29930	 0.33674	 0.44860	 0.55703	 0.66146	 0.76509	 0.85804	 0.94187	 0.99421	 0.98333	 0.85629	 0.54154	-0.02141	-0.77393	-0.82217	-2.52494	-2.54281	-2.32112	-2.02635	-1.64240	-1.43192	-1.49680	-1.24087	-1.15873	-1.09012	-1.01414	-0.96426	-0.87812	-0.78046	-0.64943	-0.51785	-0.35319	-0.21759	-0.09111	 0.01831	 0.15470	 0.17052	 -0.5376	-0.058133	 -0.0585	
      25	  -8.225	0.015789	 -0.6427	 -0.0576	 -0.6383	-0.076315	0.010697	 -0.6440	2.994E+6	   0.232	 3817.35	   81.49	  179.21	   0.000	 0.15590	 0.11140	 0.08158	 0.04360	 0.00178	-0.04064	-0.08692	-0.12933	-0.16848	-0.20427	-0.23518	-0.26496	-0.27987	-0.28357	-0.28072	-0.27464	-0.24642	-0.21145	-0.15715	-0.11084	-0.05383	 0.01076	 0.07586	 0.14926	 0.21851	 0.30272	 0.38579	 0.42958	 0.53779	 0.64281	 0.74085	 0.83556	 0.91601	 0.97884	 0.99909	 0.93770	 0.73555	 0.31169	-0.38048	-1.28212	-1.34034	-3.14571	-3.05365	-2.73077	-2.17144	-1.89054	-1.61903	-1.66303	-1.37188	-1.26843	-1.18393	-1.09356	-1.03056	-0.93230	-0.82288	-0.68086	-0.53981	-0.36652	-0.22427	-0.09597	 0.00752	 0.13102	 0.15572	 -0.6381	-0.080852	 -0.0575	
