   Runnr	   Alpha	      Cd	      Cl	      Cm	      Cn	      Ct	Cd-press	Cl-press	      Re	       M	       Q	       V	  Z_w.r.	    Flap	 Cpu_001	 Cpu_002	 Cpu_003	 Cpu_004	 Cpu_005	 Cpu_006	 Cpu_007	 Cpu_008	 Cpu_009	 Cpu_010	 Cpu_011	 Cpu_012	 Cpu_013	 Cpu_014	 Cpu_015	 Cpu_016	 Cpu_017	 Cpu_018	 Cpu_019	 Cpu_020	 Cpu_021	 Cpu_022	 Cpu_023	 Cpu_024	 Cpu_025	 Cpu_026	 Cpu_027	 Cpu_028	 Cpu_029	 Cpu_030	 Cpu_031	 Cpu_032	 Cpu_033	 Cpu_034	 Cpu_035	 Cpu_036	 Cpu_037	 Cpu_038	 Cpu_039	 Cpu_040	 Cpl_001	 Cpl_002	 Cpl_003	 Cpl_004	 Cpl_005	 Cpl_006	 Cpl_007	 Cpl_008	 Cpl_009	 Cpl_010	 Cpl_011	 Cpl_012	 Cpl_013	 Cpl_014	 Cpl_015	 Cpl_016	 Cpl_017	 Cpl_018	 Cpl_019	 Cpl_020	 Cpl_021	 Cpl_022	 Cpl_023	 Cn-corr	 Ct-corr	 Cm-corr
       /	 degrees	       /	       /	       /	       /	       /	       /	       /	       /	       /	      Pa	     m/s	      mm	 degrees	  100.00	   94.76	   89.84	   84.97	   80.44	   75.81	   71.34	   67.21	   63.02	   59.06	   55.22	   51.47	   47.87	   44.31	   40.97	   37.84	   34.73	   31.83	   28.95	   26.24	   23.77	   21.21	   19.02	   16.69	   14.78	   12.88	   11.12	    9.52	    7.96	    6.55	    5.35	    4.20	    3.24	    2.37	    1.63	    1.03	    0.58	    0.26	    0.02	    0.00	    0.00	    0.51	    1.21	    2.24	    3.62	    5.34	    7.43	    9.84	   12.66	   15.80	   19.37	   23.34	   27.72	   32.33	   37.52	   42.99	   48.39	   54.79	   61.58	   68.55	   75.87	   92.00	  100.00	       /	       /	       /
      10	  12.225	0.057994	  1.0274	 -0.0442	  1.0164	-0.160885	0.045541	  1.0325	2.970E+6	   0.238	 3917.91	   83.77	  190.78	   0.000	-0.31460	-0.36175	-0.36486	-0.36232	-0.35772	-0.35356	-0.34825	-0.34319	-0.33764	-0.33634	-0.34044	-0.35345	-0.39192	-0.47718	-0.61672	-0.77795	-0.93175	-1.05892	-1.16725	-1.27303	-1.34911	-1.43678	-1.50155	-1.58436	-1.63746	-1.69507	-1.76080	-1.88531	-2.03284	-2.11394	-2.19964	-2.41415	-2.56564	-2.72782	-2.96868	-3.11662	-3.14846	-3.03114	-2.34555	-2.02545	-2.02657	 0.47480	 0.90545	 0.99991	 0.93644	 0.83328	 0.71468	 0.59660	 0.49666	 0.39785	 0.30562	 0.22540	 0.14066	 0.07862	 0.02889	 0.00818	 0.00722	 0.03088	 0.05154	 0.07872	 0.12270	 0.12820	-0.31317	  1.0166	-0.174416	 -0.0444	
      11	  13.225	0.076878	  1.0369	 -0.0450	  1.0270	-0.162377	0.055907	  1.0460	2.963E+6	   0.237	 3903.23	   83.63	  150.00	   0.000	-0.34698	-0.39299	-0.39684	-0.39346	-0.38722	-0.38169	-0.37516	-0.36867	-0.36118	-0.35764	-0.35826	-0.36363	-0.38388	-0.42990	-0.52234	-0.66139	-0.81978	-0.96232	-1.08958	-1.21108	-1.30156	-1.40312	-1.47957	-1.57445	-1.63872	-1.70813	-1.78659	-1.92106	-2.08134	-2.17880	-2.28431	-2.51644	-2.69104	-2.86801	-3.14514	-3.34454	-3.41722	-3.34014	-2.65454	-2.34302	-2.34426	 0.36152	 0.86114	 0.99922	 0.95747	 0.86314	 0.74909	 0.63288	 0.53223	 0.43196	 0.33577	 0.25111	 0.16689	 0.10015	 0.04799	 0.02368	 0.01918	 0.03871	 0.05411	 0.07694	 0.11763	 0.11534	-0.34601	  1.0274	-0.185160	 -0.0452	
      12	  14.232	0.103065	  1.0457	 -0.0466	  1.0390	-0.157183	0.067759	  1.0621	2.977E+6	   0.238	 3943.39	   84.08	  150.00	   0.000	-0.37649	-0.41787	-0.42123	-0.41751	-0.41097	-0.40497	-0.39760	-0.39066	-0.38258	-0.37799	-0.37673	-0.37761	-0.38943	-0.41652	-0.47384	-0.57553	-0.71859	-0.86532	-1.00660	-1.14207	-1.24626	-1.36160	-1.44947	-1.55623	-1.63171	-1.71311	-1.80448	-1.94837	-2.12076	-2.23463	-2.36035	-2.60953	-2.80592	-3.00402	-3.30560	-3.55985	-3.67181	-3.63604	-2.95843	-2.65673	-2.65813	 0.24219	 0.81018	 0.99382	 0.97392	 0.88974	 0.78124	 0.66762	 0.56688	 0.46588	 0.36798	 0.28031	 0.19425	 0.12222	 0.06602	 0.03776	 0.03004	 0.04594	 0.06015	 0.07867	 0.11660	 0.10676	-0.36855	  1.0399	-0.195469	 -0.0469	
      13	  15.232	0.163884	  1.0471	 -0.0511	  1.0534	-0.116972	0.084313	  1.0868	2.983E+6	   0.239	 3959.85	   84.29	  150.00	   0.000	-0.40880	-0.44330	-0.44343	-0.43824	-0.43114	-0.42458	-0.41768	-0.41167	-0.40455	-0.40050	-0.39895	-0.39811	-0.40557	-0.42321	-0.46034	-0.53187	-0.65053	-0.78857	-0.93202	-1.07387	-1.18656	-1.31169	-1.40786	-1.52380	-1.60838	-1.69946	-1.80288	-1.95336	-2.13498	-2.26312	-2.40663	-2.66945	-2.88469	-3.10452	-3.42393	-3.72670	-3.87520	-3.88109	-3.21530	-2.93069	-2.93216	 0.12816	 0.75817	 0.98417	 0.98570	 0.91225	 0.81001	 0.69990	 0.59995	 0.49940	 0.40091	 0.31179	 0.22410	 0.14929	 0.08885	 0.05638	 0.04489	 0.05210	 0.06806	 0.08644	 0.11965	 0.10780	-0.38583	  1.0556	-0.202767	 -0.0514	
      14	  16.215	0.274363	  0.9978	 -0.0565	  1.0347	-0.015169	0.104499	  1.0879	2.999E+6	   0.240	 4002.20	   84.81	  150.00	   0.000	-0.43275	-0.46055	-0.45965	-0.45481	-0.44819	-0.44195	-0.43518	-0.42909	-0.42186	-0.41694	-0.41379	-0.41062	-0.41315	-0.42063	-0.43884	-0.47361	-0.54280	-0.64540	-0.77742	-0.92194	-1.04467	-1.18192	-1.28864	-1.41424	-1.50967	-1.61057	-1.72577	-1.87987	-2.06672	-2.20639	-2.36413	-2.63250	-2.85959	-3.09343	-3.43069	-3.75713	-3.93861	-3.98151	-3.33687	-3.07682	-3.07844	 0.05009	 0.71867	 0.97419	 0.99263	 0.92897	 0.83304	 0.72720	 0.62926	 0.53008	 0.43212	 0.34258	 0.25414	 0.17803	 0.11499	 0.07936	 0.06464	 0.06492	 0.07948	 0.09646	 0.12211	 0.11152	-0.39891	  1.0403	-0.198911	 -0.0571
      15	  17.148	0.274080	  0.9315	 -0.0979	  0.9709	-0.012759	0.190185	  0.9755	2.923E+6	   0.234	 3800.84	   82.65	  150.00	   0.000	-0.58779	-0.63228	-0.64454	-0.64802	-0.64601	-0.64326	-0.63598	-0.62922	-0.61879	-0.61128	-0.60479	-0.59843	-0.59559	-0.59470	-0.59745	-0.60476	-0.62146	-0.64712	-0.68705	-0.74638	-0.80943	-0.88930	-0.96292	-1.04655	-1.12166	-1.20366	-1.29380	-1.40314	-1.53139	-1.63589	-1.77649	-2.00719	-2.16985	-2.39150	-2.68861	-2.95856	-3.12721	-3.12379	-2.55026	-2.31357	-2.31454	 0.26109	 0.80355	 0.98392	 0.97088	 0.89336	 0.78960	 0.67837	 0.57818	 0.47621	 0.37607	 0.28489	 0.19255	 0.11517	 0.05077	 0.01398	-0.00181	 0.00215	 0.01082	 0.02354	 0.05218	 0.02166	-0.54239	  0.9763	-0.106254	 -0.0989
      16	   9.209	0.063250	  0.9861	 -0.0481	  0.9835	-0.095375	0.025296	  0.9999	3.002E+6	   0.241	 4018.36	   84.89	  189.23	   0.000	-0.13034	-0.17241	-0.17548	-0.18299	-0.19192	-0.20177	-0.22054	-0.25304	-0.31174	-0.40138	-0.51489	-0.64183	-0.76924	-0.88762	-0.99861	-1.10377	-1.18798	-1.25423	-1.30552	-1.36587	-1.40142	-1.44925	-1.47966	-1.52637	-1.54666	-1.56997	-1.59870	-1.68901	-1.79462	-1.82652	-1.85298	-2.00660	-2.09065	-2.17378	-2.29849	-2.32456	-2.23943	-2.01945	-1.36949	-1.04295	-1.04318	 0.77373	 0.99199	 0.96308	 0.83821	 0.71623	 0.58981	 0.47105	 0.37842	 0.28816	 0.20574	 0.13385	 0.05863	 0.00911	-0.02603	-0.03105	-0.01759	 0.02050	 0.05552	 0.09688	 0.15339	 0.19793	-0.16577	  0.9836	-0.133885	 -0.0483	
      17	   7.177	0.023895	  0.8985	 -0.0530	  0.8944	-0.088541	0.014882	  0.9012	3.002E+6	   0.241	 4019.50	   84.89	  190.54	   0.000	-0.03370	-0.05879	-0.07242	-0.09049	-0.11528	-0.15231	-0.21054	-0.29319	-0.39807	-0.50962	-0.62407	-0.74138	-0.85118	-0.94883	-1.04069	-1.12891	-1.19439	-1.24329	-1.27631	-1.31961	-1.33858	-1.36822	-1.38178	-1.40915	-1.41135	-1.41465	-1.42181	-1.48798	-1.56375	-1.56319	-1.55227	-1.65851	-1.69966	-1.73167	-1.76342	-1.71098	-1.55434	-1.27961	-0.68230	-0.36869	-0.36851	 0.92682	 0.99440	 0.88026	 0.71894	 0.59140	 0.46404	 0.34845	 0.26685	 0.18046	 0.10527	 0.04218	-0.02481	-0.06445	-0.08906	-0.08225	-0.05777	-0.00768	 0.03826	 0.08975	 0.15485	 0.22259	-0.04135	  0.8941	-0.097278	 -0.0531	
      18	   5.127	0.016805	  0.7616	 -0.0612	  0.7601	-0.051327	0.010919	  0.7630	3.005E+6	   0.241	 4029.53	   85.00	  189.24	   0.000	 0.06087	 0.03205	-0.00279	-0.04705	-0.10233	-0.17483	-0.26221	-0.35517	-0.45499	-0.55383	-0.65293	-0.75515	-0.84817	-0.92855	-1.00438	-1.07716	-1.12653	-1.15987	-1.17682	-1.20414	-1.20815	-1.22021	-1.21801	-1.22639	-1.21119	-1.19579	-1.18216	-1.22218	-1.26607	-1.23403	-1.18940	-1.24598	-1.24550	-1.21172	-1.16815	-1.04746	-0.83487	-0.52953	-0.01922	 0.25588	 0.25673	 0.99904	 0.91547	 0.72399	 0.54064	 0.42066	 0.30017	 0.19514	 0.12679	 0.05024	-0.01439	-0.06600	-0.12323	-0.15121	-0.16327	-0.14329	-0.10662	-0.04329	 0.01459	 0.07685	 0.15124	 0.24282	 0.05732	  0.7596	-0.056909	 -0.0613	
      19	   3.069	0.013839	  0.5747	 -0.0651	  0.5746	-0.016953	0.008910	  0.5755	3.009E+6	   0.241	 4038.98	   85.10	  190.77	   0.000	 0.11909	 0.07499	 0.02357	-0.03676	-0.10471	-0.18306	-0.26950	-0.35642	-0.44662	-0.53458	-0.62198	-0.71182	-0.79115	-0.85710	-0.91880	-0.97747	-1.01217	-1.03154	-1.03365	-1.04592	-1.03638	-1.03167	-1.01454	-1.00477	-0.97344	-0.94101	-0.90813	-0.92151	-0.93357	-0.87325	-0.80098	-0.81563	-0.76382	-0.67563	-0.57153	-0.40058	-0.15843	 0.14412	 0.53324	 0.73740	 0.73841	 0.94192	 0.70979	 0.46493	 0.28313	 0.18916	 0.09414	-0.00015	-0.04834	-0.11033	-0.16197	-0.19903	-0.24396	-0.25825	-0.25588	-0.22115	-0.17087	-0.09286	-0.02278	 0.05090	 0.13445	 0.24518	 0.11639	  0.5742	-0.021703	 -0.0652	
