   Runnr	   Alpha	      Cd	      Cl	      Cm	      Cn	      Ct	Cd-press	Cl-press	      Re	       M	       Q	       V	  Z_w.r.	    Flap	 Cpu_001	 Cpu_002	 Cpu_003	 Cpu_004	 Cpu_005	 Cpu_006	 Cpu_007	 Cpu_008	 Cpu_009	 Cpu_010	 Cpu_011	 Cpu_012	 Cpu_013	 Cpu_014	 Cpu_015	 Cpu_016	 Cpu_017	 Cpu_018	 Cpu_019	 Cpu_020	 Cpu_021	 Cpu_022	 Cpu_023	 Cpu_024	 Cpu_025	 Cpu_026	 Cpu_027	 Cpu_028	 Cpu_029	 Cpu_030	 Cpu_031	 Cpu_032	 Cpu_033	 Cpu_034	 Cpu_035	 Cpu_036	 Cpu_037	 Cpu_038	 Cpu_039	 Cpu_040	 Cpl_001	 Cpl_002	 Cpl_003	 Cpl_004	 Cpl_005	 Cpl_006	 Cpl_007	 Cpl_008	 Cpl_009	 Cpl_010	 Cpl_011	 Cpl_012	 Cpl_013	 Cpl_014	 Cpl_015	 Cpl_016	 Cpl_017	 Cpl_018	 Cpl_019	 Cpl_020	 Cpl_021	 Cpl_022	 Cpl_023	 Cn-corr	 Ct-corr	 Cm-corr
       /	 degrees	       /	       /	       /	       /	       /	       /	       /	       /	       /	      Pa	     m/s	      mm	 degrees	  100.00	   94.76	   89.84	   84.97	   80.44	   75.81	   71.34	   67.21	   63.02	   59.06	   55.22	   51.47	   47.87	   44.31	   40.97	   37.84	   34.73	   31.83	   28.95	   26.24	   23.77	   21.21	   19.02	   16.69	   14.78	   12.88	   11.12	    9.52	    7.96	    6.55	    5.35	    4.20	    3.24	    2.37	    1.63	    1.03	    0.58	    0.26	    0.02	    0.00	    0.00	    0.51	    1.21	    2.24	    3.62	    5.34	    7.43	    9.84	   12.66	   15.80	   19.37	   23.34	   27.72	   32.33	   37.52	   42.99	   48.39	   54.79	   61.58	   68.55	   75.87	   92.00	  100.00	       /	       /	       /
      20	   1.030	0.012348	  0.3638	 -0.0660	  0.3639	0.005806	0.007555	  0.3642	3.002E+6	   0.241	 4022.45	   84.93	  189.16	   0.000	 0.15256	 0.09287	 0.03525	-0.02845	-0.09685	-0.17178	-0.25247	-0.33184	-0.41260	-0.49041	-0.56666	-0.64504	-0.71144	-0.76382	-0.81222	-0.85722	-0.87832	-0.88477	-0.87325	-0.87195	-0.85021	-0.83024	-0.80009	-0.77380	-0.72859	-0.68113	-0.63204	-0.62101	-0.60540	-0.52276	-0.43769	-0.40174	-0.31262	-0.18896	-0.04672	 0.14784	 0.38500	 0.64205	 0.88251	 0.97860	 0.97983	 0.68205	 0.35526	 0.09718	-0.05129	-0.09742	-0.15389	-0.22879	-0.25075	-0.29302	-0.32794	-0.34768	-0.37775	-0.37640	-0.35784	-0.30676	-0.24183	-0.14838	-0.06547	 0.01960	 0.11163	 0.23682	 0.15101	  0.3637	0.001080	 -0.0661	
      21	  -1.031	0.012022	  0.1429	 -0.0651	  0.1427	0.014592	0.006473	  0.1430	3.004E+6	   0.241	 4027.28	   84.98	  190.83	   0.000	 0.17150	 0.10168	 0.04496	-0.01636	-0.08108	-0.14999	-0.22371	-0.29513	-0.36647	-0.43452	-0.50005	-0.56736	-0.62153	-0.66123	-0.69698	-0.72917	-0.73793	-0.73274	-0.70901	-0.69563	-0.66319	-0.62982	-0.58876	-0.54821	-0.49161	-0.43168	-0.36976	-0.33871	-0.29971	-0.20334	-0.10254	-0.03048	 0.07789	 0.21919	 0.37703	 0.56524	 0.76085	 0.92716	 1.00000	 0.96146	 0.96261	 0.20340	-0.15229	-0.37437	-0.45727	-0.42989	-0.43758	-0.48470	-0.47304	-0.49091	-0.50591	-0.50539	-0.51816	-0.49913	-0.46296	-0.39417	-0.31397	-0.20452	-0.10854	-0.01219	 0.08678	 0.22157	 0.17024	  0.1426	0.009076	 -0.0651	
      22	  -3.087	0.012851	 -0.0877	 -0.0632	 -0.0883	0.008109	0.006106	 -0.0882	3.002E+6	   0.241	 4024.85	   84.96	  189.16	   0.000	 0.17891	 0.10629	 0.05459	-0.00134	-0.06061	-0.12239	-0.18837	-0.25142	-0.31331	-0.37147	-0.42705	-0.48233	-0.52475	-0.55225	-0.57580	-0.59580	-0.59293	-0.57689	-0.54226	-0.51779	-0.47610	-0.43090	-0.38065	-0.32783	-0.26332	-0.19307	-0.12192	-0.07407	-0.01727	 0.08821	 0.20087	 0.29240	 0.40937	 0.55066	 0.69854	 0.84905	 0.96524	 0.99835	 0.90095	 0.66133	 0.66205	-0.51895	-0.83397	-0.96358	-0.94132	-0.82326	-0.76322	-0.77167	-0.71855	-0.70708	-0.69743	-0.67353	-0.66580	-0.62672	-0.57064	-0.48267	-0.38591	-0.25973	-0.15049	-0.04345	 0.06062	 0.19932	 0.17784	 -0.0882	0.001455	 -0.0632	
      23	  -5.147	0.014747	 -0.3073	 -0.0612	 -0.3074	-0.012880	0.006594	 -0.3085	3.000E+6	   0.241	 4020.70	   84.93	  190.79	   0.000	 0.17346	 0.10698	 0.06302	 0.01370	-0.03927	-0.09350	-0.15172	-0.20668	-0.25948	-0.30900	-0.35427	-0.39911	-0.43067	-0.44742	-0.46031	-0.46932	-0.45653	-0.43131	-0.38771	-0.35413	-0.30497	-0.25040	-0.19332	-0.13168	-0.06084	 0.01569	 0.09342	 0.15252	 0.22212	 0.33170	 0.44461	 0.54367	 0.65598	 0.78037	 0.89563	 0.98195	 0.99434	 0.88540	 0.57237	 0.09603	 0.09618	-1.42496	-1.63207	-1.61860	-1.46031	-1.24457	-1.10411	-1.06527	-0.96614	-0.92206	-0.88523	-0.83629	-0.80603	-0.74589	-0.66902	-0.56125	-0.44805	-0.30562	-0.18409	-0.06855	 0.03598	 0.16973	 0.17323	 -0.3072	-0.020820	 -0.0612	
      24	  -7.191	0.018607	 -0.5174	 -0.0601	 -0.5157	-0.046310	0.008044	 -0.5198	2.995E+6	   0.240	 4010.08	   84.83	  189.23	   0.000	 0.14885	 0.09963	 0.06637	 0.02520	-0.02057	-0.06679	-0.11699	-0.16374	-0.20768	-0.24809	-0.28368	-0.31855	-0.33990	-0.34631	-0.34980	-0.34809	-0.32625	-0.29297	-0.24234	-0.20079	-0.14503	-0.08333	-0.02093	 0.04840	 0.12262	 0.20247	 0.28133	 0.35018	 0.42744	 0.53523	 0.64111	 0.73694	 0.83355	 0.92614	 0.98962	 0.99126	 0.87964	 0.58129	 0.02711	-0.72340	-0.72411	-2.51850	-2.54953	-2.36037	-2.01273	-1.70130	-1.46622	-1.36883	-1.21798	-1.13696	-1.06917	-0.99244	-0.93676	-0.85355	-0.75383	-0.62542	-0.49502	-0.33696	-0.20474	-0.08592	 0.01031	 0.12844	 0.14967	 -0.5154	-0.056528	 -0.0601	
      25	 -10.263	0.030222	 -0.7505	 -0.0602	 -0.7439	-0.103968	0.016457	 -0.7549	2.994E+6	   0.240	 4011.44	   84.87	  190.86	   0.000	 0.04258	 0.05268	 0.04335	 0.01759	-0.01636	-0.04974	-0.08858	-0.12366	-0.15522	-0.18309	-0.20606	-0.22813	-0.23621	-0.23029	-0.22186	-0.20814	-0.17722	-0.13383	-0.07815	-0.02519	 0.03548	 0.10783	 0.17192	 0.24662	 0.32398	 0.40973	 0.49132	 0.56397	 0.64364	 0.74061	 0.82852	 0.90478	 0.96640	 0.99866	 0.97716	 0.83734	 0.52107	-0.07113	-0.97011	-2.12189	-2.12343	-4.15944	-3.87560	-3.21799	-2.78057	-2.32719	-1.96002	-1.75835	-1.52873	-1.38546	-1.27161	-1.15204	-1.05558	-0.93574	-0.79870	-0.63777	-0.48196	-0.30989	-0.18278	-0.10423	-0.05505	 0.01500	 0.04643	 -0.7438	-0.117484	 -0.0601	
      26	 -12.268	0.045635	 -0.8116	 -0.0539	 -0.8027	-0.127849	0.031131	 -0.8169	2.980E+6	   0.239	 3977.58	   84.54	  189.18	   0.000	-0.09586	-0.01962	-0.00523	-0.01634	-0.03976	-0.06509	-0.11208	-0.13995	-0.16136	-0.18212	-0.19789	-0.20943	-0.20972	-0.20080	-0.18557	-0.16068	-0.12220	-0.07049	-0.00914	 0.04986	 0.11443	 0.19074	 0.25769	 0.33586	 0.41368	 0.49914	 0.57963	 0.65187	 0.72953	 0.81805	 0.89385	 0.95539	 0.99440	 0.99312	 0.92182	 0.69966	 0.27463	-0.46989	-1.53402	-2.87491	-2.87679	-4.92906	-4.49915	-3.61331	-3.07587	-2.60694	-2.18876	-1.90399	-1.61549	-1.42064	-1.26981	-1.11437	-0.97542	-0.81326	-0.62931	-0.44980	-0.33071	-0.26329	-0.23847	-0.21363	-0.18708	-0.13536	-0.08015	 -0.8028	-0.142645	 -0.0539	
      27	 -13.089	0.287349	 -0.5005	  0.0474	 -0.5526	0.166532	0.183372	 -0.5372	2.934E+6	   0.236	 3858.32	   83.39	  230.00	   0.000	-0.40124	-0.22855	-0.19313	-0.19422	-0.21403	-0.23547	-0.26678	-0.29488	-0.32016	-0.34303	-0.36100	-0.37838	-0.38108	-0.36776	-0.35296	-0.33369	-0.29458	-0.24654	-0.18047	-0.12577	-0.05894	 0.01365	 0.08304	 0.15840	 0.23434	 0.31948	 0.40101	 0.47197	 0.54976	 0.64926	 0.74300	 0.82631	 0.90416	 0.96904	 0.99951	 0.96399	 0.81604	 0.49755	-0.02238	-0.68173	-0.68182	-1.77654	-1.47409	-0.88895	-0.80296	-0.77594	-0.77224	-0.76506	-0.76086	-0.75060	-0.73320	-0.71576	-0.69885	-0.68897	-0.68001	-0.67560	-0.67283	-0.66492	-0.67018	-0.65984	-0.62878	-0.49922	-0.43009	 -0.5555	0.056356	  0.0479 
      28	 -11.270	0.036115	 -0.7915	 -0.0592	 -0.7833	-0.119258	0.021528	 -0.7966	2.983E+6	   0.240	 3994.17	   84.75	  230.00	   0.000	-0.02634	 0.02030	 0.02345	 0.00481	-0.02464	-0.05174	-0.09146	-0.12932	-0.15599	-0.18072	-0.20032	-0.21583	-0.22049	-0.21473	-0.20332	-0.18166	-0.14707	-0.09823	-0.03962	 0.01691	 0.07972	 0.15422	 0.21986	 0.29652	 0.37452	 0.46003	 0.54117	 0.61365	 0.69260	 0.78519	 0.86669	 0.93516	 0.98490	 0.99873	 0.95048	 0.76554	 0.38913	-0.28859	-1.28192	-2.54404	-2.54561	-4.60860	-4.23993	-3.45807	-2.96386	-2.49010	-2.09031	-1.84877	-1.59180	-1.42502	-1.29461	-1.15906	-1.04517	-0.90836	-0.75163	-0.57398	-0.41053	-0.25607	-0.18522	-0.14333	-0.10881	-0.05526	-0.01253	 -0.7832	-0.133814	 -0.0591	
      29	  -9.231	0.025373	 -0.6898	 -0.0602	 -0.6850	-0.085617	0.012308	 -0.6937	2.988E+6	   0.240	 4012.41	   84.95	  190.77	   0.000	 0.08960	 0.07459	 0.05589	 0.02460	-0.01322	-0.05116	-0.09355	-0.13249	-0.16793	-0.19984	-0.22682	-0.25279	-0.26477	-0.26185	-0.25637	-0.24599	-0.21593	-0.17617	-0.11847	-0.07106	-0.01130	 0.05590	 0.11971	 0.18906	 0.26579	 0.35129	 0.43276	 0.50555	 0.58502	 0.68623	 0.78055	 0.86429	 0.93798	 0.99027	 0.99530	 0.90280	 0.65140	 0.15134	-0.64254	-1.67065	-1.67159	-3.65281	-3.46888	-2.99751	-2.55527	-2.14026	-1.81216	-1.64642	-1.44270	-1.32045	-1.22146	-1.11581	-1.03313	-0.92591	-0.80191	-0.65229	-0.50479	-0.33471	-0.19890	-0.09353	-0.02555	 0.06255	 0.09162	 -0.6848	-0.098326	 -0.0601	
      30	  -8.220	0.021534	 -0.6107	 -0.0602	 -0.6075	-0.066010	0.009512	 -0.6139	2.989E+6	   0.240	 4016.30	   84.99	  189.15	   0.000	 0.12455	 0.08989	 0.06330	 0.02675	-0.01509	-0.05723	-0.10348	-0.14628	-0.18577	-0.22185	-0.25308	-0.28326	-0.29995	-0.30168	-0.30059	-0.29439	-0.26838	-0.23213	-0.17748	-0.13236	-0.07403	-0.00916	 0.05523	 0.12576	 0.19909	 0.28141	 0.36165	 0.43336	 0.51232	 0.61736	 0.71778	 0.80889	 0.89422	 0.96740	 1.00000	 0.95746	 0.77608	 0.37649	-0.29961	-1.18970	-1.19045	-3.09013	-3.01590	-2.76722	-2.29239	-1.92651	-1.64379	-1.51311	-1.33589	-1.23491	-1.15126	-1.06031	-0.99117	-0.89614	-0.78447	-0.64562	-0.50665	-0.34186	-0.20615	-0.09020	-0.00517	 0.09965	 0.12611	 -0.6073	-0.077655	 -0.0602	
      31	  -6.171	0.016387	 -0.4139	 -0.0605	 -0.4133	-0.028202	0.007326	 -0.4156	3.000E+6	   0.241	 4047.88	   85.33	  190.82	   0.000	 0.16463	 0.10480	 0.06567	 0.02016	-0.02930	-0.07961	-0.13388	-0.18474	-0.23307	-0.27796	-0.31841	-0.35835	-0.38471	-0.39626	-0.40468	-0.40783	-0.39045	-0.36110	-0.31350	-0.27638	-0.22346	-0.16488	-0.10565	-0.03968	 0.03324	 0.11217	 0.19074	 0.25505	 0.32913	 0.43871	 0.54889	 0.64843	 0.75351	 0.86374	 0.95544	 1.00000	 0.95603	 0.75685	 0.32683	-0.28181	-0.28176	-1.94816	-2.07668	-1.97476	-1.72637	-1.46975	-1.28353	-1.21644	-1.09216	-1.03041	-0.97846	-0.91597	-0.87331	-0.80187	-0.71389	-0.59607	-0.47435	-0.32385	-0.19672	-0.07848	 0.02355	 0.15154	 0.16470	 -0.4130	-0.036979	 -0.0605	
      32	  -4.105	0.013635	 -0.1995	 -0.0621	 -0.1999	-0.000678	0.006191	 -0.2003	3.001E+6	   0.241	 4052.36	   85.38	  189.18	   0.000	 0.17753	 0.10706	 0.05892	 0.00616	-0.04990	-0.10799	-0.17006	-0.22899	-0.28622	-0.33968	-0.39022	-0.44033	-0.47721	-0.49910	-0.51735	-0.53161	-0.52356	-0.50262	-0.46334	-0.43425	-0.38867	-0.33844	-0.28453	-0.22668	-0.15895	-0.08544	-0.01023	 0.04395	 0.10717	 0.21599	 0.32988	 0.42716	 0.54274	 0.67768	 0.81159	 0.93315	 0.99857	 0.96632	 0.76400	 0.40929	 0.41015	-0.95077	-1.22044	-1.28531	-1.19571	-1.03176	-0.93289	-0.91839	-0.84290	-0.81569	-0.79257	-0.75634	-0.73751	-0.68806	-0.62163	-0.52396	-0.41891	-0.28437	-0.16884	-0.05719	 0.04788	 0.18503	 0.17694	 -0.1998	-0.007972	 -0.0621	
      33	  -2.058	0.012267	  0.0243	 -0.0642	  0.0238	0.013132	0.006338	  0.0241	3.003E+6	   0.242	 4055.76	   85.41	  190.78	   0.000	 0.17660	 0.10423	 0.04961	-0.00922	-0.07128	-0.13660	-0.20640	-0.27353	-0.33983	-0.40276	-0.46351	-0.52417	-0.57233	-0.60567	-0.63506	-0.66062	-0.66335	-0.65238	-0.62280	-0.60354	-0.56615	-0.52642	-0.48037	-0.43325	-0.37245	-0.30624	-0.23967	-0.19922	-0.14942	-0.04963	 0.05999	 0.14413	 0.25819	 0.40187	 0.55778	 0.73027	 0.88959	 0.98949	 0.98020	 0.84500	 0.84611	-0.13809	-0.48263	-0.66489	-0.69848	-0.62734	-0.60125	-0.62985	-0.59782	-0.60132	-0.60389	-0.59174	-0.59432	-0.56528	-0.51902	-0.44053	-0.35187	-0.23378	-0.13098	-0.02890	 0.07311	 0.21097	 0.17519	  0.0238	0.007254	 -0.0642	
      34	  -0.000	0.012035	  0.2486	 -0.0657	  0.2486	0.012036	0.007183	  0.2489	3.001E+6	   0.241	 4051.58	   85.38	  189.18	   0.000	 0.16328	 0.09765	 0.03985	-0.02307	-0.08979	-0.16177	-0.23887	-0.31411	-0.38979	-0.46252	-0.53306	-0.60557	-0.66553	-0.71115	-0.75289	-0.79079	-0.80528	-0.80538	-0.78724	-0.77947	-0.75191	-0.72453	-0.68852	-0.65456	-0.60300	-0.54846	-0.49210	-0.47026	-0.44175	-0.35071	-0.25882	-0.19911	-0.09957	 0.03578	 0.18949	 0.38450	 0.60451	 0.81902	 0.97337	 0.99879	 1.00000	 0.45868	 0.10813	-0.13718	-0.25456	-0.26753	-0.29877	-0.36001	-0.36538	-0.39572	-0.42031	-0.42980	-0.45115	-0.44082	-0.41315	-0.35304	-0.28016	-0.17833	-0.08856	 0.00267	 0.09826	 0.22927	 0.16216	  0.2484	0.007219	 -0.0658	
      35	   5.647	0.018216	  0.8028	 -0.0594	  0.8007	-0.060875	0.011547	  0.8045	2.993E+6	   0.241	 4032.67	   85.19	  190.77	   0.000	 0.03910	 0.01255	-0.01662	-0.05397	-0.10164	-0.16809	-0.25281	-0.34624	-0.44831	-0.55045	-0.65294	-0.75881	-0.85567	-0.94017	-1.01997	-1.09653	-1.14988	-1.18709	-1.20810	-1.23949	-1.24734	-1.26387	-1.26582	-1.27927	-1.26841	-1.25763	-1.24941	-1.29624	-1.34870	-1.32450	-1.28825	-1.35619	-1.36951	-1.35135	-1.32594	-1.22144	-1.02139	-0.72157	-0.18499	 0.10285	 0.10321	 0.99015	 0.94656	 0.77357	 0.59479	 0.47052	 0.34725	 0.23892	 0.16676	 0.08687	 0.01947	-0.03557	-0.09539	-0.12669	-0.14211	-0.12590	-0.09241	-0.03264	 0.02212	 0.08150	 0.15341	 0.23923	 0.03451	  0.8003	-0.067223	 -0.0595	
      36	   4.625	0.015915	  0.7174	 -0.0625	  0.7164	-0.041983	0.010549	  0.7186	2.997E+6	   0.241	 4046.27	   85.34	  189.19	   0.000	 0.07736	 0.04557	 0.00610	-0.04354	-0.10377	-0.17936	-0.26734	-0.35911	-0.45638	-0.55244	-0.64842	-0.74746	-0.83695	-0.91359	-0.98587	-1.05503	-1.10060	-1.13015	-1.14329	-1.16672	-1.16723	-1.17504	-1.16900	-1.17268	-1.15327	-1.13324	-1.11463	-1.14765	-1.18355	-1.14361	-1.09190	-1.13392	-1.12308	-1.07393	-1.01301	-0.87718	-0.65425	-0.34612	 0.13671	 0.39708	 0.39770	 0.99940	 0.87664	 0.66860	 0.48363	 0.36746	 0.25071	 0.14921	 0.08512	 0.01171	-0.04982	-0.09808	-0.15238	-0.17718	-0.18566	-0.16228	-0.12216	-0.05526	 0.00563	 0.07077	 0.14755	 0.24431	 0.07391	  0.7159	-0.047073	 -0.0626	
