   Runnr	   Alpha	      Cd	      Cl	      Cm	      Cn	      Ct	Cd-press	Cl-press	      Re	       M	       Q	       V	  Z_w.r.	    Flap	 Cpu_001	 Cpu_002	 Cpu_003	 Cpu_004	 Cpu_005	 Cpu_006	 Cpu_007	 Cpu_008	 Cpu_009	 Cpu_010	 Cpu_011	 Cpu_012	 Cpu_013	 Cpu_014	 Cpu_015	 Cpu_016	 Cpu_017	 Cpu_018	 Cpu_019	 Cpu_020	 Cpu_021	 Cpu_022	 Cpu_023	 Cpu_024	 Cpu_025	 Cpu_026	 Cpu_027	 Cpu_028	 Cpu_029	 Cpu_030	 Cpu_031	 Cpu_032	 Cpu_033	 Cpu_034	 Cpu_035	 Cpu_036	 Cpu_037	 Cpu_038	 Cpu_039	 Cpu_040	 Cpl_001	 Cpl_002	 Cpl_003	 Cpl_004	 Cpl_005	 Cpl_006	 Cpl_007	 Cpl_008	 Cpl_009	 Cpl_010	 Cpl_011	 Cpl_012	 Cpl_013	 Cpl_014	 Cpl_015	 Cpl_016	 Cpl_017	 Cpl_018	 Cpl_019	 Cpl_020	 Cpl_021	 Cpl_022	 Cpl_023	 Cn-corr	 Ct-corr	 Cm-corr
      10	 -11.275	0.037483	 -0.8415	 -0.0554	 -0.8326	-0.127783	0.019302	 -0.8481	2.999E+6	   0.235	 3874.43	   82.47	  220.75	   0.000	 0.01575	 0.05466	 0.05328	 0.03304	 0.00306	-0.01754	-0.07666	-0.11334	-0.13737	-0.15952	-0.17860	-0.19301	-0.19648	-0.19116	-0.17884	-0.15716	-0.12108	-0.07172	-0.01515	 0.04256	 0.10435	 0.17918	 0.24371	 0.32142	 0.39850	 0.48358	 0.56513	 0.63581	 0.71393	 0.80428	 0.88398	 0.94949	 0.99098	 0.99514	 0.93093	 0.72192	 0.31340	-0.40614	-1.44627	-2.76586	-2.76487	-4.86561	-4.45633	-3.62949	-2.97412	-2.47761	-2.10938	-1.89438	-1.64637	-1.48529	-1.35260	-1.21533	-1.10574	-0.97128	-0.81929	-0.64105	-0.47127	-0.29468	-0.18127	-0.11698	-0.08250	-0.03143	-0.00847	 -0.8327	-0.145902	 -0.0553	
      11	 -12.282	0.049440	 -0.8944	 -0.0501	 -0.8845	-0.141950	0.028086	 -0.9028	2.996E+6	   0.235	 3871.21	   82.45	  220.15	   0.000	-0.03380	 0.03137	 0.03823	 0.02374	-0.00079	-0.02976	-0.08213	-0.10644	-0.12909	-0.14851	-0.16421	-0.17516	-0.17503	-0.16588	-0.15004	-0.12499	-0.08582	-0.03401	 0.02498	 0.08490	 0.14828	 0.22466	 0.29028	 0.36913	 0.44593	 0.53041	 0.61082	 0.68073	 0.75718	 0.84234	 0.91471	 0.97027	 0.99830	 0.98313	 0.88874	 0.63107	 0.15835	-0.65119	-1.78981	-3.22547	-3.22432	-5.36241	-4.81504	-3.90840	-3.16693	-2.62151	-2.21702	-1.97476	-1.70645	-1.52680	-1.37898	-1.22777	-1.10273	-0.95460	-0.78674	-0.59683	-0.42709	-0.27866	-0.20477	-0.16595	-0.14524	-0.09586	-0.07601	 -0.8847	-0.163588	 -0.0500	
      12	 -13.277	0.078006	 -0.9119	 -0.0391	 -0.9055	-0.133517	0.042307	 -0.9268	2.990E+6	   0.234	 3862.82	   82.41	  220.84	   0.000	-0.11044	-0.00713	 0.01108	 0.00497	-0.01521	-0.06159	-0.08675	-0.10988	-0.12988	-0.14606	-0.15849	-0.16593	-0.16238	-0.14984	-0.13059	-0.10249	-0.06047	-0.00623	 0.05502	 0.11695	 0.18180	 0.25936	 0.32593	 0.40551	 0.48211	 0.56584	 0.64508	 0.71407	 0.78854	 0.86905	 0.93496	 0.98236	 0.99935	 0.96854	 0.85058	 0.55565	 0.03538	-0.84024	-2.04469	-3.56053	-3.55915	-5.69457	-5.04478	-4.05782	-3.26206	-2.68405	-2.25364	-1.98691	-1.70220	-1.50439	-1.33846	-1.16923	-1.01935	-0.84796	-0.65894	-0.48425	-0.36898	-0.29698	-0.27290	-0.25703	-0.24334	-0.18858	-0.16725	 -0.9060	-0.170531	 -0.0390	
      13	 -13.780	0.087820	 -0.9172	 -0.0360	 -0.9118	-0.133190	0.049699	 -0.9335	2.992E+6	   0.235	 3872.68	   82.54	  170.00	   0.000	-0.14393	-0.02529	-0.00198	-0.00418	-0.02962	-0.06904	-0.09116	-0.11380	-0.13250	-0.14735	-0.15833	-0.16446	-0.15937	-0.14526	-0.12462	-0.09531	-0.05187	 0.00339	 0.06570	 0.12848	 0.19406	 0.27220	 0.33924	 0.41928	 0.49586	 0.57929	 0.65819	 0.72665	 0.80038	 0.87901	 0.94242	 0.98636	 0.99893	 0.96153	 0.83389	 0.52395	-0.01565	-0.91834	-2.14801	-3.69489	-3.69353	-5.83771	-5.12185	-4.11685	-3.29691	-2.70683	-2.26599	-1.98861	-1.69709	-1.49134	-1.31735	-1.14028	-0.97988	-0.80179	-0.61862	-0.46567	-0.36979	-0.31125	-0.29484	-0.28395	-0.27307	-0.22265	-0.19582	 -0.9125	-0.173008	 -0.0359	
      14	  -4.117	0.011990	 -0.2047	 -0.0620	 -0.2051	-0.002738	0.006835	 -0.2053	3.007E+6	   0.236	 3915.48	   82.98	  219.17	   0.000	 0.18410	 0.11231	 0.06399	 0.01101	-0.04529	-0.10329	-0.16532	-0.22432	-0.28254	-0.33529	-0.38551	-0.43532	-0.47203	-0.49406	-0.51159	-0.52606	-0.51725	-0.49587	-0.45809	-0.42781	-0.38268	-0.33225	-0.27939	-0.22046	-0.15301	-0.07932	-0.00634	 0.04710	 0.11196	 0.22178	 0.34073	 0.44859	 0.55951	 0.68886	 0.81910	 0.93783	 0.99860	 0.96268	 0.75458	 0.39362	 0.39548	-0.95073	-1.21168	-1.26854	-1.15385	-1.01690	-0.94413	-0.92783	-0.84954	-0.82346	-0.79807	-0.76007	-0.74324	-0.69262	-0.62722	-0.52810	-0.42317	-0.28662	-0.17141	-0.05782	 0.05053	 0.19802	 0.18384	 -0.2049	-0.007723	 -0.0620	
      15	  -4.117	0.011983	 -0.2049	 -0.0620	 -0.2052	-0.002757	0.006815	 -0.2055	3.007E+6	   0.236	 3916.98	   83.00	  220.82	   0.000	 0.18427	 0.11250	 0.06416	 0.01117	-0.04512	-0.10310	-0.16515	-0.22415	-0.28241	-0.33507	-0.38528	-0.43514	-0.47186	-0.49383	-0.51143	-0.52587	-0.51702	-0.49573	-0.45793	-0.42758	-0.38241	-0.33202	-0.27913	-0.22018	-0.15281	-0.07909	-0.00609	 0.04735	 0.11226	 0.22210	 0.34100	 0.44886	 0.55978	 0.68919	 0.81936	 0.93803	 0.99869	 0.96261	 0.75448	 0.39337	 0.39503	-0.95136	-1.21225	-1.26903	-1.15425	-1.01722	-0.94436	-0.92798	-0.84964	-0.82357	-0.79809	-0.76007	-0.74328	-0.69257	-0.62714	-0.52797	-0.42310	-0.28654	-0.17131	-0.05772	 0.05074	 0.19816	 0.18400	 -0.2051	-0.007754	 -0.0620	
      16	  -3.087	0.011451	 -0.0881	 -0.0634	 -0.0886	0.006690	0.006900	 -0.0884	3.005E+6	   0.236	 3915.21	   82.99	  219.20	   0.000	 0.18388	 0.10998	 0.05812	 0.00187	-0.05762	-0.11947	-0.18553	-0.24872	-0.31164	-0.36852	-0.42446	-0.47976	-0.52215	-0.54974	-0.57307	-0.59326	-0.58956	-0.57314	-0.54014	-0.51467	-0.47347	-0.42831	-0.37912	-0.32468	-0.26130	-0.19071	-0.11937	-0.07551	-0.01829	 0.08926	 0.20889	 0.31363	 0.42520	 0.56021	 0.70449	 0.85347	 0.96689	 0.99853	 0.89930	 0.65737	 0.65896	-0.50565	-0.81264	-0.93638	-0.88848	-0.80825	-0.76870	-0.77508	-0.71991	-0.71067	-0.69874	-0.67371	-0.66805	-0.62784	-0.57295	-0.48390	-0.38764	-0.25963	-0.15131	-0.04294	 0.06380	 0.21134	 0.18332	 -0.0885	0.002244	 -0.0635	
      17	  -1.029	0.010987	  0.1416	 -0.0661	  0.1414	0.013528	0.007397	  0.1417	3.004E+6	   0.236	 3915.72	   83.01	  220.81	   0.000	 0.17712	 0.10440	 0.04692	-0.01494	-0.08024	-0.14933	-0.22310	-0.29453	-0.36678	-0.43328	-0.49968	-0.56609	-0.62000	-0.65945	-0.69448	-0.72662	-0.73439	-0.72833	-0.70562	-0.69117	-0.65861	-0.62544	-0.58495	-0.54220	-0.48681	-0.42641	-0.36326	-0.33434	-0.29884	-0.20170	-0.08683	 0.00502	 0.10640	 0.23899	 0.39246	 0.57860	 0.76960	 0.93199	 0.99991	 0.95747	 0.95893	 0.19978	-0.14757	-0.35814	-0.41564	-0.42989	-0.44483	-0.49050	-0.47600	-0.49607	-0.50816	-0.50641	-0.52047	-0.49960	-0.46420	-0.39406	-0.31407	-0.20272	-0.10765	-0.01025	 0.09043	 0.23149	 0.17664	  0.1413	0.009978	 -0.0661	
      18	  -0.006	0.010980	  0.2589	 -0.0673	  0.2589	0.011008	0.007682	  0.2590	3.001E+6	   0.236	 3910.92	   82.97	  219.20	   0.000	 0.17061	 0.10075	 0.04144	-0.02267	-0.09063	-0.16322	-0.24092	-0.31657	-0.39360	-0.46530	-0.53643	-0.60937	-0.66946	-0.71525	-0.75672	-0.79540	-0.80934	-0.80916	-0.79231	-0.78406	-0.75704	-0.73026	-0.69497	-0.65961	-0.60979	-0.55485	-0.49814	-0.47983	-0.45282	-0.36732	-0.25777	-0.17558	-0.08451	 0.03967	 0.18800	 0.38164	 0.59804	 0.81306	 0.96987	 0.99791	 0.99927	 0.47594	 0.13297	-0.10355	-0.19959	-0.24717	-0.30237	-0.35358	-0.35690	-0.39013	-0.41351	-0.42285	-0.44588	-0.43425	-0.40826	-0.34739	-0.27539	-0.17258	-0.08420	 0.00726	 0.10423	 0.24017	 0.17022	  0.2587	0.007757	 -0.0674	
      19	   4.122	0.013553	  0.6988	 -0.0670	  0.6980	-0.036709	0.010033	  0.6995	2.995E+6	   0.235	 3899.96	   82.88	  220.77	   0.000	 0.11533	 0.07227	 0.02032	-0.04145	-0.11185	-0.19368	-0.28409	-0.37556	-0.47198	-0.56420	-0.65775	-0.75412	-0.84040	-0.91376	-0.98284	-1.04891	-1.09072	-1.11666	-1.12732	-1.14679	-1.14462	-1.14923	-1.14096	-1.14019	-1.11707	-1.09358	-1.07093	-1.10292	-1.13588	-1.08902	-1.01645	-1.02473	-1.00329	-0.95552	-0.88792	-0.73998	-0.52150	-0.21776	 0.23720	 0.48259	 0.48371	 0.99492	 0.84821	 0.63585	 0.46212	 0.33621	 0.21732	 0.11708	 0.05910	-0.01240	-0.07048	-0.11529	-0.16821	-0.18885	-0.19512	-0.16807	-0.12590	-0.05537	 0.00713	 0.07453	 0.15370	 0.25769	 0.11300	  0.6976	-0.039929	 -0.0671	
      20	   4.628	0.014065	  0.7454	 -0.0663	  0.7441	-0.046118	0.010735	  0.7461	2.993E+6	   0.235	 3895.36	   82.84	  219.14	   0.000	 0.10344	 0.06457	 0.01614	-0.04285	-0.11157	-0.19317	-0.28440	-0.37755	-0.47624	-0.57104	-0.66729	-0.76647	-0.85599	-0.93274	-1.00514	-1.07467	-1.11992	-1.14917	-1.16334	-1.18641	-1.18755	-1.19624	-1.19167	-1.19536	-1.17607	-1.15691	-1.13900	-1.17776	-1.21854	-1.17862	-1.11318	-1.12129	-1.12293	-1.08914	-1.03730	-0.90183	-0.69231	-0.38987	 0.09315	 0.35314	 0.35434	 0.99880	 0.89135	 0.69344	 0.51991	 0.39007	 0.26780	 0.16357	 0.10145	 0.02606	-0.03493	-0.08293	-0.13873	-0.16256	-0.17223	-0.14869	-0.10974	-0.04278	 0.01680	 0.08157	 0.15842	 0.25778	 0.10107	  0.7437	-0.049111	 -0.0665	
      21	  10.728	0.056252	  1.0826	 -0.0538	  1.0741	-0.146254	0.037252	  1.0902	2.985E+6	   0.235	 3880.63	   82.72	  220.80	   0.000	-0.20413	-0.27285	-0.27769	-0.28146	-0.28612	-0.29026	-0.29464	-0.30346	-0.32113	-0.35527	-0.42234	-0.52830	-0.66926	-0.81613	-0.95587	-1.08374	-1.18938	-1.27332	-1.34418	-1.41886	-1.46915	-1.53333	-1.57914	-1.64301	-1.67643	-1.71438	-1.76311	-1.88067	-2.01871	-2.07006	-2.09677	-2.23450	-2.38522	-2.55112	-2.76136	-2.84501	-2.84726	-2.68402	-2.00386	-1.69030	-1.68938	 0.58248	 0.94081	 0.99485	 0.91310	 0.80002	 0.67655	 0.55813	 0.46074	 0.36416	 0.27338	 0.19702	 0.12031	 0.06365	 0.02219	 0.01029	 0.01559	 0.04690	 0.07335	 0.10755	 0.15881	 0.18874	-0.24088	  1.0743	-0.165811	 -0.0540	
      22	   9.722	0.046458	  1.0601	 -0.0530	  1.0527	-0.133222	0.029211	  1.0666	2.992E+6	   0.236	 3904.27	   82.99	  219.22	   0.000	-0.13606	-0.18806	-0.19235	-0.19991	-0.20931	-0.21965	-0.23706	-0.26856	-0.32856	-0.42048	-0.54077	-0.67457	-0.80801	-0.93107	-1.04620	-1.15517	-1.24230	-1.31091	-1.36724	-1.42992	-1.46913	-1.52221	-1.55779	-1.61067	-1.63405	-1.66147	-1.69854	-1.80407	-1.92704	-1.96246	-1.97189	-2.09012	-2.21655	-2.35857	-2.51528	-2.55934	-2.51942	-2.32215	-1.65716	-1.34027	-1.33918	 0.68920	 0.97237	 0.98243	 0.87904	 0.75799	 0.63133	 0.51246	 0.41732	 0.32365	 0.23771	 0.16757	 0.09027	 0.03972	 0.00112	-0.00646	 0.00322	 0.03928	 0.07089	 0.10994	 0.16499	 0.20796	-0.16896	  1.0527	-0.150611	 -0.0532	
      23	   8.717	0.030774	  1.0198	 -0.0531	  1.0127	-0.124137	0.021683	  1.0230	2.994E+6	   0.236	 3910.83	   83.06	  220.73	   0.000	-0.08069	-0.11804	-0.12594	-0.13749	-0.15146	-0.17393	-0.21156	-0.27506	-0.37275	-0.48662	-0.61038	-0.73802	-0.85999	-0.97063	-1.07490	-1.17447	-1.25183	-1.31164	-1.35842	-1.41285	-1.44398	-1.48794	-1.51529	-1.55846	-1.57302	-1.59125	-1.61718	-1.71068	-1.81853	-1.83851	-1.83219	-1.93044	-2.02896	-2.14614	-2.25327	-2.25812	-2.17786	-1.94952	-1.30538	-0.98854	-0.98741	 0.78622	 0.99284	 0.95941	 0.83571	 0.70799	 0.57904	 0.46036	 0.36824	 0.27889	 0.19817	 0.12917	 0.05424	 0.00775	-0.02581	-0.02790	-0.01287	 0.02814	 0.06491	 0.10853	 0.16740	 0.22111	-0.10047	  1.0125	-0.132991	 -0.0533	
      24	   8.191	0.030010	  0.9941	 -0.0540	  0.9882	-0.111919	0.018518	  0.9980	2.995E+6	   0.236	 3914.32	   83.10	  219.27	   0.000	-0.05081	-0.08389	-0.09660	-0.11195	-0.13185	-0.16339	-0.21470	-0.29207	-0.39700	-0.51081	-0.63105	-0.75451	-0.87163	-0.97751	-1.07752	-1.17312	-1.24626	-1.30214	-1.34473	-1.39524	-1.42239	-1.46210	-1.48537	-1.52366	-1.53396	-1.54762	-1.56801	-1.65510	-1.75501	-1.76717	-1.75346	-1.84063	-1.92540	-2.02660	-2.11177	-2.09771	-1.99824	-1.75582	-1.12524	-0.81061	-0.80941	 0.83048	 0.99798	 0.94318	 0.81020	 0.67990	 0.55024	 0.43226	 0.34210	 0.25480	 0.17562	 0.10855	 0.03562	-0.00820	-0.03935	-0.03867	-0.02106	 0.02272	 0.06210	 0.10809	 0.16895	 0.22856	-0.07250	  0.9880	-0.123143	 -0.0542	
