   Runnr	   Alpha	      Cd	      Cl	      Cm	      Cn	      Ct	Cd-press	Cl-press	      Re	       M	       Q	       V	  Z_w.r.	    Flap	 Cpu_001	 Cpu_002	 Cpu_003	 Cpu_004	 Cpu_005	 Cpu_006	 Cpu_007	 Cpu_008	 Cpu_009	 Cpu_010	 Cpu_011	 Cpu_012	 Cpu_013	 Cpu_014	 Cpu_015	 Cpu_016	 Cpu_017	 Cpu_018	 Cpu_019	 Cpu_020	 Cpu_021	 Cpu_022	 Cpu_023	 Cpu_024	 Cpu_025	 Cpu_026	 Cpu_027	 Cpu_028	 Cpu_029	 Cpu_030	 Cpu_031	 Cpu_032	 Cpu_033	 Cpu_034	 Cpu_035	 Cpu_036	 Cpu_037	 Cpu_038	 Cpu_039	 Cpu_040	 Cpl_001	 Cpl_002	 Cpl_003	 Cpl_004	 Cpl_005	 Cpl_006	 Cpl_007	 Cpl_008	 Cpl_009	 Cpl_010	 Cpl_011	 Cpl_012	 Cpl_013	 Cpl_014	 Cpl_015	 Cpl_016	 Cpl_017	 Cpl_018	 Cpl_019	 Cpl_020	 Cpl_021	 Cpl_022	 Cpl_023	 Cn-corr	 Ct-corr	 Cm-corr
       /	 degrees	       /	       /	       /	       /	       /	       /	       /	       /	       /	      Pa	     m/s	      mm	 degrees	  100.00	   94.76	   89.84	   84.97	   80.44	   75.81	   71.34	   67.21	   63.02	   59.06	   55.22	   51.47	   47.87	   44.31	   40.97	   37.84	   34.73	   31.83	   28.95	   26.24	   23.77	   21.21	   19.02	   16.69	   14.78	   12.88	   11.12	    9.52	    7.96	    6.55	    5.35	    4.20	    3.24	    2.37	    1.63	    1.03	    0.58	    0.26	    0.02	    0.00	    0.00	    0.51	    1.21	    2.24	    3.62	    5.34	    7.43	    9.84	   12.66	   15.80	   19.37	   23.34	   27.72	   32.33	   37.52	   42.99	   48.39	   54.79	   61.58	   68.55	   75.87	   92.00	  100.00	       /	       /	       /
       1	  -0.010	0.012648	  0.2508	 -0.0654	  0.2508	0.012692	0.007100	  0.2511	1.003E+6	   0.079	  428.50	   27.46	  219.18	   0.000	 0.16042	 0.09422	 0.03735	-0.02515	-0.09066	-0.16262	-0.23598	-0.31244	-0.38265	-0.45854	-0.52567	-0.59337	-0.65467	-0.70230	-0.74112	-0.78074	-0.79509	-0.79190	-0.77742	-0.76725	-0.74601	-0.71647	-0.68889	-0.64985	-0.60485	-0.53805	-0.49138	-0.45751	-0.49606	-0.39659	-0.29258	-0.18151	-0.08076	 0.04026	 0.18015	 0.37703	 0.59363	 0.81352	 0.97219	 0.99790	 0.99781	 0.47422	 0.13264	-0.10313	-0.19804	-0.27066	-0.36159	-0.34197	-0.35071	-0.38386	-0.40642	-0.42346	-0.43504	-0.42928	-0.40655	-0.34754	-0.27582	-0.17405	-0.08603	 0.00335	 0.10000	 0.23142	 0.15965	  0.2510	0.007178	 -0.0655	
       2	   2.050	0.013257	  0.4707	 -0.0662	  0.4709	-0.003588	0.008280	  0.4713	1.003E+6	   0.079	  428.49	   27.46	  220.77	   0.000	 0.14447	 0.08598	 0.02842	-0.03655	-0.10551	-0.18393	-0.26454	-0.34861	-0.42777	-0.51333	-0.59154	-0.67057	-0.74312	-0.80280	-0.85531	-0.90655	-0.93319	-0.94291	-0.93956	-0.94182	-0.93215	-0.91627	-0.90045	-0.87538	-0.84088	-0.78362	-0.75752	-0.75731	-0.82533	-0.74437	-0.65884	-0.57392	-0.49497	-0.40756	-0.29834	-0.11276	 0.12047	 0.41154	 0.72266	 0.88222	 0.88187	 0.84751	 0.56493	 0.31554	 0.16193	 0.04588	-0.07726	-0.09523	-0.14028	-0.19184	-0.23304	-0.26880	-0.29641	-0.30658	-0.30103	-0.25827	-0.20075	-0.11552	-0.04051	 0.03791	 0.12571	 0.24322	 0.14324	  0.4711	-0.008455	 -0.0664	
       3	   4.097	0.014066	  0.6813	 -0.0660	  0.6806	-0.034654	0.009676	  0.6822	1.006E+6	   0.078	  428.10	   27.41	  219.23	   0.000	 0.11976	 0.07397	 0.02034	-0.04352	-0.11419	-0.19706	-0.28425	-0.37570	-0.46429	-0.55964	-0.64850	-0.73837	-0.82332	-0.89681	-0.96056	-1.02568	-1.06645	-1.08811	-1.09856	-1.11289	-1.11570	-1.11573	-1.11313	-1.10038	-1.07983	-1.02961	-1.03326	-1.08137	-1.17207	-1.11035	-1.05838	-1.00274	-0.96517	-0.92135	-0.87094	-0.72439	-0.51555	-0.20377	 0.23082	 0.48539	 0.48444	 0.99598	 0.84652	 0.63015	 0.45557	 0.31554	 0.17390	 0.11676	 0.05143	-0.01525	-0.07313	-0.12430	-0.16531	-0.19006	-0.19941	-0.17035	-0.12739	-0.05818	 0.00454	 0.07240	 0.15207	 0.25357	 0.11786	  0.6810	-0.038795	 -0.0663	
       4	   6.150	0.015624	  0.8718	 -0.0636	  0.8685	-0.077863	0.012046	  0.8728	1.007E+6	   0.078	  427.74	   27.39	  219.23	   0.000	 0.08080	 0.05008	 0.00843	-0.04666	-0.11284	-0.19627	-0.28822	-0.38626	-0.48349	-0.58955	-0.68892	-0.78969	-0.88769	-0.97438	-1.05180	-1.13044	-1.18394	-1.21954	-1.24350	-1.27333	-1.29014	-1.29795	-1.30803	-1.32076	-1.31144	-1.27830	-1.30192	-1.42569	-1.51820	-1.49000	-1.46863	-1.45531	-1.46480	-1.48434	-1.50511	-1.42513	-1.26910	-0.98545	-0.45913	-0.14419	-0.14802	 0.96006	 0.98036	 0.83922	 0.67556	 0.53024	 0.38326	 0.29792	 0.21773	 0.14041	 0.06965	 0.00615	-0.04856	-0.08695	-0.10952	-0.09632	-0.06476	-0.00482	 0.04807	 0.10406	 0.17442	 0.25854	 0.07890	  0.8691	-0.081047	 -0.0640	
       5	   8.195	0.018691	  1.0322	 -0.0574	  1.0244	-0.128633	0.014834	  1.0335	1.006E+6	   0.078	  426.69	   27.35	  220.77	   0.000	 0.00292	-0.01651	-0.03492	-0.06188	-0.10200	-0.16735	-0.25427	-0.35576	-0.46318	-0.58111	-0.69403	-0.80868	-0.92075	-1.02161	-1.11315	-1.20033	-1.27632	-1.32658	-1.36441	-1.41033	-1.44202	-1.46848	-1.49502	-1.52880	-1.53528	-1.50841	-1.53432	-1.71752	-1.86496	-1.86878	-1.88799	-1.92545	-1.98793	-2.07489	-2.17588	-2.18173	-2.11897	-1.89545	-1.31198	-0.97140	-0.97697	 0.77771	 0.99497	 0.95425	 0.83187	 0.69306	 0.55239	 0.45302	 0.36196	 0.27617	 0.19463	 0.11839	 0.05634	 0.00736	-0.02789	-0.02713	-0.00867	 0.02866	 0.07872	 0.12728	 0.18953	 0.25094	 0.00215	  1.0253	-0.132023	 -0.0579	
       6	  10.237	0.029414	  1.1265	 -0.0490	  1.1138	-0.171243	0.022006	  1.1293	1.007E+6	   0.078	  426.28	   27.32	  219.62	   0.000	-0.11602	-0.14345	-0.14386	-0.14809	-0.15385	-0.16644	-0.19163	-0.24637	-0.34721	-0.47106	-0.60298	-0.73940	-0.87101	-0.99246	-1.10148	-1.20570	-1.29802	-1.36375	-1.41925	-1.48207	-1.52934	-1.57291	-1.61722	-1.67049	-1.69744	-1.69965	-1.73476	-1.86739	-2.12219	-2.14371	-2.21548	-2.30910	-2.42877	-2.59993	-2.76691	-2.86115	-2.89492	-2.74931	-2.14630	-1.80605	-1.81291	 0.51775	 0.92854	 0.99423	 0.92259	 0.80320	 0.67140	 0.56598	 0.46901	 0.37545	 0.29014	 0.20538	 0.13537	 0.07821	 0.03236	 0.02131	 0.02992	 0.05633	 0.09361	 0.13037	 0.18415	 0.22212	-0.12329	  1.1150	-0.178465	 -0.0496	
       7	  12.230	0.060868	  1.1169	 -0.0454	  1.1044	-0.177118	0.036180	  1.1274	1.005E+6	   0.078	  424.66	   27.27	  260.00	   0.000	-0.27816	-0.32391	-0.31751	-0.31064	-0.30413	-0.29985	-0.29563	-0.29348	-0.29258	-0.29598	-0.31405	-0.37745	-0.51380	-0.68498	-0.84830	-1.00127	-1.12886	-1.22859	-1.31752	-1.40412	-1.47418	-1.54442	-1.60947	-1.68787	-1.73825	-1.76651	-1.83464	-1.93170	-2.22864	-2.28947	-2.35366	-2.41203	-2.76902	-2.94820	-3.15389	-3.31866	-3.43898	-3.37014	-2.77708	-2.45338	-2.46042	 0.27934	 0.83665	 0.99429	 0.96679	 0.86711	 0.74330	 0.63957	 0.54093	 0.44220	 0.35139	 0.26225	 0.18655	 0.12129	 0.06724	 0.04576	 0.04439	 0.06037	 0.08840	 0.11623	 0.15999	 0.16877	-0.27627	  1.1061	-0.202981	 -0.0460	
       8	  14.241	0.092033	  1.1064	 -0.0469	  1.0950	-0.182950	0.058970	  1.1217	1.002E+6	   0.078	  421.57	   27.17	  260.00	   0.000	-0.35571	-0.41097	-0.40994	-0.40165	-0.39119	-0.38203	-0.37183	-0.36379	-0.35676	-0.35029	-0.34605	-0.34590	-0.36169	-0.41247	-0.53154	-0.70444	-0.87787	-1.02230	-1.15056	-1.26851	-1.36464	-1.46129	-1.54832	-1.64929	-1.72056	-1.77401	-1.86488	-1.98806	-2.30207	-2.37803	-2.46121	-2.56632	-2.79900	-3.27301	-3.47385	-3.69311	-3.89224	-3.90238	-3.33261	-3.03593	-3.04361	 0.03681	 0.72962	 0.97578	 0.98975	 0.91135	 0.79952	 0.69723	 0.59743	 0.49744	 0.40305	 0.30912	 0.22783	 0.15596	 0.09359	 0.06412	 0.05569	 0.06418	 0.08226	 0.10362	 0.13430	 0.13219	-0.34503	  1.0971	-0.218666	 -0.0475	
       9	  16.227	0.149536	  1.0986	 -0.0519	  1.0966	-0.163423	0.085786	  1.1313	1.002E+6	   0.078	  420.82	   27.14	  260.00	   0.000	-0.41368	-0.46410	-0.46555	-0.45845	-0.44777	-0.43799	-0.42696	-0.41813	-0.40389	-0.40223	-0.39429	-0.39117	-0.39171	-0.39721	-0.41475	-0.47843	-0.60876	-0.76992	-0.93497	-1.08703	-1.21388	-1.33954	-1.44971	-1.57422	-1.66780	-1.74269	-1.85579	-1.99999	-2.33134	-2.44324	-2.55912	-2.71119	-2.94904	-3.37426	-3.81739	-4.06770	-4.32673	-4.41653	-3.88019	-3.61894	-3.62504	-0.22619	 0.60124	 0.94053	 0.99999	 0.94759	 0.84988	 0.75155	 0.65321	 0.55298	 0.45699	 0.36025	 0.27379	 0.19705	 0.12787	 0.09120	 0.07609	 0.07643	 0.08640	 0.10053	 0.12552	 0.10797	-0.39276	  1.0999	-0.233033	 -0.0525	
