   Runnr	   Alpha	      Cd	      Cl	      Cm	      Cn	      Ct	Cd-press	Cl-press	      Re	       M	       Q	       V	  Z_w.r.	    Flap	 Cpu_001	 Cpu_002	 Cpu_003	 Cpu_004	 Cpu_005	 Cpu_006	 Cpu_007	 Cpu_008	 Cpu_009	 Cpu_010	 Cpu_011	 Cpu_012	 Cpu_013	 Cpu_014	 Cpu_015	 Cpu_016	 Cpu_017	 Cpu_018	 Cpu_019	 Cpu_020	 Cpu_021	 Cpu_022	 Cpu_023	 Cpu_024	 Cpu_025	 Cpu_026	 Cpu_027	 Cpu_028	 Cpu_029	 Cpu_030	 Cpu_031	 Cpu_032	 Cpu_033	 Cpu_034	 Cpu_035	 Cpu_036	 Cpu_037	 Cpu_038	 Cpu_039	 Cpu_040	 Cpl_001	 Cpl_002	 Cpl_003	 Cpl_004	 Cpl_005	 Cpl_006	 Cpl_007	 Cpl_008	 Cpl_009	 Cpl_010	 Cpl_011	 Cpl_012	 Cpl_013	 Cpl_014	 Cpl_015	 Cpl_016	 Cpl_017	 Cpl_018	 Cpl_019	 Cpl_020	 Cpl_021	 Cpl_022	 Cpl_023	 Cn-corr	 Ct-corr	 Cm-corr
       /	 degrees	       /	       /	       /	       /	       /	       /	       /	       /	       /	      Pa	     m/s	      mm	 degrees	  100.00	   94.76	   89.84	   84.97	   80.44	   75.81	   71.34	   67.21	   63.02	   59.06	   55.22	   51.47	   47.87	   44.31	   40.97	   37.84	   34.73	   31.83	   28.95	   26.24	   23.77	   21.21	   19.02	   16.69	   14.78	   12.88	   11.12	    9.52	    7.96	    6.55	    5.35	    4.20	    3.24	    2.37	    1.63	    1.03	    0.58	    0.26	    0.02	    0.00	    0.00	    0.51	    1.21	    2.24	    3.62	    5.34	    7.43	    9.84	   12.66	   15.80	   19.37	   23.34	   27.72	   32.33	   37.52	   42.99	   48.39	   54.79	   61.58	   68.55	   75.87	   92.00	  100.00	       /	       /	       /
       1	   0.001	0.011521	  0.2569	 -0.0665	  0.2569	0.011516	0.007466	  0.2571	2.995E+6	   0.239	 3980.89	   84.40	  219.16	   0.000	 0.16640	 0.09926	 0.04067	-0.02292	-0.09028	-0.16274	-0.24016	-0.31587	-0.39243	-0.46484	-0.53636	-0.60949	-0.66912	-0.71541	-0.75611	-0.79561	-0.80962	-0.81061	-0.79326	-0.78419	-0.75688	-0.73081	-0.69414	-0.65827	-0.60762	-0.54859	-0.48943	-0.46111	-0.50302	-0.39513	-0.28644	-0.17830	-0.07347	 0.04756	 0.19341	 0.38441	 0.60017	 0.81351	 0.97092	 0.99975	 1.00000	 0.47741	 0.13951	-0.10037	-0.19112	-0.26356	-0.34466	-0.34780	-0.35368	-0.39057	-0.41403	-0.42374	-0.44637	-0.43606	-0.40983	-0.34904	-0.27710	-0.17437	-0.08594	 0.00490	 0.10180	 0.23533	 0.16582	  0.2567	0.007506	 -0.0666	
       2	   2.055	0.012312	  0.4787	 -0.0670	  0.4788	-0.004858	0.008693	  0.4791	2.995E+6	   0.240	 3986.04	   84.47	  220.86	   0.000	 0.14277	 0.08819	 0.03099	-0.03350	-0.10359	-0.18155	-0.26578	-0.34944	-0.43551	-0.51801	-0.60042	-0.68509	-0.75726	-0.81679	-0.87077	-0.92356	-0.95081	-0.96433	-0.95958	-0.96351	-0.94790	-0.93666	-0.91243	-0.89265	-0.85431	-0.80862	-0.76565	-0.75974	-0.83952	-0.75136	-0.65216	-0.57369	-0.49080	-0.39544	-0.27915	-0.09792	 0.13703	 0.41650	 0.73240	 0.88804	 0.88865	 0.84609	 0.56676	 0.31586	 0.16689	 0.05109	-0.05806	-0.09808	-0.13715	-0.19551	-0.23830	-0.26731	-0.30606	-0.31253	-0.30319	-0.25974	-0.20294	-0.11615	-0.04091	 0.03804	 0.12711	 0.24772	 0.14181	  0.4785	-0.008347	 -0.0671	
       3	   4.103	0.014236	  0.6889	 -0.0655	  0.6881	-0.035087	0.010002	  0.6897	2.995E+6	   0.240	 3987.17	   84.50	  219.17	   0.000	 0.10482	 0.06608	 0.01777	-0.04094	-0.10865	-0.18888	-0.27838	-0.36957	-0.46532	-0.55833	-0.65216	-0.74876	-0.83441	-0.90790	-0.97568	-1.04273	-1.08425	-1.11147	-1.12091	-1.13948	-1.13706	-1.14212	-1.13231	-1.13056	-1.10723	-1.07737	-1.05343	-1.07375	-1.19691	-1.13165	-1.05717	-0.99930	-0.96498	-0.92347	-0.85616	-0.70922	-0.49132	-0.19189	 0.25823	 0.50334	 0.50339	 0.99512	 0.84426	 0.62914	 0.45770	 0.31799	 0.18729	 0.11946	 0.05661	-0.01774	-0.07625	-0.12134	-0.17341	-0.19492	-0.20083	-0.17350	-0.13094	-0.06012	 0.00267	 0.06989	 0.14957	 0.25251	 0.10295	  0.6877	-0.039035	 -0.0657	
       4	   6.170	0.017701	  0.8681	 -0.0609	  0.8650	-0.075711	0.012907	  0.8695	2.997E+6	   0.240	 3998.06	   84.63	  220.81	   0.000	 0.04311	 0.01631	-0.01385	-0.05287	-0.10385	-0.17429	-0.26235	-0.35890	-0.46443	-0.56883	-0.67496	-0.78411	-0.88391	-0.97235	-1.05470	-1.13613	-1.19264	-1.23429	-1.25904	-1.29293	-1.30464	-1.32716	-1.33297	-1.35058	-1.34403	-1.33156	-1.32890	-1.37748	-1.54482	-1.50815	-1.46009	-1.43952	-1.44517	-1.47550	-1.48346	-1.39676	-1.22675	-0.94378	-0.39118	-0.09196	-0.09269	 0.96803	 0.97625	 0.83279	 0.66998	 0.52421	 0.38447	 0.29840	 0.21954	 0.13331	 0.06302	 0.00504	-0.05768	-0.09206	-0.11128	-0.09803	-0.06858	-0.01204	 0.03876	 0.09504	 0.16526	 0.24764	 0.03939	  0.8646	-0.080094	 -0.0611	
       5	   8.206	0.026922	  0.9898	 -0.0519	  0.9835	-0.114635	0.017376	  0.9930	2.997E+6	   0.240	 4002.95	   84.72	  219.19	   0.000	-0.06435	-0.09559	-0.10650	-0.11966	-0.13582	-0.16067	-0.20265	-0.27230	-0.37376	-0.48992	-0.61380	-0.74104	-0.86072	-0.96940	-1.07012	-1.16843	-1.24291	-1.30128	-1.34383	-1.39451	-1.42237	-1.46341	-1.48610	-1.52397	-1.53564	-1.54264	-1.56258	-1.63968	-1.84763	-1.84282	-1.82675	-1.84349	-1.90274	-1.97452	-2.09116	-2.08530	-1.98867	-1.75186	-1.12438	-0.80084	-0.80207	 0.83031	 0.99915	 0.94469	 0.81235	 0.67454	 0.53443	 0.43800	 0.34698	 0.25481	 0.17501	 0.10665	 0.03472	-0.01056	-0.04159	-0.04120	-0.02366	 0.01985	 0.05902	 0.10416	 0.16484	 0.22145	-0.08299	  0.9832	-0.123877	 -0.0520	
       6	  10.232	0.056697	  1.0458	 -0.0508	  1.0392	-0.129972	0.031329	  1.0556	2.990E+6	   0.240	 3988.59	   84.59	  220.77	   0.000	-0.19922	-0.25656	-0.26476	-0.27126	-0.27690	-0.28164	-0.28556	-0.29113	-0.30226	-0.32935	-0.38739	-0.49250	-0.63972	-0.79235	-0.93321	-1.06296	-1.16841	-1.25289	-1.32153	-1.39391	-1.44222	-1.50472	-1.54677	-1.60620	-1.63699	-1.66495	-1.70783	-1.81033	-2.04993	-2.07708	-2.09328	-2.14920	-2.25062	-2.38870	-2.58045	-2.66118	-2.64478	-2.47067	-1.80568	-1.47760	-1.47942	 0.64193	 0.96021	 0.99064	 0.89788	 0.77509	 0.64179	 0.54011	 0.44292	 0.34660	 0.26084	 0.18497	 0.10580	 0.05111	 0.01031	-0.00035	 0.00648	 0.03882	 0.06781	 0.10299	 0.15464	 0.18296	-0.22255	  1.0393	-0.155930	 -0.0509	
       7	  12.226	0.050731	  1.0525	 -0.0464	  1.0394	-0.173309	0.045492	  1.0545	2.983E+6	   0.239	 3976.19	   84.48	  219.15	   0.000	-0.30647	-0.36976	-0.37892	-0.37705	-0.37146	-0.36631	-0.35925	-0.35212	-0.34407	-0.33993	-0.34237	-0.35223	-0.38517	-0.46757	-0.61030	-0.78159	-0.94364	-1.07704	-1.19048	-1.29696	-1.37521	-1.46600	-1.53290	-1.61723	-1.67073	-1.72183	-1.78919	-1.91603	-2.18166	-2.24129	-2.28959	-2.38398	-2.52699	-2.72421	-2.97942	-3.14926	-3.21289	-3.10669	-2.42389	-2.10221	-2.10452	 0.43731	 0.89027	 0.99999	 0.94776	 0.84191	 0.71685	 0.61251	 0.51216	 0.41170	 0.32070	 0.23833	 0.15230	 0.08922	 0.03901	 0.01861	 0.01663	 0.03986	 0.05958	 0.08556	 0.12905	 0.13281	-0.32383	  1.0395	-0.179335	 -0.0466	
       8	  13.226	0.116931	  1.0568	 -0.0475	  1.0555	-0.127959	0.057285	  1.0839	3.008E+6	   0.242	 4046.88	   85.28	  260.00	   0.000	-0.34954	-0.39351	-0.39349	-0.38752	-0.38039	-0.37436	-0.36812	-0.36244	-0.35655	-0.35307	-0.35419	-0.35931	-0.38038	-0.43636	-0.54784	-0.70296	-0.86624	-1.00682	-1.13052	-1.24567	-1.33312	-1.43351	-1.50888	-1.60289	-1.66531	-1.72733	-1.80503	-1.94251	-2.21629	-2.29254	-2.35717	-2.47079	-2.63679	-2.85496	-3.14491	-3.36740	-3.47457	-3.40839	-2.72911	-2.41612	-2.41851	 0.31857	 0.84115	 0.99765	 0.96780	 0.87421	 0.75629	 0.65344	 0.55346	 0.45293	 0.36086	 0.27672	 0.18887	 0.12285	 0.06891	 0.04398	 0.03810	 0.05635	 0.07165	 0.09324	 0.13265	 0.12608	-0.33473	  1.0566	-0.191015	 -0.0478	
       9	  14.234	0.146127	  1.0552	 -0.0490	  1.0587	-0.117810	0.069995	  1.0917	3.002E+6	   0.241	 4035.81	   85.20	  260.00	   0.000	-0.38246	-0.42217	-0.42219	-0.41604	-0.40791	-0.40085	-0.39359	-0.38741	-0.38061	-0.37591	-0.37467	-0.37452	-0.38321	-0.40830	-0.46778	-0.58237	-0.73955	-0.89312	-1.03561	-1.16669	-1.26867	-1.38259	-1.46975	-1.57524	-1.64859	-1.72225	-1.81136	-1.95885	-2.24070	-2.33336	-2.41398	-2.54622	-2.73444	-2.97176	-3.29399	-3.55748	-3.70307	-3.67452	-3.00612	-2.70527	-2.70787	 0.20610	 0.79188	 0.99054	 0.98106	 0.89823	 0.78634	 0.68446	 0.58464	 0.48335	 0.38986	 0.30381	 0.21371	 0.14449	 0.08687	 0.05815	 0.04868	 0.06241	 0.07394	 0.09163	 0.12761	 0.11262	-0.35937	  1.0605	-0.198984	 -0.0493	
