   Runnr	   Alpha	      Cd	      Cl	      Cm	      Cn	      Ct	Cd-press	Cl-press	      Re	       M	       Q	       V	  Z_w.r.	    Flap	 Cpu_001	 Cpu_002	 Cpu_003	 Cpu_004	 Cpu_005	 Cpu_006	 Cpu_007	 Cpu_008	 Cpu_009	 Cpu_010	 Cpu_011	 Cpu_012	 Cpu_013	 Cpu_014	 Cpu_015	 Cpu_016	 Cpu_017	 Cpu_018	 Cpu_019	 Cpu_020	 Cpu_021	 Cpu_022	 Cpu_023	 Cpu_024	 Cpu_025	 Cpu_026	 Cpu_027	 Cpu_028	 Cpu_029	 Cpu_030	 Cpu_031	 Cpu_032	 Cpu_033	 Cpu_034	 Cpu_035	 Cpu_036	 Cpu_037	 Cpu_038	 Cpu_039	 Cpu_040	 Cpl_001	 Cpl_002	 Cpl_003	 Cpl_004	 Cpl_005	 Cpl_006	 Cpl_007	 Cpl_008	 Cpl_009	 Cpl_010	 Cpl_011	 Cpl_012	 Cpl_013	 Cpl_014	 Cpl_015	 Cpl_016	 Cpl_017	 Cpl_018	 Cpl_019	 Cpl_020	 Cpl_021	 Cpl_022	 Cpl_023	 Cn-corr	 Ct-corr	 Cm-corr
       /	 degrees	       /	       /	       /	       /	       /	       /	       /	       /	       /	      Pa	     m/s	      mm	 degrees	  100.00	   94.76	   89.84	   84.97	   80.44	   75.81	   71.34	   67.21	   63.02	   59.06	   55.22	   51.47	   47.87	   44.31	   40.97	   37.84	   34.73	   31.83	   28.95	   26.24	   23.77	   21.21	   19.02	   16.69	   14.78	   12.88	   11.12	    9.52	    7.96	    6.55	    5.35	    4.20	    3.24	    2.37	    1.63	    1.03	    0.58	    0.26	    0.02	    0.00	    0.00	    0.51	    1.21	    2.24	    3.62	    5.34	    7.43	    9.84	   12.66	   15.80	   19.37	   23.34	   27.72	   32.33	   37.52	   42.99	   48.39	   54.79	   61.58	   68.55	   75.87	   92.00	  100.00	       /	       /	       /
       1	  -0.017	0.010496	  0.2509	 -0.0691	  0.2509	0.010573	0.011606	  0.2509	2.982E+6	   0.225	 3587.37	   78.14	  198.37	   0.000	 0.17210	 0.10076	 0.04122	-0.02333	-0.09162	-0.16429	-0.24205	-0.31777	-0.39379	-0.46633	-0.53803	-0.61024	-0.66977	-0.71597	-0.75656	-0.79558	-0.80903	-0.81008	-0.79105	-0.78354	-0.75642	-0.72914	-0.69225	-0.65702	-0.60429	-0.54933	-0.47060	-0.02806	-0.41614	-0.36632	-0.26421	-0.15808	-0.05704	 0.06412	 0.20861	 0.39823	 0.60913	 0.81987	 0.97120	 0.99888	 0.99896	 0.48915	 0.15206	-0.07931	-0.17168	-0.25379	-0.30537	-0.38977	-0.34792	-0.38719	-0.41175	-0.42123	-0.44579	-0.43457	-0.40906	-0.34763	-0.27579	-0.17219	-0.08360	 0.00784	 0.10662	 0.24383	 0.17170	  0.2508	0.011761	 -0.0692	
       2	   4.105	0.011932	  0.7021	 -0.0732	  0.7011	-0.038359	0.016209	  0.7012	2.999E+6	   0.228	 3673.47	   79.28	  199.64	   0.000	 0.13781	 0.08387	 0.02403	-0.04515	-0.12145	-0.20680	-0.29945	-0.39194	-0.48787	-0.58139	-0.67522	-0.77234	-0.85813	-0.93157	-0.99961	-1.06737	-1.10811	-1.13554	-1.14290	-1.16392	-1.16064	-1.16567	-1.15466	-1.15178	-1.12537	-1.10145	-1.04370	-0.00817	-1.11955	-1.13033	-1.07122	-1.02110	-0.98552	-0.94694	-0.88775	-0.74563	-0.53316	-0.23289	 0.21895	 0.46501	 0.47859	 0.99853	 0.86581	 0.66258	 0.49341	 0.34918	 0.23546	 0.11444	 0.07546	-0.00014	-0.05923	-0.10428	-0.15795	-0.17946	-0.18662	-0.15932	-0.11790	-0.04773	 0.01502	 0.08214	 0.16207	 0.26750	 0.13683	  0.7008	-0.033748	 -0.0733	
       3	   6.156	0.013309	  0.9055	 -0.0730	  0.9017	-0.083865	0.019026	  0.9038	2.994E+6	   0.228	 3685.57	   79.51	  199.19	   0.000	 0.10668	 0.06648	 0.01485	-0.04923	-0.12427	-0.21270	-0.31120	-0.41152	-0.51727	-0.62123	-0.72639	-0.83581	-0.93495	-1.02255	-1.10471	-1.18698	-1.24238	-1.28400	-1.30608	-1.34266	-1.35324	-1.37627	-1.38033	-1.39662	-1.38638	-1.38031	-1.33546	 0.00979	-1.49593	-1.54077	-1.51428	-1.50512	-1.52061	-1.54885	-1.56759	-1.49253	-1.33646	-1.05819	-0.49727	-0.19800	-0.18526	 0.94944	 0.98820	 0.86491	 0.70988	 0.56462	 0.44011	 0.31203	 0.24207	 0.16236	 0.09085	 0.03279	-0.03126	-0.06580	-0.08614	-0.07339	-0.04519	 0.01010	 0.06084	 0.11697	 0.18728	 0.27487	 0.10662	  0.9013	-0.077624	 -0.0732	
       4	   0.002	0.010482	  0.2655	 -0.0679	  0.2655	0.010474	0.008316	  0.2656	2.997E+6	   0.228	 3693.15	   79.59	  190.78	   0.000	 0.17198	 0.10079	 0.04106	-0.02338	-0.09194	-0.16477	-0.24274	-0.31866	-0.39501	-0.46783	-0.53924	-0.61249	-0.67243	-0.71892	-0.76002	-0.79944	-0.81313	-0.81458	-0.79584	-0.78855	-0.76182	-0.73486	-0.69805	-0.66246	-0.61106	-0.55702	-0.48720	-0.56646	-0.45595	-0.37701	-0.27355	-0.16756	-0.06660	 0.05429	 0.19840	 0.38831	 0.60019	 0.81298	 0.96833	 0.99896	 0.99934	 0.50082	 0.16455	-0.06798	-0.16220	-0.24560	-0.29839	-0.38537	-0.34247	-0.38291	-0.40783	-0.41781	-0.44287	-0.43196	-0.40685	-0.34574	-0.27423	-0.17095	-0.08265	 0.00851	 0.10710	 0.24416	 0.17174	  0.2653	0.008365	 -0.0680	
       5	   1.027	0.010582	  0.3787	 -0.0689	  0.3789	0.003790	0.009093	  0.3789	3.022E+6	   0.231	 3772.34	   80.51	  189.23	   0.000	 0.16563	 0.09708	 0.03596	-0.03054	-0.10165	-0.17783	-0.25959	-0.33964	-0.42079	-0.49861	-0.57540	-0.65434	-0.72033	-0.77331	-0.82066	-0.86676	-0.88661	-0.89392	-0.88099	-0.88012	-0.85841	-0.83877	-0.80713	-0.77873	-0.73298	-0.68550	-0.61967	-0.72270	-0.61691	-0.54829	-0.45156	-0.35579	-0.26565	-0.15696	-0.02441	 0.16527	 0.39179	 0.64302	 0.87847	 0.97573	 0.98120	 0.70569	 0.39283	 0.14877	 0.02306	-0.08258	-0.15519	-0.25267	-0.23361	-0.28478	-0.31932	-0.33886	-0.37188	-0.36944	-0.35284	-0.30038	-0.23648	-0.14141	-0.05950	 0.02557	 0.12003	 0.25019	 0.16552	  0.3786	0.002396	 -0.0690	
       6	   2.061	0.010908	  0.4964	 -0.0697	  0.4965	-0.006954	0.009599	  0.4966	3.019E+6	   0.231	 3770.12	   80.52	  190.83	   0.000	 0.15817	 0.09350	 0.03171	-0.03642	-0.10982	-0.18937	-0.27496	-0.35926	-0.44536	-0.52834	-0.61095	-0.69598	-0.76852	-0.82831	-0.88244	-0.93576	-0.96222	-0.97610	-0.96975	-0.97594	-0.96009	-0.94839	-0.92323	-0.90286	-0.86371	-0.82355	-0.76307	-0.89500	-0.79320	-0.73713	-0.65022	-0.56693	-0.49130	-0.40167	-0.28751	-0.10587	 0.12589	 0.40562	 0.72024	 0.87777	 0.88762	 0.86244	 0.59216	 0.34966	 0.20004	 0.07596	-0.01358	-0.11997	-0.12431	-0.18463	-0.22840	-0.25753	-0.29797	-0.30406	-0.29596	-0.25229	-0.19621	-0.10961	-0.03443	 0.04454	 0.13422	 0.25656	 0.15796	  0.4962	-0.008102	 -0.0698	
       7	   3.087	0.011320	  0.6109	 -0.0702	  0.6107	-0.021599	0.010139	  0.6111	3.013E+6	   0.230	 3763.15	   80.47	  189.13	   0.000	 0.14885	 0.08903	 0.02756	-0.04146	-0.11668	-0.19931	-0.28851	-0.37694	-0.46801	-0.55623	-0.64445	-0.73565	-0.81470	-0.88131	-0.94239	-1.00285	-1.03642	-1.05699	-1.05740	-1.07087	-1.06100	-1.05758	-1.03928	-1.02756	-0.99512	-0.96333	-0.90853	-1.07089	-0.97435	-0.93236	-0.85729	-0.78903	-0.73171	-0.66517	-0.57486	-0.40912	-0.18197	 0.11392	 0.50033	 0.70678	 0.72002	 0.95897	 0.74878	 0.52032	 0.35620	 0.21946	 0.11589	 0.00170	-0.02105	-0.09021	-0.14212	-0.17974	-0.22715	-0.24115	-0.24094	-0.20568	-0.15704	-0.07871	-0.00987	 0.06305	 0.14793	 0.26212	 0.14844	  0.6103	-0.022527	 -0.0703	
       8	   4.110	0.011869	  0.7223	 -0.0703	  0.7213	-0.039929	0.010601	  0.7226	3.010E+6	   0.230	 3760.67	   80.46	  190.81	   0.000	 0.13774	 0.08396	 0.02406	-0.04477	-0.12118	-0.20651	-0.29915	-0.39162	-0.48765	-0.58115	-0.67511	-0.77225	-0.85812	-0.93176	-0.99975	-1.06753	-1.10834	-1.13590	-1.14334	-1.16436	-1.16097	-1.16618	-1.15491	-1.15228	-1.12720	-1.10447	-1.05590	-1.24946	-1.16047	-1.13373	-1.07222	-1.02164	-0.98556	-0.94670	-0.88736	-0.74483	-0.53211	-0.23181	 0.22019	 0.46647	 0.48029	 0.99855	 0.86568	 0.66243	 0.49318	 0.34896	 0.23513	 0.11492	 0.07504	-0.00066	-0.05986	-0.10488	-0.15865	-0.18012	-0.18727	-0.15984	-0.11841	-0.04819	 0.01460	 0.08168	 0.16164	 0.26727	 0.13700	  0.7209	-0.040836	 -0.0705	
       9	   5.153	0.012504	  0.8294	 -0.0701	  0.8272	-0.062039	0.011743	  0.8296	3.006E+6	   0.230	 3753.28	   80.40	  189.19	   0.000	 0.12379	 0.07680	 0.02005	-0.04729	-0.12380	-0.21122	-0.30697	-0.40342	-0.50428	-0.60302	-0.70255	-0.80588	-0.89841	-0.97903	-1.05407	-1.12925	-1.17722	-1.21174	-1.22637	-1.25521	-1.25845	-1.27278	-1.26878	-1.27552	-1.25845	-1.24464	-1.20252	-1.42876	-1.34844	-1.33812	-1.29187	-1.26038	-1.24867	-1.24151	-1.21849	-1.10618	-0.91724	-0.62296	-0.11280	 0.16388	 0.17835	 0.99320	 0.94440	 0.77651	 0.61053	 0.46363	 0.34273	 0.21862	 0.16200	 0.08336	 0.01756	-0.03425	-0.09358	-0.12184	-0.13583	-0.11586	-0.08128	-0.01866	 0.03816	 0.09962	 0.17459	 0.27155	 0.12356	  0.8268	-0.062326	 -0.0703	
