   Runnr	   Alpha	      Cn	      Ct	      Cm	      Cd	      Cl	Cl-press	Cd-press	  Z-w.r.	    Flap	      Re	       M	       Q	       V	     Dpb	   P-bar	       T	 Cpu_001	 Cpu_002	 Cpu_003	 Cpu_004	 Cpu_005	 Cpu_006	 Cpu_007	 Cpu_008	 Cpu_009	 Cpu_010	 Cpu_011	 Cpu_012	 Cpu_013	 Cpu_014	 Cpu_015	 Cpu_016	 Cpu_017	 Cpu_018	 Cpu_019	 Cpu_020	 Cpu_021	 Cpu_022	 Cpu_023	 Cpu_024	 Cpu_025	 Cpu_026	 Cpu_027	 Cpu_028	 Cpu_029	 Cpu_030	 Cpu_031	 Cpu_032	 Cpu_033	 Cpu_034	 Cpu_035	 Cpu_036	 Cpu_037	 Cpu_038	 Cpu_039	 Cpu_040	 Cpl_001	 Cpl_002	 Cpl_003	 Cpl_004	 Cpl_005	 Cpl_006	 Cpl_007	 Cpl_008	 Cpl_009	 Cpl_010	 Cpl_011	 Cpl_012	 Cpl_013	 Cpl_014	 Cpl_015	 Cpl_016	 Cpl_017	 Cpl_018	 Cpl_019	 Cpl_020	 Cpl_021	 Cpl_022	 Cpl_023	  Cpt_01	  Cpt_02	  Cpt_03	  Cpt_04	  Cpt_05	  Cpt_06	  Cpt_07	  Cpt_08	  Cpt_09	  Cpt_10	  Cpt_11	  Cpt_12	  Cpt_13	  Cpt_14	  Cpt_15	  Cpt_16	  Cpt_17	  Cpt_18	  Cpt_19	  Cpt_20	  Cpt_21	  Cpt_22	  Cpt_23	  Cpt_24	  Cpt_25	  Cpt_26	  Cpt_27	  Cpt_28	  Cpt_29	  Cpt_30	  Cpt_31	  Cpt_32	  Cpt_33	  Cpt_34	  Cpt_35	  Cpt_36	  Cpt_37	  Cpt_38	  Cpt_39	  Cpt_40	  Cpt_41	  Cpt_42	  Cpt_43	  Cpt_44	  Cpt_45	  Cpt_46	  Cpt_47	  Cpt_48	  Cpt_49	  Cpt_50	  Cpt_51	  Cpt_52	  Cpt_53	  Cpt_54	  Cpt_55	  Cpt_56	  Cpt_57	  Cpt_58	  Cpt_59	  Cpt_60	  Cpt_61	  Cpt_62	  Cpt_63	  Cpt_64	  Cpt_65	  Cpt_66	  Cpt_67	  Cps_01	  Cps_02	  Cps_03	  Cps_04	  Cps_05	  Cps_06	  Cps_07	  Cps_08	  Cps_09	  Cps_10	  Cps_11	  Cps_12	  Cps_13	  Cps_14	  Cps_15	  Cps_16
       /	 degrees	       /	       /	       /	       /	       /	       /	       /	      mm	 degrees	       /	       /	      Pa	     m/s	      Pa	      Pa	  degr_C	  100.00	   94.76	   89.84	   84.97	   80.44	   75.81	   71.34	   67.21	   63.02	   59.06	   55.22	   51.47	   47.87	   44.31	   40.97	   37.84	   34.73	   31.83	   28.95	   26.24	   23.77	   21.21	   19.02	   16.69	   14.78	   12.88	   11.12	    9.52	    7.96	    6.55	    5.35	    4.20	    3.24	    2.37	    1.63	    1.03	    0.58	    0.26	    0.02	    0.00	    0.00	    0.51	    1.21	    2.24	    3.62	    5.34	    7.43	    9.84	   12.66	   15.80	   19.37	   23.34	   27.72	   32.33	   37.52	   42.99	   48.39	   54.79	   61.58	   68.55	   75.87	   92.00	  100.00	    0.00	   24.00	   48.00	   72.00	   96.00	  108.00	  120.00	  132.00	  144.00	  156.00	  162.00	  168.00	  174.00	  180.00	  186.00	  192.00	  198.00	  204.00	  207.00	  210.00	  213.00	  216.00	  219.00	  222.00	  225.00	  228.00	  231.00	  234.00	  237.00	  240.00	  243.00	  246.00	  249.00	  252.00	  255.00	  258.00	  261.00	  264.00	  267.00	  270.00	  273.00	  276.00	  279.00	  282.00	  285.00	  288.00	  291.00	  294.00	  297.00	  300.00	  306.00	  312.00	  318.00	  324.00	  330.00	  336.00	  342.00	  348.00	  360.00	  372.00	  384.00	  396.00	  408.00	  432.00	  456.00	  480.00	  504.00	    0.00	   48.00	   96.00	  144.00	  168.00	  192.00	  216.00	  240.00	  264.00	  288.00	  312.00	  336.00	  360.00	  408.00	  456.00	  504.00
       1	  -0.014	  0.2648	0.011764	 -0.0694	0.011698	  0.2648	  0.2648	0.007771	  220.84	   0.000	2.966E+6	   0.230	 3713.18	   80.38	  1544.9	 1005.95	   31.73	 0.14987	 0.07875	 0.01838	-0.04700	-0.11588	-0.19007	-0.26914	-0.34626	-0.42426	-0.49795	-0.57055	-0.64447	-0.70542	-0.75170	-0.79421	-0.83340	-0.84731	-0.84761	-0.83009	-0.82006	-0.79258	-0.76448	-0.72727	-0.69094	-0.63582	-0.58080	-0.52058	-0.49855	-0.51999	-0.42825	-0.31089	-0.19583	-0.08775	 0.03391	 0.18248	 0.37737	 0.59646	 0.81396	 0.97065	 0.99892	 0.99929	 0.46088	 0.11348	-0.12101	-0.20938	-0.30459	-0.37403	-0.37778	-0.38374	-0.41810	-0.44110	-0.45134	-0.47318	-0.46219	-0.43584	-0.37385	-0.30006	-0.19527	-0.10485	-0.01160	 0.08671	 0.22080	 0.14763	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99587	 0.98507	 0.96144	 0.92132	 0.86567	 0.80699	 0.75540	 0.71579	 0.69668	 0.70100	 0.72990	 0.77243	 0.83287	 0.87708	 0.92506	 0.95944	 0.98427	 0.99470	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.02112	 0.02543	 0.02293	-0.00103	 0.01957	 0.01926	 0.01610	 0.01183	 0.01033	 0.01393	 0.01056	 0.00924	 0.00851	 0.00240	-0.00249	-0.00914	
       1	   0.007	  0.2690	0.011818	 -0.0695	0.011852	  0.2690	  0.2690	0.007455	  400.00	   0.000	2.958E+6	   0.231	 3768.06	   81.30	  1567.0	 1005.73	   34.16	 0.15135	 0.08069	 0.02008	-0.04568	-0.11484	-0.18921	-0.26869	-0.34617	-0.42455	-0.49844	-0.57145	-0.64571	-0.70771	-0.75370	-0.79646	-0.83537	-0.85033	-0.84978	-0.83273	-0.82381	-0.79653	-0.76876	-0.73170	-0.69502	-0.64181	-0.58651	-0.52620	-0.50424	-0.52596	-0.43430	-0.31779	-0.20184	-0.09461	 0.02746	 0.17498	 0.37076	 0.58976	 0.80822	 0.96839	 0.99820	 0.99864	 0.46900	 0.12070	-0.11572	-0.20680	-0.29002	-0.37371	-0.37367	-0.37921	-0.41449	-0.43816	-0.44785	-0.47125	-0.45983	-0.43344	-0.37122	-0.29813	-0.19349	-0.10350	-0.00999	 0.08811	 0.22330	 0.14847	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99722	 0.98865	 0.96834	 0.93307	 0.88231	 0.82643	 0.76881	 0.72314	 0.69968	 0.69969	 0.71728	 0.75587	 0.80304	 0.86274	 0.90976	 0.95020	 0.97378	 0.99078	 0.99755	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.02248	 0.02667	 0.02397	 0.00074	 0.02058	 0.02020	 0.01742	 0.01330	 0.00949	 0.01504	 0.01188	 0.01057	 0.00990	 0.00404	-0.00064	-0.00721	
       2	   0.007	  0.2695	0.011720	 -0.0697	0.011754	  0.2695	  0.2695	0.007681	  200.86	   0.000	2.955E+6	   0.231	 3766.72	   81.31	  1566.5	 1005.69	   34.32	 0.14903	 0.07846	 0.01794	-0.04754	-0.11660	-0.19086	-0.27015	-0.34754	-0.42573	-0.49964	-0.57249	-0.64670	-0.70856	-0.75455	-0.79732	-0.83612	-0.85102	-0.85050	-0.83339	-0.82441	-0.79706	-0.76927	-0.73208	-0.69539	-0.64228	-0.58687	-0.52646	-0.50446	-0.52630	-0.43459	-0.31796	-0.20194	-0.09481	 0.02724	 0.17486	 0.37074	 0.58979	 0.80841	 0.96866	 0.99857	 0.99902	 0.46955	 0.12114	-0.11537	-0.20662	-0.28996	-0.37380	-0.37377	-0.37937	-0.41477	-0.43847	-0.44824	-0.47171	-0.46041	-0.43398	-0.37181	-0.29873	-0.19407	-0.10425	-0.01093	 0.08707	 0.22183	 0.14882	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99712	 0.98845	 0.96799	 0.93227	 0.88094	 0.82467	 0.76706	 0.72204	 0.69943	 0.70072	 0.71984	 0.75997	 0.80814	 0.86764	 0.91414	 0.95366	 0.97623	 0.99189	 0.99798	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.02128	 0.02561	 0.02317	-0.00074	 0.02004	 0.01968	 0.01704	 0.01307	 0.00916	 0.01478	 0.01160	 0.01029	 0.00957	 0.00350	-0.00138	-0.00820	
       3	   1.998	  0.5033	-0.005012	 -0.0719	0.012541	  0.5031	  0.5033	0.008892	  199.24	   0.000	2.958E+6	   0.232	 3777.78	   81.45	  1571.0	 1005.70	   34.46	 0.12564	 0.06525	 0.00500	-0.06226	-0.13473	-0.21500	-0.30161	-0.38733	-0.47538	-0.55968	-0.64386	-0.72991	-0.80462	-0.86410	-0.92033	-0.97276	-1.00106	-1.01316	-1.00835	-1.01314	-0.99772	-0.98467	-0.96015	-0.93956	-0.89905	-0.85769	-0.81251	-0.81420	-0.87238	-0.79487	-0.70032	-0.60896	-0.52251	-0.43026	-0.31365	-0.12720	 0.11163	 0.39874	 0.72227	 0.88238	 0.88270	 0.84521	 0.55993	 0.30941	 0.15970	 0.03606	-0.07772	-0.11997	-0.15446	-0.21374	-0.25649	-0.28539	-0.32529	-0.33115	-0.32194	-0.27721	-0.21975	-0.13142	-0.05489	 0.02610	 0.11599	 0.23601	 0.12512	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99427	 0.98348	 0.96291	 0.93083	 0.88574	 0.83605	 0.78277	 0.73851	 0.71229	 0.70473	 0.71464	 0.74244	 0.78017	 0.83185	 0.87669	 0.91961	 0.94888	 0.97519	 0.99001	 0.99659	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.03033	 0.03335	 0.02973	 0.00275	 0.02429	 0.02310	 0.01971	 0.01294	 0.00875	 0.01491	 0.01111	 0.00880	 0.00706	-0.00076	-0.00742	-0.01600	
       4	   3.996	  0.7230	-0.035996	 -0.0719	0.014470	  0.7238	  0.7241	0.010241	  200.84	   0.000	2.957E+6	   0.232	 3785.91	   81.58	  1574.2	 1005.67	   34.80	 0.08692	 0.04074	-0.01139	-0.07348	-0.14417	-0.22727	-0.31963	-0.41332	-0.51149	-0.60665	-0.70261	-0.80085	-0.88937	-0.96312	-1.03368	-1.10045	-1.14333	-1.16932	-1.17915	-1.19861	-1.19628	-1.19998	-1.19010	-1.18780	-1.16230	-1.13694	-1.11100	-1.14070	-1.23973	-1.18865	-1.10870	-1.05828	-1.01332	-0.97100	-0.90539	-0.75533	-0.53432	-0.22500	 0.23659	 0.48600	 0.48636	 0.99488	 0.84148	 0.62636	 0.45361	 0.30781	 0.17506	 0.10251	 0.04280	-0.03163	-0.08995	-0.13547	-0.18892	-0.20995	-0.21593	-0.18752	-0.14437	-0.07209	-0.00821	 0.06090	 0.14105	 0.24251	 0.08522	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99790	 0.99456	 0.98708	 0.97271	 0.95096	 0.92158	 0.88323	 0.84223	 0.79787	 0.75810	 0.73061	 0.71339	 0.71192	 0.72223	 0.74358	 0.77923	 0.81535	 0.85593	 0.88895	 0.92574	 0.95466	 0.97443	 0.98731	 0.99447	 0.99788	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.03870	 0.04054	 0.03581	 0.00589	 0.02833	 0.02642	 0.02220	 0.01158	 0.00725	 0.01423	 0.01123	 0.00789	 0.00527	-0.00428	-0.01264	-0.02292	
       5	   6.008	  0.9096	-0.077844	 -0.0685	0.017792	  0.9127	  0.9132	0.013227	  199.16	   0.000	2.955E+6	   0.232	 3787.55	   81.63	  1574.9	 1005.64	   35.00	 0.02266	-0.01261	-0.04694	-0.08957	-0.14355	-0.21726	-0.30871	-0.40822	-0.51663	-0.62365	-0.73226	-0.84367	-0.94655	-1.03569	-1.12102	-1.20248	-1.26069	-1.30142	-1.32678	-1.36179	-1.37398	-1.39543	-1.40136	-1.41876	-1.41027	-1.40248	-1.39812	-1.45763	-1.59969	-1.57853	-1.52770	-1.50059	-1.51167	-1.54368	-1.55226	-1.46367	-1.29170	-0.99878	-0.43023	-0.12878	-0.12864	 0.96671	 0.97505	 0.83186	 0.66832	 0.51843	 0.37804	 0.28675	 0.20551	 0.12223	 0.05228	-0.00621	-0.07050	-0.10436	-0.12386	-0.10964	-0.07958	-0.02171	 0.02982	 0.08785	 0.15828	 0.23815	 0.01901	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99822	 0.99695	 0.99296	 0.98599	 0.97665	 0.96092	 0.94018	 0.91287	 0.87914	 0.84343	 0.80848	 0.77409	 0.74577	 0.72281	 0.70981	 0.70745	 0.71621	 0.72975	 0.75232	 0.77917	 0.81398	 0.84533	 0.87797	 0.90337	 0.93151	 0.95404	 0.97055	 0.98258	 0.99051	 0.99514	 0.99790	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.04507	 0.04608	 0.04060	 0.00816	 0.03152	 0.02903	 0.02034	 0.00591	 0.00410	 0.01340	 0.01079	 0.00653	 0.00289	-0.00846	-0.01847	-0.03039	
       6	   8.006	  1.0360	-0.116799	 -0.0604	0.028643	  1.0422	  1.0437	0.018285	  200.79	   0.000	2.951E+6	   0.232	 3784.31	   81.62	  1573.6	 1005.61	   35.19	-0.08890	-0.12981	-0.14508	-0.16185	-0.18093	-0.20960	-0.25587	-0.32979	-0.43471	-0.55336	-0.67936	-0.80851	-0.93138	-1.04090	-1.14490	-1.24347	-1.31998	-1.37752	-1.42112	-1.47318	-1.50177	-1.54175	-1.56490	-1.60297	-1.61295	-1.62443	-1.64313	-1.73173	-1.91560	-1.92766	-1.90616	-1.92204	-1.97606	-2.09019	-2.18403	-2.17141	-2.07251	-1.82549	-1.17925	-0.85644	-0.85612	 0.82720	 0.99729	 0.94342	 0.81039	 0.66936	 0.52976	 0.42742	 0.33483	 0.24315	 0.16353	 0.09465	 0.02094	-0.02381	-0.05526	-0.05403	-0.03576	 0.00915	 0.04930	 0.09617	 0.15697	 0.21068	-0.11007	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99501	 0.98590	 0.97810	 0.97013	 0.95824	 0.94332	 0.92727	 0.90574	 0.88221	 0.85536	 0.82630	 0.79774	 0.77093	 0.74503	 0.72377	 0.70480	 0.69097	 0.68309	 0.68017	 0.68286	 0.68964	 0.70044	 0.71641	 0.73392	 0.75467	 0.77338	 0.79758	 0.82141	 0.84411	 0.86692	 0.88820	 0.90711	 0.92489	 0.93944	 0.96537	 0.97997	 0.98932	 0.99498	 0.99795	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.04784	 0.04882	 0.04342	 0.00929	 0.03476	 0.03059	 0.00956	-0.00803	-0.00780	 0.00303	 0.00951	 0.00660	 0.00235	-0.01108	-0.02293	-0.03661	
       7	   9.011	  1.0895	-0.127191	 -0.0597	0.045023	  1.0960	  1.0992	0.024841	  199.22	   0.000	2.946E+6	   0.232	 3774.79	   81.53	  1569.8	 1005.60	   35.31	-0.14384	-0.19732	-0.20720	-0.21989	-0.23242	-0.24815	-0.27379	-0.31854	-0.39687	-0.50472	-0.63217	-0.76814	-0.90120	-1.02179	-1.13602	-1.24354	-1.32960	-1.39605	-1.44913	-1.50979	-1.54685	-1.59623	-1.62813	-1.67653	-1.69606	-1.71699	-1.74752	-1.85005	-2.05275	-2.08223	-2.07664	-2.11028	-2.19396	-2.33867	-2.48198	-2.51007	-2.45289	-2.23656	-1.56271	-1.23656	-1.23611	 0.72954	 0.98249	 0.97350	 0.86059	 0.72703	 0.58979	 0.48454	 0.38782	 0.29190	 0.20951	 0.13659	 0.05884	 0.00878	-0.02777	-0.03228	-0.01932	 0.01981	 0.05487	 0.09688	 0.15348	 0.19563	-0.17438	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99605	 0.98998	 0.97929	 0.96167	 0.94920	 0.93707	 0.92117	 0.90292	 0.88493	 0.86214	 0.83889	 0.81485	 0.78978	 0.76657	 0.74554	 0.72525	 0.70759	 0.69146	 0.67881	 0.66934	 0.66196	 0.65954	 0.65829	 0.65989	 0.66262	 0.66899	 0.67725	 0.68495	 0.69635	 0.70851	 0.72183	 0.73610	 0.75106	 0.76525	 0.78093	 0.79523	 0.82821	 0.85573	 0.87988	 0.90282	 0.92450	 0.94203	 0.95875	 0.97008	 0.98616	 0.99445	 0.99778	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.04684	 0.04808	 0.04296	 0.00804	 0.03392	 0.02377	-0.00654	-0.01675	-0.01566	-0.00262	 0.00464	 0.00241	-0.00175	-0.01589	-0.02848	-0.04293	
       8	   9.997	  1.0953	-0.136892	 -0.0615	0.055331	  1.1024	  1.1063	0.033698	  200.83	   0.000	2.936E+6	   0.231	 3751.75	   81.30	  1560.5	 1005.59	   35.42	-0.25398	-0.32142	-0.33502	-0.34379	-0.35091	-0.35630	-0.35944	-0.36380	-0.37249	-0.39501	-0.44424	-0.53837	-0.68575	-0.84498	-0.99588	-1.13123	-1.24325	-1.33052	-1.40289	-1.47886	-1.52981	-1.59263	-1.63616	-1.69697	-1.72752	-1.75934	-1.80220	-1.91704	-2.13502	-2.18056	-2.19123	-2.23999	-2.34815	-2.51534	-2.70495	-2.76871	-2.74937	-2.56294	-1.87358	-1.54917	-1.54856	 0.63902	 0.95958	 0.98880	 0.89424	 0.76810	 0.63367	 0.52654	 0.42749	 0.32810	 0.24353	 0.16674	 0.08549	 0.03097	-0.01056	-0.02034	-0.01262	 0.02124	 0.05082	 0.08723	 0.13846	 0.16104	-0.25917	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99691	 0.99242	 0.98426	 0.96936	 0.94754	 0.91756	 0.89996	 0.88324	 0.86292	 0.84141	 0.82167	 0.79863	 0.77719	 0.75590	 0.73498	 0.71640	 0.70058	 0.68706	 0.67561	 0.66570	 0.65898	 0.65474	 0.65149	 0.65255	 0.65356	 0.65686	 0.65984	 0.66732	 0.67465	 0.68082	 0.69040	 0.69996	 0.71086	 0.72169	 0.73349	 0.74524	 0.75829	 0.76887	 0.79405	 0.81799	 0.84024	 0.86377	 0.88672	 0.90643	 0.92626	 0.94113	 0.96490	 0.98149	 0.99062	 0.99593	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.04287	 0.04484	 0.04064	 0.00619	 0.03213	 0.01773	-0.01761	-0.04687	-0.06074	-0.06176	-0.05659	-0.04705	-0.03235	-0.02009	-0.02993	-0.04623	
