   Runnr	   Alpha	      Cn	      Ct	      Cm	      Cd	      Cl	Cl-press	Cd-press	  Z-w.r.	    Flap	      Re	       M	       Q	       V	     Dpb	   P-bar	       T	 Cpu_001	 Cpu_002	 Cpu_003	 Cpu_004	 Cpu_005	 Cpu_006	 Cpu_007	 Cpu_008	 Cpu_009	 Cpu_010	 Cpu_011	 Cpu_012	 Cpu_013	 Cpu_014	 Cpu_015	 Cpu_016	 Cpu_017	 Cpu_018	 Cpu_019	 Cpu_020	 Cpu_021	 Cpu_022	 Cpu_023	 Cpu_024	 Cpu_025	 Cpu_026	 Cpu_027	 Cpu_028	 Cpu_029	 Cpu_030	 Cpu_031	 Cpu_032	 Cpu_033	 Cpu_034	 Cpu_035	 Cpu_036	 Cpu_037	 Cpu_038	 Cpu_039	 Cpu_040	 Cpl_001	 Cpl_002	 Cpl_003	 Cpl_004	 Cpl_005	 Cpl_006	 Cpl_007	 Cpl_008	 Cpl_009	 Cpl_010	 Cpl_011	 Cpl_012	 Cpl_013	 Cpl_014	 Cpl_015	 Cpl_016	 Cpl_017	 Cpl_018	 Cpl_019	 Cpl_020	 Cpl_021	 Cpl_022	 Cpl_023	  Cpt_01	  Cpt_02	  Cpt_03	  Cpt_04	  Cpt_05	  Cpt_06	  Cpt_07	  Cpt_08	  Cpt_09	  Cpt_10	  Cpt_11	  Cpt_12	  Cpt_13	  Cpt_14	  Cpt_15	  Cpt_16	  Cpt_17	  Cpt_18	  Cpt_19	  Cpt_20	  Cpt_21	  Cpt_22	  Cpt_23	  Cpt_24	  Cpt_25	  Cpt_26	  Cpt_27	  Cpt_28	  Cpt_29	  Cpt_30	  Cpt_31	  Cpt_32	  Cpt_33	  Cpt_34	  Cpt_35	  Cpt_36	  Cpt_37	  Cpt_38	  Cpt_39	  Cpt_40	  Cpt_41	  Cpt_42	  Cpt_43	  Cpt_44	  Cpt_45	  Cpt_46	  Cpt_47	  Cpt_48	  Cpt_49	  Cpt_50	  Cpt_51	  Cpt_52	  Cpt_53	  Cpt_54	  Cpt_55	  Cpt_56	  Cpt_57	  Cpt_58	  Cpt_59	  Cpt_60	  Cpt_61	  Cpt_62	  Cpt_63	  Cpt_64	  Cpt_65	  Cpt_66	  Cpt_67	  Cps_01	  Cps_02	  Cps_03	  Cps_04	  Cps_05	  Cps_06	  Cps_07	  Cps_08	  Cps_09	  Cps_10	  Cps_11	  Cps_12	  Cps_13	  Cps_14	  Cps_15	  Cps_16
       /	 degrees	       /	       /	       /	       /	       /	       /	       /	      mm	 degrees	       /	       /	      Pa	     m/s	      Pa	      Pa	  degr_C	  100.00	   94.76	   89.84	   84.97	   80.44	   75.81	   71.34	   67.21	   63.02	   59.06	   55.22	   51.47	   47.87	   44.31	   40.97	   37.84	   34.73	   31.83	   28.95	   26.24	   23.77	   21.21	   19.02	   16.69	   14.78	   12.88	   11.12	    9.52	    7.96	    6.55	    5.35	    4.20	    3.24	    2.37	    1.63	    1.03	    0.58	    0.26	    0.02	    0.00	    0.00	    0.51	    1.21	    2.24	    3.62	    5.34	    7.43	    9.84	   12.66	   15.80	   19.37	   23.34	   27.72	   32.33	   37.52	   42.99	   48.39	   54.79	   61.58	   68.55	   75.87	   92.00	  100.00	    0.00	   24.00	   48.00	   72.00	   96.00	  108.00	  120.00	  132.00	  144.00	  156.00	  162.00	  168.00	  174.00	  180.00	  186.00	  192.00	  198.00	  204.00	  207.00	  210.00	  213.00	  216.00	  219.00	  222.00	  225.00	  228.00	  231.00	  234.00	  237.00	  240.00	  243.00	  246.00	  249.00	  252.00	  255.00	  258.00	  261.00	  264.00	  267.00	  270.00	  273.00	  276.00	  279.00	  282.00	  285.00	  288.00	  291.00	  294.00	  297.00	  300.00	  306.00	  312.00	  318.00	  324.00	  330.00	  336.00	  342.00	  348.00	  360.00	  372.00	  384.00	  396.00	  408.00	  432.00	  456.00	  480.00	  504.00	    0.00	   48.00	   96.00	  144.00	  168.00	  192.00	  216.00	  240.00	  264.00	  288.00	  312.00	  336.00	  360.00	  408.00	  456.00	  504.00
       1	   0.004	  0.2594	0.012986	 -0.0679	0.013002	  0.2594	  0.2594	0.007248	  189.39	   0.000	2.953E+6	   0.234	 3832.47	   82.38	  1593.0	 1003.14	   36.28	 0.14110	 0.07528	 0.01696	-0.04710	-0.11475	-0.18798	-0.26645	-0.34340	-0.42125	-0.49572	-0.56769	-0.64114	-0.70336	-0.74987	-0.79253	-0.83055	-0.84548	-0.84499	-0.82688	-0.81858	-0.79121	-0.76329	-0.72655	-0.68967	-0.63829	-0.58217	-0.52470	-0.50746	-0.54712	-0.44267	-0.32030	-0.19932	-0.09703	 0.03399	 0.18578	 0.38405	 0.60247	 0.81889	 0.97319	 0.99921	 0.99955	 0.45800	 0.10508	-0.13807	-0.23206	-0.32278	-0.38319	-0.38269	-0.38529	-0.42051	-0.44482	-0.45518	-0.47660	-0.46596	-0.43902	-0.37686	-0.30337	-0.19921	-0.10843	-0.01579	 0.08189	 0.21158	 0.13991	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99743	 0.99066	 0.97282	 0.93821	 0.88958	 0.83369	 0.77574	 0.72706	 0.69114	 0.67835	 0.68807	 0.72357	 0.76153	 0.81474	 0.86602	 0.91937	 0.95474	 0.97974	 0.99102	 0.99759	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.01948	 0.02402	 0.02167	-0.00257	 0.01863	 0.01842	 0.01569	 0.01085	 0.00774	 0.01351	 0.01024	 0.00899	 0.00828	 0.00221	-0.00280	-0.00948	
       2	   2.002	  0.4895	-0.003151	 -0.0694	0.013947	  0.4893	  0.4895	0.008545	  190.82	   0.000	2.953E+6	   0.234	 3837.96	   82.46	  1595.2	 1003.10	   36.43	 0.11392	 0.05989	 0.00384	-0.06043	-0.13041	-0.20900	-0.29438	-0.37963	-0.46740	-0.55224	-0.63553	-0.72091	-0.79600	-0.85595	-0.91211	-0.96377	-0.99195	-1.00417	-0.99895	-1.00389	-0.98841	-0.97521	-0.95094	-0.92951	-0.89059	-0.84851	-0.80766	-0.81550	-0.88853	-0.80514	-0.70129	-0.60081	-0.52405	-0.42153	-0.29892	-0.10721	 0.13350	 0.42144	 0.73863	 0.89357	 0.89375	 0.83678	 0.54752	 0.29173	 0.13977	 0.00795	-0.09411	-0.12944	-0.16379	-0.22094	-0.26438	-0.29376	-0.33186	-0.33820	-0.32854	-0.28382	-0.22573	-0.13803	-0.06043	 0.02007	 0.10973	 0.22563	 0.11313	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99533	 0.98744	 0.97083	 0.94157	 0.90129	 0.85345	 0.80057	 0.75285	 0.71264	 0.68980	 0.68689	 0.70506	 0.73093	 0.77233	 0.81718	 0.86997	 0.91089	 0.94672	 0.96853	 0.98632	 0.99509	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.02849	 0.03165	 0.02805	 0.00125	 0.02264	 0.02156	 0.01794	 0.00999	 0.00680	 0.01361	 0.00962	 0.00740	 0.00573	-0.00200	-0.00869	-0.01697	
       3	   3.992	  0.7039	-0.033009	 -0.0689	0.016077	  0.7044	  0.7049	0.010109	  189.22	   0.000	2.953E+6	   0.234	 3843.62	   82.55	  1597.5	 1003.09	   36.62	 0.06926	 0.02889	-0.01647	-0.07237	-0.13795	-0.21737	-0.30747	-0.40037	-0.49827	-0.59406	-0.68912	-0.78681	-0.87554	-0.94979	-1.02013	-1.08615	-1.12900	-1.15499	-1.16436	-1.18385	-1.18160	-1.18495	-1.17484	-1.17137	-1.14763	-1.12230	-1.10132	-1.13801	-1.25423	-1.18646	-1.10339	-1.04418	-1.00654	-0.94989	-0.87934	-0.72425	-0.49780	-0.18337	 0.27274	 0.51777	 0.51763	 0.99268	 0.83200	 0.61103	 0.43611	 0.28309	 0.15244	 0.09168	 0.03217	-0.04126	-0.10038	-0.14577	-0.19788	-0.21935	-0.22496	-0.19637	-0.15266	-0.08064	-0.01568	 0.05307	 0.13351	 0.23164	 0.06880	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99597	 0.98994	 0.97938	 0.96146	 0.93437	 0.89994	 0.86069	 0.81705	 0.77637	 0.73794	 0.70966	 0.69541	 0.69467	 0.70485	 0.72753	 0.75746	 0.79972	 0.83831	 0.87867	 0.90944	 0.94226	 0.96624	 0.98177	 0.99136	 0.99635	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.03628	 0.03842	 0.03389	 0.00417	 0.02687	 0.02504	 0.02017	 0.00787	 0.00516	 0.01336	 0.01006	 0.00680	 0.00422	-0.00533	-0.01380	-0.02387	
       4	   6.008	  0.8842	-0.072885	 -0.0653	0.020067	  0.8870	  0.8876	0.013558	  190.84	   0.000	2.946E+6	   0.234	 3828.99	   82.41	  1591.6	 1003.07	   36.74	 0.00096	-0.03101	-0.06126	-0.09807	-0.14192	-0.20438	-0.28911	-0.38640	-0.49443	-0.60249	-0.71075	-0.82165	-0.92519	-1.01481	-1.10030	-1.18089	-1.23930	-1.28004	-1.30515	-1.34007	-1.35238	-1.37340	-1.37896	-1.39445	-1.38793	-1.38107	-1.38216	-1.44921	-1.60798	-1.57215	-1.50306	-1.47619	-1.50374	-1.50571	-1.50603	-1.41167	-1.23088	-0.92999	-0.36623	-0.06579	-0.06642	 0.97337	 0.97048	 0.81874	 0.65190	 0.49583	 0.35633	 0.27153	 0.19559	 0.11009	 0.03932	-0.01896	-0.08230	-0.11665	-0.13572	-0.12119	-0.09044	-0.03273	 0.02051	 0.07800	 0.14904	 0.22593	 0.00102	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99766	 0.99386	 0.98946	 0.98108	 0.96834	 0.95213	 0.92867	 0.90063	 0.86729	 0.82956	 0.79207	 0.75826	 0.72814	 0.70566	 0.69021	 0.68539	 0.68999	 0.70551	 0.72343	 0.75038	 0.77996	 0.81651	 0.84851	 0.88093	 0.90594	 0.93333	 0.95512	 0.97104	 0.98276	 0.99035	 0.99493	 0.99763	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.04232	 0.04363	 0.03835	 0.00622	 0.02998	 0.02737	 0.01564	 0.00202	 0.00138	 0.01202	 0.00968	 0.00549	 0.00186	-0.00950	-0.01959	-0.03124	
       5	   8.003	  1.0098	-0.112703	 -0.0572	0.028978	  1.0156	  1.0172	0.018097	  189.15	   0.000	2.949E+6	   0.234	 3841.79	   82.57	  1596.8	 1003.07	   36.89	-0.10999	-0.14334	-0.15458	-0.16883	-0.18665	-0.21573	-0.25344	-0.30442	-0.39646	-0.51559	-0.64363	-0.77552	-0.90121	-1.01270	-1.11812	-1.21673	-1.29413	-1.35268	-1.39644	-1.44890	-1.47786	-1.51800	-1.54105	-1.57664	-1.58968	-1.60329	-1.62827	-1.72582	-1.92446	-1.92225	-1.88587	-1.88321	-1.98539	-2.05139	-2.13099	-2.11374	-2.00121	-1.74396	-1.10232	-0.77576	-0.77675	 0.84244	 0.99946	 0.93656	 0.79903	 0.65276	 0.51287	 0.41433	 0.32621	 0.23253	 0.15196	 0.08320	 0.01049	-0.03524	-0.06636	-0.06475	-0.04597	-0.00134	 0.04008	 0.08665	 0.14786	 0.19797	-0.11152	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99761	 0.99187	 0.97867	 0.95520	 0.91746	 0.89395	 0.87039	 0.84221	 0.81212	 0.78404	 0.75384	 0.72734	 0.70384	 0.68424	 0.67078	 0.66369	 0.66243	 0.66663	 0.67645	 0.69203	 0.71026	 0.73448	 0.75504	 0.78047	 0.80564	 0.83392	 0.85794	 0.88211	 0.90083	 0.92210	 0.94014	 0.95445	 0.96650	 0.97586	 0.98295	 0.98860	 0.99262	 0.99726	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.04401	 0.04535	 0.04027	 0.00657	 0.03149	 0.02091	-0.00899	-0.01412	-0.01119	 0.00406	 0.00819	 0.00416	-0.00076	-0.01484	-0.02713	-0.04057	
       6	   9.006	  1.0570	-0.118988	 -0.0549	0.047945	  1.0626	  1.0664	0.023672	  190.78	   0.000	2.942E+6	   0.233	 3825.83	   82.41	  1590.3	 1003.08	   36.97	-0.16219	-0.20437	-0.21130	-0.22020	-0.23017	-0.24414	-0.26767	-0.30393	-0.36555	-0.46269	-0.58546	-0.72203	-0.85810	-0.98191	-1.09872	-1.20729	-1.29529	-1.36367	-1.41773	-1.47936	-1.51706	-1.56738	-1.59929	-1.64513	-1.66824	-1.69208	-1.72927	-1.84097	-2.05671	-2.07134	-2.05221	-2.07057	-2.19546	-2.30095	-2.41827	-2.44167	-2.36739	-2.13922	-1.47057	-1.13888	-1.13991	 0.75087	 0.98820	 0.96866	 0.85032	 0.71158	 0.57373	 0.47131	 0.37863	 0.28216	 0.19775	 0.12471	 0.04758	-0.00311	-0.03933	-0.04353	-0.03007	 0.00877	 0.04501	 0.08657	 0.14360	 0.18241	-0.17986	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99716	 0.99288	 0.98470	 0.97046	 0.94690	 0.91560	 0.87564	 0.85326	 0.83240	 0.80873	 0.78422	 0.76132	 0.73681	 0.71433	 0.69291	 0.67310	 0.65666	 0.64402	 0.63484	 0.62728	 0.62231	 0.62185	 0.62348	 0.62862	 0.63565	 0.64477	 0.65582	 0.66942	 0.68432	 0.70080	 0.71487	 0.73398	 0.75262	 0.77101	 0.78989	 0.80863	 0.82612	 0.84447	 0.86037	 0.89413	 0.91959	 0.94090	 0.95861	 0.97304	 0.98293	 0.99045	 0.99456	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.04335	 0.04500	 0.04030	 0.00598	 0.02957	 0.00931	-0.02281	-0.02436	-0.01972	-0.00334	 0.00343	 0.00115	-0.00334	-0.01834	-0.03157	-0.04586	
       7	  10.004	  1.0849	-0.141411	 -0.0553	0.049220	  1.0930	  1.0961	0.031672	  189.41	   0.000	2.931E+6	   0.233	 3801.69	   82.16	  1580.6	 1003.07	   37.10	-0.22729	-0.28350	-0.29167	-0.29898	-0.30687	-0.31532	-0.32548	-0.34070	-0.36399	-0.40679	-0.47688	-0.58579	-0.72863	-0.87451	-1.01532	-1.14383	-1.25110	-1.33539	-1.40462	-1.47874	-1.52767	-1.58981	-1.63188	-1.68903	-1.72257	-1.75734	-1.80701	-1.93178	-2.16223	-2.19362	-2.19211	-2.23291	-2.34195	-2.52558	-2.67368	-2.73458	-2.70073	-2.50418	-1.81622	-1.48367	-1.48487	 0.65251	 0.96486	 0.98733	 0.88890	 0.75858	 0.62376	 0.51878	 0.42255	 0.32402	 0.23630	 0.15949	 0.07876	 0.02351	-0.01755	-0.02697	-0.01865	 0.01517	 0.04642	 0.08305	 0.13550	 0.16039	-0.24271	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99786	 0.99321	 0.98542	 0.97260	 0.95166	 0.92186	 0.87943	 0.83153	 0.78109	 0.75840	 0.73980	 0.72155	 0.70644	 0.69422	 0.68341	 0.67698	 0.67290	 0.67181	 0.67348	 0.67830	 0.68417	 0.69211	 0.70125	 0.71206	 0.72261	 0.73486	 0.74516	 0.75616	 0.76731	 0.77759	 0.78811	 0.79841	 0.80621	 0.81673	 0.82551	 0.83445	 0.84302	 0.85124	 0.85947	 0.86856	 0.87598	 0.89236	 0.90678	 0.92000	 0.93320	 0.94600	 0.95675	 0.96743	 0.97530	 0.98750	 0.99463	 0.99779	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.04035	 0.04262	 0.03870	 0.00316	 0.02176	-0.00631	-0.03924	-0.04725	-0.04593	-0.03460	-0.02342	-0.01606	-0.01160	-0.02229	-0.03678	-0.05244	
       8	  11.005	  1.0916	-0.160860	 -0.0550	0.050488	  1.1023	  1.1043	0.040170	  190.78	   0.000	2.919E+6	   0.232	 3772.72	   81.86	  1568.9	 1003.06	   37.22	-0.29469	-0.35866	-0.36845	-0.37224	-0.37469	-0.37807	-0.37963	-0.38286	-0.38697	-0.40068	-0.42702	-0.47535	-0.56857	-0.70115	-0.85644	-1.00943	-1.14534	-1.25419	-1.34588	-1.43721	-1.50127	-1.57795	-1.63254	-1.70266	-1.74799	-1.79487	-1.85769	-1.99514	-2.23803	-2.28706	-2.30379	-2.36615	-2.47637	-2.72708	-2.89804	-2.99553	-3.00156	-2.83837	-2.13834	-1.80864	-1.80988	 0.55085	 0.93357	 0.99674	 0.91864	 0.79718	 0.66580	 0.55932	 0.46053	 0.35996	 0.26932	 0.18896	 0.10460	 0.04502	-0.00081	-0.01530	-0.01172	 0.01698	 0.04330	 0.07495	 0.12296	 0.13396	-0.30668	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99701	 0.98574	 0.97108	 0.95144	 0.92491	 0.88778	 0.84360	 0.79118	 0.74389	 0.70467	 0.68972	 0.67992	 0.67104	 0.66565	 0.66261	 0.66168	 0.66526	 0.67016	 0.67771	 0.68709	 0.69812	 0.71016	 0.72251	 0.73571	 0.74998	 0.76312	 0.77665	 0.78874	 0.80089	 0.81266	 0.82297	 0.83395	 0.84400	 0.85155	 0.86103	 0.86886	 0.87654	 0.88364	 0.89020	 0.89652	 0.90355	 0.90937	 0.92107	 0.93171	 0.94111	 0.95055	 0.95956	 0.96734	 0.97523	 0.98079	 0.98927	 0.99474	 0.99743	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.03561	 0.03883	 0.03596	-0.00191	 0.01048	-0.02333	-0.06204	-0.07716	-0.07926	-0.07228	-0.06154	-0.04793	-0.03251	-0.02728	-0.04087	-0.05830	
       9	  11.999	  1.1063	-0.161271	 -0.0559	0.072244	  1.1157	  1.1201	0.051472	  140.00	   0.000	2.907E+6	   0.231	 3743.88	   81.56	  1557.3	 1003.04	   37.30	-0.34793	-0.41242	-0.42359	-0.42605	-0.42572	-0.42582	-0.42385	-0.42249	-0.42079	-0.42440	-0.43671	-0.46197	-0.51798	-0.61120	-0.74218	-0.89153	-1.04149	-1.16999	-1.28275	-1.39052	-1.46910	-1.56014	-1.62664	-1.70932	-1.76623	-1.82529	-1.90109	-2.05042	-2.30430	-2.37112	-2.40622	-2.48978	-2.62208	-2.90727	-3.11629	-3.24704	-3.29414	-3.16683	-2.45853	-2.13356	-2.13495	 0.44209	 0.89491	 0.99980	 0.94273	 0.83080	 0.70363	 0.59611	 0.49539	 0.39304	 0.29973	 0.21613	 0.12837	 0.06458	 0.01414	-0.00528	-0.00621	 0.01759	 0.03918	 0.06651	 0.11085	 0.11135	-0.36165	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.98922	 0.96398	 0.93929	 0.91200	 0.87776	 0.83509	 0.79101	 0.74385	 0.70396	 0.66998	 0.65615	 0.64709	 0.63946	 0.63489	 0.63196	 0.62756	 0.62998	 0.63186	 0.63517	 0.64007	 0.64715	 0.65380	 0.66047	 0.66858	 0.67742	 0.68683	 0.69527	 0.70444	 0.71283	 0.72184	 0.72812	 0.73816	 0.74557	 0.75100	 0.75968	 0.76670	 0.77524	 0.78255	 0.79050	 0.79750	 0.80687	 0.81345	 0.82958	 0.84715	 0.86252	 0.87886	 0.89558	 0.91075	 0.92752	 0.94034	 0.96180	 0.97826	 0.98814	 0.99469	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.02819	 0.03244	 0.03055	-0.01139	-0.00957	-0.05246	-0.09231	-0.10229	-0.09938	-0.09080	-0.07627	-0.05904	-0.04082	-0.03400	-0.04787	-0.06636	
